subID,alpha,theta,gamma,w,nll
18,0.0,0.68,0.08,0.57,1000.0
14,0.95,0.88,0.49,0.0,535.0
4,0.12,0.45,0.7,0.28,413.0
0,0.5,0.86,0.77,0.59,52.0
2,0.3,0.98,0.75,0.52,219.0
5,0.03,0.99,0.86,-0.81,561.0
12,0.66,1.15,0.51,0.69,458.0
15,0.11,0.46,0.48,0.37,390.0
8,0.16,0.85,0.98,-0.22,299.0
19,0.47,0.91,0.85,0.63,220.0
6,0.88,1.28,0.0,0.88,172.0
10,0.49,0.83,0.82,0.78,178.0
9,0.02,0.84,0.7,-0.22,287.0
20,0.03,0.72,0.28,0.44,434.0
13,0.63,0.79,0.81,-0.12,233.0
7,0.27,0.62,0.06,0.82,337.0
21,0.62,1.1,0.0,0.92,207.0
1,0.08,0.8,0.4,0.51,466.0
11,0.26,1.22,0.98,0.44,320.0
16,0.01,1.12,0.7,-0.58,744.0
17,0.01,0.54,0.38,-0.4,266.0
3,0.62,0.77,0.57,-0.46,543.0
32,0.0,0.68,0.37,-0.4,346.0
36,0.04,1.15,0.04,0.7,416.0
22,0.05,0.51,0.48,-0.16,461.0
28,0.31,1.43,0.84,-0.51,197.0
23,0.21,1.41,0.69,0.48,148.0
26,0.04,0.42,0.48,-0.4,50.0
27,0.88,0.6,0.65,0.63,71.0
33,0.12,0.52,0.16,-0.32,76.0
29,0.01,0.52,0.6,0.35,189.0
30,0.09,0.72,0.88,0.88,457.0
37,0.05,0.74,0.56,-0.32,1121.0
24,0.11,1.5,0.01,-1.0,64.0
31,0.32,0.81,0.76,0.13,556.0
34,0.08,0.7,0.45,0.25,1253.0
35,0.4,0.8,0.82,-0.48,148.0
25,0.02,0.52,0.4,0.28,297.0
86,0.59,1.5,0.57,0.9,84.0
94,0.22,0.86,0.82,0.52,199.0
68,0.19,0.53,0.43,0.52,94.0
48,0.0,1.13,0.68,-0.6,44.0
96,0.72,0.44,0.83,0.25,639.0
60,0.28,0.88,0.82,0.72,112.0
58,0.21,1.4,0.3,0.73,814.0
92,0.0,1.13,0.91,0.6,417.0
97,0.5,0.92,0.11,0.23,351.0
87,0.8,1.26,0.12,0.88,202.0
44,0.88,1.26,0.67,0.3,333.0
90,0.1,0.48,0.23,-0.32,53.0
54,0.97,0.59,0.58,0.42,594.0
50,0.15,0.52,0.44,0.11,398.0
70,0.14,0.67,0.56,0.57,206.0
66,0.56,0.98,0.86,0.5,318.0
42,0.09,0.48,0.65,0.48,65.0
88,0.5,1.45,0.73,-0.46,567.0
40,0.04,0.74,0.63,0.3,531.0
74,0.74,1.5,0.46,0.82,167.0
64,0.25,0.96,0.83,0.59,109.0
45,0.06,1.28,0.87,0.49,763.0
38,0.36,0.62,0.64,-0.31,912.0
84,0.11,0.66,0.99,-0.8,822.0
65,0.17,0.68,0.91,0.69,374.0
72,0.17,0.86,0.96,0.12,323.0
69,0.47,0.31,0.98,0.68,278.0
80,0.11,0.78,0.87,0.04,433.0
82,0.0,0.88,0.22,0.5,691.0
81,0.07,1.28,0.0,0.72,345.0
61,0.0,0.68,0.59,0.28,240.0
67,0.66,1.09,0.72,0.16,107.0
89,0.05,0.91,0.16,0.68,631.0
76,0.39,0.76,0.0,0.5,502.0
59,0.13,1.11,0.73,-0.39,529.0
43,0.78,0.85,0.75,0.75,158.0
93,0.0,0.88,0.48,0.41,231.0
55,0.57,0.86,0.8,-0.12,114.0
85,0.26,1.25,0.18,0.28,539.0
52,0.64,0.49,0.16,-0.26,634.0
78,0.38,0.77,0.44,-0.5,305.0
51,0.91,1.4,0.64,0.11,235.0
49,0.18,0.5,0.62,-0.18,173.0
56,0.68,0.67,0.45,0.25,849.0
46,0.42,0.64,0.02,0.72,1555.0
79,0.02,0.68,0.02,0.59,372.0
62,0.01,0.88,0.68,-0.32,1268.0
77,0.3,1.44,0.0,-1.0,339.0
63,0.08,1.1,0.8,0.48,208.0
73,0.01,0.54,0.6,0.12,355.0
57,0.85,1.1,0.78,-0.32,444.0
83,0.14,1.16,0.84,-0.34,281.0
71,0.33,0.52,0.8,0.68,208.0
91,0.04,0.72,0.87,-0.02,648.0
39,0.22,1.0,0.81,0.41,204.0
75,0.04,0.74,0.12,0.5,494.0
95,0.48,0.4,0.99,0.9,460.0
53,0.17,0.63,0.81,0.76,88.0
47,0.97,0.64,0.67,0.08,464.0
41,0.06,0.59,0.72,0.04,133.0
108,0.21,1.49,0.64,-1.0,20.0
114,0.0,0.68,0.97,0.32,361.0
161,0.06,0.6,0.68,0.28,569.0
146,0.19,0.55,0.54,0.31,292.0
138,0.66,0.81,0.26,0.32,677.0
102,0.45,1.21,0.81,0.72,447.0
167,0.47,0.84,0.78,0.08,113.0
98,0.42,0.92,0.86,0.51,222.0
100,0.08,0.52,0.28,-0.44,141.0
120,0.23,1.31,0.74,-0.32,273.0
104,1.0,1.49,0.08,0.44,245.0
165,0.96,0.68,0.06,0.08,200.0
168,0.32,0.8,0.84,0.6,211.0
163,0.19,0.83,0.81,0.16,97.0
124,0.0,1.13,0.83,0.08,325.0
103,0.0,0.68,0.52,-0.32,270.0
154,0.38,0.7,0.75,0.12,91.0
115,0.36,0.31,0.99,0.72,368.0
116,0.3,0.62,0.75,0.0,24.0
132,0.34,0.7,0.68,0.28,141.0
112,0.72,1.4,0.2,-0.5,94.0
128,0.49,0.24,0.98,0.56,236.0
109,0.1,0.59,0.1,0.44,76.0
159,0.28,0.49,0.98,0.69,498.0
106,0.92,0.56,0.08,0.28,296.0
113,0.63,0.9,0.77,-0.44,502.0
166,0.11,0.86,0.96,0.28,163.0
126,0.16,0.92,0.8,0.38,252.0
152,0.58,0.8,0.79,0.3,123.0
130,0.51,1.12,0.93,0.48,184.0
118,0.05,1.03,0.87,-0.29,246.0
105,0.0,1.13,0.0,0.56,401.0
131,0.96,1.18,0.64,-0.47,556.0
107,0.72,1.12,0.67,-0.5,633.0
139,0.13,1.08,0.64,0.92,557.0
117,0.21,1.31,0.78,0.32,164.0
153,0.45,0.44,0.99,0.8,439.0
140,0.01,0.92,0.58,0.19,788.0
134,0.16,0.65,0.99,0.7,128.0
148,0.08,0.21,0.08,0.3,203.0
150,0.04,1.14,0.72,0.48,83.0
157,0.0,0.88,0.68,-0.12,378.0
133,0.3,0.62,0.0,0.72,249.0
121,0.24,0.43,0.32,0.48,267.0
135,0.4,0.48,0.99,0.75,272.0
127,0.25,0.58,0.29,0.38,125.0
110,0.29,0.76,0.61,0.6,777.0
147,0.52,1.49,0.68,-0.44,100.0
155,0.09,0.75,0.48,-0.12,140.0
149,0.54,1.11,0.7,-0.32,291.0
122,1.0,0.4,0.42,-0.43,150.0
142,0.69,1.15,0.7,0.48,66.0
160,0.16,0.6,0.68,-0.2,59.0
156,0.32,0.36,0.82,0.44,147.0
137,0.08,0.19,0.45,-0.32,455.0
162,0.04,0.8,0.04,0.68,440.0
125,0.14,0.58,0.55,0.36,103.0
164,0.0,0.37,0.0,0.56,335.0
101,0.09,0.56,0.8,0.11,935.0
144,0.86,0.2,0.49,0.43,737.0
123,0.01,0.68,0.53,0.08,393.0
129,0.0,0.68,0.52,-0.32,514.0
141,0.23,0.67,0.64,0.08,406.0
111,0.42,0.86,0.78,0.73,115.0
158,0.02,0.6,0.16,0.12,246.0
143,0.03,0.83,0.0,0.64,319.0
151,0.2,0.85,1.0,0.56,364.0
99,0.01,0.56,0.26,0.39,390.0
119,0.31,0.3,0.66,0.04,94.0
145,0.09,0.68,0.49,-0.32,402.0
219,0.78,0.72,0.85,0.28,198.0
185,0.63,1.04,0.81,0.8,61.0
247,0.28,0.58,0.84,0.72,176.0
235,0.23,1.1,0.78,0.08,169.0
213,0.42,0.4,0.0,0.61,1184.0
245,0.1,0.56,0.6,0.56,39.0
225,0.05,0.58,0.63,0.12,135.0
231,0.18,0.86,0.82,0.11,54.0
226,0.44,1.01,0.76,0.64,120.0
217,0.01,0.55,0.24,0.36,382.0
236,0.15,0.82,0.84,-0.04,810.0
175,0.12,0.96,0.86,-0.09,324.0
173,0.08,0.42,0.76,-0.12,747.0
203,0.24,0.8,0.68,-0.12,8.0
193,0.08,1.08,0.72,-0.3,351.0
197,0.19,0.79,0.87,0.16,663.0
169,0.68,0.76,0.44,-0.28,457.0
191,0.13,0.91,0.76,0.71,104.0
227,0.0,0.68,0.63,0.08,474.0
221,0.62,0.34,0.13,0.89,624.0
223,0.75,0.63,0.77,0.53,235.0
177,0.66,0.88,0.81,0.57,224.0
174,0.3,0.66,1.0,0.31,470.0
222,0.26,0.72,0.59,0.92,662.0
171,0.11,0.83,0.94,0.06,317.0
218,0.39,0.69,0.88,0.35,231.0
201,0.06,0.44,0.98,0.25,554.0
