subID,alpha,theta,gamma,w,nll
0,0.14,0.74,0.77,0.68,379.0
1,0.28,0.54,0.99,0.72,250.0
2,0.15,0.67,0.88,0.68,295.0
3,0.68,0.78,0.69,-0.32,671.0
4,0.12,0.3,0.55,0.25,352.0
5,0.03,1.12,0.76,-0.8,227.0
6,0.34,0.86,0.12,0.8,231.0
7,0.35,0.45,0.0,0.88,400.0
8,0.01,0.9,0.68,-0.6,338.0
9,0.0,0.68,0.63,0.08,337.0
10,0.17,0.58,0.98,0.68,267.0
11,0.04,1.22,0.93,0.48,240.0
12,0.47,1.02,0.01,0.83,349.0
13,0.02,0.72,0.7,0.08,351.0
14,0.03,0.7,0.55,0.23,457.0
15,0.04,0.4,0.63,0.19,403.0
16,0.04,0.96,0.88,-0.48,358.0
17,0.0,0.52,0.52,-0.32,635.0
18,0.0,0.52,0.08,0.57,419.0
19,0.1,0.84,0.68,0.5,279.0
20,0.04,0.75,0.71,0.16,459.0
21,0.01,0.88,0.0,0.59,328.0
22,0.04,0.48,0.52,0.09,445.0
23,0.05,1.17,0.73,0.47,166.0
24,0.13,1.46,0.0,-1.0,247.0
25,0.03,0.52,0.52,-0.32,374.0
26,0.08,0.39,0.78,-0.03,537.0
27,0.22,0.36,0.34,0.46,221.0
28,0.11,0.87,0.94,0.0,335.0
29,0.05,0.52,0.68,-0.12,389.0
30,0.06,0.69,0.76,0.77,275.0
31,0.28,0.82,0.68,-0.39,325.0
32,0.0,0.68,0.52,-0.32,507.0
33,0.12,0.52,0.44,0.33,648.0
34,0.0,0.68,0.53,0.13,409.0
35,0.09,0.65,0.08,-0.52,464.0
36,0.02,1.12,0.32,0.69,232.0
37,0.15,0.86,0.4,-0.23,498.0
38,0.82,0.8,0.81,-0.44,453.0
39,0.25,0.52,0.76,0.64,339.0
40,0.06,0.78,0.72,0.0,287.0
41,0.0,0.52,0.83,0.05,391.0
42,0.18,0.17,0.99,0.74,308.0
43,0.2,0.32,0.96,0.69,280.0
44,0.48,0.14,0.98,0.72,357.0
45,0.08,1.1,0.72,0.49,210.0
46,0.1,0.92,0.3,0.76,447.0
47,0.43,0.49,0.24,-0.12,562.0
48,0.02,0.91,0.69,-0.6,317.0
49,0.01,0.54,0.64,0.1,333.0
50,0.02,0.68,0.49,0.18,428.0
51,0.19,0.68,0.24,0.08,365.0
52,0.01,0.53,0.52,-0.3,674.0
53,0.24,0.38,0.92,0.73,304.0
54,0.51,0.28,0.98,0.7,385.0
55,0.18,0.48,0.25,0.48,344.0
56,0.02,0.68,0.52,0.19,802.0
