subID,trial,sim_choice,k
18,5,4,1
18,56,6,1
18,35,4,1
18,55,4,1
18,114,3,1
18,110,6,1
18,60,6,1
18,30,5,1
18,32,3,1
18,6,5,1
18,67,5,1
18,45,6,1
18,117,2,1
18,73,6,1
18,115,7,1
18,112,5,1
18,64,8,1
18,90,4,1
18,4,4,1
18,13,5,1
18,54,5,1
18,63,3,1
18,86,3,1
18,104,3,1
18,91,2,1
18,62,4,1
18,58,5,1
18,52,5,1
18,12,8,1
18,28,4,1
18,75,6,1
18,23,3,1
18,111,5,1
18,92,2,1
18,41,4,1
18,43,4,1
18,11,2,1
18,69,7,1
18,36,6,1
18,98,5,1
18,68,5,1
18,82,3,1
18,85,5,1
18,118,3,1
18,119,4,1
18,39,6,1
18,84,1,1
18,77,5,1
18,7,3,1
18,25,5,1
18,95,1,1
18,108,5,1
18,71,5,1
18,66,5,1
18,76,4,1
18,103,4,1
18,34,4,1
18,59,4,1
18,50,6,1
18,93,4,1
18,2,2,1
18,27,3,1
18,10,2,1
18,26,4,1
18,18,4,1
18,42,2,1
18,87,5,1
18,116,3,1
18,100,2,1
18,79,5,1
18,16,5,1
18,81,6,1
18,20,6,1
18,19,5,1
18,49,5,1
18,44,2,1
18,9,4,1
18,31,5,1
18,74,3,1
18,106,3,1
18,109,5,1
18,61,3,1
18,29,4,1
18,94,4,1
18,107,3,1
18,46,5,1
18,57,6,1
18,102,3,1
18,70,4,1
18,21,5,1
18,38,4,1
18,88,6,1
18,120,1,1
18,101,4,1
18,78,1,1
18,105,1,1
18,72,1,1
18,24,3,1
18,8,4,1
18,17,4,1
18,37,4,1
18,1,9,1
18,53,4,1
18,22,3,1
18,47,5,1
18,83,5,1
18,99,5,1
18,89,3,1
18,14,7,1
18,3,5,1
18,80,6,1
18,96,3,1
18,51,4,1
18,33,4,1
18,40,3,1
18,48,4,1
18,113,3,1
18,15,2,1
18,65,4,1
18,97,5,1
14,5,6,1
14,56,3,1
14,35,4,1
14,55,4,1
14,114,7,1
14,110,4,1
14,60,4,1
14,30,3,1
14,32,4,1
14,6,6,1
14,67,4,1
14,45,4,1
14,117,1,1
14,73,4,1
14,115,7,1
14,112,7,1
14,64,4,1
14,90,3,1
14,4,6,1
14,13,4,1
14,54,4,1
14,63,1,1
14,86,2,1
14,104,4,1
14,91,4,1
14,62,3,1
14,58,3,1
14,52,4,1
14,12,5,1
14,28,3,1
14,75,4,1
14,23,7,1
14,111,3,1
14,92,3,1
14,41,4,1
14,43,4,1
14,11,5,1
14,69,4,1
14,36,2,1
14,98,3,1
14,68,3,1
14,82,3,1
14,85,3,1
14,118,3,1
14,119,1,1
14,39,4,1
14,84,3,1
14,77,1,1
14,7,4,1
14,25,7,1
14,95,3,1
14,108,4,1
14,71,3,1
14,66,4,1
14,76,4,1
14,103,4,1
14,34,7,1
14,59,4,1
14,50,4,1
14,93,2,1
14,2,6,1
14,27,7,1
14,10,7,1
14,26,7,1
14,18,5,1
14,42,4,1
14,87,3,1
14,116,2,1
14,100,4,1
14,79,3,1
14,16,5,1
14,81,3,1
14,20,3,1
14,19,5,1
14,49,4,1
14,44,4,1
14,9,4,1
14,31,4,1
14,74,2,1
14,106,3,1
14,109,4,1
14,61,3,1
14,29,7,1
14,94,3,1
14,107,4,1
14,46,9,1
14,57,3,1
14,102,4,1
14,70,3,1
14,21,2,1
14,38,4,1
14,88,3,1
14,120,3,1
14,101,2,1
14,78,4,1
14,105,3,1
14,72,4,1
14,24,1,1
14,8,4,1
14,17,3,1
14,37,4,1
14,1,3,1
14,53,4,1
14,22,2,1
14,47,9,1
14,83,2,1
14,99,4,1
14,89,3,1
14,14,5,1
14,3,4,1
14,80,3,1
14,96,3,1
14,51,4,1
14,33,2,1
14,40,3,1
14,48,8,1
14,113,7,1
14,15,5,1
14,65,4,1
14,97,3,1
4,5,1,1
4,56,4,1
4,35,6,1
4,55,5,1
4,114,4,1
4,110,2,1
4,60,6,1
4,30,3,1
4,32,5,1
4,6,3,1
4,67,3,1
4,45,3,1
4,117,3,1
4,73,8,1
4,115,1,1
4,112,5,1
4,64,4,1
4,90,5,1
4,4,1,1
4,13,3,1
4,54,3,1
4,63,3,1
4,86,3,1
4,104,2,1
4,91,5,1
4,62,3,1
4,58,4,1
4,52,3,1
4,12,7,1
4,28,2,1
4,75,4,1
4,23,5,1
4,111,3,1
4,92,5,1
4,41,3,1
4,43,4,1
4,11,5,1
4,69,5,1
4,36,5,1
4,98,4,1
4,68,4,1
4,82,5,1
4,85,4,1
4,118,3,1
4,119,4,1
4,39,4,1
4,84,4,1
4,77,4,1
4,7,4,1
4,25,4,1
4,95,5,1
4,108,2,1
4,71,3,1
4,66,6,1
4,76,3,1
4,103,4,1
4,34,3,1
4,59,5,1
4,50,5,1
4,93,3,1
4,2,4,1
4,27,6,1
4,10,2,1
4,26,5,1
4,18,2,1
4,42,6,1
4,87,2,1
4,116,3,1
4,100,5,1
4,79,5,1
4,16,3,1
4,81,3,1
4,20,2,1
4,19,3,1
4,49,5,1
4,44,3,1
4,9,4,1
4,31,6,1
4,74,6,1
4,106,3,1
4,109,5,1
4,61,5,1
4,29,4,1
4,94,4,1
4,107,3,1
4,46,4,1
4,57,5,1
4,102,4,1
4,70,4,1
4,21,4,1
4,38,4,1
4,88,5,1
4,120,7,1
4,101,3,1
4,78,3,1
4,105,2,1
4,72,4,1
4,24,4,1
4,8,4,1
4,17,5,1
4,37,2,1
4,1,4,1
4,53,4,1
4,22,3,1
4,47,6,1
4,83,2,1
4,99,3,1
4,89,4,1
4,14,4,1
4,3,2,1
4,80,4,1
4,96,4,1
4,51,4,1
4,33,3,1
4,40,4,1
4,48,5,1
4,113,4,1
4,15,4,1
4,65,5,1
4,97,4,1
0,5,6,1
0,56,3,1
0,35,2,1
0,55,9,1
0,114,8,1
0,110,5,1
0,60,4,1
0,30,6,1
0,32,6,1
0,6,8,1
0,67,8,1
0,45,2,1
0,117,6,1
0,73,8,1
0,115,7,1
0,112,8,1
0,64,5,1
0,90,8,1
0,4,6,1
0,13,7,1
0,54,8,1
0,63,5,1
0,86,2,1
0,104,5,1
0,91,3,1
0,62,7,1
0,58,2,1
0,52,4,1
0,12,7,1
0,28,1,1
0,75,8,1
0,23,5,1
0,111,3,1
0,92,7,1
0,41,5,1
0,43,6,1
0,11,6,1
0,69,8,1
0,36,6,1
0,98,8,1
0,68,5,1
0,82,7,1
0,85,2,1
0,118,6,1
0,119,6,1
0,39,4,1
0,84,2,1
0,77,2,1
0,7,6,1
0,25,6,1
0,95,8,1
0,108,6,1
0,71,6,1
0,66,8,1
0,76,8,1
0,103,5,1
0,34,5,1
0,59,6,1
0,50,3,1
0,93,6,1
0,2,6,1
0,27,5,1
0,10,7,1
0,26,5,1
0,18,7,1
0,42,2,1
0,87,7,1
0,116,9,1
0,100,3,1
0,79,7,1
0,16,4,1
0,81,8,1
0,20,4,1
0,19,1,1
0,49,4,1
0,44,6,1
0,9,7,1
0,31,5,1
0,74,2,1
0,106,6,1
0,109,8,1
0,61,1,1
0,29,4,1
0,94,7,1
0,107,6,1
0,46,4,1
0,57,3,1
0,102,6,1
0,70,3,1
0,21,6,1
0,38,6,1
0,88,3,1
0,120,8,1
0,101,3,1
0,78,6,1
0,105,6,1
0,72,8,1
0,24,1,1
0,8,7,1
0,17,6,1
0,37,5,1
0,1,6,1
0,53,4,1
0,22,2,1
0,47,4,1
0,83,3,1
0,99,5,1
