subID,alpha,theta,gamma,w,nll
18,0.08,0.68,0.82,-1.0,1136.0
14,0.95,0.88,0.49,-1.0,535.0
4,0.13,0.51,0.8,-1.0,462.0
0,0.43,0.64,0.32,-1.0,150.0
2,0.33,0.92,0.88,-1.0,276.0
5,0.13,0.87,0.97,-1.0,666.0
12,0.68,1.15,0.51,-1.0,529.0
15,0.67,0.36,0.56,-1.0,419.0
8,0.16,0.86,1.0,-1.0,300.0
19,0.47,0.91,0.85,-1.0,304.0
6,0.31,0.93,0.86,-1.0,207.0
10,0.16,0.72,0.98,-1.0,205.0
9,0.0,0.68,0.52,-1.0,311.0
20,0.1,0.72,0.91,-1.0,426.0
13,0.59,0.86,0.68,-1.0,229.0
7,0.11,0.75,0.46,-1.0,388.0
21,0.06,0.93,0.9,-1.0,261.0
1,0.0,0.68,0.52,-1.0,487.0
11,0.25,1.21,1.0,-1.0,339.0
16,0.01,1.14,0.92,-1.0,795.0
17,0.01,0.54,0.38,-1.0,266.0
3,0.52,0.8,0.72,-1.0,545.0
32,0.0,0.68,0.37,-1.0,346.0
36,0.02,1.16,0.98,-1.0,636.0
22,0.05,0.51,0.48,-1.0,461.0
28,0.31,1.44,0.83,-1.0,234.0
23,0.54,1.11,0.78,-1.0,187.0
26,0.04,0.42,0.48,-1.0,50.0
27,0.56,0.68,0.61,-1.0,78.0
33,0.12,0.52,0.16,-1.0,76.0
29,0.03,0.54,0.92,-1.0,207.0
30,0.12,0.72,0.87,-1.0,504.0
37,0.05,0.74,0.56,-1.0,1121.0
24,0.09,1.42,0.98,-1.0,576.0
31,0.34,0.81,0.77,-1.0,571.0
34,0.04,0.66,0.55,-1.0,1345.0
35,0.12,0.82,0.75,-1.0,268.0
25,0.0,0.52,0.37,-1.0,305.0
86,0.63,1.07,0.78,-1.0,132.0
94,0.11,0.86,0.84,-1.0,193.0
68,0.27,0.57,0.61,-1.0,117.0
48,0.0,1.13,0.88,-1.0,145.0
96,0.99,0.5,0.86,-1.0,656.0
60,0.17,0.8,0.54,-1.0,139.0
58,0.63,1.44,0.16,-1.0,879.0
92,0.0,1.13,0.68,-1.0,488.0
97,0.9,0.49,0.2,-1.0,433.0
87,0.49,1.28,0.71,-1.0,195.0
44,0.84,0.88,0.57,-1.0,355.0
90,0.1,0.48,0.23,-1.0,53.0
54,0.96,0.59,0.58,-1.0,607.0
50,0.16,0.51,0.37,-1.0,390.0
70,0.22,0.74,0.74,-1.0,189.0
66,0.24,0.83,0.81,-1.0,367.0
42,0.19,0.45,0.74,-1.0,68.0
88,0.08,0.88,0.89,-1.0,541.0
40,0.02,0.68,0.88,-1.0,564.0
74,0.04,0.78,0.7,-1.0,226.0
64,0.21,1.04,0.74,-1.0,142.0
45,0.0,1.13,0.68,-1.0,868.0
38,0.28,0.59,0.66,-1.0,920.0
84,0.28,0.64,0.99,-1.0,915.0
65,0.04,0.58,0.6,-1.0,434.0
72,0.17,0.86,0.96,-1.0,323.0
69,0.02,0.5,0.28,-1.0,402.0
80,0.1,0.78,0.87,-1.0,438.0
82,0.0,0.88,0.68,-1.0,806.0
81,0.05,1.27,0.96,-1.0,486.0
61,0.08,0.86,0.32,-1.0,240.0
67,0.14,0.74,0.51,-1.0,161.0
89,0.11,0.88,0.86,-1.0,660.0
76,0.01,1.12,0.91,-1.0,748.0
59,0.12,0.85,0.96,-1.0,601.0
43,0.77,0.83,0.77,-1.0,171.0
93,0.0,0.88,0.68,-1.0,292.0
55,0.57,0.86,0.8,-1.0,114.0
85,0.1,1.08,0.34,-1.0,533.0
52,0.64,0.49,0.16,-1.0,634.0
78,0.08,0.88,0.7,-1.0,237.0
51,0.92,1.4,0.63,-1.0,239.0
49,0.28,0.48,0.6,-1.0,175.0
56,0.22,0.62,0.38,-1.0,878.0
46,0.0,0.88,0.68,-1.0,1742.0
79,0.14,0.77,0.62,-1.0,506.0
62,0.02,0.89,0.89,-1.0,1253.0
77,0.99,1.28,0.98,-1.0,376.0
63,0.08,1.1,0.8,-1.0,213.0
73,0.01,0.54,0.7,-1.0,356.0
57,0.85,1.1,0.78,-1.0,444.0
83,0.1,1.14,0.86,-1.0,276.0
71,0.28,0.6,0.48,-1.0,265.0
91,0.04,0.72,0.87,-1.0,651.0
39,0.23,1.0,0.82,-1.0,226.0
75,0.09,0.76,0.84,-1.0,538.0
95,0.44,0.81,0.83,-1.0,600.0
53,0.17,0.64,0.76,-1.0,117.0
47,0.88,0.64,0.68,-1.0,477.0
41,0.07,0.59,0.76,-1.0,135.0
108,0.17,0.72,0.98,-1.0,225.0
114,0.02,0.72,0.88,-1.0,364.0
161,0.04,0.59,0.75,-1.0,589.0
146,0.16,0.56,0.64,-1.0,304.0
138,0.05,1.06,0.48,-1.0,693.0
102,0.02,0.91,0.52,-1.0,578.0
167,0.47,0.84,0.78,-1.0,115.0
98,0.37,0.92,0.86,-1.0,286.0
100,0.08,0.52,0.28,-1.0,141.0
120,0.23,1.31,0.74,-1.0,273.0
104,0.82,1.47,0.39,-1.0,284.0
165,0.88,0.75,0.13,-1.0,199.0
168,0.32,0.8,0.84,-1.0,324.0
163,0.24,0.84,0.71,-1.0,125.0
124,0.01,1.16,0.69,-1.0,331.0
103,0.0,0.68,0.52,-1.0,270.0
154,0.4,0.59,0.81,-1.0,92.0
115,0.13,0.69,0.79,-1.0,513.0
116,0.3,0.62,0.75,-1.0,24.0
132,0.3,0.7,0.58,-1.0,145.0
112,0.7,1.3,0.14,-1.0,118.0
128,0.3,0.78,0.84,-1.0,238.0
109,0.1,0.59,0.1,-1.0,127.0
159,0.09,0.61,0.61,-1.0,534.0
106,0.98,0.6,0.17,-1.0,351.0
113,0.64,0.88,0.81,-1.0,511.0
166,0.08,0.88,0.92,-1.0,157.0
126,0.17,0.93,0.76,-1.0,255.0
