subID,trial,sim_choice,k
18,5,3,1
18,56,5,1
18,35,5,1
18,55,5,1
18,114,5,1
18,110,5,1
18,60,6,1
18,30,4,1
18,32,4,1
18,6,5,1
18,67,6,1
18,45,5,1
18,117,3,1
18,73,5,1
18,115,6,1
18,112,5,1
18,64,5,1
18,90,6,1
18,4,4,1
18,13,6,1
18,54,4,1
18,63,3,1
18,86,6,1
18,104,3,1
18,91,6,1
18,62,5,1
18,58,2,1
18,52,6,1
18,12,5,1
18,28,2,1
18,75,7,1
18,23,6,1
18,111,5,1
18,92,9,1
18,41,1,1
18,43,3,1
18,11,5,1
18,69,5,1
18,36,2,1
18,98,6,1
18,68,4,1
18,82,5,1
18,85,4,1
18,118,5,1
18,119,6,1
18,39,6,1
18,84,6,1
18,77,5,1
18,7,4,1
18,25,5,1
18,95,7,1
18,108,4,1
18,71,6,1
18,66,6,1
18,76,7,1
18,103,5,1
18,34,2,1
18,59,4,1
18,50,6,1
18,93,4,1
18,2,2,1
18,27,6,1
18,10,2,1
18,26,5,1
18,18,7,1
18,42,4,1
18,87,6,1
18,116,3,1
18,100,8,1
18,79,5,1
18,16,5,1
18,81,5,1
18,20,6,1
18,19,5,1
18,49,6,1
18,44,4,1
18,9,6,1
18,31,3,1
18,74,5,1
18,106,4,1
18,109,4,1
18,61,5,1
18,29,5,1
18,94,6,1
18,107,6,1
18,46,6,1
18,57,5,1
18,102,4,1
18,70,6,1
18,21,6,1
18,38,5,1
18,88,4,1
18,120,7,1
18,101,5,1
18,78,6,1
18,105,7,1
18,72,6,1
18,24,4,1
18,8,5,1
18,17,5,1
18,37,4,1
18,1,9,1
18,53,5,1
18,22,5,1
18,47,5,1
18,83,4,1
18,99,6,1
18,89,5,1
18,14,5,1
18,3,4,1
18,80,7,1
18,96,5,1
18,51,5,1
18,33,5,1
18,40,5,1
18,48,6,1
18,113,5,1
18,15,5,1
18,65,5,1
18,97,5,1
14,5,3,1
14,56,3,1
14,35,2,1
14,55,3,1
14,114,4,1
14,110,1,1
14,60,2,1
14,30,2,1
14,32,1,1
14,6,6,1
14,67,4,1
14,45,2,1
14,117,3,1
14,73,4,1
14,115,4,1
14,112,6,1
14,64,3,1
14,90,2,1
14,4,7,1
14,13,2,1
14,54,3,1
14,63,3,1
14,86,3,1
14,104,3,1
14,91,3,1
14,62,3,1
14,58,3,1
14,52,3,1
14,12,4,1
14,28,2,1
14,75,2,1
14,23,6,1
14,111,3,1
14,92,3,1
14,41,4,1
14,43,3,1
14,11,7,1
14,69,6,1
14,36,3,1
14,98,3,1
14,68,3,1
14,82,4,1
14,85,3,1
14,118,3,1
14,119,2,1
14,39,3,1
14,84,3,1
14,77,3,1
14,7,5,1
14,25,6,1
14,95,2,1
14,108,3,1
14,71,3,1
14,66,4,1
14,76,4,1
14,103,2,1
14,34,7,1
14,59,3,1
14,50,3,1
14,93,3,1
14,2,6,1
14,27,7,1
14,10,7,1
14,26,5,1
14,18,2,1
14,42,4,1
14,87,2,1
14,116,2,1
14,100,3,1
14,79,3,1
14,16,5,1
14,81,3,1
14,20,2,1
14,19,2,1
14,49,1,1
14,44,2,1
14,9,7,1
14,31,3,1
14,74,3,1
14,106,3,1
14,109,3,1
14,61,3,1
14,29,7,1
14,94,3,1
14,107,3,1
14,46,4,1
14,57,3,1
14,102,3,1
14,70,3,1
14,21,2,1
14,38,3,1
14,88,3,1
14,120,4,1
14,101,2,1
14,78,2,1
14,105,4,1
14,72,4,1
14,24,2,1
14,8,5,1
14,17,7,1
14,37,3,1
14,1,3,1
14,53,3,1
14,22,1,1
14,47,6,1
14,83,3,1
14,99,3,1
14,89,1,1
14,14,8,1
14,3,5,1
14,80,4,1
14,96,3,1
14,51,2,1
14,33,3,1
14,40,3,1
14,48,6,1
14,113,6,1
14,15,7,1
14,65,4,1
14,97,1,1
4,5,5,1
4,56,3,1
4,35,3,1
4,55,4,1
4,114,6,1
4,110,3,1
4,60,3,1
4,30,6,1
4,32,4,1
4,6,5,1
4,67,4,1
4,45,4,1
4,117,5,1
4,73,6,1
4,115,4,1
4,112,4,1
4,64,7,1
4,90,1,1
4,4,1,1
4,13,4,1
4,54,6,1
4,63,4,1
4,86,1,1
4,104,5,1
4,91,4,1
4,62,4,1
4,58,4,1
4,52,4,1
4,12,3,1
4,28,4,1
4,75,3,1
4,23,2,1
4,111,4,1
4,92,4,1
4,41,3,1
4,43,4,1
4,11,5,1
4,69,4,1
4,36,3,1
4,98,5,1
4,68,3,1
4,82,4,1
4,85,4,1
4,118,5,1
4,119,4,1
4,39,5,1
4,84,4,1
4,77,3,1
4,7,4,1
4,25,2,1
4,95,4,1
4,108,3,1
4,71,4,1
4,66,3,1
4,76,5,1
4,103,4,1
4,34,3,1
4,59,6,1
4,50,4,1
4,93,5,1
4,2,4,1
4,27,4,1
4,10,2,1
4,26,3,1
4,18,5,1
4,42,4,1
4,87,3,1
4,116,5,1
4,100,4,1
4,79,6,1
4,16,3,1
4,81,4,1
4,20,9,1
4,19,6,1
4,49,5,1
4,44,4,1
4,9,3,1
4,31,3,1
4,74,3,1
4,106,7,1
4,109,4,1
4,61,4,1
4,29,3,1
4,94,3,1
4,107,3,1
4,46,2,1
4,57,2,1
4,102,4,1
4,70,3,1
4,21,3,1
4,38,1,1
4,88,4,1
4,120,6,1
4,101,4,1
4,78,4,1
4,105,3,1
4,72,4,1
4,24,4,1
4,8,2,1
4,17,3,1
4,37,6,1
4,1,4,1
4,53,3,1
4,22,4,1
4,47,7,1
4,83,3,1
4,99,3,1
4,89,4,1
4,14,5,1
4,3,1,1
4,80,4,1
4,96,4,1
4,51,6,1
4,33,3,1
4,40,3,1
4,48,4,1
4,113,3,1
4,15,5,1
4,65,7,1
4,97,4,1
0,5,5,1
0,56,1,1
0,35,6,1
0,55,4,1
0,114,3,1
0,110,3,1
0,60,3,1
0,30,1,1
0,32,2,1
0,6,3,1
0,67,7,1
0,45,1,1
0,117,6,1
0,73,7,1
0,115,5,1
0,112,5,1
0,64,5,1
0,90,5,1
0,4,6,1
0,13,4,1
0,54,5,1
0,63,3,1
0,86,2,1
0,104,1,1
0,91,2,1
0,62,4,1
0,58,3,1
0,52,3,1
0,12,5,1
0,28,1,1
0,75,7,1
0,23,6,1
0,111,2,1
0,92,5,1
0,41,6,1
0,43,3,1
0,11,6,1
0,69,5,1
0,36,2,1
0,98,6,1
0,68,2,1
0,82,6,1
0,85,3,1
0,118,3,1
0,119,3,1
0,39,1,1
0,84,6,1
0,77,1,1
0,7,6,1
0,25,6,1
0,95,7,1
0,108,3,1
0,71,3,1
0,66,5,1
0,76,5,1
0,103,3,1
0,34,2,1
0,59,5,1
0,50,3,1
0,93,5,1
0,2,6,1
0,27,6,1
0,10,5,1
0,26,2,1
0,18,2,1
0,42,5,1
0,87,5,1
0,116,1,1
0,100,3,1
0,79,7,1
0,16,6,1
0,81,6,1
0,20,3,1
0,19,2,1
0,49,5,1
0,44,2,1
0,9,5,1
0,31,2,1
0,74,7,1
0,106,3,1
0,109,3,1
0,61,2,1
0,29,6,1
0,94,5,1
0,107,6,1
0,46,5,1
0,57,2,1
0,102,6,1
0,70,3,1
0,21,2,1
0,38,2,1
0,88,2,1
0,120,5,1
0,101,1,1
0,78,5,1
0,105,6,1
0,72,6,1
0,24,1,1
0,8,6,1
0,17,5,1
0,37,2,1
0,1,6,1
0,53,2,1
0,22,2,1
0,47,5,1
0,83,3,1
0,99,2,1
0,89,2,1
0,14,6,1
0,3,2,1
0,80,5,1
0,96,7,1
0,51,5,1
0,33,2,1
0,40,5,1
0,48,3,1
