subID,alpha,theta,gamma,w,nll
18,0.0,0.68,0.5,-0.64,10.062429378531073
14,0.91,0.83,0.47,0.08,6.458333333333334
4,0.09,0.48,0.68,-0.11,4.843361581920904
0,0.68,1.2,0.65,0.01,0.6
2,0.3,0.98,0.74,-0.02,2.1833333333333336
5,0.11,1.07,0.84,0.53,6.745338983050847
12,0.67,1.15,0.51,0.33,5.5
15,0.06,0.47,0.57,0.82,4.703947368421053
8,0.2,0.85,1.0,0.43,3.033333333333333
19,0.29,0.88,0.87,0.03,2.575
6,0.16,0.95,0.85,-1.0,1.2833333333333332
10,0.49,0.83,0.82,0.22,1.7333333333333334
9,0.01,0.71,0.57,-0.82,4.541666666666667
20,0.02,0.68,0.1,0.0,4.891666666666667
13,0.63,0.79,0.81,-0.6,2.6083333333333334
7,0.1,0.78,0.74,-1.0,2.5749999999999997
21,0.62,1.1,0.0,-0.48,1.9583333333333333
1,0.0,0.68,0.39,0.08,4.116666666666667
11,0.27,1.23,0.98,-0.32,3.158333333333333
16,0.0,1.13,0.91,0.22,8.641666666666666
17,0.72,0.68,0.32,-0.1,4.216666666666667
3,0.48,0.72,0.86,0.12,5.125
32,0.0,0.68,0.33,-0.14,4.163095238095238
36,0.04,1.15,0.04,0.08,3.5956521739130434
22,0.02,0.51,0.48,-0.6,6.7333333333333325
28,0.28,1.02,0.95,0.11,2.3499999999999996
23,0.16,1.24,0.68,0.09,1.3166666666666667
26,0.03,0.43,0.38,-0.29,0.5833333333333333
27,0.88,0.6,0.65,0.09,0.75
33,0.12,0.52,0.16,0.28,0.6333333333333333
29,0.0,0.52,0.33,-0.03,2.175
30,0.11,0.68,0.77,-0.1,5.191666666666666
37,0.01,0.69,0.52,-0.64,13.068502824858758
24,0.11,1.5,0.01,-0.07,0.5416666666666667
31,0.32,0.79,0.73,-0.09,7.408333333333333
34,0.01,0.53,0.68,-0.11,16.214367816091954
35,0.32,0.52,0.92,0.0,3.357909604519774
25,0.04,0.49,0.31,-0.09,3.658333333333333
86,0.68,1.48,0.66,-0.44,0.8583333333333334
94,0.09,0.86,0.76,0.09,1.775
68,0.27,0.57,0.4,0.12,0.9083333333333332
48,0.0,1.13,0.97,1.0,1.2180790960451977
96,0.84,0.52,0.78,0.95,6.581214689265536
60,0.32,0.78,0.59,0.49,0.9916666666666667
58,0.22,1.42,0.3,-0.24,8.989406779661017
92,0.0,1.13,0.72,-0.04,3.848717948717949
97,0.94,0.5,0.18,0.18,6.389689265536724
87,0.29,0.96,0.8,-0.24,1.8916666666666666
44,0.8,0.84,0.53,-0.1,3.575
90,0.1,0.48,0.23,-0.43,0.9447278911564625
54,0.96,0.59,0.58,-0.07,6.160185185185185
50,0.09,0.55,0.47,-0.07,4.288218390804598
70,0.22,0.74,0.74,-0.72,1.675
66,0.56,0.98,0.86,0.0,3.6333333333333333
42,0.12,0.47,0.68,-0.52,0.8
88,0.39,1.19,0.43,0.97,4.958333333333333
40,0.0,0.68,0.88,0.08,7.066666666666666
74,0.01,0.68,0.56,-0.61,1.475
64,0.17,0.89,0.83,0.16,1.4666666666666666
45,0.08,1.29,0.86,0.48,7.4833333333333325
38,0.28,0.59,0.64,-0.96,9.316666666666666
84,0.24,0.64,1.0,0.93,8.04561403508772
65,0.4,0.56,0.84,0.08,3.825
72,0.18,0.85,0.98,0.16,3.248275862068965
69,0.46,0.3,0.98,-0.12,2.925
80,0.04,1.08,0.7,-0.14,5.658333333333333
82,0.0,0.88,0.06,0.05,7.4553672316384185
81,0.05,1.27,0.96,-0.92,3.9518361581920907
61,0.0,0.68,0.4,-0.68,2.1978070175438598
67,0.66,1.1,0.7,0.18,1.35
89,0.08,0.79,0.6,0.0,6.991666666666667
76,0.29,0.78,0.07,-0.01,6.441666666666666
59,0.12,0.88,0.92,-0.25,6.782142857142857
43,0.79,0.79,0.81,-0.34,1.5134180790960452
93,0.0,0.88,0.5,0.03,2.6132183908045974
55,0.52,0.88,0.76,-0.87,1.322695035460993
85,0.15,1.08,0.29,0.08,5.908333333333333
52,1.0,0.49,0.23,0.88,9.8
78,0.18,1.09,0.4,-1.0,2.675
51,0.23,0.72,0.88,0.0,2.2666666666666666
49,0.36,0.5,0.36,-0.37,2.444632768361582
56,0.71,0.64,0.48,0.14,10.744774011299436
46,0.0,0.88,0.28,0.02,16.383333333333333
79,0.02,0.69,0.68,-0.24,3.1887005649717515
62,0.0,0.88,0.94,0.06,13.8
77,0.99,1.28,0.98,-0.18,3.7723684210526316
63,0.08,1.08,0.84,0.1,2.1166666666666667
73,0.01,0.56,0.32,-0.04,3.732627118644068
57,0.85,1.1,0.78,0.22,4.7
83,0.1,1.14,0.86,-0.57,3.1833333333333336
71,0.33,0.52,0.8,-1.0,1.8583333333333334
91,0.0,0.52,0.84,-0.18,6.925757575757576
39,0.21,1.0,0.8,-0.03,2.3139830508474577
75,0.05,0.72,0.4,-0.01,4.719774011299435
95,0.48,0.4,0.99,0.32,4.633333333333333
53,0.16,0.67,0.6,-0.98,0.873728813559322
47,0.78,0.66,0.38,0.58,6.061440677966102
41,0.06,0.56,0.69,-0.11,1.3666666666666667
108,0.19,0.72,0.98,0.0,4.760714285714286
114,0.0,0.68,0.98,-0.16,3.341666666666667
161,0.02,0.59,0.65,-0.16,6.380459770114943
146,0.13,0.55,0.54,-0.07,3.0456214689265537
138,0.02,1.08,0.45,-0.23,5.716666666666667
102,0.45,1.21,0.81,0.08,3.841666666666667
167,0.37,0.84,0.77,0.27,1.1711864406779662
98,0.32,0.88,0.87,-0.06,2.5
100,0.08,0.52,0.28,-0.27,1.8
120,0.23,1.31,0.74,0.22,2.441666666666667
104,0.79,1.49,0.15,-0.16,2.183333333333333
165,0.87,0.72,0.17,-0.19,2.9361581920903954
168,0.34,0.8,0.84,0.38,2.080769230769231
163,0.25,0.81,0.78,0.08,1.175
124,0.0,1.13,0.83,-0.36,3.3583333333333334
103,0.0,0.68,0.52,0.07,2.594827586206897
154,0.39,0.7,0.73,-0.28,0.9916666666666667
115,0.34,0.32,0.99,0.4,3.384322033898305
116,0.38,0.58,0.78,-0.24,0.375
132,0.34,0.7,0.68,-0.32,1.5083333333333333
