subID,alpha,theta,gamma,w,nll
18,0.15,0.67,1.0,-0.52,1072.0
14,0.83,0.61,0.0,0.7,520.0
4,0.16,0.48,0.48,0.33,439.0
0,0.68,1.2,0.65,-0.51,102.0
2,0.28,0.92,0.84,0.15,257.0
5,0.04,1.1,0.92,0.68,522.0
12,0.53,1.09,0.28,0.32,523.0
15,0.44,0.25,0.22,0.36,445.0
8,0.16,0.86,0.99,0.09,292.0
19,0.92,1.2,0.7,0.08,299.0
6,0.19,0.95,0.85,0.08,177.0
10,0.49,0.76,0.88,0.19,203.0
9,0.24,0.63,0.98,-0.72,262.0
20,0.08,0.71,0.96,-0.2,413.0
13,0.68,0.81,0.79,-0.39,182.0
7,0.18,0.68,0.32,0.69,393.0
21,0.66,1.14,0.06,0.96,229.0
1,0.03,0.69,0.9,-0.44,452.0
11,0.24,1.22,1.0,0.05,335.0
16,0.01,1.15,1.0,0.19,766.0
17,0.19,0.84,0.78,-0.6,222.0
3,0.56,0.8,0.55,0.08,536.0
32,0.02,0.68,0.97,-0.6,335.0
36,0.01,1.15,0.94,0.71,584.0
22,0.0,0.52,1.0,-0.48,466.0
28,0.22,1.5,0.81,0.24,208.0
23,0.24,0.73,0.97,-0.57,146.0
26,0.41,0.16,0.93,-0.76,44.0
27,0.72,0.67,0.8,-0.51,68.0
33,0.14,0.44,0.06,0.08,82.0
29,0.32,0.44,0.99,-0.31,203.0
30,0.09,0.72,0.88,0.06,502.0
37,0.04,0.75,0.96,-0.49,1095.0
24,0.22,1.49,0.93,0.88,427.0
31,0.32,0.81,0.76,0.08,563.0
34,0.28,0.33,1.0,-0.64,1304.0
35,0.12,0.82,0.75,-0.12,268.0
25,0.29,0.41,0.99,-0.92,263.0
86,0.88,1.5,0.5,0.44,98.0
94,0.09,0.86,0.76,0.11,189.0
68,0.26,0.58,0.59,0.04,117.0
48,0.0,1.13,0.97,0.16,44.0
96,0.9,0.76,0.16,0.7,646.0
60,0.28,0.88,0.82,-0.52,128.0
58,0.1,1.04,0.0,0.8,759.0
92,0.0,1.13,0.99,-0.32,488.0
97,0.24,0.88,0.78,-0.59,368.0
87,0.8,1.24,0.14,0.45,194.0
44,0.85,0.88,0.54,0.08,354.0
90,0.13,0.57,0.51,-0.32,46.0
54,0.97,0.59,0.58,0.02,592.0
50,0.15,0.52,0.48,-0.11,399.0
70,0.19,0.72,0.8,-0.16,189.0
66,0.25,0.86,0.86,-0.04,366.0
42,0.12,0.47,0.68,0.08,70.0
88,0.1,0.87,0.96,-0.08,530.0
40,0.03,0.83,0.93,-0.1,549.0
74,0.84,0.87,0.01,0.52,174.0
64,0.19,0.88,0.88,-0.48,110.0
45,0.02,1.3,0.93,-0.28,788.0
38,0.61,0.56,0.17,0.42,919.0
84,0.1,0.67,1.0,0.8,874.0
65,0.22,0.67,0.93,-0.53,346.0
72,0.17,0.86,0.97,0.02,321.0
69,0.46,0.3,0.98,-0.72,393.0
80,0.1,0.78,0.93,-0.15,390.0
82,0.0,0.88,0.99,-0.32,806.0
81,0.0,1.13,0.97,0.16,457.0
61,0.02,0.69,0.98,-0.56,221.0
67,0.37,0.79,0.87,-0.32,143.0
89,0.08,0.72,0.1,0.91,619.0
76,0.29,0.78,0.0,0.76,506.0
59,0.97,0.93,0.0,0.96,539.0
43,0.76,0.84,0.8,-0.07,169.0
93,0.02,1.03,0.89,-0.31,244.0
55,0.6,0.75,0.85,-0.43,112.0
85,0.19,0.69,0.99,-0.98,476.0
52,0.52,0.71,0.38,-0.2,638.0
78,0.38,0.72,0.0,0.68,267.0
51,0.84,1.49,0.62,0.15,222.0
49,0.71,0.2,0.97,-0.83,133.0
56,0.17,0.61,0.24,0.41,806.0
46,0.0,0.88,0.99,-0.32,1742.0
79,0.09,0.72,0.19,0.61,450.0
62,0.02,0.88,0.98,-0.12,1278.0
77,0.0,1.13,0.94,0.68,475.0
63,0.08,1.11,0.74,0.08,238.0
73,0.08,0.58,0.9,-0.19,350.0
57,1.0,1.07,0.27,0.58,434.0
83,0.1,1.14,0.86,-0.12,276.0
71,0.33,0.55,0.0,0.64,206.0
91,0.02,0.69,1.0,-0.24,628.0
39,0.22,1.0,0.81,0.08,226.0
75,0.11,0.61,0.0,0.68,543.0
95,0.21,0.68,0.99,-0.36,492.0
53,0.17,0.63,0.81,-0.32,116.0
47,0.98,0.64,0.68,0.04,464.0
41,0.1,0.54,0.01,0.64,160.0
108,0.11,1.1,0.8,0.98,78.0
114,0.02,0.68,1.0,-0.08,364.0
161,0.04,0.69,0.94,-0.22,581.0
146,0.16,0.54,0.57,0.08,302.0
138,0.12,0.8,0.98,-0.75,603.0
102,0.29,0.76,0.27,0.16,517.0
167,0.42,0.84,0.8,-0.15,119.0
98,0.36,0.9,0.86,0.06,280.0
100,0.09,0.52,0.71,-0.41,125.0
120,0.23,1.31,0.74,0.0,273.0
104,0.36,0.79,0.63,-0.12,264.0
165,0.96,0.69,0.01,0.13,187.0
168,0.36,0.63,0.0,0.5,288.0
163,0.22,0.75,0.87,-0.52,101.0
124,0.0,1.13,0.99,-0.32,339.0
103,0.04,0.72,0.89,-0.52,261.0
154,0.42,0.58,0.83,-0.12,89.0
115,0.4,0.28,0.99,-0.84,441.0
116,0.36,0.57,0.78,-0.08,23.0
132,0.36,0.7,0.71,-0.1,141.0
112,0.69,1.48,0.41,-0.27,94.0
128,0.49,0.24,0.98,-0.76,234.0
109,0.38,0.72,0.76,-1.0,151.0
159,0.23,0.49,0.97,-0.6,484.0
106,0.48,0.84,0.81,-0.61,313.0
113,0.28,1.04,0.02,0.91,474.0
166,0.08,0.88,0.92,0.0,157.0
126,0.32,0.93,0.81,-0.26,269.0
152,0.21,0.57,0.83,-0.04,126.0
130,0.77,1.31,0.98,-0.03,318.0
118,0.05,1.0,0.95,0.12,242.0
105,0.07,1.09,0.94,-0.21,396.0
131,0.96,1.08,0.59,-0.52,516.0
107,0.76,1.01,0.67,-0.2,610.0
139,0.15,0.8,0.06,0.48,674.0
117,0.87,0.7,0.06,0.82,149.0
153,0.31,0.84,0.06,0.88,594.0
140,0.01,0.88,0.96,-0.32,819.0
134,0.13,0.66,0.99,-0.36,122.0
148,0.99,0.6,0.76,-0.67,227.0
150,0.02,1.12,0.98,-0.1,98.0
157,0.02,0.88,0.97,-0.24,361.0
133,0.3,0.62,0.0,0.48,249.0
121,0.34,0.42,0.63,-0.12,306.0
135,0.32,0.5,1.0,-0.73,299.0
127,0.24,0.58,0.31,0.44,125.0
110,0.31,0.88,0.04,0.12,885.0
147,0.59,1.5,0.66,0.32,96.0
155,0.24,0.92,0.09,0.48,121.0
149,0.8,0.83,0.25,0.56,285.0
122,0.31,0.47,0.87,-0.32,108.0
142,0.88,1.28,0.66,0.08,72.0
160,0.28,0.66,0.84,-0.32,57.0
156,0.86,0.56,0.64,0.21,162.0
137,0.1,0.21,0.72,-0.52,422.0
162,0.08,0.69,0.98,-0.23,481.0
125,0.08,0.63,0.98,-0.44,87.0
164,0.09,0.42,1.0,-0.52,467.0
101,0.5,0.37,0.13,0.24,899.0
144,0.99,0.16,0.11,0.36,728.0
123,0.02,0.69,1.0,-0.45,401.0
129,0.01,0.7,1.0,-0.46,474.0
141,0.18,0.61,0.97,-0.75,406.0
111,0.48,0.68,0.85,-0.48,125.0
158,0.13,0.66,0.84,-0.72,242.0
143,0.04,0.73,0.9,-0.19,337.0
151,0.12,0.87,0.96,-0.28,398.0
99,0.02,0.56,0.91,-0.47,426.0
119,0.13,0.37,0.79,-0.2,82.0
145,0.15,0.62,0.06,0.28,467.0
219,0.78,0.7,0.86,-0.06,196.0
185,0.64,1.0,0.82,-0.14,71.0
