subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.59,0.93,0.28,0.5,320.49518745981715,116.92903619649526
14,0.68,0.64,0.62,0.33,213.89819948059647,135.3123457905072
4,0.79,0.51,0.68,0.48,171.0490668436296,118.05761303067983
0,1.0,0.68,0.8,0.66,181.31249991815778,59.69224449570895
2,1.0,0.88,0.84,0.68,206.74500096184153,69.08757616460605
5,0.25,1.16,1.0,-0.24,265.41904509831886,114.57124543151417
12,0.24,1.07,0.88,0.53,269.7784922164625,105.68830868659786
15,0.92,0.3,0.85,0.39,194.29295291575033,121.72833009815092
8,0.16,1.18,1.0,-0.22,249.60285735541413,89.03160366813903
19,0.88,1.1,0.82,0.53,203.1196315759153,92.9517856092633
6,0.27,0.94,0.32,1.0,206.58866909191886,27.113023843724285
10,0.92,0.84,0.86,0.79,187.1864788762575,48.38179460833503
9,0.97,0.48,0.99,0.0,195.42251635666463,87.84361339301006
20,0.28,0.72,1.0,0.04,244.73737119283922,95.97054239010676
13,1.0,0.54,0.88,-0.12,204.0803377891573,80.93570680592111
7,0.48,0.73,0.86,1.0,233.99951228644449,19.245368368644893
21,1.0,1.29,0.59,0.73,178.60463064000635,50.82551469199841
1,0.1,0.69,1.0,1.0,280.492630331721,49.15240439811924
11,0.04,1.5,0.0,0.1,257.1683706287198,94.71986118717494
16,0.04,1.5,0.0,0.4,312.77327373248596,140.77273080465017
17,0.16,0.65,0.18,-0.21,200.2697378524183,97.17168997053578
3,0.68,0.84,0.86,-0.22,249.83056589962175,100.30538232007046
32,0.06,0.65,0.02,-0.02,254.5365394811267,100.64759783616056
36,0.07,1.48,0.0,1.0,302.4846389310293,28.164963190508775
22,0.07,0.56,0.06,0.12,218.2888773759635,119.04042691146282
28,0.31,1.29,0.17,-0.09,186.68231591827643,67.9612614901459
23,0.99,1.26,0.36,0.82,132.54432458326153,52.4302473674794
26,0.88,0.24,0.97,0.09,126.26408967157347,49.46220937856504
27,1.0,0.54,0.86,0.52,145.79548674229025,56.26416712041402
33,0.37,0.53,0.09,0.0,180.43435481291567,70.08064684983943
29,0.55,0.4,1.0,0.43,175.4618384950145,111.50989589933427
30,0.28,0.89,0.84,0.71,231.1619148253098,121.026369175057
37,0.46,0.42,0.41,0.54,283.99636254628945,138.8488652180893
24,0.08,1.5,0.0,1.0,332.0491523947351,12.601218546195947
31,0.18,0.82,1.0,0.54,268.89943878401004,147.82452980730116
25,0.21,0.44,0.84,0.0,198.2095310083328,99.36884795506897
