subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.58,0.93,0.27,0.5,320.5709587312929,116.87524777038084
14,0.88,0.58,0.77,0.32,218.93653058007024,131.6581063668792
4,0.72,0.49,0.7,0.48,171.7434846080423,117.71258274399199
0,1.0,0.68,0.8,0.66,181.31249991815778,59.69224449570895
2,1.0,0.88,0.81,0.67,208.0743511156445,68.18907241723804
5,0.4,1.2,1.0,-0.22,278.5318695288975,107.33083418216607
12,0.21,1.02,1.0,0.54,270.1509673312292,105.40280910005352
15,0.6,0.26,0.99,0.38,203.69628487548988,114.46164492125816
8,0.16,1.18,1.0,-0.22,249.60285735541413,89.03160366813903
19,0.83,1.11,0.81,0.52,203.54997977544022,92.62620034830931
6,0.27,0.94,0.32,1.0,206.58866909191886,27.113023843724285
10,0.93,0.85,0.84,0.78,187.60786099458088,48.11497003380928
9,0.96,0.44,1.0,0.0,196.49407806355052,87.03040676887818
20,0.25,0.74,1.0,0.04,246.72564921364165,94.5214913050279
13,1.0,0.5,0.87,-0.1,206.18553404560063,79.63296495052306
7,0.48,0.73,0.86,1.0,233.99951228644449,19.245368368644893
21,1.0,1.29,0.59,0.73,178.60463064000635,50.82551469199841
1,0.1,0.69,1.0,1.0,280.492630331721,49.15240439811924
11,0.04,1.5,0.0,0.1,257.1683706287198,94.71986118717494
16,0.04,1.5,0.0,0.4,312.77327373248596,140.77273080465017
17,0.18,0.59,0.24,-0.15,202.70439129297145,95.22970766865602
3,0.68,0.84,0.85,-0.21,251.9323476361171,98.7509685177003
32,0.04,0.57,0.1,-0.02,267.6774262918547,91.63669203133628
36,0.07,1.48,0.0,1.0,302.4846389310293,28.164963190508775
22,0.05,0.59,0.02,0.1,219.9062109072566,117.99085484948573
28,0.28,1.28,0.12,-0.08,187.56678368101205,67.33057179635209
23,1.0,1.23,0.38,0.81,132.72755957156264,52.31627058464976
26,0.88,0.24,0.97,0.09,126.26408967157347,49.46220937856504
27,1.0,0.55,0.84,0.49,146.18665566852306,56.035292037926354
33,0.38,0.49,0.04,-0.01,183.10635748092417,68.11959493251659
29,0.52,0.44,1.0,0.4,178.01503269161358,109.6113309669942
