subID,alpha,theta,gamma,w,nll_idv,nll_grp
0,0.24,0.55,1.0,0.59,202.90860413902632,82.88742110067497
1,0.28,0.65,1.0,1.0,214.29818590879927,47.18505769668239
2,0.41,0.94,0.39,0.66,189.962628948088,88.60455416519406
3,0.24,0.69,1.0,0.28,200.2720216282881,113.80485961470552
4,0.0,0.63,0.0,0.51,217.4969682379065,115.71104787112915
5,0.24,1.45,1.0,-0.22,165.85122925524382,84.04667662100283
6,0.1,1.15,0.85,0.97,165.6205387471992,59.11096963094952
7,0.68,0.53,0.88,1.0,225.3039058896501,48.240481653690686
8,0.15,1.12,0.88,-0.14,194.00019186039296,90.30746222010252
9,0.45,0.66,0.97,-0.12,241.737701081905,94.02963316632548
10,1.0,0.48,1.0,0.86,224.4854958297892,58.13726579780528
11,0.08,1.26,0.79,0.11,168.7997541946469,98.40386697664003
12,0.08,1.06,1.0,0.69,206.38456983856952,80.71591014556024
13,0.29,0.36,1.0,0.17,196.44270580113647,95.7639699847016
14,0.43,0.61,0.74,0.45,208.7974895762212,95.78825500664031
15,0.24,0.35,1.0,0.44,216.43947290250688,113.08881110041439
16,0.08,1.32,1.0,0.46,176.83824993427692,105.29973602409235
17,0.46,0.41,0.56,-0.3,228.07158193027524,98.36696290153527
18,0.03,0.87,0.09,0.72,230.76337625274454,83.4521348469101
19,0.19,1.15,0.66,0.59,217.26551227732395,91.26104521912157
20,0.28,0.66,1.0,0.24,213.85376384648376,107.50754614531222
21,0.12,0.88,0.48,0.86,171.56381164730686,68.97881034638965
22,0.0,0.58,0.0,0.0,215.8306713690036,114.70266663887382
23,0.81,0.92,0.8,1.0,185.0265002383663,54.94391659775823
24,0.03,1.5,0.1,1.0,157.16634408285304,37.38238836127314
25,0.08,0.46,0.68,0.0,213.25172789643958,103.8302768039413
26,0.0,0.57,0.0,0.31,221.8141894735725,92.65865976728075
27,1.0,0.45,0.8,0.64,203.36393439034154,87.83626116183865
28,0.27,1.28,0.01,-0.15,172.3823850860716,83.20964884189348
29,0.52,0.38,0.97,0.27,270.2134608389408,111.88782084338172
30,0.22,1.05,1.0,0.6,214.67196129259375,98.43354024944162
31,0.32,0.6,0.88,0.49,203.58049465405878,88.0045360019912
32,0.0,0.59,0.0,-0.03,226.09371118451767,101.27423151135665
33,0.98,0.38,0.82,-0.21,213.027531899554,99.77272458404147
36,0.01,1.5,0.0,0.85,168.25202306438,48.19257061353434
37,0.3,0.43,0.34,0.51,213.1131039548623,115.09009941915927
38,0.26,0.34,0.1,0.6,203.05240037175994,113.3223979001893
39,0.54,1.16,0.77,0.65,181.92121015879488,79.39820196301929
40,0.21,0.92,1.0,0.44,260.2246528569558,98.57176408890398
41,0.04,0.79,0.06,0.19,223.55488039673435,101.14964420272459
42,0.21,0.57,0.64,0.47,213.33161054426736,82.28285951717706
43,0.13,0.81,0.42,0.74,175.1524297681228,70.49786252734663
44,0.87,0.41,1.0,0.46,232.63015104616966,101.40784124756496
45,0.03,1.35,0.0,0.68,168.59869855760203,87.87635476091147
46,0.08,0.0,0.72,0.51,168.3264570738592,110.27582133332793
47,0.48,0.14,1.0,0.26,225.74140367162846,107.855352896463
48,0.02,1.5,0.0,-0.04,176.31941020851016,83.09972848777083
49,0.32,0.4,1.0,0.28,210.84250930552395,116.01063824327984
50,0.01,0.64,0.0,0.39,217.6076208926539,90.74761673646283
51,0.73,0.77,0.82,-0.08,193.54885587140038,104.62293018314212
52,0.44,0.49,0.91,-0.52,211.85454660370203,73.33768488583355
53,0.19,0.57,0.75,0.64,209.72452922010064,81.79374565644066
54,0.08,0.82,1.0,0.28,230.17757528786072,101.78911124492953
55,0.41,0.87,1.0,0.32,197.40663210868362,90.1761693846001
56,0.08,0.64,0.0,0.65,226.74130396968638,85.40430366695303
57,0.08,0.88,1.0,-0.32,206.43122819407282,100.56760680553386
58,0.25,0.93,1.0,-0.32,202.080405613504,79.16543457790137
59,0.46,1.5,0.42,-0.23,145.71838428953615,73.47876573795708
60,0.32,0.94,0.71,1.0,217.50919156723876,48.229827647281724
61,0.23,0.8,0.88,0.68,222.89762915763964,85.4024085210762
62,0.11,0.86,0.8,-0.33,213.97875145126363,88.94616402379981
63,0.24,0.99,0.97,0.26,214.16938218232272,90.66678359171524
64,0.13,0.86,0.32,0.65,191.37144858882272,81.75084923856956
65,0.52,0.4,0.94,0.2,210.43507754534963,101.14858197587454
66,0.08,1.2,0.68,0.44,199.87546834106075,99.65354495635763
67,0.0,0.82,0.0,0.31,180.5684296655856,117.0504864921459
68,0.32,0.57,0.88,0.79,224.2544260350282,90.57174424314844
69,0.55,0.62,0.88,0.84,202.10052178859982,72.7089302248968
70,0.09,0.67,0.48,0.77,214.90504875036632,71.91558275986456
71,0.62,0.43,1.0,1.0,201.31932062361315,40.8881482116592
72,0.28,0.92,0.85,-0.14,198.87988698966797,88.13885289650295
73,0.27,0.62,0.92,-0.13,206.45288966177,107.11691280428624
74,0.41,0.84,1.0,0.8,200.8811589035113,56.05212501970525
75,0.16,0.63,1.0,0.35,211.07468066652652,107.87556381253268
76,0.08,1.46,0.48,0.12,141.9713840897356,88.20538267731953
77,0.01,1.49,0.02,0.76,171.96122787834537,71.47395654519573
78,0.48,0.66,1.0,0.71,216.53202503312326,68.45885218103082
79,0.36,0.37,0.85,0.98,222.78196975399402,59.15034878701848
80,0.17,0.87,0.7,0.17,196.41721254438806,100.19202568212857
81,0.05,1.5,0.0,0.86,156.49814602811847,59.248118047862874
82,0.01,0.76,0.02,0.55,202.87215739428925,82.70217177721298
83,1.0,0.84,1.0,0.44,182.46600889262,92.25063886994224
84,0.16,0.79,1.0,1.0,237.8058216396566,29.86229074315649
85,0.84,0.49,0.98,-0.39,207.44050409340426,112.394109231042
86,0.1,1.24,0.29,0.54,172.14737994175613,101.93108985491051
87,0.36,1.4,0.24,1.0,186.9211184632092,54.07019376316736
88,0.36,0.92,0.87,-0.27,199.6115369760196,88.67187222172645
89,0.1,0.86,1.0,0.53,203.28434481207816,81.56601834305248
90,0.72,0.32,0.86,0.27,195.3614495624042,96.5515091171093
91,0.56,0.64,0.97,0.28,204.42432375801954,107.34327425190752
92,0.01,1.5,0.02,0.68,157.42711935177206,76.2817087234746
93,0.18,0.82,0.98,0.5,198.62236545022358,83.80893501785995
94,0.12,0.82,0.64,0.57,188.7018852365039,89.28507172855815
95,0.16,0.77,0.39,0.88,201.6847208198768,57.02594106455826
96,0.26,0.54,1.0,0.37,233.32146027825794,128.27393706390106
97,0.0,0.88,0.0,-0.46,242.82516074092527,103.20910762195078
98,0.24,0.77,1.0,0.36,240.02149074354102,109.16657598647276
99,0.0,0.83,0.0,0.3,218.5548027966087,97.09114544389178
100,0.14,0.32,0.98,-0.04,217.6840218234879,111.08285216774962
101,0.09,0.61,0.85,-0.29,213.89090778409107,131.84547402532746
102,0.08,0.88,0.36,1.0,152.5265207446813,38.90708060717025
103,0.03,0.92,0.0,0.94,174.75648855219677,48.370026324457825
104,1.0,0.24,0.99,0.58,233.559934694602,92.11811178631089
105,0.01,1.45,0.02,0.68,204.3122005790662,90.95124180989026
106,0.17,0.41,0.25,0.51,192.8746541270251,115.06151207137273
107,0.12,0.78,0.28,0.42,188.21523918303802,132.8755843385817
108,0.92,0.44,1.0,-1.0,201.4334953272626,31.8061147324856
109,0.52,0.48,1.0,-0.77,237.01630458168978,40.68458371113986
110,0.01,0.76,0.02,0.46,214.2861704396601,93.2623952389357
111,0.17,0.46,0.72,-0.11,225.56832588935137,87.05071843346599
112,0.11,0.8,0.31,0.99,189.629470767596,50.30675101994114
113,0.02,1.19,0.0,1.0,168.67477807913647,49.90612941301117
114,0.28,0.82,0.86,0.0,226.56706078220904,151.07749590880525
115,0.41,1.06,0.82,-0.04,195.3731002267244,97.86752832096008
116,0.24,0.73,0.88,0.56,212.84381384709806,75.80749547906234
117,0.22,0.6,1.0,0.7,198.50721097786936,73.11462092051077
118,0.32,0.48,0.68,-0.17,215.65389244508933,102.50781160099984
119,0.12,0.88,0.94,0.63,197.7699069865578,97.0206252079953
120,0.08,1.04,0.97,0.04,202.32647894465012,101.28625445138933
121,0.0,0.54,0.0,-0.06,221.9053809891958,105.65442910111207
122,0.36,1.24,0.99,0.65,159.81711829181984,96.88351075925563
123,0.3,0.43,0.8,0.0,219.13050526013708,116.52791995912025
124,0.35,0.5,0.97,-0.25,214.52132374764327,85.87909737193566
125,0.08,0.66,0.28,0.18,227.2045517214854,106.06237311939311
126,0.0,1.45,0.0,0.82,170.38018975586718,73.39266312648527
127,0.28,0.43,0.86,0.48,211.13099111215948,101.03021887403862
128,0.14,1.06,0.87,0.53,191.9798435333582,89.40023324001135
129,0.1,0.67,0.52,0.2,196.94775245703812,119.23705201086908
130,0.6,0.43,0.87,0.37,205.19136927912578,84.6399731224436
131,0.0,0.73,0.0,0.0,213.01969501112075,107.17261599315884
132,0.0,1.33,0.0,0.73,175.3767352545955,68.46271602569203
133,0.32,0.4,1.0,-0.24,227.8517026330652,105.34364765116939
134,0.85,0.32,1.0,0.9,209.91907629210212,69.16383647856226
135,0.31,0.75,0.92,0.92,217.83407561429138,57.53368788648853
136,0.17,0.81,0.82,0.64,200.33227665068182,69.45798173801695
137,0.32,0.61,1.0,0.96,226.2721783483561,50.40197560256
138,0.2,0.64,0.72,0.43,183.2098742092181,97.28839512363312
139,0.0,0.01,0.0,0.46,185.17553775303654,105.33569846302825
140,0.48,0.46,0.73,0.0,215.3192815745617,103.77541711237613
141,0.13,1.25,0.81,1.0,192.17628538565015,40.14716800838981
142,0.24,0.59,0.85,0.4,204.0451821395382,84.86208455106814
143,0.16,0.76,0.88,-0.12,204.24127561088034,102.75599174393196
144,0.03,0.97,0.1,0.69,182.49560685211515,73.30255861119534
