trial,subID,sim_choice,sim_attack,k
1,0,"[6, 4, 5, 6, 5, 4, 5, 3, 3, 4]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,1,"[6, 4, 3, 6, 4, 4, 3, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,2,"[4, 6, 3, 6, 6, 5, 6, 8, 6, 6]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",1
1,3,"[5, 6, 5, 6, 5, 6, 6, 5, 7, 8]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]",1
1,4,"[3, 4, 4, 1, 3, 6, 3, 1, 1, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[7, 6, 5, 7, 7, 7, 7, 6, 7, 7]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,6,"[6, 3, 6, 5, 5, 4, 7, 5, 7, 3]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,7,"[4, 7, 2, 5, 4, 5, 5, 7, 7, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
1,8,"[7, 6, 6, 8, 7, 7, 7, 8, 8, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1
1,9,"[3, 1, 2, 1, 1, 2, 2, 6, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[7, 5, 6, 5, 3, 6, 5, 8, 4, 7]","[0, 1, 1, 1, 0, 0, 1, 0, 0, 1]",1
1,11,"[7, 7, 8, 6, 6, 7, 9, 7, 6, 7]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",1
1,12,"[7, 6, 5, 4, 7, 6, 7, 6, 8, 8]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1
1,13,"[6, 4, 1, 1, 3, 6, 4, 5, 7, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
