subID,alpha,theta,gamma,w,nll
0,0.52,0.44,1.0,0.72,302.7913162252259
1,0.04,0.81,0.0,0.67,292.33008092760633
2,0.13,0.85,0.91,0.67,280.0758678111862
3,0.2,0.78,1.0,-0.24,364.9809517766268
4,0.14,0.45,0.0,0.57,316.94258910711403
5,0.08,1.08,1.0,-0.24,288.7406058747403
6,0.3,1.03,0.48,1.0,207.2454543183535
7,0.32,0.51,0.87,0.96,272.1868923150687
8,0.14,1.04,0.83,-0.17,292.55686096103693
9,0.43,0.49,1.0,-0.12,313.52838272356036
10,0.1,0.84,0.76,0.89,269.7492950645423
11,0.02,1.44,0.02,0.17,261.67585425538186
12,0.08,1.04,0.93,0.63,284.51433464646647
13,0.28,0.52,0.94,-0.24,334.3814706032151
14,0.22,0.56,0.51,0.4,303.1558885387993
15,0.31,0.24,0.81,0.38,321.5128969919257
16,0.08,1.47,0.68,0.42,267.5497085767162
17,0.23,0.56,0.96,-0.32,309.14401702061826
18,0.01,0.99,0.02,0.72,304.6023900536669
19,0.09,1.12,0.88,0.49,293.22107799364915
20,0.32,0.76,0.96,-0.17,329.11267219326425
21,0.6,0.53,0.88,1.0,248.02713030724485
22,0.09,0.61,0.0,-0.17,313.9329999294193
23,0.38,0.99,0.63,0.82,276.7351016233721
24,0.08,1.5,0.0,1.0,195.5718216073947
25,0.17,0.37,0.72,0.0,307.9826333515227
26,0.09,0.52,0.98,0.3,319.47661790399974
27,0.18,0.68,0.68,0.85,267.69655191002823
28,0.19,0.89,0.37,-0.32,255.16782737776572
29,0.15,0.61,0.96,0.3,338.25110290531296
30,0.17,0.95,0.85,0.77,268.3671079301365
31,0.28,0.81,0.86,0.53,298.34006259481487
32,0.15,0.59,0.72,0.06,318.3393231878586
33,0.72,0.35,0.56,0.17,329.2540430595022
36,0.08,1.5,0.48,1.0,173.19177956707412
37,0.02,0.44,0.1,0.61,338.61271924490615
38,0.34,0.23,1.0,0.64,294.4760434541202
39,0.19,1.01,0.67,0.58,275.76128186656894
40,0.31,0.69,0.96,0.35,328.5723675680676
41,0.59,0.46,0.98,0.21,281.73142314687027
42,1.0,0.2,0.95,0.65,291.8718192627314
43,0.5,0.38,1.0,0.62,256.4509845363244
44,0.19,0.57,0.88,0.22,325.06402756518656
45,0.05,1.45,0.1,0.71,254.27582960271187
46,0.01,1.41,0.0,0.82,248.06555824741824
47,0.28,0.52,0.72,0.26,304.98219405107784
48,0.03,1.5,0.02,0.14,261.4974531638861
49,0.68,0.26,1.0,0.26,327.3545216517328
50,0.0,0.64,0.0,0.4,305.9553611693646
51,1.0,0.46,0.98,-0.09,268.2065869216511
52,0.08,0.68,0.96,-0.24,309.7237021592415
53,0.21,0.94,0.08,0.78,281.72153205143815
54,0.48,0.67,0.83,0.26,334.4629063334652
55,0.23,0.83,0.97,0.32,318.48228466255443
56,0.08,0.86,0.48,0.62,324.17822516717047
57,0.19,0.84,1.0,-0.2,329.19040333307385
58,0.16,0.88,0.97,-0.09,294.32461093090205
59,0.16,0.93,0.99,-0.2,292.0721038963194
60,0.16,0.64,0.64,0.98,325.09149090728084
61,0.08,0.79,1.0,0.63,302.9171167208328
62,0.51,0.92,0.97,0.28,333.7657793745521
63,0.02,1.5,0.1,0.45,259.1186253478446
64,0.24,1.02,0.64,0.7,277.54858529451906
65,0.0,0.74,0.0,0.38,321.0100080782702
66,0.01,1.12,0.0,0.58,290.1292214690087
67,0.73,0.6,0.83,0.05,301.89387318150824
68,0.48,0.47,1.0,0.88,272.4032528660693
69,1.0,0.4,0.96,0.94,238.26442925838893
70,0.17,0.63,0.88,0.67,284.0678137918734
71,0.78,0.52,0.97,1.0,253.29777609635562
72,0.08,1.07,0.93,0.08,280.3188843564907
73,0.48,0.49,1.0,0.16,305.9965085951162
74,0.12,0.72,0.98,0.58,307.6754021280086
75,0.32,0.64,0.88,0.35,282.2372010699954
76,0.12,1.02,0.75,0.51,305.63509163897066
77,0.03,1.5,0.1,0.62,243.65393684389358
78,0.54,0.6,0.88,0.64,271.02181095386766
79,0.52,0.54,0.84,0.72,284.9734158509634
80,0.32,0.74,0.8,-0.12,325.1346440942367
81,0.01,1.5,0.02,0.75,238.86932477484595
82,0.21,0.98,1.0,0.7,303.98860112721906
83,0.16,0.81,0.72,0.38,302.72714581497576
84,0.08,0.63,0.88,0.96,258.62176428854286
85,0.1,0.65,0.72,0.57,332.7130751758492
86,0.15,1.13,0.44,0.57,242.8441112270707
87,0.34,0.99,0.38,0.87,253.19182792767262
88,0.09,1.04,1.0,-0.48,295.376879075925
89,0.32,0.96,0.88,0.57,282.5484331717398
90,0.01,0.67,0.0,0.4,307.8907470850328
91,0.28,0.69,0.96,0.32,318.61851058821236
92,0.02,1.5,0.1,0.76,217.7862974357442
93,0.08,0.88,1.0,0.48,300.26078226417167
94,0.04,0.95,0.0,0.74,270.34411731570987
95,0.08,0.85,0.28,0.9,249.4437742321296
96,0.13,0.63,0.0,0.49,345.14913675110563
97,0.42,0.77,0.87,0.54,326.8585191271927
98,0.12,0.88,0.99,0.5,313.59822966377055
99,0.08,0.62,0.84,0.28,329.09897259362435
100,0.12,0.49,0.48,0.0,356.24087096413535
101,0.16,0.37,0.91,-0.15,321.1209078876209
102,0.15,1.2,0.0,1.0,245.42111317431986
103,0.12,0.72,0.6,0.98,255.6527225792914
104,1.0,0.44,1.0,0.56,286.4951121436609
105,0.49,1.5,0.86,0.64,284.4377857939602
106,0.15,0.69,0.48,0.53,320.58587095574677
107,0.88,0.97,0.69,0.4,320.8988908609114
108,0.08,1.02,0.8,-0.75,275.63125204697246
109,0.0,0.84,0.0,-0.87,269.7987496187087
110,0.19,0.79,0.0,0.52,243.99236823762607
111,0.32,0.57,0.88,0.05,320.4224063668119
112,0.16,0.87,0.0,1.0,227.23139809426232
113,0.23,1.04,0.48,0.79,250.0366105111832
114,0.14,1.04,0.28,0.59,220.84900439918124
115,0.25,0.8,1.0,0.08,336.1627768311897
116,0.16,0.74,0.88,0.64,291.17937759204585
117,0.48,0.7,0.99,0.69,281.9530145853279
118,0.19,0.4,0.37,-0.1,321.56852512457993
119,0.19,1.23,0.0,0.57,272.17352900074786
120,0.0,1.13,0.0,-0.17,303.2653473017042
121,0.76,0.19,0.88,-0.08,305.5808957144085
122,0.3,1.0,1.0,0.53,317.8226589951725
123,0.72,0.24,1.0,0.12,303.26156450937196
124,0.49,0.0,0.22,0.55,301.79794470435326
125,0.01,0.7,0.0,0.25,326.95731665292897
126,0.0,1.5,0.0,0.73,225.6863680267894
127,0.32,0.52,1.0,0.33,359.8749820594393
128,0.18,0.82,1.0,0.47,271.134168685251
129,0.52,0.32,1.0,0.22,326.62183799545033
130,0.51,0.74,0.43,0.5,270.29477865229137
131,0.0,0.72,0.0,0.07,327.5799826512451
132,0.03,1.3,0.06,0.65,238.2870102653284
133,0.03,0.8,0.1,0.4,299.8401768408198
134,0.04,0.72,0.0,0.75,280.0122446739272
135,1.0,0.07,1.0,1.0,293.2975413819671
136,0.1,0.71,1.0,0.65,291.7818839833484
137,0.02,1.1,0.06,1.0,239.92032830270827
138,0.14,0.61,0.56,0.37,316.49899286604847
139,0.08,0.02,1.0,0.43,291.70141599709973
140,0.18,0.59,0.88,0.22,321.6063459650837
141,0.4,0.71,1.0,0.93,268.6946829555024
142,0.03,0.84,0.0,0.39,279.5455635853293
143,0.52,0.64,0.93,-0.08,341.3215207136342
144,0.23,0.92,0.83,0.65,276.0072578764699
145,0.16,0.76,1.0,1.0,264.1188363124991
146,0.52,0.17,0.98,0.45,293.18351836191414
147,0.28,0.67,0.97,0.03,301.88519179630407
148,0.37,0.58,0.78,0.0,298.801677366164
149,0.08,1.02,0.96,0.16,288.2788919730027
150,0.09,0.24,0.44,-0.1,289.6113167099004
151,0.0,0.8,0.0,0.12,321.7401039059314
152,0.17,1.26,0.16,0.44,212.63279220221511
153,0.08,1.26,0.96,0.65,264.5743844866385
154,0.0,0.91,0.0,-0.08,342.76644526238505
155,0.48,0.48,0.97,0.81,261.0225672811094
156,0.08,0.67,0.28,0.28,311.0481756468055
157,0.28,0.64,1.0,0.41,290.538764345451
158,0.88,0.25,0.99,0.29,285.9815356580424
159,0.0,0.32,0.0,0.12,322.35369806107934
160,0.12,0.88,1.0,0.48,347.94419680257766
161,0.58,0.59,0.28,-0.55,337.66584012040596
162,0.01,0.57,0.02,0.63,299.8309107390845
163,0.18,0.47,0.99,0.4,271.51154256037995
164,0.0,0.71,0.0,0.24,322.9772768279771
165,0.04,0.77,0.0,1.0,257.0666440403851
166,1.0,0.4,1.0,0.16,295.7836727455574
167,0.32,0.15,1.0,0.94,261.6331803676445
168,0.02,0.79,0.0,0.0,309.46346349383214
169,0.16,0.88,0.61,0.29,247.08756682946765
170,0.08,0.72,0.88,0.27,313.4776251927675
171,0.09,1.15,0.72,0.7,269.9552814187291
172,0.1,0.81,1.0,0.0,327.8503048047794
173,0.18,0.25,1.0,0.77,274.07307473521223
174,0.18,1.02,1.0,-0.05,296.97482740599116
175,0.76,0.4,1.0,0.44,283.3703798090457
176,0.28,0.16,0.88,0.4,316.27516375830453
177,0.16,0.88,0.88,-0.36,287.0319823681046
178,0.8,0.81,0.99,-0.36,323.48958600035303
179,0.08,0.7,0.48,0.72,284.23960545366936
180,0.56,0.66,1.0,0.73,285.2537534911941
181,0.3,0.84,0.0,1.0,192.93338474916652
182,0.44,0.61,1.0,0.91,257.3506829803491
183,0.38,0.21,1.0,0.5,303.8470267884224
184,0.0,0.47,0.0,0.21,330.1828889004804
185,0.17,0.63,0.16,0.57,320.5933524184672
186,0.08,0.84,0.75,0.55,289.0533914977947
187,0.09,0.59,0.0,0.33,300.42504811402614
188,0.02,0.75,0.0,1.0,237.92730704847114
189,0.05,0.54,0.0,0.86,292.3415419967023
190,0.74,0.41,1.0,0.76,291.09448689746637
191,0.63,0.72,1.0,0.54,303.7179093660177
192,0.29,0.68,0.89,0.65,299.1942241598112
193,0.0,0.37,0.0,0.62,298.5587696424447
194,0.28,0.84,0.94,0.98,259.2764131620051
195,0.31,0.11,1.0,0.53,268.23508564694356
196,0.28,0.74,1.0,0.41,298.30688270747197
197,0.12,0.57,0.88,0.61,294.2233077620734
198,1.0,0.24,1.0,0.26,290.12179663591894
199,0.08,1.5,0.48,0.75,196.07321959274685
200,0.16,0.97,0.81,0.41,287.1417682884935
201,0.28,0.97,0.88,0.21,345.4569409755426
202,0.3,1.08,0.86,0.22,289.7144173975175
203,0.16,0.87,0.88,0.88,268.307385274682
204,0.68,0.27,1.0,0.68,316.03553611956806
205,0.49,0.83,0.85,-0.25,287.50573321557886
206,0.14,1.1,0.37,0.71,215.460799998063
207,0.0,0.79,0.0,0.52,303.9506026963217
208,0.01,1.04,0.02,0.43,276.56186099540156
209,0.15,0.64,0.97,0.22,311.7944588789249
210,0.1,0.96,0.88,0.86,266.83407152577155
211,0.42,0.0,0.54,0.6,291.4118330395819
212,0.71,0.56,0.84,0.39,305.77440134910114
213,0.03,0.54,0.1,0.39,329.80587793320086
216,0.08,0.05,0.6,0.64,284.43902832537907
217,0.05,0.55,0.1,0.34,299.3584257909169
218,0.17,0.81,1.0,0.35,322.16420978401754
219,0.22,0.67,0.1,0.34,358.229446568229
220,0.0,0.56,0.0,0.27,326.735964916312
221,0.19,0.85,0.98,0.34,326.53096986714945
222,0.12,0.86,0.48,0.59,269.7963295183738
223,0.01,0.56,0.02,-0.35,309.8139303322465
224,0.12,0.83,0.0,0.94,235.23141550362254
225,0.28,0.99,0.0,0.97,176.9471194429683
226,0.34,0.76,0.72,0.54,296.45166790410997
227,0.68,0.47,0.95,-0.12,285.815568036473
228,0.21,0.69,0.72,0.34,309.5866630689032
229,0.0,0.78,0.0,0.74,307.59897090028085
230,0.0,0.88,0.0,0.26,296.4554571905666
231,0.01,1.09,0.02,0.64,238.2419190267939
232,0.19,0.6,0.88,0.71,282.80701186855634
233,0.0,0.75,0.0,0.29,370.07156098280956
234,0.19,0.92,0.48,0.86,274.97953524130537
235,0.02,0.95,0.06,0.48,274.35589426788493
236,0.76,0.28,1.0,0.28,278.0058471798686
237,0.04,0.64,0.0,0.77,300.6109401258717
238,0.32,0.94,0.88,0.0,304.47446552421513
239,0.18,0.95,0.81,-0.26,288.1219620984882
240,0.03,1.5,0.1,1.0,229.2740898295878
241,0.1,0.99,0.0,1.0,200.68206369453688
242,0.19,0.6,1.0,0.26,338.0266575671573
243,0.52,0.16,0.88,0.48,291.8429405030487
244,0.09,0.57,0.06,0.08,308.8196819094238
245,0.81,0.68,0.98,0.28,318.83502844161427
246,0.32,0.75,0.73,0.04,292.2345924851852
247,0.1,0.98,0.25,0.63,250.91533767931105
248,0.21,0.68,0.08,1.0,265.8303286832921
249,0.08,0.63,0.0,0.2,321.87204890857464
250,0.23,0.74,0.8,0.46,307.36821656990264
251,0.28,0.45,0.84,0.03,327.73470011122845
252,0.09,0.72,0.73,0.19,302.04886302272246
253,0.18,0.9,0.86,-0.21,284.36119302131283
