trial,subID,sim_choice,sim_attack,k
1,0,"[4, 4, 3, 4, 7, 5, 5, 7, 4, 4]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,1,"[6, 2, 4, 4, 7, 5, 4, 2, 5, 4]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,2,"[7, 6, 6, 6, 2, 5, 6, 5, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[5, 5, 6, 5, 5, 6, 3, 4, 5, 4]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,4,"[4, 2, 3, 3, 1, 3, 1, 3, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,5,"[8, 7, 5, 8, 3, 7, 7, 7, 6, 7]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,6,"[8, 5, 4, 4, 4, 4, 6, 7, 4, 6]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 1]",1
1,7,"[4, 2, 4, 2, 5, 6, 4, 6, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,8,"[5, 7, 7, 8, 8, 7, 7, 6, 5, 6]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 1]",1
1,9,"[2, 2, 4, 1, 4, 3, 2, 2, 5, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,10,"[2, 5, 6, 4, 6, 6, 7, 3, 7, 7]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
1,11,"[6, 7, 8, 6, 7, 7, 4, 6, 6, 7]","[0, 1, 0, 0, 0, 1, 1, 0, 1, 0]",1
1,12,"[7, 5, 6, 6, 7, 6, 6, 7, 7, 6]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,13,"[5, 1, 6, 2, 5, 1, 4, 4, 6, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1
1,14,"[7, 5, 7, 7, 4, 7, 4, 5, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,15,"[5, 3, 4, 7, 3, 4, 1, 2, 6, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,16,"[7, 7, 8, 8, 7, 7, 7, 5, 8, 9]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,17,"[4, 7, 3, 3, 4, 3, 5, 6, 5, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,18,"[5, 6, 4, 3, 6, 3, 8, 5, 5, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,19,"[7, 7, 6, 5, 7, 4, 7, 6, 6, 6]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",1
1,20,"[6, 2, 4, 6, 5, 2, 4, 4, 3, 2]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",1
1,21,"[5, 7, 8, 7, 7, 6, 7, 7, 6, 7]","[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1
1,22,"[3, 4, 1, 5, 5, 3, 5, 2, 3, 3]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,23,"[4, 8, 7, 7, 6, 6, 8, 7, 8, 5]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0]",1
1,24,"[8, 8, 6, 6, 8, 7, 6, 7, 8, 9]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1
1,25,"[5, 3, 2, 1, 2, 1, 3, 3, 4, 5]","[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,26,"[2, 4, 1, 2, 1, 3, 2, 4, 3, 3]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,27,"[2, 6, 4, 5, 4, 4, 4, 4, 3, 5]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,28,"[7, 8, 7, 6, 7, 8, 8, 3, 7, 7]","[1, 0, 1, 1, 1, 0, 1, 1, 1, 1]",1
1,29,"[3, 6, 3, 4, 3, 1, 3, 4, 1, 4]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,30,"[5, 4, 2, 8, 7, 5, 4, 4, 6, 5]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1]",1
1,31,"[3, 5, 3, 7, 5, 4, 6, 6, 7, 1]","[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",1
1,32,"[3, 2, 5, 1, 3, 4, 4, 3, 4, 6]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1
1,33,"[4, 3, 4, 2, 5, 4, 2, 1, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,36,"[5, 8, 8, 9, 7, 6, 7, 8, 4, 7]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1
1,37,"[3, 2, 6, 4, 1, 3, 4, 1, 3, 1]","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",1
1,38,"[1, 2, 1, 1, 2, 6, 4, 2, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,39,"[4, 6, 7, 7, 6, 5, 8, 7, 8, 7]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",1
1,40,"[5, 5, 3, 4, 3, 4, 6, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,41,"[4, 4, 1, 4, 3, 3, 5, 1, 2, 3]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
