subID,alpha,theta,gamma,w,nll
18,0.5,0.93,0.25,-1.0,469.69751956668415
14,0.55,0.66,0.56,-1.0,360.9946235856429
4,0.72,0.59,0.7,-1.0,327.3590938329426
0,1.0,0.61,0.79,-1.0,288.6635837472281
2,1.0,0.88,0.79,-1.0,313.6847545494826
5,0.24,1.32,1.0,-1.0,404.24675254974125
12,0.32,1.06,0.81,-1.0,394.985713988144
15,0.96,0.34,0.85,-1.0,341.49490072463675
8,0.1,1.28,1.0,-1.0,369.2025782641034
19,0.81,1.09,0.82,-1.0,326.0286072732049
6,0.2,0.94,0.1,-1.0,292.3580946696282
10,0.89,0.96,0.8,-1.0,276.75279613468615
9,0.97,0.48,0.99,-1.0,283.2661297496747
20,0.28,0.72,1.0,-1.0,340.86332292509735
13,1.0,0.52,0.88,-1.0,286.35424738032935
7,0.6,0.8,0.88,-1.0,298.033572399481
21,0.11,1.17,0.0,-1.0,253.48669228223554
1,0.0,0.68,0.0,-1.0,371.2017562737571
11,0.04,1.5,0.0,-1.0,352.4348164393719
16,0.04,1.5,0.0,-1.0,483.7209640046427
17,0.15,0.58,0.08,-1.0,301.8013599738306
3,0.66,0.88,0.72,-1.0,363.88534635564105
32,0.06,0.65,0.02,-1.0,355.2118913985728
36,0.07,1.5,0.0,-1.0,418.8836404800886
22,0.07,0.57,0.09,-1.0,338.46844681704727
28,0.28,1.3,0.09,-1.0,256.5580933576214
23,1.0,0.99,0.48,-1.0,218.50577985524302
26,0.88,0.24,0.97,-1.0,176.05855198572988
27,1.0,0.52,0.83,-1.0,214.3310512789233
33,0.37,0.53,0.09,-1.0,250.51500166275508
29,0.2,0.58,1.0,-1.0,312.81266520214416
30,0.13,0.92,1.0,-1.0,391.2333635186102
37,1.0,0.21,0.83,-1.0,463.7202633544888
24,0.08,1.5,0.0,-1.0,510.8277019976395
31,0.14,0.86,1.0,-1.0,454.3722710089053
25,0.21,0.44,0.84,-1.0,297.57837896340175
86,0.71,1.5,0.64,-1.0,192.44071811985583
94,0.29,0.96,0.53,-1.0,293.73874934651354
68,1.0,0.4,0.87,-1.0,225.6526125573455
48,0.03,1.44,0.0,-1.0,168.39002522226832
96,0.92,0.75,0.0,-1.0,409.22664868564044
60,1.0,0.74,0.78,-1.0,220.10090008291604
58,0.13,1.08,0.98,-1.0,477.32028105474456
92,0.04,1.43,0.0,-1.0,395.1425280544917
97,1.0,0.98,0.57,-1.0,350.4174029706036
87,1.0,1.2,0.0,-1.0,274.4408079635289
44,0.78,0.57,0.87,-1.0,303.2580360815896
90,0.31,0.62,0.32,-1.0,207.46427748311186
54,0.52,0.75,0.88,-1.0,365.21129249552064
50,0.04,0.63,0.09,-1.0,336.1661135861021
70,0.49,0.56,0.88,-1.0,273.1888408339573
66,1.0,1.32,0.18,-1.0,351.97941458218634
42,0.77,0.31,0.98,-1.0,216.33235853629589
88,1.0,1.29,0.0,-1.0,355.7758133614747
40,0.8,0.68,1.0,-1.0,366.9679105350117
74,0.52,0.69,0.99,-1.0,254.14407248971008
64,0.84,1.16,0.57,-1.0,189.38023616749945
45,0.32,0.88,0.02,-1.0,541.561290822235
38,0.43,0.61,0.0,-1.0,467.75910858064924
84,0.91,1.28,0.88,-1.0,458.59050901539797
65,1.0,0.54,0.87,-1.0,291.24183914595267
72,0.25,1.07,0.72,-1.0,305.6148956391667
69,0.5,0.36,1.0,-1.0,314.4048645517454
80,0.26,0.93,0.75,-1.0,346.50765916575057
82,0.03,0.81,0.0,-1.0,473.5222137045897
81,0.05,1.5,0.0,-1.0,395.9002572994544
61,0.2,0.55,1.0,-1.0,307.13120319326754
67,0.88,0.96,0.8,-1.0,225.86806775098574
89,0.14,0.97,1.0,-1.0,368.01929369481024
76,0.05,1.48,0.1,-1.0,416.96300989672284
59,0.36,1.29,0.26,-1.0,413.55124020357687
43,0.92,0.72,0.83,-1.0,242.95414799172443
93,0.18,0.81,0.94,-1.0,309.3222727650129
55,0.97,0.96,0.81,-1.0,185.2807838800785
85,0.4,0.77,0.43,-1.0,410.048925177115
52,0.31,0.56,0.68,-1.0,439.87968461371497
78,0.43,0.84,0.84,-1.0,302.71565211440003
51,0.68,0.68,0.87,-1.0,271.9643875437022
49,0.51,0.36,0.99,-1.0,261.8706196583712
56,0.92,0.67,0.71,-1.0,408.06072009262255
46,0.24,0.0,0.63,-1.0,655.9228583691515
79,0.16,0.71,0.28,-1.0,328.3287605226561
62,0.27,0.92,0.0,-1.0,590.3620068088692
77,0.04,1.5,0.0,-1.0,427.25484510366744
63,0.47,1.16,0.84,-1.0,262.0848307009009
73,0.68,0.48,1.0,-1.0,307.2596096785633
57,0.41,1.5,0.31,-1.0,449.18249186030926
83,0.68,0.88,0.97,-1.0,275.42420941529844
71,0.31,0.67,0.49,-1.0,263.3683016388744
91,0.43,0.62,0.98,-1.0,375.6528542904847
39,0.68,1.16,0.58,-1.0,252.97729281053947
75,0.38,0.82,0.81,-1.0,362.8434304427593
95,0.44,0.84,0.44,-1.0,378.9294628235142
53,0.68,0.4,1.0,-1.0,215.24319215065958
47,0.96,0.29,0.98,-1.0,313.93211473800613
41,0.48,0.62,0.88,-1.0,266.6260203131817
108,0.48,1.5,0.0,-1.0,280.91019728427847
116,0.28,0.68,1.0,-1.0,333.1237417049922
164,0.08,0.64,0.88,-1.0,374.6447536780979
148,0.54,0.56,0.76,-1.0,308.36313793618206
140,0.3,0.54,0.97,-1.0,429.61526673485804
102,0.91,0.65,0.0,-1.0,418.0872630162853
170,1.0,0.78,0.87,-1.0,228.86431484861046
110,0.26,0.8,0.0,-1.0,289.56184776371896
100,0.38,0.39,0.22,-1.0,245.71931381820892
122,0.88,1.12,0.76,-1.0,294.97161656939574
104,0.85,0.64,0.0,-1.0,284.94073840324126
168,0.37,0.67,0.0,-1.0,284.79537677033767
171,0.26,0.65,0.08,-1.0,321.66923021417995
166,0.88,0.3,0.99,-1.0,193.19441891088908
126,0.09,1.06,1.0,-1.0,367.46500279401073
103,0.52,0.54,0.86,-1.0,317.0080662830027
156,0.72,0.51,0.93,-1.0,224.795075779157
117,0.6,0.79,0.87,-1.0,336.19993206101884
118,0.88,0.49,0.87,-1.0,140.44241416518457
134,1.0,0.68,0.82,-1.0,219.89947882167613
114,1.0,1.5,0.37,-1.0,205.67846496147473
130,0.88,0.67,0.74,-1.0,260.0072259970025
109,0.38,0.44,0.0,-1.0,294.52987335361973
162,0.56,0.59,0.31,-1.0,284.89342050990257
106,0.25,0.56,0.64,-1.0,364.8829837598613
115,0.72,1.03,0.74,-1.0,308.79022527188283
169,0.15,1.03,0.5,-1.0,248.75356866917997
128,0.33,0.91,0.85,-1.0,341.3834882080225
154,0.92,0.68,0.86,-1.0,223.97701281508546
132,0.28,1.5,0.08,-1.0,514.5980328684177
120,0.11,1.08,0.79,-1.0,290.1231970466429
105,0.19,0.97,0.94,-1.0,368.07730688881804
133,0.45,0.66,0.46,-1.0,370.6221043928864
107,1.0,0.94,0.02,-1.0,330.49060563528775
141,0.5,0.57,0.12,-1.0,474.97141610604
119,0.66,1.05,0.49,-1.0,267.74594461101356
155,0.28,0.54,1.0,-1.0,395.19892042326114
142,0.52,0.75,0.23,-1.0,445.12468444815545
98,0.24,0.73,1.0,-1.0,399.5318895044642
136,0.61,0.76,0.87,-1.0,236.27406098719115
150,0.47,0.16,0.36,-1.0,236.2079788327805
138,1.0,0.8,0.75,-1.0,237.64102416962533
152,0.36,1.24,0.1,-1.0,204.36141359048514
160,0.3,0.84,0.99,-1.0,342.9153297454813
135,0.68,0.57,0.69,-1.0,298.06151182555175
123,0.89,0.44,0.85,-1.0,296.23414328459364
137,0.7,0.57,1.0,-1.0,296.00377968734807
129,1.0,0.56,0.88,-1.0,218.38197623223215
112,0.3,0.74,0.0,-1.0,455.0780260108452
149,0.12,1.11,0.82,-1.0,233.66847846825567
157,0.2,0.85,0.16,-1.0,234.64136344433572
151,0.01,0.81,0.02,-1.0,309.7949008380399
