subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.48,0.93,0.25,-1.0,321.35093835252144,148.3912110561439
14,0.91,0.56,0.81,-1.0,221.26888383716403,141.9922062794568
4,0.47,0.63,0.51,-1.0,175.93655138868942,152.63802366383024
0,1.0,0.56,0.79,-1.0,191.02055175014823,98.81384756549942
2,1.0,0.88,0.76,-1.0,210.96534178889985,103.19842058614758
5,0.24,1.5,1.0,-1.0,296.51226730102564,114.44964327819015
12,0.35,1.02,0.84,-1.0,273.3961048224847,122.24570485992321
15,0.48,0.4,1.0,-1.0,208.99004023977247,133.50903981669467
8,0.09,1.32,1.0,-1.0,256.5670385990263,113.1279259751875
19,0.71,1.07,0.82,-1.0,206.8052566123573,120.3929606400179
6,0.18,0.91,0.1,-1.0,216.33636384234293,77.22131772407829
10,0.86,1.01,0.79,-1.0,199.59031991674374,78.9503033930013
9,0.96,0.44,1.0,-1.0,196.49407806355052,87.03040676887818
20,0.28,0.74,0.99,-1.0,246.20488487356056,95.19832406097319
13,1.0,0.48,0.88,-1.0,206.86522699730156,80.16846827149696
7,0.6,0.8,0.88,-1.0,238.9551942735496,59.078378125931394
21,0.09,1.13,0.0,-1.0,196.6174923668475,57.44882011389024
1,0.0,0.66,0.0,-1.0,284.06074742046957,87.37921569653018
11,0.03,1.5,0.0,-1.0,258.53924798921776,94.55788771739772
16,0.03,1.5,0.0,-1.0,315.4927207759129,168.28167830450994
17,0.12,0.53,0.08,-1.0,207.59810677101777,95.55313287760663
3,0.64,0.93,0.75,-1.0,258.0956187272458,105.53422160690917
32,0.04,0.57,0.07,-1.0,267.6570591439903,91.67279488141241
36,0.06,1.5,0.0,-1.0,302.93246574843505,116.0830277527825
22,0.04,0.6,0.02,-1.0,220.91316192316043,118.20877965511946
28,0.25,1.3,0.02,-1.0,189.42377638773124,67.48865489311159
23,1.0,0.93,0.52,-1.0,141.00836081632377,78.14264756349678
26,0.88,0.24,0.97,-1.0,126.26408967157347,49.79446231415639
27,1.0,0.5,0.83,-1.0,147.38376636068645,67.05322797342893
33,0.38,0.49,0.04,-1.0,183.10635748092417,68.13301181734377
29,0.15,0.65,1.0,-1.0,206.3711840725205,110.609955979722
30,0.2,1.08,1.0,-1.0,291.58464912131296,119.97721698234496
37,1.0,0.16,0.83,-1.0,299.5928449976484,165.36242670189782
24,0.08,1.5,0.0,-1.0,332.0491523947351,178.77854960290443
31,0.45,0.81,0.0,-1.0,311.34754165286364,161.1274657189156
25,0.21,0.42,0.84,-1.0,199.58026170131447,98.4242153688355
86,0.72,1.5,0.6,-1.0,132.82035295226027,60.20194214940014
94,0.29,0.97,0.52,-1.0,223.2875020432436,70.56064888597137
68,1.0,0.36,0.88,-1.0,151.66141389669698,74.06614960955181
48,0.03,1.49,0.0,-1.0,117.49822430919946,51.55449537960594
96,0.87,0.75,0.0,-1.0,318.83575879110873,90.57192616502772
60,1.0,0.68,0.79,-1.0,148.39607702832114,72.3365350911031
58,0.13,1.04,0.96,-1.0,346.41709735199436,131.71358660784708
92,0.12,1.0,1.0,-1.0,321.07298928207047,102.02637602560478
97,0.33,0.58,0.0,-1.0,212.0773016686126,141.77932427332635
87,0.32,0.97,0.13,-1.0,199.48029652740658,85.9632541829141
44,0.78,0.52,0.87,-1.0,196.57900926997277,107.75570230653987
90,0.31,0.61,0.45,-1.0,139.7521987967153,67.3118483936353
54,0.48,0.72,0.88,-1.0,274.5732153753113,91.39418738131063
50,0.05,0.64,0.1,-1.0,245.13028703041053,91.43284028258152
70,0.6,0.56,0.88,-1.0,212.33962374602632,61.44899603557648
66,1.0,1.27,0.16,-1.0,215.98726494510137,136.28760827275
42,0.77,0.32,0.98,-1.0,150.11659612505727,66.3384715502903
88,1.0,1.31,0.0,-1.0,241.54492821596764,114.30255554902232
40,0.84,0.68,1.0,-1.0,227.09160125503828,140.8214786047929
74,0.52,0.64,1.0,-1.0,177.70034929511021,77.04396212542278
64,0.68,0.8,0.81,-1.0,116.5532260990865,77.91197320233988
45,0.31,0.83,0.02,-1.0,414.27741030641795,129.29582123036437
38,0.39,0.63,0.0,-1.0,336.7331723723492,131.80632700120958
84,0.72,1.4,0.88,-1.0,389.17079847245867,77.60436749818854
65,1.0,0.53,0.87,-1.0,203.73030951217115,87.59607012201408
72,0.21,1.07,0.74,-1.0,214.21450996481627,92.0040577718243
69,0.22,0.42,1.0,-1.0,227.9735250797416,88.60230448394783
80,0.24,0.93,0.75,-1.0,223.80866163457563,122.86847050917052
82,0.03,0.79,0.0,-1.0,327.4073771807299,146.4563782781462
81,0.08,1.5,0.0,-1.0,310.29515138521566,87.65172726858785
61,0.2,0.5,1.0,-1.0,224.98577740711366,84.94141196729467
67,0.84,0.91,0.81,-1.0,142.9921362079696,84.15184610770804
89,0.13,1.0,1.0,-1.0,239.21838443393685,129.6888674862104
76,0.05,1.48,0.1,-1.0,327.5737205131695,89.38928938355329
59,0.2,1.45,0.08,-1.0,304.7622451572912,111.2568294520859
43,0.88,0.72,0.83,-1.0,172.54800933497373,70.34231414911109
93,0.23,0.76,0.88,-1.0,202.054631058369,111.23399581359317
55,0.99,0.91,0.81,-1.0,148.24466135277123,37.80068672781913
85,0.39,0.71,0.42,-1.0,252.5695863688402,159.4856275105816
52,0.48,0.41,0.8,-1.0,323.4367678420202,123.20338393031888
78,0.45,0.84,0.83,-1.0,228.4819513333166,74.43524860966636
51,0.71,0.68,0.86,-1.0,197.32117311530038,74.89078972770112
49,0.97,0.36,0.88,-1.0,150.64554286874844,108.26964615894866
56,0.88,0.52,0.73,-1.0,240.5531787115249,175.6677915050336
46,0.22,0.0,0.61,-1.0,470.4357903145903,185.55988923183446
79,0.18,0.72,0.32,-1.0,240.13404806795882,88.78816521686072
62,0.28,0.92,0.0,-1.0,418.2333702031058,172.15468978593486
77,0.08,1.5,0.0,-1.0,307.5921731769202,131.70222845716168
63,0.55,1.12,0.88,-1.0,179.20232123291672,84.33836238936436
73,0.7,0.48,1.0,-1.0,210.71289924872755,96.6191390448106
57,0.31,1.13,0.11,-1.0,314.5798030821294,140.1046414643647
83,0.64,0.88,0.97,-1.0,171.79616262374316,104.34234277504913
71,0.29,0.67,0.32,-1.0,207.36841686161515,58.9916396654342
91,0.38,0.65,0.98,-1.0,271.58946889782436,105.77993173222812
39,0.81,1.24,0.63,-1.0,146.82329459663194,106.53782468981011
75,0.42,0.8,0.88,-1.0,267.60109121818346,95.8857308238784
95,0.36,0.84,0.47,-1.0,273.104438301878,107.79913331767308
53,0.69,0.4,1.0,-1.0,141.08219721510622,74.194058753075
47,0.89,0.28,0.99,-1.0,209.58962270577229,105.31887955855159
41,0.7,0.56,0.97,-1.0,168.38273121123774,86.89282357251521
108,0.92,1.28,1.0,-1.0,279.7131882482516,47.052939433007936
116,0.11,0.79,0.88,-1.0,249.75252606563615,84.67363724099461
164,0.24,0.63,1.0,-1.0,276.29789527059654,100.74840769487028
148,0.48,0.46,0.98,-1.0,222.41859303108694,87.13767365131375
140,0.32,0.48,0.96,-1.0,337.3939364100557,93.55117643593714
102,0.88,0.58,0.0,-1.0,316.25867860831505,105.06339049436987
170,1.0,0.76,0.87,-1.0,169.57340807754343,59.545104759534
110,0.27,0.79,0.0,-1.0,201.0086149468091,88.77888182437503
100,0.39,0.39,0.13,-1.0,175.65938797933137,70.18105163011681
122,0.88,1.06,0.78,-1.0,232.6347724588071,63.66572633893233
104,0.73,0.54,0.0,-1.0,208.99286827887644,78.2436064686839
168,0.32,0.59,0.0,-1.0,166.9024011060281,122.53579193928523
171,0.21,0.64,0.08,-1.0,226.20561268762415,97.3835322144697
166,0.88,0.3,0.98,-1.0,111.61326491981013,82.08930204689453
126,0.08,0.93,1.0,-1.0,256.0788195842407,118.25985564128256
103,0.68,0.46,0.84,-1.0,221.8105711484869,98.00175868240763
156,1.0,0.64,0.84,-1.0,150.1825165858428,75.58730028742852
117,0.36,0.69,0.98,-1.0,250.47326042735511,89.82413461125803
118,0.72,0.52,0.87,-1.0,92.3574815659264,47.485796830546384
134,1.0,0.63,0.88,-1.0,160.84136600215044,58.50946323462491
114,1.0,1.5,0.35,-1.0,79.5377969221243,126.22008100415124
130,0.84,0.68,0.76,-1.0,181.99164641304168,78.91124332435899
109,0.44,0.24,0.0,-1.0,218.25480804860163,90.65576609058003
162,0.52,0.6,0.31,-1.0,191.98406902663433,92.80480925705581
106,1.0,0.37,0.45,-1.0,271.5356639763571,98.67392035285448
115,0.72,1.07,0.76,-1.0,231.85697663173292,80.59793347990485
169,0.15,1.06,0.51,-1.0,159.76293135610678,89.15751721988478
