subID,alpha,theta,gamma,w,nll
18,0.51,0.91,0.24,0.05,469.4438484962483
14,0.9,0.61,0.79,-0.15,359.32640832114623
4,0.48,0.53,0.5,0.23,322.9238710526863
0,1.0,0.68,0.8,-0.29,274.8916031595612
2,1.0,0.95,0.78,-0.1,312.55050026613657
5,0.26,1.08,1.0,1.0,358.8102897709407
12,0.28,1.09,0.83,-0.39,390.16222981815775
15,0.32,0.32,1.0,0.24,336.99311689649636
8,0.12,1.15,1.0,0.32,363.0257234995548
19,0.83,1.1,0.82,-0.12,325.03444005805454
6,0.18,0.98,0.19,-0.15,286.8234219252504
10,0.92,0.88,0.78,0.36,262.1906736487783
9,0.97,0.51,0.99,-0.12,279.9386083237552
20,0.28,0.71,0.99,0.06,340.08388520591444
13,1.0,0.6,0.87,-0.21,282.7219181311141
7,0.6,0.72,0.88,0.13,294.53755977318247
21,0.09,1.22,0.0,-0.1,251.76312484561566
1,0.13,0.68,1.0,-0.2,362.3673591041127
11,0.04,1.5,0.0,0.08,352.1272790369753
16,0.03,1.48,0.0,0.96,483.20184651253203
17,0.72,0.78,0.76,-0.59,284.07704520892844
3,0.66,0.87,0.72,0.11,361.9074501365143
32,0.55,0.87,0.82,-0.65,318.19119318608216
36,0.07,1.5,0.0,1.0,391.2366230474492
22,0.06,0.54,0.06,0.12,336.35036936232666
28,0.29,1.28,0.11,0.08,256.4436915339953
23,1.0,1.25,0.4,-0.41,210.88341448380578
26,0.88,0.26,0.97,-0.02,175.78872126328574
27,1.0,0.53,0.87,-0.15,212.5606030356055
33,0.34,0.6,0.08,-0.23,244.73300421924455
29,0.45,0.4,1.0,0.36,277.8941015638893
30,0.14,0.78,1.0,0.88,334.26265633606334
37,0.2,0.63,0.06,-1.0,437.01538549053214
24,0.03,1.5,0.0,1.0,393.865445058747
31,0.14,0.86,1.0,-0.03,454.2463874101715
25,0.16,0.48,1.0,-0.17,291.2539029631368
86,0.71,1.5,0.61,0.08,192.60688862868673
94,0.3,0.94,0.53,0.11,292.8449091327078
68,1.0,0.44,0.88,-0.12,223.91837020428073
48,0.03,1.36,0.0,0.32,163.04917506436655
96,0.88,0.77,0.0,-0.1,408.4146674827795
60,1.0,0.83,0.77,-0.26,215.33635268152887
58,0.13,1.15,1.0,-0.2,473.5835247960355
92,0.04,1.5,0.0,-0.7,334.23972790922994
97,0.23,0.92,0.03,-0.73,292.7099700343144
87,1.0,1.2,0.0,0.01,274.43118424293374
44,0.79,0.64,0.88,-0.26,293.68762558000276
90,0.3,0.66,0.32,-0.21,204.85289887203328
54,0.58,0.82,0.88,-0.22,358.6354576921191
50,0.03,0.6,0.06,0.09,334.89287153258084
70,0.59,0.53,0.86,0.08,271.9893880272193
66,1.0,1.44,0.19,-0.32,349.2044712434602
42,0.73,0.36,0.88,0.32,209.38742176491397
88,1.0,1.24,0.0,0.09,355.14767928193635
40,0.8,0.64,1.0,0.16,363.2616001404831
74,0.56,0.69,1.0,-0.16,248.98215907825497
64,0.96,1.4,0.65,-0.68,166.78187248420258
45,0.08,1.5,0.0,-0.72,484.56625901820064
38,0.31,0.24,0.0,0.42,458.19131686816115
84,0.53,0.64,0.96,1.0,366.2747173024865
65,1.0,0.56,0.87,-0.04,291.14644891342607
72,0.26,1.04,0.7,0.09,304.705057479941
69,0.52,0.45,1.0,-0.23,303.31755375333347
80,0.26,0.93,0.75,0.0,346.50765916575057
82,0.29,0.86,1.0,-0.47,462.2115124218676
81,0.05,1.5,0.0,0.12,394.98996424224333
61,0.2,0.64,1.0,-0.27,289.83800710224557
67,1.0,1.04,0.81,-0.25,216.10138703310673
89,0.2,0.88,1.0,0.32,360.1278619429505
76,0.54,1.14,0.8,0.77,411.50368890015403
59,0.35,1.23,0.26,0.6,406.3337508562427
43,0.88,0.76,0.83,-0.08,242.29442800451827
93,0.08,1.0,0.84,-0.43,280.8825165260792
55,1.0,1.16,0.78,-0.32,177.87705297333426
85,0.36,0.88,0.39,-0.4,391.2218217228975
52,1.0,0.76,0.88,-0.59,400.75755271365324
78,0.42,0.85,0.85,-0.06,302.3435826522824
51,0.68,0.7,0.87,-0.09,270.67088422061624
49,0.51,0.37,0.99,-0.02,261.78142697433196
56,0.97,0.78,0.82,-0.55,377.6122413468827
46,0.12,1.5,0.0,-1.0,615.2663169576837
79,0.17,0.66,0.33,0.12,326.2896770847823
62,0.25,0.56,0.0,0.38,581.0006913257971
77,0.03,1.5,0.0,1.0,364.3268799660734
63,0.23,1.21,0.52,-0.32,254.1378731021827
73,0.7,0.44,1.0,0.08,304.1547638034484
57,0.33,1.5,0.2,-0.44,434.3250807230887
83,0.72,0.88,0.97,-0.04,275.24313536304044
71,0.31,0.65,0.48,0.08,261.8173030255527
91,0.24,0.57,0.99,0.16,378.48270877366605
39,0.8,1.21,0.76,-0.14,250.5135787442494
75,0.21,0.67,0.94,0.12,359.90041960232395
95,0.45,0.83,0.45,0.04,378.9769994012565
53,0.68,0.4,0.99,0.08,215.79224710079768
47,0.96,0.32,0.97,-0.06,313.1915709762437
41,0.84,0.48,0.97,0.08,251.64247379792485
108,0.37,1.33,0.0,1.0,184.1993777477595
116,0.08,0.64,0.88,0.28,315.1825770626375
164,0.04,0.66,0.05,0.1,365.7237726496901
148,0.59,0.63,0.73,-0.15,305.36643012682913
140,0.48,0.83,0.46,-0.41,400.1283918243642
102,0.24,0.95,0.0,-0.41,385.00630606426205
170,1.0,0.88,0.86,-0.17,226.1432341660585
