subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.48,0.92,0.24,0.04,321.3539752255131,148.1725180738684
14,1.0,0.58,0.83,-0.13,220.3651264001042,139.16623398274265
4,0.38,0.51,0.47,0.25,175.19869304848487,148.37896801231918
0,1.0,0.68,0.8,-0.29,181.31249991815778,93.57910324140342
2,1.0,0.98,0.75,-0.1,209.93572740737707,102.92215616710489
5,0.24,1.1,1.0,1.0,262.99291542203787,96.27929023707698
12,0.39,1.15,0.87,-0.37,272.2729422202006,119.04365327352468
15,0.32,0.32,1.0,0.24,203.5942454439326,133.39887145256375
8,0.11,1.16,1.0,0.31,251.40814624568577,111.90909443646267
19,0.77,1.08,0.83,-0.11,204.64343481100485,120.76463516577078
6,0.16,0.98,0.16,-0.14,212.92987051321438,74.60862525507055
10,0.88,0.88,0.78,0.36,190.96131597763437,71.73116611210351
9,0.97,0.51,0.99,-0.12,194.5487052660246,85.38990305773059
20,0.25,0.71,0.99,0.08,246.6684324895268,93.69593544843552
13,1.0,0.6,0.88,-0.21,203.77336840698024,79.07180344368223
7,0.6,0.72,0.88,0.13,236.24597214157149,58.291587631610966
21,0.08,1.22,0.0,-0.11,195.11191367359086,56.85610620601903
1,0.14,0.67,1.0,-0.2,281.0926283524638,81.39413939183054
11,0.04,1.5,0.0,0.08,257.1683706287198,94.95890840825555
16,0.02,1.49,0.0,0.96,319.5131095712388,165.070654879134
17,0.72,0.77,0.77,-0.58,193.97145233372854,90.18799826785941
3,0.66,0.87,0.72,0.11,256.1828315507713,105.724618585743
32,0.55,0.87,0.82,-0.65,240.4163125236365,77.77488066244568
36,0.06,1.5,0.0,1.0,302.93246574843505,88.4337621378809
22,0.03,0.54,0.06,0.12,220.07725955845174,116.81715316063406
28,0.25,1.27,0.03,0.08,189.3262038100083,67.61985080861221
23,1.0,1.22,0.45,-0.39,133.6108586261507,77.53944639895053
26,0.88,0.26,0.97,-0.02,125.99425894912935,49.7944623141564
27,1.0,0.54,0.86,-0.14,145.79548674229025,66.77180387567797
33,0.35,0.59,0.03,-0.22,179.02439634131798,65.82579873868555
29,0.4,0.42,0.99,0.36,177.7849767965385,100.81047842415371
30,0.14,0.8,1.0,0.88,230.30972710182084,104.23746623378693
37,0.16,0.64,0.0,-1.0,280.94449958511996,156.26842118040992
24,0.02,1.5,0.0,1.0,322.267199644821,72.65519364182636
31,0.46,0.77,0.0,0.1,310.08322402750036,160.63342644805834
25,0.16,0.49,0.96,-0.17,195.66989678099364,96.28431322946864
86,0.88,1.5,0.56,0.08,137.15262683837756,56.695766375219875
94,0.3,0.94,0.53,0.11,222.72733434254934,70.1175747901585
68,1.0,0.44,0.88,-0.12,150.17390910268,73.74446110160073
48,0.03,1.36,0.0,0.32,113.52882933002338,49.52034573434316
96,0.82,0.79,0.0,-0.12,319.2493563919188,89.3964401432284
60,1.0,0.81,0.78,-0.25,144.63984234840996,70.740979816388
58,0.12,1.15,1.0,-0.19,342.9913203269968,130.7764385434477
92,0.04,1.5,0.0,-0.7,243.90058564571024,90.33914226351969
97,0.24,0.91,0.02,-0.72,173.4529734085752,119.26220468244
87,0.31,1.02,0.14,-0.11,199.5715536947859,84.25441538512642
44,0.79,0.64,0.88,-0.26,188.83754257345126,104.85008300655153
90,0.34,0.66,0.32,-0.19,139.46208987061425,66.07371574324874
54,0.52,0.82,0.88,-0.21,269.0422468536489,90.92644853772438
50,0.04,0.6,0.1,0.08,243.57056395761316,91.35755728266788
70,0.6,0.52,0.88,0.07,211.09817892669747,61.16962022256896
66,1.0,1.44,0.18,-0.32,213.89720046172138,135.33662108722996
42,0.73,0.36,0.88,0.32,144.30602391341498,65.08139785149899
88,1.0,1.24,0.0,0.09,240.91522621400335,114.23245306793298
40,0.8,0.64,1.0,0.16,224.06119986820366,139.20040027227944
74,0.52,0.7,1.0,-0.12,173.40376993382645,74.99436001815714
64,0.8,1.04,0.78,-0.38,98.51539889337174,77.47713561451766
45,0.08,1.5,0.0,-0.72,365.0814580876504,119.48480093055024
38,0.3,0.24,0.0,0.42,329.35094283928316,128.89246406542404
84,0.52,0.72,0.95,1.0,311.8818461858147,56.05969358602422
65,1.0,0.56,0.87,-0.04,203.57640477115865,87.57004414226745
72,0.22,1.04,0.72,0.08,213.17646992799703,92.05291204926758
69,0.52,0.45,1.0,-0.23,213.48731198356614,89.83024176976734
80,0.24,0.93,0.75,0.0,223.80866163457563,122.86847050917052
82,1.0,0.68,1.0,-0.36,326.8367008707221,145.97120736759882
81,0.08,1.5,0.0,0.12,310.29515138521566,86.86554501038391
61,0.2,0.64,1.0,-0.27,210.16459642376356,79.673410678482
67,1.0,1.1,0.79,-0.28,134.01127141032143,81.68242119036128
89,0.21,0.88,1.0,0.32,233.88498758413238,126.24428169649086
76,0.48,1.14,0.81,0.72,310.7654879191645,101.20041760620211
59,0.28,1.28,0.19,0.48,296.253101639367,112.29826153639644
43,0.88,0.76,0.83,-0.08,172.2896597650151,70.00476823950316
93,0.08,1.0,0.85,-0.43,180.09511805158164,100.80744052543645
55,1.0,1.16,0.78,-0.32,141.7955081771918,36.081544796142445
85,0.34,0.88,0.36,-0.39,243.36700911983556,148.10743956520827
52,1.0,0.76,0.88,-0.59,281.0497139259628,119.70783878769045
78,0.44,0.86,0.83,-0.05,228.15238073778139,74.39300207710077
51,0.92,0.71,0.84,-0.1,199.96047123433505,72.77824763695453
49,0.97,0.38,0.88,-0.04,150.27554523521533,107.92030330114213
56,1.0,0.77,0.82,-0.54,211.55337337083688,166.18829320328933
46,0.25,1.0,0.0,-1.0,430.75833139132124,189.85246814577548
79,0.19,0.65,0.46,0.12,239.69234408220368,87.10946578348548
62,0.26,0.55,0.0,0.39,408.8821922694264,172.16389082575816
77,0.03,1.5,0.0,1.0,295.9926703082147,68.3342096578587
63,0.18,1.17,0.44,-0.32,169.68347683389527,85.10178001011764
73,0.69,0.44,1.0,0.08,208.12461037222346,96.03287885167374
57,0.22,1.5,0.05,-0.48,294.37995305908754,137.30696354096727
83,0.64,0.88,0.97,0.0,171.79616262374316,104.34234277504913
71,0.29,0.62,0.32,0.09,206.1496145883907,58.471791857336676
91,0.24,0.57,0.99,0.16,278.50488238707277,99.97782638659326
39,0.8,1.24,0.72,-0.12,144.49454604792618,107.00208800081755
75,0.42,0.72,0.88,0.12,265.1273125869057,95.35946794717334
95,0.36,0.83,0.48,0.02,273.4898573312815,107.5776419139074
53,0.68,0.4,0.99,0.08,139.46717571052193,76.32507139027577
47,0.92,0.31,0.98,-0.06,207.70784039399607,105.85728006091664
41,0.7,0.52,0.97,0.08,166.90920031956236,86.08981108625868
108,0.28,0.99,0.97,1.0,168.381732365352,43.779983416297576
116,0.1,0.65,0.69,0.31,236.83344395088127,78.53406608934445
164,0.05,0.65,0.05,0.11,263.9775825284493,101.80498610915222
148,0.48,0.62,0.82,-0.13,214.3177117260634,92.80246651147822
140,0.45,0.83,0.5,-0.4,305.4795729159946,94.81056913431901
102,0.23,0.95,0.0,-0.4,286.45850641109604,98.56117068532936
