trial,subID,sim_choice,sim_attack,k
1,0,"[4, 3, 6, 5, 5, 3, 3, 6, 7, 2]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,1,"[5, 5, 5, 4, 6, 5, 5, 6, 6, 2]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,2,"[5, 6, 5, 6, 5, 5, 5, 6, 6, 5]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,3,"[7, 5, 6, 5, 1, 7, 7, 5, 5, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,4,"[6, 2, 3, 2, 3, 5, 4, 3, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[7, 7, 8, 7, 7, 7, 6, 6, 6, 5]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,6,"[5, 4, 5, 6, 7, 6, 5, 6, 6, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,7,"[3, 5, 3, 5, 2, 4, 3, 6, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,8,"[6, 5, 8, 3, 8, 7, 6, 7, 7, 7]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,9,"[4, 4, 3, 1, 4, 1, 5, 3, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[4, 7, 7, 6, 4, 6, 5, 2, 6, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,11,"[8, 7, 8, 7, 7, 7, 6, 7, 7, 6]","[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,12,"[7, 6, 5, 6, 8, 5, 7, 6, 7, 7]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,13,"[4, 6, 3, 7, 6, 3, 5, 2, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,14,"[1, 3, 4, 4, 2, 2, 5, 4, 6, 2]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1
1,15,"[2, 1, 1, 5, 1, 4, 1, 1, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[8, 7, 7, 8, 7, 7, 7, 8, 6, 4]","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",1
1,17,"[5, 7, 6, 6, 5, 4, 5, 5, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,18,"[5, 5, 5, 5, 7, 8, 5, 5, 7, 6]","[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",1
1,19,"[8, 7, 7, 6, 6, 7, 5, 5, 4, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,20,"[5, 6, 7, 6, 4, 1, 7, 5, 4, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,21,"[6, 7, 7, 8, 6, 6, 6, 8, 8, 7]","[1, 1, 1, 1, 0, 0, 0, 0, 1, 0]",1
1,22,"[2, 5, 5, 4, 2, 3, 4, 4, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,23,"[9, 4, 7, 7, 1, 7, 6, 7, 8, 7]","[1, 0, 1, 1, 0, 1, 0, 0, 0, 1]",1
1,24,"[8, 8, 7, 5, 7, 7, 7, 7, 8, 6]","[1, 1, 1, 0, 0, 1, 0, 1, 1, 0]",1
1,25,"[4, 3, 3, 1, 5, 4, 5, 4, 6, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,26,"[1, 2, 5, 3, 2, 3, 3, 1, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
