subID,alpha,theta,gamma,w,nll
18,0.49,1.0,0.4,0.51,432.9446195462125
14,0.46,0.72,0.28,0.34,356.8710768159737
4,0.61,0.82,0.62,0.49,271.7855811611901
0,1.0,1.5,0.88,0.55,177.63454524616213
2,0.27,1.48,0.74,0.72,268.6618641773518
5,0.1,1.36,0.08,-0.24,386.71933447574895
12,1.0,1.31,0.09,0.56,404.6073750974401
15,1.0,0.75,1.0,0.48,315.6147931462192
8,0.0,1.29,0.0,-0.24,375.41550240397885
19,0.39,1.32,0.5,0.56,335.0478129069807
6,0.4,1.5,0.71,0.97,210.84438525158762
10,0.12,0.87,0.0,0.77,276.0045033684105
9,0.48,1.5,1.0,-0.29,295.91490446338497
20,0.09,0.82,0.31,0.24,363.51520616467815
13,1.0,1.17,1.0,-0.19,306.567394558825
7,0.5,1.2,0.74,1.0,268.8912832349162
21,0.16,1.23,0.0,0.56,238.29483379772014
1,0.01,0.72,0.0,1.0,330.82080320068286
11,0.04,1.5,0.0,0.1,351.88823181589476
16,0.04,1.5,0.0,0.4,453.5460045371361
17,0.17,0.63,0.09,-0.19,296.88330743621714
3,0.95,1.5,0.81,0.32,377.554461697732
32,0.1,0.84,0.72,-0.1,338.8807884609224
36,0.07,1.48,0.0,1.0,330.64960212153807
22,0.08,0.56,0.09,0.12,337.1280767048313
28,0.28,1.5,0.29,-0.17,237.539403645658
23,0.5,1.5,0.54,0.4,147.7944517403611
26,1.0,0.9,0.9,0.23,165.0379255122623
27,1.0,0.94,0.72,0.51,217.77466555509443
33,0.72,1.5,0.76,-0.08,204.68265802014952
29,0.85,1.21,1.0,0.43,268.52536879208355
30,1.0,0.91,0.19,0.88,379.39122339735496
37,0.25,0.54,0.08,0.54,423.4974917972612
24,0.08,1.5,0.0,1.0,344.650370940931
31,0.98,1.5,0.61,0.53,404.92246006466473
25,0.09,0.59,0.52,0.0,302.0555765191696
86,0.22,1.03,0.0,0.66,209.56355980936104
94,0.45,1.5,0.59,0.31,311.07000765499447
68,1.0,0.85,0.84,0.59,212.64279916571041
48,0.03,1.4,0.1,-0.21,166.54638904295425
96,0.94,0.75,0.0,0.14,407.1997278487927
60,1.0,1.44,1.0,1.0,166.65960974043873
58,0.18,1.5,0.7,-0.19,491.3154690616498
92,0.03,1.5,0.0,0.71,315.4258265106807
97,0.23,0.83,0.0,0.5,309.099847666193
