subID,alpha,theta,gamma,w,nll
0,0.48,0.45,0.15,0.65,294.7689407225477
1,0.01,0.75,0.0,1.0,262.77875145688154
2,0.15,1.5,1.0,0.64,267.8489816452568
3,1.0,1.23,1.0,0.61,253.51403286213102
4,1.0,0.62,1.0,0.6,287.34584854571597
5,0.12,1.5,0.1,-0.37,211.48646796166162
6,0.32,1.26,0.88,0.79,209.8492396846188
7,0.48,1.17,0.75,1.0,215.41961778932492
8,0.0,1.41,0.0,-0.15,282.9549843361008
9,0.19,1.12,1.0,-0.34,258.43339212682054
10,0.0,0.88,0.0,0.74,285.69261733745975
11,0.02,1.47,0.09,0.12,259.64871384996627
12,0.01,1.17,0.0,0.67,294.19554417536506
13,0.24,0.65,0.92,0.39,280.28215445048295
14,0.0,0.62,0.0,0.42,353.5285976906928
15,0.4,0.67,0.88,0.47,284.80466363416275
16,0.01,1.5,0.0,0.45,277.16710079733963
17,0.08,0.67,0.52,-0.23,324.15481483036194
18,0.21,0.9,0.54,0.59,315.154048057035
19,0.16,1.16,1.0,0.72,243.87008259944295
20,0.1,0.87,0.62,0.33,283.0873271261119
21,0.04,1.21,0.06,0.64,223.7527774715687
22,0.06,0.55,0.1,0.1,332.3257244062213
23,0.17,1.1,0.66,0.41,266.64509401155914
24,0.01,1.42,0.02,0.98,203.2479929884428
25,0.08,0.52,0.88,0.12,322.04269857362465
26,0.09,0.49,0.52,0.13,310.64938445909115
27,0.44,0.88,1.0,0.55,243.66983546904248
28,0.18,1.13,0.0,-0.52,277.90927246610147
29,0.09,0.96,0.88,0.44,304.07606631792135
30,0.34,0.9,0.39,0.99,209.6058982674025
31,0.52,1.18,1.0,0.62,263.5557503932373
32,0.1,0.84,0.72,0.0,287.0830745124203
33,0.33,1.11,1.0,0.27,230.13019854413335
36,0.01,1.5,0.02,1.0,234.53929382271824
37,0.07,0.58,0.0,0.61,316.3285886370048
38,0.19,0.41,0.0,0.6,306.2756299751436
39,0.08,1.0,0.61,0.68,280.96131615143463
40,0.08,0.88,0.72,0.5,307.5446135606697
41,0.51,1.3,1.0,0.27,284.502313904884
42,1.0,0.52,1.0,0.77,219.0921085777178
43,0.53,1.5,1.0,0.78,230.1377478265766
44,0.53,1.32,0.91,0.29,254.79324207274658
45,0.12,1.5,0.03,0.65,229.92745516031266
46,0.02,1.36,0.0,0.7,264.7269894994522
47,0.17,0.61,1.0,0.33,307.7749740393288
48,0.04,1.28,0.06,-0.16,261.56647466328525
49,0.23,0.84,0.88,0.36,303.82937496729954
50,0.01,0.63,0.02,0.36,320.8912151972112
