trial,subID,sim_choice,sim_attack,k
1,0,"[8, 5, 6, 7, 8, 7, 7, 8, 6, 8]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,1,"[4, 2, 6, 4, 5, 5, 4, 5, 5, 6]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,2,"[8, 8, 9, 7, 7, 7, 6, 8, 6, 9]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1
1,3,"[5, 8, 8, 5, 8, 6, 9, 7, 8, 8]","[0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",1
1,4,"[4, 7, 6, 7, 7, 8, 5, 6, 3, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,5,"[5, 7, 5, 7, 5, 6, 7, 6, 8, 7]","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1
1,6,"[7, 8, 8, 8, 7, 7, 8, 8, 5, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,7,"[7, 6, 8, 6, 7, 5, 7, 7, 7, 8]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1
1,8,"[7, 7, 7, 6, 6, 6, 6, 9, 4, 6]","[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1
1,9,"[6, 8, 8, 6, 8, 8, 6, 8, 8, 7]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,10,"[5, 5, 7, 2, 6, 5, 6, 7, 5, 6]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,11,"[6, 3, 8, 7, 7, 8, 5, 5, 9, 8]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1
1,12,"[8, 7, 7, 7, 6, 8, 8, 7, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,13,"[6, 6, 8, 5, 6, 6, 8, 5, 7, 7]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1
1,14,"[4, 5, 5, 2, 4, 5, 6, 4, 4, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1
1,15,"[5, 4, 4, 6, 5, 1, 6, 7, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,16,"[4, 8, 7, 6, 7, 8, 6, 7, 6, 8]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1
1,17,"[6, 4, 5, 4, 3, 4, 2, 4, 5, 5]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1
1,18,"[6, 5, 6, 7, 6, 4, 7, 7, 6, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,19,"[6, 7, 7, 6, 6, 8, 7, 7, 7, 8]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1
1,20,"[7, 4, 2, 4, 3, 5, 5, 6, 1, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,21,"[6, 7, 8, 6, 8, 9, 2, 8, 6, 6]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1
1,22,"[3, 2, 2, 5, 3, 2, 4, 1, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,23,"[7, 7, 6, 7, 7, 8, 7, 8, 8, 7]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 0]",1
1,24,"[7, 5, 6, 9, 6, 8, 8, 5, 7, 7]","[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",1
