subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.92,0.1,0.99,0.52,393.35622561470547,126.44965288370781
14,0.19,0.64,0.53,0.35,209.93278812588386,135.3066963454786
4,0.15,0.43,0.72,0.48,181.83309771593437,120.09519081145206
0,0.57,1.0,0.7,0.64,159.2688491434743,57.861562277858134
2,0.18,0.89,0.85,0.69,212.15019020626525,69.10283112544018
5,0.03,1.35,0.03,-0.32,286.7973877303629,112.1687842099064
12,0.08,1.12,0.72,0.55,276.6340051375756,105.82506844943971
15,0.55,0.28,0.88,0.41,181.68319414599807,127.49359285640065
8,0.13,1.29,0.68,-0.4,261.8327883719763,92.89423032414138
19,0.23,1.03,0.85,0.55,212.17500746393029,94.67588476718815
6,0.22,0.98,0.86,1.0,194.8763793079213,27.113023843724285
10,0.29,0.8,0.88,0.76,187.22654706074974,46.479542937554456
9,0.24,0.46,0.99,-0.12,201.53492611680412,86.60197688714952
20,0.12,0.68,1.0,0.0,243.16364807756793,99.05145141487213
13,0.14,0.52,0.88,-0.14,208.13864444366695,80.7300643134694
7,0.21,0.75,0.86,1.0,229.07123259676678,19.245368368644893
21,0.22,1.18,0.54,0.86,196.83257810817094,53.214237725456606
1,0.01,0.72,0.02,1.0,281.3818053984417,49.15240439811924
11,0.02,1.5,0.0,0.28,253.82588767371314,94.61905066968818
16,0.88,0.32,1.0,0.32,362.70307693067735,143.11341731400393
17,0.03,0.56,0.1,-0.12,200.77378588385736,101.27447920189286
3,0.38,0.73,0.86,-0.28,253.15907242820143,104.8186812581425
32,0.01,0.65,0.0,-0.08,255.33925854675934,101.15024212129822
36,0.02,1.48,0.0,1.0,299.923115160652,28.164963190508775
22,0.03,0.55,0.1,0.12,215.94138724230135,119.71497331465716
28,0.09,1.3,0.18,-0.16,194.01042565168459,74.01336838413927
23,0.17,1.0,0.38,0.81,139.0097365031052,52.32534364987449
26,0.52,0.15,0.98,0.12,143.80230826183995,62.20101228207085
27,0.69,0.56,0.83,0.4,127.07827008486115,47.465515322033546
33,0.12,0.56,0.28,0.0,176.36944499923484,66.91112350220351
29,0.26,0.28,1.0,0.39,182.0303133498306,107.54516324916932
30,0.08,0.86,0.72,0.77,238.703558698189,123.13723809909311
37,0.88,0.04,0.99,0.51,303.0778023330476,147.20571741027192
24,0.02,1.5,0.0,1.0,337.4857815613722,12.601218546195947
31,0.1,0.76,0.0,0.48,288.2401597158704,133.38301254988932
25,0.01,0.52,0.02,0.0,198.76374676725655,110.15387817919522
86,0.17,1.28,0.66,0.49,147.33036549855103,48.4290633155344
94,0.13,1.08,0.52,0.36,230.6320766842074,69.71976319157994
68,0.41,0.33,0.88,0.67,158.13448841195094,61.06088890908372
48,0.01,1.4,0.0,-0.13,123.75234480103603,57.46762893964262
96,0.17,0.76,0.0,0.14,321.22688258655256,84.6235876228069
60,0.39,0.73,0.79,1.0,150.70813680067303,23.16940776510969
58,1.0,0.08,1.0,0.3,380.6138511648191,127.50496655063534
92,0.01,1.5,0.0,0.72,244.66696340773018,71.60714011693412
97,0.16,0.82,0.5,-0.47,199.24495887345637,109.15315862799952
87,0.13,1.0,0.0,1.0,184.01334515302796,88.82280237639692
44,0.32,0.6,0.84,0.23,210.08282426078443,110.42356275914302
90,0.36,0.27,0.98,0.34,114.53173194977042,89.65066898771632
54,0.13,0.74,0.7,0.28,283.3671369236681,89.43038575618952
50,0.0,0.63,0.0,0.29,243.14545360666065,89.69203522616809
70,0.11,0.6,0.69,0.92,203.9216535197167,48.05885806227373
66,0.17,1.5,0.08,0.46,212.02608280472785,102.40346005376999
42,0.38,0.4,0.88,0.54,135.53203858045117,64.66079103012464
88,0.09,1.08,0.54,-0.39,258.7830770230226,79.70919324165783
40,0.0,0.79,0.0,0.47,229.97739191562843,129.4568089881046
74,0.0,0.87,0.0,0.76,191.76368939006792,65.00952814778717
64,0.3,1.09,0.7,0.67,119.11530513110826,62.79381188194058
45,0.92,0.52,0.89,0.64,479.08804561413575,98.7721865276008
38,0.13,0.44,0.0,0.51,304.9898986892627,113.34319576640827
84,0.91,0.0,0.99,1.0,331.68894958491916,42.15936809283069
65,0.29,0.56,0.86,0.21,197.95077174695936,71.83895644648523
72,0.09,1.13,0.77,-0.07,212.78074915591904,91.94442174829346
69,0.19,0.53,0.88,0.85,210.40629876840435,52.52985570661604
80,0.15,0.92,0.88,0.08,229.7525952912861,128.17924637907998
82,0.92,0.1,1.0,0.48,377.02512094784845,133.36802229568303
81,0.96,0.12,1.0,1.0,487.0404495294862,47.13267333726833
61,0.16,0.52,1.0,0.64,208.085190172768,69.82808943301087
67,0.21,0.88,0.81,0.12,150.14901553951512,83.520608576325
89,0.08,0.9,0.88,0.68,239.3826963142159,106.29128582222461
76,0.01,1.48,0.02,0.08,327.7807965389493,91.43681425597418
59,0.08,1.24,0.15,-0.32,293.9169376328754,110.76359324856226
43,0.36,0.72,0.84,0.7,173.3596107383768,44.38569873624576
93,0.0,1.07,0.0,0.52,182.8558443811425,113.46860533477626
55,0.3,0.88,0.81,0.61,162.0153247685426,48.76063294101345
85,0.1,0.82,0.52,0.44,246.79130314766928,147.18145571087257
52,0.88,0.06,0.98,0.12,302.7639323004505,144.74013587355884
78,0.11,0.87,0.84,0.65,227.61039817242806,55.30806931274051
51,0.33,0.77,0.83,0.09,198.48647356470093,71.77634972847947
49,0.22,0.29,1.0,0.22,151.31141067359957,103.90933672372417
56,0.22,0.64,0.78,0.49,230.72762319659049,155.21933493533245
46,1.0,0.1,0.96,0.52,462.3330256420176,147.54687430200795
79,0.05,0.71,0.0,1.0,236.0175538030347,20.893793042783543
62,1.0,0.1,1.0,0.08,371.5308581394751,141.18421650406518
77,0.88,1.5,0.95,0.52,433.60746436170626,150.90508294682505
63,0.1,1.28,0.6,0.42,164.114341280448,88.28433348738952
73,0.26,0.4,0.99,-0.12,205.71313900364953,100.33121862293261
57,0.11,1.32,0.64,-0.35,283.43389679396853,111.21352817252833
83,0.13,1.28,0.68,0.42,166.6776032414792,105.02191748600187
71,0.28,0.52,0.94,0.92,195.6606309709432,38.711583283866446
91,0.16,0.52,1.0,-0.04,267.2735455264888,103.97281260908397
39,0.11,0.9,0.49,0.62,161.161959262348,82.2650075792118
75,0.09,0.72,0.88,0.4,263.8356502912472,81.68836373164294
95,0.12,0.8,0.22,0.69,241.88035195143564,70.62381848656845
53,0.19,0.72,0.42,0.6,136.6119170922652,68.96524926971688
47,0.52,0.32,0.93,0.36,193.38825778638346,115.35378176015786
41,0.32,0.32,0.98,0.16,164.2616449376693,80.5351486675682
108,0.18,1.26,0.7,-1.0,109.26018858593434,27.258229689215124
116,0.01,0.73,0.02,0.61,236.07270477321418,81.40692992234115
164,0.01,0.68,0.02,0.21,264.27563942791716,101.72144303895607
148,0.16,0.48,0.86,0.08,217.9141133682603,97.78045908596201
