subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.17,0.86,0.27,0.49,318.9369264908527,117.0995413935367
14,0.21,0.64,0.58,0.32,215.1432729455003,135.82216693096805
4,0.25,0.45,0.7,0.49,179.0913628892406,118.02317327757666
0,0.78,1.19,0.66,0.65,139.89129038718164,57.41433208695295
2,0.34,0.88,0.88,0.71,208.44052894857674,69.469758439441
5,0.15,1.12,0.88,-0.35,276.9272471844681,130.2271308129545
12,0.34,1.3,0.6,0.56,276.1000420078198,104.3554297592019
15,0.88,0.28,0.88,0.4,182.41687246953134,124.62538193956709
8,0.14,1.32,0.28,-0.32,263.1262934382503,83.2123733913397
19,0.34,1.08,0.84,0.52,205.9302489014342,91.91471408632208
6,0.26,0.96,0.86,1.0,196.20029945519732,27.113023843724285
10,0.42,0.77,0.88,0.75,188.4522957115603,47.0991077778123
9,0.28,0.51,0.99,-0.08,201.02695538321456,89.9267949361839
20,0.21,0.64,1.0,0.08,242.92596440983036,97.55117350620516
13,0.29,0.56,0.88,-0.16,201.5866177187224,82.0474956171928
7,0.29,0.76,0.87,1.0,226.84053639725798,19.245368368644893
21,0.39,1.23,0.6,0.73,185.06538056457882,51.12989384882808
1,0.01,0.72,0.02,1.0,281.1387091198028,49.15240439811924
11,0.02,1.5,0.0,0.2,256.9656956434023,95.60423440815947
16,0.63,1.1,0.94,0.39,363.24183339059977,128.74443413834553
17,0.11,0.62,0.48,-0.25,195.46636131750031,100.29782745526167
3,0.39,0.81,0.87,-0.2,249.85507677936943,97.55113152634283
32,0.0,0.66,0.0,-0.09,257.1285850468751,100.28550278106165
36,0.21,1.2,1.0,1.0,314.44238838492,28.164963190508775
22,0.04,0.55,0.1,0.12,215.12104295228497,119.34971833650403
28,0.18,1.29,0.24,-0.1,187.00180213927993,70.34206210778771
23,0.34,1.21,0.39,0.8,133.145391548583,52.01056997866618
26,0.52,0.16,1.0,0.12,137.52855340658192,59.585317228374926
27,0.71,0.52,0.88,0.52,135.6986539032964,54.517238058301814
33,0.37,0.58,0.43,0.0,177.8459270334901,61.869367753466925
29,0.15,0.47,1.0,0.4,181.68609035694533,112.34665927743387
30,0.13,0.88,0.84,0.67,231.58929815725875,118.62841951810219
37,0.32,0.39,0.02,0.51,287.5070736203808,135.41610608891853
24,0.08,1.5,0.0,1.0,355.93486295988816,12.601218546195947
31,0.2,0.74,0.0,0.41,293.1579739201625,130.32054582235162
25,0.08,0.42,0.8,0.0,198.16653225819672,103.43830587393163
86,0.41,1.5,0.67,0.44,143.09129575561872,45.99065085917637
94,0.15,1.0,0.68,0.31,227.4814762460236,69.66565998818827
68,0.44,0.36,0.88,0.6,155.2723521336948,59.689525821584034
48,0.01,1.39,0.0,-0.13,116.72527416175828,56.6850034086352
96,0.28,0.73,0.0,0.16,321.63489549994006,92.67463337472068
60,0.53,0.9,0.69,1.0,145.4740720637083,23.16940776510969
58,0.08,1.08,0.88,-0.22,350.34201388614684,120.85144255526131
92,0.01,1.5,0.0,0.72,244.4562403577809,71.71992295497245
97,0.11,0.87,0.08,0.51,171.25765820148038,133.0220030078046
87,0.83,1.5,0.0,1.0,148.65437547187423,88.82280237639692
44,0.34,0.64,0.85,0.19,207.60301243822764,105.04614239465991
90,0.48,0.3,0.95,0.28,108.24490539285962,82.93126560603777
54,0.21,0.74,0.88,0.29,281.50252567528275,91.39703950310034
50,0.01,0.61,0.02,0.28,243.18254220347112,88.85901324373366
70,0.15,0.6,0.72,0.89,203.2484193102668,47.923590353463595
66,0.26,1.5,0.0,0.51,213.0499099762427,106.02278599817481
42,0.44,0.28,0.95,0.52,135.06654467978902,62.778803904821984
88,0.27,1.12,0.68,-0.45,256.15954642971525,81.24952508889109
40,0.24,0.64,1.0,0.3,224.69046090642027,123.33923490600341
74,0.19,0.76,0.97,0.68,184.16622492013818,63.164713296091406
64,0.42,1.24,0.67,0.66,98.9503037414515,60.526248088178384
45,0.08,1.5,0.0,0.68,391.36050418029026,100.05398693950235
38,0.17,0.44,0.0,0.45,317.04858061711764,111.39593985456564
84,0.28,0.39,1.0,1.0,306.0022169341423,42.15936809283069
65,0.5,0.6,0.84,0.28,197.9573547003983,74.23720357959003
72,0.15,1.16,0.8,-0.1,209.2927359554788,89.83729073532008
69,0.32,0.52,0.88,0.85,208.12109998037266,52.476712260413144
80,0.25,0.88,0.93,0.13,228.7091302108082,130.3828442271623
82,0.09,0.86,1.0,0.61,296.2798163390871,148.69868822071442
81,0.01,1.5,0.0,0.96,302.10179425099653,46.96589901139591
61,0.1,0.6,1.0,0.59,208.682685144352,70.69045292948277
67,0.35,0.92,0.8,0.2,142.87056801162927,92.25070598755185
89,0.08,0.93,0.88,0.61,235.11806314802354,102.98104663459831
76,0.02,1.48,0.02,0.08,329.26390287846766,89.39818183776133
59,0.13,1.24,0.37,-0.17,285.81794624442915,114.25042085432345
43,0.6,0.72,0.83,0.66,168.06283381368078,43.315060711116196
93,0.0,1.07,0.0,0.52,182.8558443811425,113.46860533477626
55,0.39,0.95,0.79,-0.36,154.7335840044093,37.53742699955699
85,0.13,0.8,0.44,0.41,245.3079518323459,143.81569430313056
52,0.71,0.48,0.87,-0.25,292.6985650947504,126.38280750906434
78,0.15,0.86,0.86,0.64,226.06094053091155,55.379882593260945
51,0.52,0.72,0.85,0.08,203.57389503685488,71.06735928398393
49,0.44,0.24,1.0,0.26,146.97402936978108,100.61462952491006
56,0.35,0.62,0.81,0.52,223.67576063476253,165.1379026288045
46,0.12,1.32,0.0,0.65,415.79563985353406,158.50025241071893
79,0.08,0.69,0.0,1.0,236.04717696797016,20.893793042783543
62,1.0,0.64,0.01,0.31,418.53351935629007,147.1026819496865
77,0.02,1.5,0.0,0.68,294.20428363596443,127.86505802923124
63,0.13,1.19,0.68,0.32,165.49554699839885,85.97171900785082
73,0.38,0.44,0.99,0.13,206.80889062549485,96.85132025808282
57,0.18,1.45,0.68,-0.32,283.9004208025359,109.92627004579921
83,0.18,1.28,0.6,0.41,163.1307584089393,100.85254434422532
71,0.31,0.47,0.97,0.93,197.32794661105862,38.8319962277296
91,0.22,0.6,0.98,-0.12,264.2244907020059,101.945120010629
39,0.2,0.96,0.52,0.55,155.77354324335917,78.07378949988991
75,0.13,0.76,0.8,0.41,264.79283987695766,81.25328492378064
95,0.17,0.81,0.29,0.68,247.0727638254653,70.43294702598438
53,0.2,0.7,0.32,0.61,136.2115545614493,70.63686663080703
47,0.52,0.32,0.94,0.27,197.10802638141968,106.49304711347824
41,0.28,0.56,0.88,0.23,170.01763454735377,86.81404290136126
108,0.29,1.32,0.64,-1.0,101.50760053788558,15.127616494962462
116,0.01,0.74,0.02,0.61,236.4667564513479,81.34436962841775
164,0.01,0.68,0.02,0.21,263.5778319758913,102.31768980085073
148,0.19,0.53,0.82,0.05,215.90970237235973,99.38620998540846
140,0.17,0.79,0.3,-0.08,298.179462383861,115.22599768979767
102,0.15,0.97,0.08,1.0,273.64053446542044,42.66144928492877
170,0.48,0.73,0.86,0.24,163.9981156842226,60.90175679566104
110,0.43,0.88,0.85,0.56,176.57152798019118,85.30354363248445
100,0.18,0.38,0.57,0.0,174.30971392935612,70.76900947737388
122,0.31,1.28,0.71,0.38,216.39215470373085,61.41182810762924
104,0.42,0.68,0.0,0.44,182.5297517824866,72.76142384893822
168,0.15,0.7,0.28,-0.32,153.25583179526032,132.54791964714843
171,0.11,0.7,0.28,0.63,232.2251569207926,70.55450112494141
166,0.32,0.32,0.98,0.08,136.2482789217815,74.47245078883915
126,0.0,1.46,0.0,0.73,215.556006645145,118.96367919286477
103,0.02,0.86,0.06,0.88,198.94517872579613,70.09435647751371
156,0.48,0.54,0.87,0.32,146.86639393717692,66.75030732943884
117,0.26,0.72,0.88,0.7,250.88760351055265,65.10253605463795
118,0.48,0.48,0.88,0.01,80.81979932815499,47.24531767320005
134,0.59,0.68,0.86,0.77,148.89579467022494,53.485660260749206
114,0.43,1.5,0.48,-0.44,81.56437155075034,104.8674156072334
130,0.24,0.67,0.32,0.49,171.88485714881972,75.53664335069996
109,0.48,0.49,0.94,-0.72,135.15638892085602,41.17671903638234
162,0.23,0.52,0.04,0.48,190.69233323330755,83.82011431204478
106,1.0,0.64,0.44,0.41,225.27862443105747,84.97639012902619
115,0.66,0.99,0.7,0.08,245.0982710558024,65.97263434266276
169,0.12,1.28,0.48,0.16,159.4432931723414,84.33814506713497
128,0.11,0.96,0.72,0.42,260.88296127645015,68.22728978158898
154,0.48,0.68,0.87,0.12,137.40829133695348,87.98398142913918
132,0.08,1.5,0.0,0.69,361.4134798629617,95.81081206405219
120,0.26,1.35,0.78,0.28,169.8032878238409,122.83892645505838
105,0.09,1.09,0.88,0.58,246.56317486948836,87.6113262172056
133,0.44,0.86,0.79,-0.35,274.2923445654784,56.52664978106458
107,0.84,1.5,0.08,0.29,223.2403687254284,73.18374873582542
141,0.4,0.91,0.88,1.0,355.6245493060962,29.921804320262392
119,0.19,1.31,0.35,0.54,146.59594828113129,82.82952045111364
155,0.1,0.48,1.0,0.83,245.08882446098582,67.59829341459924
142,0.21,0.75,0.24,0.33,349.1482843072685,79.93092669144984
98,0.14,0.77,0.88,0.35,290.3737163913198,99.61796559755788
136,0.56,0.32,0.98,0.6,175.73904053802414,44.57427967612094
150,0.14,0.14,0.41,0.11,166.3923297806379,72.0918367223836
138,0.44,0.96,0.72,0.32,148.97261971272854,72.27026029534518
152,0.11,1.28,0.12,0.28,129.65270538942053,71.39808620394268
160,0.13,0.84,1.0,0.35,238.8470509396721,93.3476821362608
135,0.25,0.46,1.0,1.0,218.69603353284947,23.180392254583673
123,0.32,0.42,0.88,0.09,200.1699043754911,90.61978841672897
137,0.36,0.48,1.0,1.0,218.01481923282742,27.400264197034637
129,0.78,0.43,0.86,0.16,138.66806192418792,83.61462722764041
112,0.14,0.88,0.0,1.0,341.7181407679007,49.01026994920693
149,0.08,1.14,0.77,0.19,150.1335933655133,81.0952589163598
157,0.08,0.85,0.06,0.28,154.1933696061458,73.69541117551474
151,0.01,0.81,0.02,0.01,219.59673898935213,90.09795510050934
124,0.4,0.52,0.87,0.0,161.17189669730797,79.63999602109527
144,0.3,0.78,0.86,0.74,156.7490612268656,52.588958277736715
163,0.47,0.28,0.99,0.34,111.03710967947136,43.86498087851358
158,0.32,0.54,0.78,0.3,155.68642085097153,85.81252669188652
159,0.12,0.29,0.14,0.1,151.3042398543531,87.47510877686106
165,0.07,0.66,0.1,0.94,245.15063472044164,52.47848146389815
127,0.5,0.4,0.95,0.4,162.35372667202762,68.17538419242624
139,0.0,0.0,0.0,0.44,160.27005930793433,105.7237135604417
167,0.52,0.02,1.0,0.96,222.09779676304743,60.33854838618828
101,0.38,0.3,0.8,-0.29,279.58983887289736,138.67520521204008
146,0.31,0.12,1.0,0.4,239.85247798067928,100.21828918799157
125,0.0,0.74,0.0,0.19,231.51607577749022,98.61234887068879
131,0.0,0.73,0.0,0.0,277.43342747932974,94.39184721710569
143,0.13,0.63,0.88,0.02,216.33060128562002,110.8786142750261
113,0.24,0.88,0.73,0.69,152.56800255556203,52.84288629265487
161,0.28,0.53,0.88,-0.56,186.24197991159028,72.34214984319694
145,0.11,0.69,1.0,0.88,241.95828458818832,48.535344838923855
153,0.86,1.5,0.72,0.59,226.96440187328275,107.50839519753465
99,0.0,0.66,0.0,0.31,226.08588307753558,110.30808339898947
111,0.32,0.33,1.0,0.04,241.32930877762962,74.07222636347244
121,0.88,0.21,0.88,0.1,150.53215739241563,76.24623515304931
147,0.1,0.67,0.36,0.08,235.98123324112618,101.23198659591934
222,0.11,0.77,0.1,0.37,189.93914837970541,76.75013440492683
188,0.63,1.31,0.5,1.0,112.46978289601039,21.186807460068895
250,0.39,0.64,0.84,0.1,163.02016754142733,84.02530189198515
238,0.22,0.94,0.83,-0.23,174.27849654994682,98.32297885226947
216,0.22,0.0,0.0,0.57,358.07133613428556,87.41684549000342
248,0.4,0.67,0.37,1.0,112.351846705909,32.21466632334915
228,0.36,0.28,1.0,0.33,154.3580175935635,78.0889726050006
234,0.35,0.76,0.85,0.88,132.54123180138052,40.92009725924908
229,0.39,0.77,0.82,0.57,153.12781000417067,49.32566054761356
220,0.01,0.57,0.02,0.19,223.4602579365349,102.37810769288322
239,0.1,0.88,0.2,-0.26,328.2365523147477,112.21219436382661
178,0.28,0.94,0.87,-0.5,234.88670075570838,73.40155301612081
176,0.19,0.25,0.73,0.41,249.44038097221153,130.22180427484327
206,0.12,0.96,0.0,0.28,71.19009193306488,17.274555221347295
196,0.27,0.96,0.88,0.48,205.87552097959534,91.28608958995689
200,0.09,0.97,0.84,0.38,257.73607342600457,131.4094453368053
172,0.12,0.72,1.0,-0.12,216.3811674277434,142.52412607854512
194,0.4,1.03,0.78,0.88,135.219521592572,59.45712643441396
230,0.0,0.73,0.0,0.16,231.7659447195552,121.23132133450864
224,0.08,0.72,0.0,1.0,298.88489050334573,61.892444114048786
226,0.36,0.68,0.85,0.47,207.1332347115644,73.31647386778282
180,0.6,0.91,0.81,0.75,209.49709598984973,52.53328300802086
177,0.17,0.68,1.0,-0.54,261.95463575754314,97.04598418791078
225,0.18,1.01,0.01,1.0,352.4930592829954,52.361845201630004
174,0.14,1.28,0.72,-0.2,224.15072937994944,108.56756193078004
221,0.3,0.75,0.88,0.19,177.47629394565428,99.4315628802566
204,0.6,0.53,0.77,0.73,193.14064985905515,141.06431303855078
246,0.1,0.88,0.48,-0.21,209.96388306275452,87.88252985111778
227,0.39,0.44,0.98,0.0,178.76079476102794,72.35288962188666
240,0.08,1.5,0.0,1.0,309.2960805461354,46.50883612547008
190,0.4,0.37,0.88,0.63,162.70039992028092,61.650988330123255
173,0.12,0.29,0.08,0.72,299.58413769736376,86.16857985955717
184,0.84,0.28,0.88,0.25,203.2602847987439,78.99706872612296
186,0.11,0.81,0.26,0.45,269.6438808070045,120.85086505558871
201,0.08,0.81,1.0,0.16,258.34052737525695,121.34491751430792
218,0.16,0.92,0.88,0.32,227.23733478360643,113.27101729224225
251,1.0,0.46,0.68,0.46,204.28459929361478,102.54730327483341
252,0.23,0.68,0.95,0.26,201.18644785858783,77.8397414472155
236,0.34,0.6,0.87,0.15,178.27657714489814,89.22275007217536
192,0.56,1.1,0.74,0.76,186.25519520436293,72.56989879310792
175,0.52,0.87,0.72,0.37,139.29900386666444,74.80684842462937
219,0.18,0.54,0.0,0.21,289.09534672484864,88.9338107993855
193,0.34,0.31,0.0,0.69,144.74964719871355,57.86590414733122
235,0.52,1.28,0.68,0.24,125.36996408988685,67.16533205331534
191,0.26,0.84,1.0,0.36,238.0429816197505,105.91225404921076
253,0.48,1.22,0.67,0.0,223.50113476554506,59.33351962897257
232,0.36,0.5,0.84,0.6,201.96479784821622,86.57310983779725
212,0.16,0.6,0.69,0.42,216.54924897661803,98.6533679784883
179,0.71,0.66,0.74,0.59,144.99393922122846,59.82026917588689
242,0.34,1.01,0.7,0.3,155.7826992121064,71.79708609254071
198,0.49,0.24,0.99,0.28,189.9098347348658,69.67055504691245
182,0.16,0.62,1.0,0.87,208.75270632257178,72.79467977339911
202,0.03,1.28,0.0,-0.13,269.6074829996724,103.83776170907532
195,0.06,0.19,0.0,0.43,173.43406105954196,63.89831404409796
185,0.47,0.59,0.33,0.61,125.6445626226219,78.81174240640314
223,0.52,0.17,0.97,-0.33,163.86567168096778,70.72698647616875
247,0.25,1.32,0.12,0.64,212.47392452852623,93.63064779243913
189,0.04,0.57,0.1,1.0,307.5711999989866,44.09954587126583
208,0.39,1.05,0.42,0.01,194.01682787012825,52.92042491433741
209,0.28,0.59,0.99,-0.24,196.07423242086847,82.64805387331778
243,0.48,0.28,0.87,0.44,184.05205243867877,85.44640717428476
244,0.01,0.62,0.0,0.08,255.137147704826,97.63373472754066
241,0.08,0.82,0.68,0.93,160.17343669095501,58.55802164901716
233,0.48,0.51,0.62,0.21,195.6930321895645,124.88382356332252
210,0.58,1.5,0.61,0.79,127.41359797029682,56.79878301139471
231,0.02,0.96,0.1,0.64,204.27686780003012,54.0751462797971
207,0.88,0.68,0.77,0.4,156.77308646817997,92.86413834984212
187,0.14,0.39,0.83,0.35,265.6574959360131,100.26776289284386
197,0.0,0.47,0.0,0.72,287.2764913111059,72.51989143241919
249,0.53,0.32,0.97,0.0,142.443050246101,46.614163405009265
245,0.71,1.4,0.66,0.31,341.8091076664846,113.57545117511054
217,0.37,0.18,0.88,0.37,187.53632731134738,79.66682401030047
205,0.29,1.08,0.72,-0.25,206.71124645088415,96.10882832635932
211,0.26,0.36,0.1,0.49,159.58763386160697,60.342310936516306
181,0.15,0.96,0.06,1.0,185.72309649943367,39.12698328931863
203,0.14,0.93,0.86,0.95,275.5735149369185,86.78935972085519
199,0.02,1.5,0.0,0.65,367.2277760230716,122.38879642545216
213,0.0,0.58,0.0,0.39,263.08253970456116,92.42565877059393
237,0.16,0.53,0.68,0.72,201.89566995660084,60.69880756767978
183,0.56,0.06,1.0,0.72,223.92032309437093,69.17424582150839
