subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.52,0.92,0.23,0.38,321.146070759648,144.5431445490311
14,0.88,0.62,0.75,0.64,216.95689688483495,121.83790779953503
4,0.79,0.54,0.68,0.53,170.88665949487043,121.9381456324584
0,1.0,0.68,0.8,0.63,181.31249991815778,65.47686906921139
2,1.0,0.88,0.88,0.84,205.79885871938038,77.67062027448699
5,0.25,1.13,1.0,-0.29,263.87760467690697,102.09999551581714
12,0.52,1.23,0.76,0.28,269.91222382190324,116.2114418152407
15,0.86,0.26,0.98,0.49,195.55925048748375,133.44026856086086
8,0.42,1.04,0.99,-0.32,246.09720705208068,88.31231334445715
19,0.83,1.12,0.81,0.47,203.59430418041524,108.27948284532313
6,0.27,0.94,0.32,1.0,206.58866909191886,26.41681730039277
10,0.91,0.88,0.81,0.57,188.51988553361835,75.10235620394822
9,0.96,0.48,1.0,-0.08,194.4719925040638,88.36480224225706
20,0.28,0.72,1.0,0.08,244.73737119283922,95.61966677064396
13,1.0,0.55,0.87,-0.12,204.07697508747398,81.94945515519963
7,0.48,0.73,0.86,1.0,233.99951228644449,26.90176624864339
21,0.12,1.19,0.0,0.16,193.53815522569727,58.77932636398834
1,0.0,0.7,0.0,0.51,282.0835890398663,76.48587508213559
11,0.04,1.5,0.0,0.06,257.1683706287198,95.160949457304
16,0.02,1.36,0.0,-0.23,323.2246423349902,128.85824293831743
17,0.16,0.6,0.08,-0.11,201.82559322890398,99.53919044342395
3,0.56,0.82,0.61,-0.39,259.7604990327538,86.66660704039201
32,0.08,0.69,0.28,-0.26,250.2033366669998,99.45541198516223
36,0.06,1.44,0.0,-0.4,303.07665941663026,71.52040582097695
22,0.08,0.58,0.1,-0.11,218.86525657345223,118.69052858034418
28,0.36,1.28,0.19,-0.12,186.27691224009973,67.69708680615251
23,1.0,1.1,0.43,0.21,135.13850690483923,82.14406622703437
26,1.0,0.2,0.98,0.68,119.7052177659365,48.04473738437392
27,1.0,0.52,0.87,0.6,145.6627869861312,62.15800608378127
33,0.37,0.53,0.09,0.0,180.43435481291567,70.08064684983943
29,0.56,0.38,1.0,0.53,174.6129007174141,106.2905843075947
30,0.24,0.84,0.87,1.0,229.86426857488038,123.20289459689437
