subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.95,0.1,0.99,0.32,395.23744218247407,158.3264181452029
14,0.19,0.66,0.53,0.68,209.75247291765103,123.03007194793199
4,0.15,0.44,0.72,0.53,181.7436664722864,122.94808413310975
0,0.57,1.0,0.7,0.62,159.2688491434743,62.970058222651716
2,0.19,0.88,0.88,0.82,211.63933173285395,77.0656662657482
5,0.02,1.28,0.0,-0.33,284.63006666777056,99.70485078283582
12,0.09,1.12,0.72,0.27,276.7387380718885,120.75095466051049
15,0.59,0.28,0.88,0.64,181.25952945707223,140.84422599371555
8,0.13,1.29,0.68,-0.44,261.8327883719763,91.86851325321068
19,0.17,1.08,0.81,0.48,214.17558683507795,109.16441345086845
6,0.22,0.98,0.86,1.0,194.8763793079213,26.41681730039277
10,0.29,0.8,0.88,0.6,187.22654706074974,74.3055918276736
9,0.27,0.5,0.98,-0.34,201.53525911425177,86.7422261140005
20,0.1,0.68,1.0,0.09,243.4034796548767,98.2926836489946
13,0.14,0.49,0.98,-0.32,204.35556099732662,86.14707916247323
7,0.21,0.75,0.86,1.0,229.07123259676678,26.90176624864339
21,0.02,1.2,0.0,0.24,194.59996273340903,60.02656027329647
1,0.0,0.7,0.0,0.51,282.0835890398663,76.48587508213559
11,0.01,1.5,0.0,0.08,256.5311260991739,93.4079192227176
16,0.88,0.32,1.0,0.32,362.70307693067735,145.15987627683674
17,0.03,0.56,0.1,-0.17,200.77378588385736,105.06156055832282
3,0.2,0.72,0.54,-0.56,255.06180548106715,90.20939072486892
32,0.02,0.6,0.06,-0.12,260.78441612789874,92.89408216641861
36,0.01,1.45,0.0,-0.4,302.4310693112589,68.81148781794097
22,0.02,0.56,0.09,0.03,216.96064067932937,119.82082869619924
28,0.14,1.3,0.3,-0.34,188.47165899650423,78.18771226990215
23,0.17,0.94,0.42,0.19,139.913073552172,81.90496274778873
26,0.52,0.14,0.98,0.88,143.68023944663025,52.095889685565375
27,0.7,0.56,0.83,0.38,127.31425323756197,50.747239536745326
33,0.12,0.56,0.28,0.0,176.36944499923484,66.91112350220351
29,0.12,0.44,1.0,0.48,181.18440403020807,105.14779950508401
30,0.09,0.84,0.72,1.0,238.28706686098323,123.20289459689437
37,0.88,0.04,0.99,0.32,303.0778023330476,168.19375784687838
24,0.02,1.5,0.0,-0.72,337.4857815613722,7.3945368204803
31,0.1,0.76,0.0,0.58,288.2401597158704,138.9694808843155
25,0.01,0.52,0.02,0.0,198.76374676725655,110.15387817919522
86,0.17,1.28,0.66,0.41,147.33036549855103,52.22591919135127
94,0.13,1.08,0.51,0.31,230.66988610470355,73.69698515913772
68,0.4,0.34,0.88,0.76,158.0698378650985,72.92990468032437
48,0.01,1.44,0.0,-0.04,124.44073661796162,54.472173732101275
