trial,subID,sim_choice,sim_attack,k
1,0,"[7, 6, 5, 4, 6, 6, 7, 7, 5, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,1,"[7, 4, 5, 3, 3, 5, 5, 4, 3, 4]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,2,"[6, 4, 4, 4, 4, 5, 5, 5, 5, 4]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[5, 4, 6, 3, 5, 3, 3, 5, 6, 7]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,4,"[4, 3, 2, 1, 3, 3, 2, 2, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[7, 8, 5, 7, 2, 7, 6, 7, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1
1,6,"[5, 4, 7, 6, 6, 6, 5, 8, 6, 5]","[0, 0, 1, 1, 1, 0, 0, 1, 0, 0]",1
1,7,"[3, 3, 6, 6, 7, 4, 6, 5, 3, 5]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]",1
1,8,"[7, 5, 7, 7, 6, 6, 6, 8, 6, 8]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]",1
1,9,"[3, 5, 3, 1, 7, 5, 3, 4, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[6, 4, 7, 5, 5, 3, 3, 5, 3, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,11,"[7, 6, 5, 7, 7, 7, 6, 9, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[7, 6, 5, 8, 6, 8, 6, 8, 7, 6]","[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1
1,13,"[7, 1, 2, 2, 3, 3, 3, 3, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,14,"[4, 4, 3, 4, 2, 6, 4, 2, 2, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,15,"[2, 1, 2, 1, 3, 4, 3, 3, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[2, 4, 3, 3, 2, 5, 1, 4, 1, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,17,"[5, 3, 1, 4, 2, 3, 5, 6, 2, 2]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,18,"[2, 1, 2, 7, 1, 6, 2, 1, 5, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,19,"[8, 6, 6, 8, 7, 6, 5, 6, 8, 7]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1
1,20,"[6, 4, 4, 4, 5, 4, 4, 3, 3, 6]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,21,"[6, 7, 5, 5, 5, 6, 7, 7, 4, 8]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,22,"[6, 7, 6, 1, 6, 4, 2, 3, 4, 1]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,23,"[5, 5, 4, 5, 8, 6, 6, 5, 4, 6]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 1]",1
1,24,"[7, 6, 7, 7, 6, 5, 8, 6, 8, 7]","[0, 0, 1, 0, 1, 0, 1, 1, 0, 0]",1
1,25,"[2, 4, 6, 3, 6, 4, 5, 4, 5, 1]","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",1
1,26,"[6, 1, 1, 2, 1, 2, 2, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
