subID,alpha,theta,gamma,w,nll_idv,nll_grp
18,0.17,0.86,0.34,-0.26,319.26820229054346,138.5070654407405
14,0.2,0.66,0.6,0.7,214.6368333242845,124.92052717666212
4,0.29,0.46,0.7,0.54,179.08040928988234,121.90450441458543
0,0.78,1.19,0.66,0.62,139.89129038718164,62.81891503153033
2,0.34,0.88,0.88,0.85,208.44052894857674,77.65866263537418
5,0.12,1.08,1.0,-0.37,269.81226475915895,105.8139194764019
12,0.3,1.24,0.68,0.32,277.11352304860867,115.41096784612645
15,0.88,0.28,0.88,0.58,182.41687246953134,139.9869042786253
8,0.19,1.11,0.94,-0.36,258.83864391194317,86.53729416502664
19,0.32,1.09,0.83,0.48,206.54282085002043,106.05354874702203
6,0.26,0.96,0.86,1.0,196.20029945519732,26.41681730039277
10,0.42,0.8,0.88,0.55,188.9639168667342,73.63782549115712
9,0.28,0.51,0.99,-0.08,201.02695538321456,89.06533945299317
20,0.21,0.64,1.0,0.16,242.92596440983036,96.38498408173511
13,0.29,0.54,0.88,-0.12,202.19346454251829,83.1036111096786
7,0.29,0.76,0.87,1.0,226.84053639725798,26.90176624864339
21,0.39,1.26,0.6,0.36,185.38238440152938,76.7833068879519
1,0.0,0.7,0.0,0.51,282.0835890398663,76.48587508213559
11,0.02,1.5,0.0,0.08,256.9656956434023,96.02400771519325
16,0.01,1.4,0.0,-0.24,316.54526268630167,142.59413345655798
17,0.09,0.58,0.48,-0.21,197.92763839915833,103.86421424774963
3,0.44,0.8,0.86,-0.31,249.9281365441058,89.35566264748138
32,0.02,0.64,0.06,-0.12,255.99663696220725,97.67990776584108
36,0.02,1.48,0.0,-0.4,301.349435914612,70.40203552993067
22,0.04,0.55,0.1,0.06,215.12104295228497,120.47122025864753
28,0.18,1.29,0.24,-0.11,187.00180213927993,69.75817322579474
23,0.32,1.08,0.39,0.28,134.85792016230815,82.49923477270445
26,0.52,0.16,1.0,0.76,137.52855340658192,51.73985323493089
27,0.71,0.52,0.88,0.59,135.6986539032964,60.95272301254167
33,0.37,0.58,0.43,0.0,177.8459270334901,61.869367753466925
29,0.15,0.45,1.0,0.52,180.46974006788722,106.66588887177521
30,0.1,0.82,0.88,1.0,229.96789895849503,123.20289459689437
37,0.28,0.48,0.0,-0.48,284.1207558697305,142.81667017342858
24,0.08,1.5,0.0,-0.57,355.93486295988816,5.8212600845470845
31,0.21,0.74,0.0,0.49,292.73834906688484,137.32852625088162
25,0.08,0.42,0.8,0.0,198.16653225819672,103.43830587393163
86,0.41,1.5,0.66,0.35,143.16800601238913,49.96516908896508
94,0.14,0.98,0.71,-0.27,227.969174697552,66.88510637414716
68,0.42,0.36,0.88,0.6,155.28388135291786,71.524720745182
48,0.01,1.43,0.0,-0.04,117.70254186736658,54.1043210584836
96,0.27,0.75,0.0,0.24,321.64147444698983,90.35671947107073
60,0.54,0.92,0.68,1.0,145.4979224227783,43.59931035521471
58,0.08,1.08,0.92,0.68,350.1433867929755,131.28094463299618
92,0.01,1.5,0.0,0.73,244.4562403577809,94.42074471515218
97,0.24,0.99,0.4,-0.57,176.59888046181274,129.73686436282208
87,0.83,1.5,0.0,1.0,148.65437547187423,78.622795804523
44,0.34,0.64,0.85,-0.12,207.60301243822764,106.77801755712825
90,0.44,0.28,0.97,-0.39,107.10025875930775,73.81946451595998
54,0.21,0.74,0.88,0.46,281.50252567528275,88.63121996105414
50,0.02,0.63,0.1,-0.09,244.52115325878685,91.22760930865132
70,0.15,0.6,0.72,1.0,203.2484193102668,38.835433396648206
66,0.26,1.5,0.0,0.5,213.0499099762427,110.30212160994327
42,0.44,0.29,0.95,0.52,135.34903780650006,66.40979493324853
88,0.3,1.5,0.0,0.51,245.00890364499037,106.31885782068491
40,0.24,0.68,1.0,0.2,226.03170161549198,130.17278566653687
74,0.24,0.76,0.94,0.71,184.08563851228604,68.35565904486576
64,0.42,1.24,0.67,0.72,98.9503037414515,65.0885648243353
45,0.08,1.5,0.0,0.71,391.36050418029026,118.90355314330186
38,0.17,0.44,0.0,0.48,317.04858061711764,123.23335397615953
84,0.8,0.88,0.83,-0.63,336.59675376825214,39.63001198272004
65,0.52,0.56,0.86,0.48,197.77027334272069,73.07351697561465
72,0.15,1.15,0.81,-0.11,209.38429049382825,88.95140282958378
69,0.32,0.52,0.88,0.81,208.12109998037266,73.33210552688364
80,0.11,0.94,0.85,-0.32,230.51717818318116,120.83528045292677
82,0.15,0.8,1.0,-0.69,295.8655085556401,151.6600701775472
81,0.02,1.5,0.0,0.11,304.3394101654625,86.9534810323913
61,0.03,0.73,0.1,0.84,208.48063458617622,72.17216932959312
67,0.34,0.92,0.81,0.41,141.6669432347423,87.6439219282092
89,0.08,0.93,0.88,0.63,235.11806314802354,103.72446910290338
76,0.01,1.49,0.02,0.12,329.30955428837683,89.665939274605
59,0.15,1.22,0.41,-0.32,284.4971883076474,109.45960153084113
43,0.62,0.73,0.82,0.4,168.17410543695408,58.36608588247866
93,0.0,1.09,0.0,0.67,182.09727471569153,116.02109160995009
55,0.39,0.95,0.77,0.0,155.73740544009556,42.53105217200546
85,0.13,0.8,0.44,0.41,245.3079518323459,145.14260635677394
52,0.68,0.44,0.88,-0.24,293.4574725672766,130.4259111189465
78,0.15,0.86,0.86,0.44,226.06094053091155,68.17200021759342
51,0.52,0.71,0.85,0.0,203.84992507427833,71.1538937296906
49,0.52,0.2,1.0,0.32,144.01881047397475,101.01796088335036
56,0.21,0.62,0.82,-0.52,229.15604308719455,145.01413242226167
46,0.1,1.5,0.0,0.56,407.6838489006057,163.6087054538667
79,0.08,0.69,0.0,0.99,236.04717696797016,60.72851682730954
62,1.0,0.58,0.0,0.39,418.38057335477225,147.5546675182688
77,0.67,1.5,1.0,-0.6,361.554459948887,91.41743934088774
63,0.17,1.15,0.81,0.11,170.4357952938358,89.51736263385938
73,0.38,0.44,0.99,0.12,206.80889062549485,97.69069943147156
57,0.17,1.49,0.52,-0.41,278.4454641697951,107.4987111087806
83,0.12,1.11,0.56,-0.32,160.1258103971949,98.28193619753162
71,0.31,0.47,0.97,0.89,197.32794661105862,45.52018694748691
91,0.23,0.61,0.98,-0.12,264.80527333314603,100.57619600268745
39,0.21,0.98,0.54,0.42,155.65537453182878,92.59641597331219
75,0.09,0.76,0.88,0.19,263.60296881458345,96.01949737613486
95,0.16,0.83,0.27,0.55,247.20035883521155,96.00692227984597
53,0.28,0.36,1.0,-0.17,138.3183098520994,75.02035668210247
47,0.68,0.52,0.87,0.42,192.48469526116537,113.40944021530142
41,0.57,0.28,0.97,0.88,143.8647602323672,94.84213836156991
108,0.32,1.32,0.52,-0.92,106.4972990723331,12.971309656486248
116,0.01,0.73,0.02,0.86,236.26379777198508,89.59287814457012
164,0.01,0.68,0.02,0.28,263.5778319758913,104.29863281008183
148,0.18,0.64,0.76,-0.32,213.12212143104256,100.1463813568411
140,0.18,0.88,0.38,0.97,292.3296245679858,84.8601541551631
102,0.15,0.96,0.08,0.88,273.68743791326216,78.63867559376052
170,0.49,0.71,0.86,0.16,164.69142599159144,62.885826405633004
110,0.44,0.48,0.97,0.18,186.32730821939455,99.77268811792338
100,0.18,0.38,0.57,0.0,174.30971392935612,70.76900947737388
122,0.31,1.28,0.71,0.4,216.39215470373085,64.87114511296949
104,0.39,0.63,0.03,0.0,185.25641945315286,82.20828236960187
168,0.43,0.92,0.71,-0.84,146.22607329763503,120.50258088321146
171,0.11,0.7,0.28,0.66,232.2251569207926,76.98672662195116
166,0.32,0.32,0.98,0.0,136.2482789217815,74.35840278702759
126,0.0,1.47,0.0,0.68,215.51615515722085,108.83638438983333
103,0.01,0.86,0.0,0.72,199.66727824130714,94.5108213517921
156,0.48,0.54,0.87,0.42,146.86639393717692,68.3804063582781
117,0.26,0.72,0.88,0.54,250.88760351055265,86.8871573283157
118,0.48,0.48,0.88,-0.08,80.81979932815499,48.24314067611023
134,0.6,0.69,0.85,0.76,148.69051261177734,54.18376246164964
114,0.43,1.5,0.48,-0.42,81.56437155075034,105.23153819879299
130,0.18,0.66,0.05,0.72,170.97446226117415,77.39402263770084
109,0.48,0.49,0.94,-0.74,135.15638892085602,41.73565635966831
162,0.23,0.54,0.06,0.47,190.779290996266,88.56731742026167
106,1.0,0.64,0.44,0.42,225.27862443105747,88.86970265177371
115,0.66,0.99,0.7,0.08,245.0982710558024,66.16963966090952
169,0.18,1.3,0.62,-0.12,156.89287522094276,86.99201277947019
128,0.11,0.96,0.72,0.39,260.88296127645015,77.60703665926466
154,0.48,0.68,0.87,0.31,137.40829133695345,86.04902832588034
132,0.08,1.5,0.0,0.46,361.4134798629617,129.07819751450484
120,0.08,1.12,0.68,-0.19,153.64354768737604,129.45905215448263
105,0.08,1.14,1.0,0.5,245.33696091529674,99.59509817283934
133,0.45,0.87,0.79,-0.49,274.00927549340116,52.85877064566267
107,0.84,1.5,0.08,0.33,223.2403687254284,72.26230985056115
141,0.4,0.9,0.88,0.92,355.6280364296261,69.45852091738233
119,0.19,1.3,0.35,0.52,146.58855302008118,87.54670256869285
155,0.1,0.48,1.0,0.88,245.08882446098582,137.89057019759306
142,0.19,0.76,0.24,0.28,349.0386704010479,87.57684075394971
98,0.13,0.76,0.88,0.48,290.35946838833087,106.66629061065596
136,0.56,0.32,0.98,0.92,175.73904053802414,37.08204217893895
150,0.14,0.15,0.41,0.04,166.5818609196665,72.68753984422162
138,0.46,0.87,0.77,-0.15,150.89729539155582,76.69241797152448
152,0.11,1.28,0.12,0.08,129.65270538942053,75.82827317306801
160,0.13,0.84,1.0,0.21,238.8470509396721,101.47453571712484
135,0.25,0.46,1.0,1.0,218.69603353284947,38.409671367642304
123,0.32,0.42,0.85,0.32,197.78887999835504,88.55699917259895
137,0.36,0.48,1.0,1.0,218.01481923282742,35.76630181617269
129,0.52,0.22,0.98,0.73,129.2070911650785,74.37942351524936
112,0.14,0.87,0.0,0.86,341.7341423164751,74.48579130545129
149,0.08,1.13,0.77,0.18,150.5110093163444,82.67378352734538
157,0.1,0.87,0.05,0.48,152.99084437016202,74.76862130240728
151,0.01,0.81,0.02,0.0,219.59673898935213,90.10473573137234
124,0.4,0.52,0.87,0.0,161.17189669730797,79.63999602109527
144,0.08,0.85,0.69,0.0,154.34162735941788,70.0516808674659
163,0.48,0.28,0.98,0.28,111.74832698625806,50.552975363308775
158,0.33,0.53,0.79,0.1,155.9398069801858,94.60982082172636
159,0.14,0.3,0.28,-0.11,152.70343031392912,85.07012235378765
165,0.06,0.7,0.1,0.28,246.28149665029156,100.17482372321085
127,0.5,0.4,0.95,0.48,162.35372667202762,71.08174803177126
139,0.0,0.0,0.0,0.46,160.27005930793433,112.20922280813133
167,0.52,0.04,0.97,0.2,225.7130460209377,109.08227684269465
101,0.39,0.28,0.8,-0.35,279.9229098458075,121.45361212658436
146,0.32,0.15,1.0,-0.12,239.96593188902858,115.68711234580469
125,0.0,0.75,0.0,0.28,230.95500714089516,98.13294041066739
131,0.0,0.74,0.0,0.43,277.108728927206,89.65580113045424
143,0.13,0.64,0.88,0.19,216.1632181030255,109.94414293103345
113,0.24,0.88,0.73,0.69,152.56800255556203,58.73474651859393
161,0.18,0.37,0.63,-0.5,220.25995483939363,62.58280050081855
145,0.11,0.7,1.0,-0.12,241.9879201720182,88.40547998040456
153,0.84,1.32,0.73,-0.32,231.2262327196793,110.54878425471145
99,0.0,0.65,0.0,0.62,225.81162381596138,110.78368916187307
111,0.32,0.33,1.0,0.08,241.32930877762962,74.0742440553799
121,0.88,0.22,0.88,0.05,151.2721532618426,76.26234401000826
147,0.1,0.67,0.36,0.08,235.98123324112618,102.05081713855832
222,0.52,0.51,0.94,0.15,187.28685953882808,79.45756472502859
188,0.66,1.28,0.45,0.6,113.01573955211973,52.65223393321781
250,0.4,0.64,0.84,0.05,163.094273847798,84.47301992001883
238,0.22,0.97,0.83,0.34,170.95504329721447,101.14297805510208
216,0.0,0.0,0.0,0.68,356.5200593079347,115.17218433427797
248,0.4,0.67,0.38,0.95,112.35540727764037,45.046383329167654
228,0.36,0.28,1.0,0.12,154.3580175935635,83.09502014682157
234,0.35,0.75,0.85,0.29,132.6360639618706,51.96409954627482
229,0.38,0.75,0.82,0.16,154.20895696977377,59.510926925976435
220,0.0,0.58,0.0,0.35,223.35127997869515,100.64858623968271
239,0.1,0.88,0.2,-0.26,328.2365523147477,114.11472161445285
178,0.44,1.04,0.77,-0.28,243.91491535471243,64.27212805354431
176,0.36,0.28,0.0,0.62,246.99783386590303,109.35785365870977
206,0.13,0.88,0.0,0.0,73.1256208443358,18.536181611055266
196,0.32,0.95,0.82,-0.4,210.4726769836622,86.90737143910421
200,0.17,0.92,0.66,-0.56,259.07693416867056,127.17858175682308
172,0.12,0.7,1.0,-0.52,215.58674820832957,128.1539550865598
194,0.4,1.02,0.78,0.79,135.33196019169657,78.28643531544412
230,0.0,0.77,0.0,-0.72,230.64077345898474,111.71205835808284
224,0.08,0.72,0.0,0.52,298.88489050334573,134.7411891046861
226,0.7,0.6,0.83,0.4,213.66216449168238,81.27213223559873
180,0.6,0.91,0.81,0.66,209.49709598984973,67.64060312273782
177,0.34,0.69,1.0,0.92,251.71421360851443,111.75379973080187
225,0.18,1.05,0.0,0.73,352.76879929162504,117.84533475253704
174,0.14,1.28,0.72,-0.23,224.15072937994944,107.05581559299341
221,0.3,0.74,0.88,-0.13,177.39166094199948,101.27024824271521
204,0.52,0.56,0.7,1.0,193.72836223514193,183.047337458565
246,0.1,0.88,0.48,-0.12,209.96388306275452,90.9546505866464
227,0.4,0.44,0.99,0.24,180.5919971885042,67.39231625086933
240,0.08,1.5,0.0,1.0,309.2960805461354,49.45591503159047
190,0.4,0.4,0.88,0.42,162.9183293906742,87.23634904233323
173,0.25,0.48,0.0,-0.64,309.7622422385256,128.95377491558696
184,0.88,0.28,0.88,-0.11,203.87207803459313,82.68269940957329
186,0.1,0.82,0.27,0.51,269.8463980769226,130.5875652853254
201,0.08,0.81,1.0,0.08,258.34052737525695,123.20441492483586
218,0.17,0.92,0.87,0.36,226.4038446386217,116.52605640458513
251,1.0,0.48,0.68,0.59,204.0976361462129,95.18512739444458
252,0.24,0.71,0.93,0.0,201.79130581994474,81.51113965599352
236,0.34,0.6,0.87,0.32,178.27657714489814,88.5788630584721
192,0.56,1.08,0.75,0.87,186.1477971689588,70.81552034573481
175,0.54,0.91,0.7,-0.08,138.7717707235515,83.38534674045486
219,0.18,0.55,0.0,0.32,289.29810785235145,89.4203505399041
193,0.33,0.32,0.0,0.69,144.69231038045064,61.021891016831816
235,0.49,1.12,0.75,0.44,125.70649915588308,63.92752235620087
191,0.32,0.84,1.0,0.49,238.09568586543446,95.2357665436721
253,0.48,1.23,0.67,0.02,223.56166697614788,59.25429000118063
232,0.36,0.52,0.86,0.41,201.39073754723768,98.37877219842699
212,0.18,0.62,0.71,0.52,215.52634069213318,107.69020144418235
179,0.71,0.68,0.74,0.48,145.48694982459654,73.09447684721471
242,0.34,1.0,0.72,0.29,155.5256791916618,75.38595273928865
198,0.47,0.28,0.99,-0.28,190.52894620293938,70.8717051833007
182,0.16,0.62,1.0,0.85,208.75270632257178,66.13653613963521
202,0.04,1.22,0.0,0.26,270.88189617151136,102.13415831165123
195,0.06,0.19,0.0,0.2,173.43406105954196,74.79767043005906
185,0.46,0.6,0.5,-0.18,127.64041520925804,109.72861727073735
223,0.11,0.41,0.0,0.0,160.6576828295031,76.79465638897568
247,0.25,1.35,0.11,0.36,212.90592927712729,128.78274525726846
189,0.04,0.57,0.1,1.0,307.5711999989866,52.345910291740566
208,0.38,1.05,0.42,0.06,193.80778754378284,53.06765232376986
209,0.28,0.59,0.99,-0.41,196.07423242086847,76.9249151029241
243,0.48,0.28,0.87,0.48,184.05205243867877,83.95281102207936
244,0.01,0.64,0.0,-0.12,254.27666327118598,97.0509544316337
241,0.08,0.82,0.68,0.82,160.17343669095501,61.86227569965108
233,0.46,0.5,0.61,0.08,196.14323402990718,128.2100345012471
210,0.59,1.5,0.61,0.77,127.4348551297044,69.86733734496993
231,0.02,1.0,0.1,0.24,204.68109452472842,74.9040756501213
207,0.92,0.71,0.75,0.35,158.11536879896647,94.61711914516418
187,0.14,0.38,0.83,0.28,265.99053831290723,109.66699095689101
197,0.0,0.49,0.0,0.32,287.26849762072936,127.54233885328354
249,0.53,0.31,0.98,0.68,142.0917902744318,43.417604569022345
245,0.71,1.41,0.66,0.42,341.7812765224504,108.8779165627152
217,0.32,0.18,0.97,0.0,186.84303549185893,91.01003635356437
205,0.29,1.04,0.72,0.15,209.31288123563812,96.2335426479759
211,0.27,0.37,0.12,0.38,159.76476134261452,70.7372209116643
181,0.15,0.96,0.06,1.0,185.72309649943367,55.74043532483032
203,0.15,0.95,0.8,0.56,276.27966815290057,144.84839614158116
199,0.01,1.5,0.0,0.56,369.448203673627,110.66439023924329
213,0.0,0.62,0.0,0.26,264.7326542747329,104.0065502864112
237,0.14,0.51,0.72,0.48,202.18669124785765,92.12446569096437
183,0.56,0.06,1.0,0.95,223.92032309437093,68.91430802399243
