subID,alpha,theta,gamma,w,nll
82,0.76,0.42,1.0,0.35,339.5108186511586
27,0.69,0.45,0.88,0.52,300.6459974426678
28,0.72,0.76,0.86,0.35,220.52259144341303
29,0.15,1.13,0.02,-0.52,226.79900027751637
33,0.84,0.21,0.77,0.35,264.93025954524455
34,0.34,0.97,0.4,-0.36,237.18120128905935
35,0.92,0.68,0.84,0.28,161.07260191182527
36,0.15,0.94,0.7,0.26,424.6114551776151
37,0.6,0.66,0.95,-0.4,446.44796956230425
46,1.0,0.3,0.68,0.0,363.3533235296195
62,0.03,1.5,0.0,-0.18,549.1406091054713
70,0.74,1.1,0.64,0.33,222.3057807999605
71,0.26,0.86,0.0,0.56,228.85928893582184
74,1.0,0.17,0.78,0.1,282.0550172987715
78,0.29,0.56,1.0,0.33,404.2684222355116
84,0.88,0.36,0.84,-0.28,273.3384797505562
85,1.0,1.0,0.47,0.29,340.6397438780292
87,0.0,0.65,0.0,-0.26,337.18897116679733
0,0.0,1.5,0.0,0.6,548.5245405070666
1,1.0,1.5,0.5,0.56,188.9839087519092
2,0.62,0.62,0.05,0.72,281.92702328266944
3,0.12,0.83,0.7,0.0,340.4173027409642
13,0.15,0.73,0.63,0.59,339.92109240525144
4,0.3,0.36,1.0,0.02,308.16531808168895
5,1.0,0.4,0.83,0.36,318.4815418645597
6,0.24,0.62,0.72,0.38,463.45646893776893
7,0.72,1.5,0.73,0.08,218.01949663738478
8,0.54,0.29,0.99,0.47,244.30206294849728
9,0.48,0.5,0.68,-0.08,320.6613437247459
10,1.0,0.57,0.56,0.34,265.6354863798048
11,0.26,0.6,0.96,0.25,355.6682940814868
12,1.0,1.15,0.67,0.43,198.73117878282164
14,1.0,0.58,0.81,0.59,361.9429749616069
15,0.21,0.85,0.0,-0.44,232.2875766471497
16,0.08,1.5,1.0,0.49,338.58059172846606
17,0.53,0.85,0.54,-0.04,403.41251508118205
18,1.0,1.44,0.42,0.77,329.80054955525907
19,0.47,0.13,1.0,0.25,299.46613611548645
20,0.14,0.74,0.5,-0.32,324.15813455975484
21,0.27,1.5,0.0,0.4,356.6270482979552
22,0.32,0.57,0.48,0.97,258.7911614546617
23,0.56,0.36,1.0,-0.17,271.09145732602167
24,0.28,0.45,1.0,0.2,372.8693581172398
25,0.52,1.5,0.5,0.57,369.70570429522326
26,0.18,1.31,1.0,-0.13,350.68916422625415
30,0.59,0.24,0.98,1.0,262.47223789582233
31,0.96,0.76,0.83,0.54,291.8610205157433
32,1.0,0.5,0.85,0.25,251.79032373644338
38,0.53,0.29,0.98,1.0,306.4160752073577
39,0.92,0.16,0.12,-0.12,214.70956958761883
40,0.38,0.24,0.69,0.27,351.27914816353433
41,0.0,0.66,0.0,-0.32,344.3842573648632
42,1.0,0.27,0.57,0.42,257.6090099751351
43,0.2,0.46,0.54,0.31,851.8691100886485
44,1.0,0.72,0.56,-0.12,287.10240892693366
45,1.0,0.69,0.86,0.88,282.0192155070135
47,0.93,1.37,0.5,-0.72,171.9930693415686
48,1.0,0.75,0.79,0.28,312.2157531236373
49,0.14,0.63,0.08,-0.01,373.0982645915386
50,0.17,0.88,0.1,0.26,198.48788167115356
51,0.88,0.6,0.77,0.54,308.80351673770036
52,0.14,0.27,0.28,0.0,362.6844032980972
