subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.88,0.4,1.0,0.32,244.6059189536132,101.87742462018598
27,0.81,0.45,0.88,0.48,256.8319489517312,49.95601665777417
28,0.93,0.76,0.84,0.36,158.71105909195978,61.42133814686053
29,0.16,1.14,0.02,-0.52,205.3084747139464,40.16203205978307
33,1.0,0.22,0.71,0.36,190.78504534010918,82.12158897242833
34,0.34,0.97,0.4,-0.29,134.8868472703337,100.60543515742637
35,0.98,0.59,0.86,0.24,111.5684409651474,56.638344335110105
36,0.16,0.96,0.64,0.26,314.6296527215707,119.56073520068853
37,0.85,0.64,0.95,-0.72,350.6464640847085,100.85675838255243
46,1.0,0.3,0.68,0.0,291.69760704714923,77.02471955932731
62,0.03,1.5,0.0,-0.18,454.8871131139503,102.71284222459519
70,0.81,1.05,0.65,0.26,181.47498179986593,52.992698989989336
71,0.28,0.83,0.0,0.45,173.30597202420648,68.9314981304613
74,0.88,0.17,0.88,0.04,196.16902304114905,90.25861514018703
78,0.28,0.57,1.0,0.31,313.9733749947553,96.67338385161787
84,1.0,0.34,0.88,-0.3,199.3927265963172,86.13605643319562
85,1.0,1.0,0.42,0.24,240.75017704713918,110.43424588553223
87,0.0,0.65,0.0,-0.25,255.34191785446788,94.82357187568788
0,0.0,1.48,0.0,0.59,422.38231852326476,133.22311931047125
1,1.0,1.49,0.51,0.52,151.54032080366116,41.07518124616952
2,0.68,0.61,0.05,0.69,177.02612974070362,112.59357285597167
3,0.1,0.83,0.72,0.0,261.14745302603126,87.21964878383764
13,0.16,0.72,0.6,0.55,267.8930758637071,87.57009563215163
4,0.3,0.38,1.0,0.0,229.37977156852804,84.39324156888098
5,1.0,0.41,0.84,0.3,241.47225237959805,84.55858843130808
6,0.28,0.61,0.71,0.4,348.3023682102373,121.69047510487218
7,0.72,1.43,0.72,0.0,180.84942447467748,48.41905752006829
8,0.72,0.25,0.99,0.54,201.01526274992744,43.05951874086238
9,0.48,0.51,0.68,-0.08,243.2042474067906,82.9366513207309
10,1.0,0.56,0.56,0.26,210.9395114398668,64.07626741418153
11,0.32,0.58,0.94,0.09,276.59756665273744,89.08334525923604
12,1.0,1.2,0.64,0.43,169.32207880878957,39.85527180816997
14,1.0,0.6,0.79,0.54,287.10984375747825,83.61611475543819
15,0.28,0.88,0.0,-0.44,124.12018629625103,112.72316865053807
16,0.08,1.5,1.0,0.49,241.04603837185914,102.34833462283123
17,0.6,0.83,0.52,-0.11,312.6276802546297,94.90385410587774
18,1.0,1.36,0.41,0.7,255.1399723962416,100.40476624354412
19,0.52,0.12,1.0,0.21,221.69466104385043,86.9929215424441
20,0.15,0.73,0.52,-0.33,245.46802897046766,81.1130116712504
21,0.29,1.5,0.0,0.42,263.63439195517003,88.81272533560981
22,0.37,0.57,0.46,0.88,250.48295814414587,15.809555585383215
23,0.68,0.28,1.0,-0.14,202.55478884164958,88.23564547607454
24,0.0,0.64,0.0,0.23,279.0069390084961,106.55871071493712
25,0.64,1.46,0.49,0.53,271.9297272874385,102.05531907415205
26,0.25,1.5,0.01,-0.4,250.02537607948443,104.22292645696814
30,1.0,0.34,0.88,1.0,164.9244423301925,102.5445810714851
31,1.0,0.72,0.88,0.58,213.34392668752946,84.08325528334974
32,0.89,0.53,0.86,0.13,178.8350529151302,82.04262645981835
38,0.72,0.28,0.99,0.96,251.54215278955303,69.59234570232151
39,0.98,0.17,0.11,-0.17,153.63113033772814,66.07953196785675
40,0.48,0.21,1.0,-0.36,282.87099432403465,72.38437941125048
41,0.0,0.66,0.0,-0.32,265.85764260708544,85.30607991623977
42,1.0,0.28,0.58,0.4,210.99723618333684,58.97710743838356
43,0.19,0.46,0.68,0.12,769.3538319862288,91.41698070680172
44,1.0,0.71,0.56,-0.11,213.2517016623443,81.70852493971097
45,0.74,0.47,0.97,-0.24,208.25088441621122,81.68533269649659
47,1.0,1.34,0.51,-0.48,150.14211715535077,33.20848592762644
48,1.0,0.72,0.81,0.26,249.71962248099226,70.56180177248967
49,0.16,0.63,0.08,-0.06,296.3191431706082,85.91233223315346
50,0.22,0.93,0.28,0.25,171.59022531191468,36.400248407053645
51,1.0,0.54,0.84,0.44,250.48128915549853,66.51196666022302
52,0.13,0.27,0.28,0.0,282.03239053164685,88.25480789994432
53,0.48,0.9,0.08,0.56,458.88608839138425,53.802433906712295
54,0.63,0.55,0.76,-0.27,324.09048712719704,124.54709901199202
55,0.03,1.5,0.0,0.62,277.69885400038885,86.27114145328372
56,0.11,0.64,1.0,-0.78,374.0323303928052,85.90692816220002
57,0.31,0.36,1.0,0.28,254.07542540845705,70.97924238129583
58,1.0,0.41,0.73,0.18,228.09177688304743,98.23275110170998
59,1.0,0.39,0.82,0.17,199.61234044355777,77.82042723278536
60,0.32,0.34,0.72,0.03,233.22701820118576,90.52221670328906
61,0.72,0.36,0.95,0.0,162.65666683892366,47.43585432823243
63,0.46,0.39,0.26,0.4,211.15589729553835,83.53308289257986
64,0.19,1.11,0.94,1.0,456.33552341655866,59.685716289972596
65,0.18,0.45,0.0,0.0,216.74596363025648,80.94560844064732
66,0.28,0.51,1.0,0.24,232.53934782361875,78.86350863829023
67,0.52,0.16,0.94,0.06,272.24341576548454,91.6261782142724
68,0.17,0.57,1.0,0.52,312.42228905860884,96.40557820671796
69,0.49,0.63,0.73,0.46,218.24973404609355,81.52270321262884
72,0.51,0.94,0.51,0.54,148.42825736950363,51.47206393523094
73,0.32,0.65,0.98,-0.53,258.57937116287314,119.02145111575199
75,0.49,0.53,0.52,0.6,271.1344842095508,112.85947029354206
76,0.14,0.39,1.0,-0.12,269.5298949123248,100.87221705637245
77,0.64,1.01,0.19,0.49,220.89267764954397,48.194103832774026
79,0.59,0.53,0.0,0.56,359.4496386650274,121.9233654214608
80,0.08,1.5,0.0,1.0,387.2115405264455,68.9726329313063
81,0.01,0.77,0.0,0.0,262.19053994014706,128.78288312190261
83,0.64,0.66,0.99,0.88,331.733931723391,120.00182173979891
86,0.6,1.22,0.07,-0.17,482.36316143789423,92.08367240592507
88,0.6,0.59,0.67,0.28,259.18217613539923,73.15326904082082
89,0.52,0.42,1.0,0.4,329.39419657480806,94.54719945024094
90,0.28,0.94,0.51,-0.64,327.6602982053201,43.20481955572336
91,0.86,0.5,0.95,0.0,186.7479111234166,48.92338931915445
92,0.08,1.16,0.5,0.41,197.19210311309948,105.79310166743589
93,0.14,0.2,1.0,-0.05,402.5979463306064,89.86199045846446
96,0.88,0.25,0.96,0.36,239.84952464321537,117.03255117550425
121,0.28,0.79,0.88,0.36,238.13711892584902,63.376249075023175
128,0.12,0.77,1.0,0.36,304.1396719921175,77.37288913627228
135,0.52,0.57,0.97,0.0,257.8054138466381,92.06116853703315
136,0.11,0.88,0.48,0.56,294.6033109412859,94.79231357712197
139,1.0,0.69,0.82,0.0,108.57477526523823,31.486782810786707
149,0.88,0.8,0.56,0.16,226.387344707417,94.18902759957803
156,0.72,0.4,0.98,0.43,218.01761033213688,78.30100580333986
159,0.88,0.76,0.88,0.64,197.0473704728154,107.39447010889089
162,0.28,0.87,0.0,-0.19,267.01745598234953,45.76006833464549
183,0.64,0.68,0.97,-0.11,300.0286966151113,130.88596080135335
186,1.0,0.37,0.88,-0.5,452.4186781994853,88.87194046230434
191,1.0,0.82,0.04,0.4,195.07993964571912,101.49821048245266
197,0.6,1.5,0.12,0.55,388.3585409477271,102.60930052161412
199,1.0,0.17,1.0,0.61,224.94228634143494,62.0156462557711
200,0.48,0.38,0.66,0.52,303.61738390473005,62.02056782812882
202,1.0,1.04,0.26,0.54,221.9998851880576,101.83975174166025
94,0.88,0.69,0.82,0.21,190.0695602284949,100.1108663499959
95,0.35,0.35,0.0,0.49,340.3879591776407,70.56310821015138
97,0.77,0.51,0.48,0.48,276.57294941794845,102.24549746893715
98,1.0,1.08,0.7,-0.72,247.37582169161615,12.537356491366028
99,0.33,0.24,1.0,-0.03,244.07665236409653,90.80292821141535
100,0.68,0.52,0.95,0.4,238.52471039968222,89.2669528711606
101,1.0,1.3,0.32,0.18,199.9251054692558,63.44836478491498
102,0.0,0.66,0.0,-0.24,341.1965996936949,103.93300160828748
103,0.36,0.53,0.1,0.89,235.92754232366335,17.7035561707542
104,0.28,0.97,0.12,0.42,240.77076951178054,110.59957245514579
105,0.66,0.8,0.87,-0.01,220.5831941232775,78.96419191496605
106,0.41,0.61,0.88,0.14,265.215146717714,92.84516831913074
107,0.62,0.51,0.94,0.27,218.77476201939777,65.39549336610825
108,1.0,1.11,0.36,0.34,400.86999381758585,128.37944300756376
110,0.18,0.86,0.0,0.48,254.18278364200023,94.90943418959475
111,1.0,1.2,0.71,0.27,193.46863560180367,56.767327597508036
112,1.0,0.94,0.83,0.55,254.8550095619142,54.83328411309602
113,0.28,0.64,1.0,0.25,269.3266981334684,82.38255610068128
114,0.92,0.5,0.49,0.0,186.2872997854081,70.4559331302461
115,1.0,1.36,0.0,0.32,250.01948609037782,59.45854215349315
116,0.31,0.91,0.04,0.4,277.5410384738998,60.10779395349078
117,1.0,0.8,0.77,0.39,164.52520660343518,58.42632445263625
118,0.37,0.86,0.98,-0.14,295.3660044207938,83.69308689223362
119,0.56,0.68,1.0,0.66,256.52788530844657,87.88728279767528
120,0.0,0.84,0.0,-0.72,351.88619788731114,76.98519419467732
122,0.99,0.69,0.83,0.38,154.4171126643669,77.29453365384124
123,0.39,0.52,0.88,0.12,227.4773524549123,92.38404371347856
124,0.4,0.86,0.03,0.16,274.72488059053256,113.40061906470348
125,0.24,0.63,0.88,0.51,285.22926408547977,54.87287088037408
126,0.84,0.7,0.86,0.33,204.68091612702221,105.9960779226738
127,1.0,1.01,0.63,0.24,219.1349979986092,86.65389502438049
129,0.68,0.56,0.87,0.14,270.86823204522574,93.95854190353344
130,1.0,1.5,0.59,0.0,86.71938523903201,58.041323844503594
131,0.97,1.05,0.76,-0.64,116.7067132632009,81.31243411437745
132,0.33,0.5,0.89,-0.12,225.03679417130547,75.64666711825184
133,0.48,0.47,0.0,0.7,359.66835609404524,128.55634597511806
134,1.0,0.69,0.79,0.51,281.0812849352539,89.86611312232638
137,0.28,0.47,0.52,0.02,245.7888196632301,89.66635218642811
138,1.0,0.56,0.64,0.69,242.93122112939116,138.95706019261834
140,0.97,0.82,0.82,0.34,173.8186901564561,55.606898445702676
141,0.2,0.22,1.0,0.27,233.97535482457798,85.12363464192609
142,0.85,0.2,0.99,1.0,202.08338677232746,128.80709151868487
143,1.0,0.78,0.62,0.27,208.9245899667637,79.66690530436574
144,0.68,0.83,0.82,-0.16,259.8323530861225,94.0953875386106
145,0.43,1.36,0.35,0.06,167.5482020709476,69.78645833435019
146,0.16,1.2,0.94,0.39,249.6409340874868,89.33862093558686
147,0.04,0.62,0.1,0.08,263.0865203079496,119.05935820842805
148,0.18,0.85,0.0,0.25,228.8336370943578,86.29276074828991
150,0.81,0.85,0.53,0.27,274.2580665043408,79.42720679121862
151,1.0,0.71,0.52,-0.14,139.95652699976807,65.75051839795405
152,0.84,0.31,0.95,0.08,196.99912539466698,72.34014640831975
153,1.0,0.7,0.65,0.43,215.67081061555803,64.22554739693337
154,0.72,0.49,0.87,0.54,264.707170366647,91.81753069618651
155,0.28,0.81,0.16,0.71,352.123553183802,107.1980630256101
157,0.94,0.99,0.52,-0.38,167.02576868666583,64.00745301509664
158,1.0,0.95,0.63,-0.64,162.8399167362678,15.464512375661498
160,0.3,0.8,0.0,0.08,227.26730673860408,80.54749828377547
161,0.7,0.81,0.0,0.27,146.1276730252598,71.72458298661013
163,0.96,0.28,0.99,-0.19,352.5763803383018,131.30284095041407
164,0.08,1.5,0.0,-0.24,369.778424179901,99.82862104097667
165,0.79,0.58,0.27,0.44,263.3465148758264,76.90876385465961
166,0.14,0.64,0.0,0.58,407.88941164840855,132.47286365421775
167,0.01,1.5,0.0,-0.14,415.2423887092709,116.56405442851332
168,0.2,0.62,1.0,0.44,323.996878412874,83.51588590567529
169,0.01,0.92,0.02,0.08,298.20640307039423,103.74178758794737
170,0.4,0.86,0.04,0.16,274.3771864125818,57.52397585758395
171,0.35,0.86,0.34,-0.63,329.93473193337144,129.85740295804487
172,0.64,0.48,0.97,-0.36,226.7944671600996,99.87114395811
173,1.0,0.6,0.47,0.47,135.73476534355808,124.6509048440772
174,0.77,0.88,0.84,0.36,208.2849400280289,91.49760282706937
175,1.0,0.22,0.88,0.4,212.34673632064641,56.603747522771414
176,0.08,0.42,0.88,0.71,329.3798286359422,134.49498952898827
177,0.58,0.39,0.0,0.28,285.54360827951234,122.64880438344134
178,0.96,1.35,0.66,0.48,184.1310612211241,107.54658105472394
179,0.27,0.88,0.22,0.35,337.66042328728037,90.35808330723978
180,0.65,1.12,0.73,0.66,257.5367133496386,91.36635496867724
181,1.0,0.35,0.52,1.0,205.3761742294248,108.7061547083065
182,0.45,0.0,0.0,0.55,314.75957967148116,126.65683347435808
184,1.0,0.52,0.71,0.38,226.9409507896387,85.831366091415
185,0.0,0.77,0.0,-0.9,357.48021584533933,128.87076647710023
187,0.52,0.48,0.95,0.09,219.49974115414852,95.53460342922777
188,0.56,1.07,0.08,0.58,234.79865881442714,68.28194210020487
189,1.0,0.73,0.44,0.12,192.2465248002592,77.86980518254624
190,0.88,0.48,0.0,0.36,224.24525117859292,148.64871894916334
192,1.0,0.46,0.85,0.73,260.25365723562766,94.24859214015727
193,0.5,0.93,0.15,0.48,390.6142487575785,133.63042887213027
194,1.0,0.54,0.66,0.12,166.3064740264174,115.00403129639427
195,0.74,0.26,0.78,-0.28,269.45256409187584,110.36620320219903
196,1.0,0.2,1.0,-0.03,173.29471517867265,74.11452375417352
198,0.0,0.53,0.0,-0.02,286.3314775574364,105.57293404394046
201,0.84,1.0,0.78,-0.01,188.48622467566798,71.79045882658698
203,0.4,0.36,0.51,0.56,259.68464235975915,96.91581770780301
204,0.6,0.81,0.0,0.76,240.88602478995443,69.99383108418735
205,0.12,0.98,1.0,0.93,325.24357714128297,132.54809731624744
206,0.34,0.59,0.0,0.28,232.33076490089005,56.068356309114726
207,1.0,0.76,0.88,0.69,223.6161110850342,56.382448247682916
208,0.3,0.84,0.0,0.24,349.69834393293235,95.55243453406196
209,0.71,0.36,0.98,-0.32,300.8250705064825,146.2697820405988
109,1.0,0.74,0.78,0.08,216.89638862996685,72.06966340700461
