trial,predatorType,subID,sim_playerStep,sim_attack,k
1,0,0,"[1, 4, 2, 8, 6, 4, 3, 5, 6, 6]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,0,1,"[5, 5, 5, 5, 5, 8, 8, 8, 8, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1
1,0,2,"[8, 6, 5, 7, 3, 5, 8, 8, 8, 7]","[1, 1, 1, 0, 0, 0, 1, 0, 0, 0]",1
1,0,3,"[4, 6, 4, 4, 7, 4, 5, 5, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,0,4,"[5, 2, 5, 4, 5, 4, 5, 6, 2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,0,5,"[6, 5, 5, 4, 4, 3, 5, 5, 6, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,0,6,"[4, 3, 8, 7, 7, 3, 3, 8, 5, 3]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]",1
1,0,7,"[8, 7, 7, 4, 4, 7, 7, 7, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,0,8,"[8, 8, 8, 8, 8, 8, 8, 8, 5, 7]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",1
1,0,9,"[6, 3, 3, 4, 4, 4, 4, 5, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,0,10,"[4, 4, 3, 4, 5, 5, 9, 5, 3, 4]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1
1,0,11,"[6, 5, 5, 5, 6, 6, 4, 4, 8, 6]","[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",1
1,0,12,"[6, 7, 7, 6, 6, 6, 6, 6, 6, 6]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0]",1
1,0,13,"[7, 4, 5, 7, 5, 6, 8, 6, 4, 6]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1
