trial,subID,sim_choice,sim_attack,k
1,0,"[8, 8, 8, 8, 5, 8, 7, 7, 8, 8]","[1, 1, 1, 1, 0, 1, 0, 0, 1, 0]",1
1,1,"[6, 9, 7, 6, 7, 8, 8, 6, 4, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,2,"[5, 4, 2, 3, 4, 4, 2, 1, 6, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[4, 6, 5, 4, 7, 5, 7, 7, 5, 5]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]",1
1,4,"[4, 5, 2, 3, 2, 4, 2, 5, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[2, 3, 1, 2, 2, 2, 2, 2, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,6,"[3, 3, 4, 1, 2, 5, 5, 4, 5, 4]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,7,"[9, 7, 5, 6, 7, 7, 8, 7, 7, 6]","[0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",1
1,8,"[1, 2, 3, 4, 3, 2, 2, 2, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,9,"[2, 5, 2, 3, 3, 1, 1, 4, 4, 3]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,10,"[5, 4, 6, 1, 2, 3, 1, 4, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,11,"[3, 5, 3, 5, 4, 3, 4, 3, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[5, 5, 7, 5, 6, 7, 7, 5, 7, 5]","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1
1,13,"[4, 4, 5, 4, 4, 6, 5, 5, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,14,"[3, 4, 5, 2, 5, 3, 5, 4, 3, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,15,"[6, 4, 6, 5, 7, 6, 6, 5, 4, 4]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[5, 8, 7, 6, 8, 6, 7, 5, 8, 5]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",1
1,17,"[7, 5, 5, 4, 6, 5, 6, 6, 5, 3]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,18,"[6, 7, 3, 5, 7, 5, 5, 8, 1, 7]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1
1,19,"[2, 4, 1, 2, 1, 1, 1, 1, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,20,"[5, 4, 4, 4, 6, 6, 4, 5, 5, 2]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",1
1,21,"[6, 7, 5, 8, 7, 8, 9, 8, 8, 7]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1
1,22,"[3, 2, 4, 6, 6, 6, 2, 5, 2, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,23,"[2, 1, 2, 1, 4, 3, 4, 2, 4, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,24,"[2, 5, 4, 7, 1, 6, 6, 3, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,25,"[8, 8, 7, 7, 7, 8, 6, 7, 7, 7]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 1]",1
1,26,"[8, 8, 7, 7, 9, 7, 7, 7, 7, 4]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 1]",1
1,27,"[5, 3, 5, 4, 2, 2, 3, 4, 3, 5]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,28,"[6, 3, 4, 6, 4, 6, 6, 4, 6, 2]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,29,"[3, 6, 6, 5, 2, 4, 6, 6, 7, 7]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",1
1,30,"[3, 2, 3, 2, 3, 4, 2, 1, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,31,"[8, 6, 6, 5, 5, 8, 4, 6, 4, 6]","[1, 1, 0, 1, 0, 1, 0, 0, 0, 1]",1
1,32,"[5, 4, 1, 4, 4, 5, 3, 3, 4, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,33,"[2, 2, 3, 4, 3, 2, 5, 5, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,34,"[6, 7, 7, 5, 5, 5, 7, 5, 8, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,35,"[6, 2, 4, 1, 3, 4, 4, 4, 3, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,36,"[3, 6, 7, 6, 4, 7, 8, 5, 5, 6]","[0, 0, 0, 1, 0, 1, 1, 0, 0, 0]",1
1,37,"[6, 4, 6, 3, 2, 5, 6, 6, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,38,"[1, 4, 1, 2, 2, 3, 2, 6, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,39,"[4, 3, 3, 1, 2, 7, 3, 1, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,40,"[1, 5, 3, 2, 1, 2, 1, 2, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,41,"[3, 5, 1, 3, 3, 3, 5, 4, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,42,"[2, 1, 1, 5, 1, 3, 5, 1, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,43,"[4, 3, 5, 3, 3, 2, 4, 6, 2, 5]","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0]",1
1,44,"[6, 4, 6, 5, 5, 5, 1, 7, 5, 5]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1
1,45,"[2, 3, 4, 3, 2, 4, 1, 5, 5, 5]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 1]",1
1,46,"[2, 1, 5, 4, 5, 2, 2, 4, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,47,"[8, 7, 6, 8, 8, 6, 7, 6, 6, 6]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",1
1,48,"[2, 6, 5, 3, 5, 1, 3, 6, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,49,"[6, 3, 5, 6, 5, 4, 7, 5, 3, 6]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1
1,50,"[6, 6, 7, 6, 6, 7, 3, 2, 5, 5]","[1, 0, 1, 1, 1, 1, 0, 0, 0, 0]",1
1,51,"[4, 6, 2, 3, 3, 1, 3, 4, 3, 6]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,52,"[8, 3, 2, 1, 2, 3, 6, 4, 2, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,53,"[6, 5, 7, 7, 3, 5, 2, 7, 6, 4]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,54,"[4, 5, 3, 6, 2, 6, 5, 2, 4, 4]","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1
1,55,"[8, 6, 7, 6, 7, 7, 8, 6, 7, 7]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0]",1
1,56,"[2, 5, 2, 4, 6, 5, 5, 1, 2, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,57,"[3, 6, 4, 1, 2, 1, 3, 1, 5, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,58,"[1, 4, 4, 2, 2, 3, 5, 5, 4, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
