subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.88,0.4,1.0,-1.0,244.60591895361316,106.25118274686125
27,0.62,0.48,0.96,-1.0,259.0978513876976,73.74206531722142
28,0.9,0.72,0.82,-1.0,164.0029435565324,71.61862398461626
29,0.18,1.28,0.0,-1.0,223.87445773881464,139.3533966930214
33,0.84,0.22,0.74,-1.0,193.5121851526051,94.46826581075892
34,0.24,0.91,0.19,-1.0,125.22830289511674,116.10918852459844
35,0.96,0.57,0.86,-1.0,113.71259962849587,58.08757850163174
36,0.16,0.93,0.68,-1.0,314.29481007595325,126.5166845356333
37,0.23,0.74,0.72,-1.0,359.9739639100169,113.84294737142633
46,1.0,0.3,0.68,-1.0,291.69760704714923,77.02471955932731
62,0.08,1.5,0.0,-1.0,446.7306265639831,185.85249348931058
70,0.81,1.02,0.65,-1.0,182.43639521471493,55.5551301133701
71,0.33,0.78,0.12,-1.0,182.43362986153232,85.77451247583355
74,0.88,0.18,0.88,-1.0,196.82159201672818,89.70568522050812
78,0.28,0.6,1.0,-1.0,314.03440842117647,104.12130971363608
84,0.64,0.46,0.23,-1.0,204.6930311790257,101.19834690649985
85,1.0,0.96,0.41,-1.0,240.24739663563426,112.88102797087917
87,0.05,0.56,0.0,-1.0,255.8184488062591,97.58795109905107
0,0.11,0.98,1.0,-1.0,421.8215873626528,159.56806822170188
1,1.0,1.33,0.55,-1.0,155.1259272770531,80.4684683915015
2,0.95,0.58,0.0,-1.0,180.4161737003084,126.46814054610289
3,0.1,0.83,0.71,-1.0,261.04039610760435,87.30385571637594
13,0.1,0.67,0.68,-1.0,270.62179375086333,94.14102547927298
4,0.3,0.38,1.0,-1.0,229.37977156852804,84.39324156888098
5,1.0,0.4,0.87,-1.0,243.3940901750693,91.99315074630597
6,0.23,0.61,0.77,-1.0,350.4647563898277,135.28585578445828
7,0.72,1.43,0.72,-1.0,180.84942447467748,48.41905752006829
8,0.64,0.26,0.99,-1.0,204.10450455977838,67.30571139245363
9,0.48,0.49,0.68,-1.0,244.32469686591318,83.27517698416652
10,1.0,0.56,0.56,-1.0,210.9395114398668,69.13331938458194
11,0.32,0.58,0.94,-1.0,276.59756665273744,90.04133564065589
12,1.0,1.08,0.68,-1.0,172.49095390793764,60.932441020293176
14,0.44,0.49,0.62,-1.0,299.6867590412021,98.85108780798397
15,0.29,0.77,0.0,-1.0,137.1030782415881,113.44113633267389
16,0.33,1.28,1.0,-1.0,273.1056108583766,123.20903291895551
17,0.62,0.85,0.53,-1.0,311.9177780871661,96.56039829103317
18,1.0,1.13,0.36,-1.0,261.72801802313506,157.43453311417184
19,0.52,0.13,1.0,-1.0,222.32049144449144,89.29723956956828
20,0.21,0.69,0.68,-1.0,246.11759870647953,86.41813808633128
21,0.27,1.48,0.0,-1.0,264.5306818453069,128.2402810333641
22,0.84,0.41,0.79,-1.0,253.121135345008,61.960102013744226
23,0.68,0.28,1.0,-1.0,202.5547888416496,90.47347360990437
24,0.0,0.63,0.0,-1.0,279.28438843146694,109.75041573612185
25,0.58,1.07,0.72,-1.0,286.5446912459995,118.20943888421579
26,0.17,1.5,1.0,-1.0,295.64137939393703,103.06557438893209
30,0.36,0.44,1.0,-1.0,187.37136406917773,115.08758154583208
31,0.92,0.68,0.86,-1.0,227.16585032053388,106.88146303147187
32,0.89,0.54,0.86,-1.0,178.78811731874825,83.16202104182904
38,0.52,0.42,0.95,-1.0,266.9461918662537,79.45939778273578
39,0.69,0.08,0.0,-1.0,161.44338290911486,74.05162962970078
40,0.42,0.26,0.69,-1.0,281.9183375061862,78.47065433510876
41,0.0,0.71,0.0,-1.0,263.77969662918014,92.05535251742681
42,1.0,0.29,0.68,-1.0,212.54694909909225,74.7360049943516
43,0.19,0.46,0.68,-1.0,769.3538319862288,91.61208046786557
44,1.0,0.72,0.59,-1.0,212.37150329951552,83.38839435278915
45,0.74,0.48,0.97,-1.0,207.26294750236877,84.13553856609418
47,1.0,1.3,0.68,-1.0,150.7489933563935,44.99353113062189
48,1.0,0.68,0.84,-1.0,249.95432914264515,78.94245212422122
49,0.16,0.63,0.08,-1.0,296.3191431706082,86.00641761856288
50,0.21,0.88,0.1,-1.0,175.59956347168279,37.3581226600129
51,1.0,0.56,0.79,-1.0,254.2201171561562,78.76224276945858
52,0.13,0.27,0.28,-1.0,282.03239053164685,88.25480789994432
53,0.45,0.84,0.08,-1.0,462.85584199069973,87.28639170896506
54,0.61,0.54,0.72,-1.0,323.0708358715731,159.033112676406
55,0.01,1.3,0.0,-1.0,292.3123935586029,128.81791124818878
56,0.0,0.7,0.0,-1.0,375.32066526934557,142.98796163832935
