subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.13,0.47,1.0,0.36,249.71591971264633,100.55283743737397
27,0.15,0.48,0.84,0.52,260.9046562511011,46.7417467445069
28,0.31,0.6,0.87,0.37,160.99700521249076,66.35601834629685
29,0.08,1.07,0.0,-1.0,224.28605969588847,96.29161978166759
33,0.59,0.16,0.69,0.49,186.1866818300619,87.98861641481443
34,0.14,0.98,0.62,-0.38,143.83848901007738,99.72684662229211
35,0.53,0.52,0.88,0.52,114.8868334405708,62.25168029601261
36,0.08,1.08,0.06,0.33,314.36202490749497,116.99926372351248
37,0.0,0.78,0.0,-0.5,365.34459754588664,99.66309258270185
46,0.0,0.53,0.0,-0.32,289.1487472905264,85.16953905336104
62,0.0,1.5,0.0,-0.18,473.59037394697043,92.37481528965773
70,0.08,0.91,0.0,0.14,190.38780960992037,46.78073079387923
71,0.08,0.84,0.68,0.53,198.65042233811081,62.24551900409201
74,0.17,0.22,0.55,0.02,194.0392825547319,95.11974822701535
78,0.01,0.66,0.0,0.36,324.4008288536888,91.29552595757242
84,0.18,0.37,0.85,-0.28,215.59055235607835,86.76727570425581
85,0.42,1.04,0.57,0.52,224.03264631595692,121.24358345584332
87,0.12,0.45,0.1,-0.07,253.23379107880513,87.11204503407332
0,0.92,0.32,1.0,0.49,470.74352073558305,130.18386094454988
1,0.26,1.5,0.52,0.53,143.17263837782158,41.650785566747075
2,0.24,0.55,0.0,0.69,181.891226340309,112.39439913278348
3,0.0,0.88,0.0,0.0,268.81964456027237,83.92503762701602
13,0.08,0.65,0.84,0.64,270.21974698483433,88.78455504460109
4,0.19,0.28,0.99,-0.04,214.61569550688844,95.41895348769836
5,0.43,0.45,0.81,0.32,229.43467331723102,79.60173145463283
6,0.09,0.66,0.68,0.47,336.04947705651676,121.14104872612359
7,0.11,1.35,0.48,0.08,179.35906742658668,52.003218805080515
8,0.52,0.15,0.98,0.51,210.84054903478128,54.737708713423096
9,0.08,0.47,0.68,-0.12,253.0056128013698,84.90160641489794
10,0.39,0.6,0.62,0.41,214.3474982780328,66.09783920693638
11,0.02,0.65,0.1,0.32,278.0841371263111,94.55272956662154
