subID,alpha,theta,gamma,w,nll
82,0.13,0.47,1.0,0.4,343.5756398705888
27,0.15,0.45,0.84,0.54,299.6151630175754
28,0.31,0.6,0.87,0.4,219.55561270769368
29,0.08,1.07,0.0,-1.0,313.1409631287802
33,0.6,0.16,0.69,0.51,263.843237354812
34,0.14,0.98,0.62,-0.37,238.40326609911807
35,0.53,0.52,0.88,0.53,172.4465355268313
36,0.08,0.99,0.02,0.31,418.69484631389184
37,0.0,0.77,0.0,-0.48,460.447555817266
46,0.0,0.53,0.0,-0.32,369.0247065550644
62,0.0,1.5,0.0,-0.18,559.361047857723
70,0.08,0.91,0.0,0.16,232.52922763605625
71,0.08,0.85,0.68,0.55,252.81617969011512
74,0.17,0.22,0.55,0.03,282.7441946947767
78,0.01,0.67,0.0,0.37,408.7958984272684
84,0.18,0.36,0.87,-0.28,295.65346413355337
85,0.42,1.04,0.57,0.52,335.71492090289246
87,0.12,0.44,0.1,-0.07,327.25029188531664
0,0.92,0.32,1.0,0.49,592.8477740455302
1,0.26,1.5,0.52,0.55,179.3268558673272
2,0.24,0.54,0.0,0.72,284.9877902558699
3,0.0,0.88,0.0,0.0,344.79018172151484
13,0.08,0.65,0.84,0.64,342.8429002562097
4,0.19,0.28,0.99,-0.04,302.85506343559507
5,0.43,0.44,0.82,0.32,303.5178197784571
6,0.09,0.66,0.68,0.47,447.9212955050367
7,0.11,1.36,0.48,0.09,224.8209698242513
8,0.52,0.15,0.98,0.56,257.6887774928244
9,0.08,0.47,0.68,-0.11,333.2638099756132
10,0.41,0.63,0.6,0.45,273.81415156948214
11,0.02,0.65,0.1,0.32,364.8395103241927
12,0.26,1.26,0.61,0.55,192.16528276107357
14,0.32,0.6,0.87,0.66,347.83786624043904
15,0.08,0.84,0.0,-0.12,235.30269046680496
16,0.02,1.5,0.0,0.49,341.81125506637284
17,0.25,0.68,0.87,-0.12,399.7987581897727
18,0.42,1.48,0.36,0.79,299.991869185046
19,0.16,0.06,1.0,0.29,298.3687824732116
20,0.13,0.56,0.88,0.08,334.0414931014026
21,0.09,1.28,0.02,-0.32,309.21326892350487
22,0.13,0.57,0.51,0.96,260.15378273822074
23,0.19,0.32,1.0,-0.36,278.29756215206896
24,0.0,0.63,0.0,0.27,377.7609865544671
25,0.14,1.08,0.32,0.52,381.7699558464494
26,0.04,1.5,0.02,-0.08,380.232525061933
30,0.18,0.25,1.0,0.62,267.0616558996942
31,0.34,0.52,0.96,0.57,322.94447516349294
32,0.24,0.48,0.88,0.22,269.22440517610477
38,0.01,0.57,0.02,1.0,319.52980686967356
39,0.24,0.15,0.08,-0.14,217.4832587803498
40,0.08,0.24,0.28,0.28,351.4832072206299
41,0.0,0.66,0.0,-0.32,344.3842573648632
42,0.51,0.21,0.88,0.47,249.0510878617493
43,0.88,0.08,0.98,0.88,929.5392321214555
44,0.5,0.57,0.83,0.09,271.27103486017654
45,0.39,0.72,0.76,0.6,282.4716808531591
47,0.25,1.12,0.76,-0.72,175.5459712426373
48,0.16,0.73,0.8,0.3,315.5011637713237
49,0.04,0.68,0.06,0.08,355.5132543932197
50,0.1,1.08,0.48,0.28,201.45238472990923
51,0.46,0.5,0.88,0.57,291.12641496683875
52,0.04,0.29,0.0,0.0,364.97662964056633
53,0.1,0.92,0.02,0.81,499.2232533279079
54,0.48,0.24,0.99,-0.27,448.8321723543052
55,0.03,1.5,0.0,0.6,351.03447271193465
56,0.0,0.66,0.0,-0.47,436.11955130185106
57,0.16,0.4,0.88,0.24,319.93640603358415
58,0.32,0.38,0.79,0.17,298.457848552136
59,0.27,0.37,0.6,0.28,277.5144076583547
60,0.08,0.3,0.88,0.08,318.5563307794306
61,0.36,0.2,1.0,0.0,219.59317578979807
63,0.17,0.38,0.16,0.48,272.07788875645167
64,1.0,0.1,1.0,1.0,479.9405396822224
65,0.22,0.27,0.95,-0.04,283.90346473874246
66,0.08,0.47,1.0,0.28,313.12642966800655
67,0.2,0.18,0.88,0.06,343.0004308526034
68,0.88,0.1,0.97,0.76,420.2064968142956
69,0.24,0.52,0.87,0.27,278.2370145971483
72,0.4,0.69,0.85,0.75,210.93537644040035
73,0.12,0.79,0.09,-0.53,386.2119153577827
75,0.19,0.33,0.88,1.0,385.1930631409109
76,0.14,0.25,1.0,0.0,371.08831726938024
77,0.12,1.0,0.15,0.48,266.55228672708313
79,0.1,0.52,0.0,0.68,479.45709661196923
80,0.01,1.5,0.0,1.0,456.64882415551665
81,0.01,0.78,0.0,0.0,383.21751479109315
83,0.88,0.1,0.99,0.88,462.4534849754083
86,0.16,1.46,0.04,-0.19,576.8377681578414
88,0.33,0.77,0.65,0.25,313.7748287132367
89,0.08,0.48,1.0,0.36,406.17966262657603
90,0.08,1.0,0.68,-0.58,369.9421250920806
91,0.42,0.52,0.88,-0.21,250.00096752642276
92,0.02,1.2,0.1,0.46,289.54743093065053
93,0.03,0.26,0.0,-0.04,485.17677314906246
96,0.15,0.36,0.72,0.22,375.7007693846674
121,0.09,0.81,0.88,0.56,288.14584689063537
128,0.08,0.79,0.95,0.39,375.9830620444999
135,0.12,0.52,1.0,-0.04,351.22293117424806
136,0.08,0.84,0.88,0.68,387.3364723930746
139,0.55,0.52,0.87,0.41,165.85353029301416
149,0.57,0.93,0.56,-0.04,278.7030187134437
156,0.34,0.49,0.84,0.37,289.37305300500014
159,0.11,0.73,0.7,0.51,310.11703615025533
162,0.1,0.96,0.0,-0.19,274.7424509061191
183,0.19,0.65,0.99,0.12,413.52203172974447
186,0.22,0.38,0.97,-0.98,479.75555768999226
191,0.41,0.75,0.0,0.52,301.12388746639454
197,0.13,1.5,0.11,0.72,452.920985509635
199,0.29,0.18,0.98,0.69,270.02746284714567
200,0.08,0.39,0.56,0.61,364.6793831932033
202,0.18,0.93,0.24,0.57,318.56730423897613
94,0.29,0.69,0.72,0.0,281.9838201723468
95,0.16,0.41,0.0,0.44,394.8100978422336
97,0.19,0.51,0.64,0.6,374.11096641186504
98,0.34,1.13,0.7,-0.52,234.2009270651886
99,0.26,0.16,0.98,-0.03,314.8407749766229
100,0.23,0.48,0.97,0.43,345.2004359346986
