subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.29,0.36,0.94,0.08,255.60059799695804,97.79385134868922
27,0.2,0.32,0.98,0.12,264.61469307101333,66.64390188895534
28,0.33,0.68,0.84,-0.35,160.67926207783802,67.81000183109305
29,0.08,1.16,0.0,1.0,229.01565803946318,108.62632143371644
33,0.14,0.19,0.4,0.12,201.69158763197098,92.95782094691614
34,0.08,0.96,0.68,-0.37,138.9732032613936,94.32118609817118
35,0.5,0.24,0.98,-0.12,113.7738512279385,64.39413569853014
36,0.08,0.93,0.02,0.16,308.988842396723,128.90916673450323
37,0.09,0.81,0.72,-0.44,350.83403428623893,100.60466410806762
46,0.31,0.5,0.73,-0.32,262.80218460611667,100.50443167906764
62,0.01,1.5,0.0,1.0,451.94072110171277,124.74841167429352
70,0.08,0.92,0.0,-0.13,190.3711521356496,46.94248544614648
71,0.08,0.85,0.68,-0.32,198.5815875435796,78.33373856606504
74,0.13,0.19,0.52,0.21,193.40859990728475,91.33598621239622
78,0.01,0.67,0.0,0.12,324.3563615011641,100.91199255730695
84,0.15,0.59,0.35,-1.0,203.96263656065443,82.60904121850328
85,0.22,0.88,0.48,0.02,235.89437554221337,116.21862385201582
87,0.1,0.52,0.1,-0.32,249.29286342644943,76.34851826009606
0,0.91,0.32,1.0,-1.0,470.7610598127314,171.0888193411223
1,0.23,1.44,0.62,-0.52,145.01037625680044,69.84901803232613
2,0.27,0.55,0.0,-0.17,183.0820987808462,134.17972458494478
3,0.0,0.86,0.0,0.08,268.9706695634583,84.0495824352339
13,0.02,0.71,0.1,-0.13,275.3336414421819,91.3295707913444
4,0.2,0.31,0.99,-0.12,213.03780751222217,92.38466106605168
5,0.42,0.44,0.82,0.08,229.69462066806963,87.27084957058375
6,0.88,0.1,0.98,-1.0,413.9341172859194,160.49107445749812
7,0.08,1.36,0.48,-0.32,176.63242294206128,49.782420966525336
8,0.32,0.23,0.97,0.0,218.80861092426554,74.13550452458686
9,0.09,0.52,0.68,-0.24,250.56846701784676,80.13236436411677
10,0.17,0.45,0.83,-0.01,218.847970523098,71.24319618684575
11,0.1,0.66,0.88,-0.25,266.8493105509913,88.57278341522841
12,0.25,1.24,0.71,-0.41,161.008877296746,56.88871230895956
14,0.11,0.63,0.8,-0.36,286.74440747506964,94.68101588682086
15,0.09,0.99,0.28,-0.74,121.68446454675224,76.41770021144337
16,0.01,1.5,0.02,-0.64,246.51753051461412,110.62567393170366
17,0.23,0.76,0.85,-0.16,312.0504468537394,92.3222763005014
18,0.39,1.29,0.29,-0.92,224.80741387414088,137.61083901450647
19,0.11,0.03,1.0,0.15,219.22840853675817,88.70078835438366
20,0.12,0.6,0.88,-0.12,246.02423694507914,88.86280036739461
21,0.08,1.28,0.0,-0.12,228.7563783446607,94.31437998003004
22,0.17,0.58,0.45,-0.02,252.27438287663495,53.089787676997794
23,0.25,0.28,1.0,-0.11,203.3806598754322,91.87006473055715
24,0.0,0.65,0.0,-0.09,278.8738978485366,108.65331395550001
25,0.11,0.99,0.5,0.0,288.24096197294824,124.21538790759061
26,0.05,1.5,0.0,1.0,239.87066216204735,98.80251382543537
30,0.18,0.3,0.86,0.45,172.07400097670936,89.2408449443596
31,0.28,0.62,0.94,-0.32,245.95850835430892,94.18472785317805
32,0.24,0.49,0.88,-0.04,198.04172299815366,83.69659906812858
38,0.03,0.56,0.1,0.08,264.4313186133341,85.12993832128568
39,0.17,0.19,0.0,-1.0,155.11958341516626,71.03680340772304
40,0.08,0.26,0.52,-0.04,282.4165981972728,79.38067885520437
41,0.0,0.73,0.0,-0.08,264.0665019558214,92.8885730093672
42,0.11,0.26,0.68,0.1,215.10307402962323,73.55524705188827
43,0.88,0.1,0.96,-1.0,844.5526454024313,168.00499217105147
44,0.52,0.73,0.81,-0.32,182.1308900717004,81.89982112057712
45,0.34,0.71,0.8,-0.28,201.384783718756,86.8830530113879
47,0.25,1.12,0.74,0.09,152.02032355990787,44.94718605804573
48,0.1,0.7,0.86,-0.08,254.91570840634935,76.50233307087271
49,0.04,0.69,0.07,-0.1,285.34152519642066,80.45097566137143
50,0.1,1.08,0.48,-0.01,173.67580370614158,44.207546832996634
51,0.36,0.4,0.98,-0.11,231.022977351027,73.75215525297794
52,0.03,0.38,0.0,-0.24,280.01156435128297,82.92751908446893
53,0.08,0.96,0.03,-0.48,468.3547401533775,61.140457836630816
54,0.56,0.2,0.99,0.2,333.8110626300829,150.27867077188532
55,0.0,1.5,0.0,-0.62,284.75944867465023,81.45155507909297
56,0.01,0.82,0.0,-0.6,364.69110065846075,106.95158606539272
57,0.16,0.41,0.88,0.03,255.1600039797867,71.33995026129344
58,0.32,0.32,0.82,0.32,222.92130285328997,87.98864283557167
59,0.22,0.37,0.57,0.24,205.45653418251064,79.81571555452945
60,0.13,0.3,0.94,-1.0,233.9684152250581,94.6918902927656
61,0.4,0.18,0.99,0.0,171.07467316652063,54.12971368681987
63,0.24,0.33,0.52,0.32,204.20737180442597,80.3558352919084
64,0.92,0.1,1.0,-1.0,507.0742751356715,72.7379091544387
65,0.15,0.31,0.97,-0.08,214.29161578727167,84.48074309225719
66,0.08,0.44,1.0,0.06,239.0207982892627,82.15561764455646
67,0.2,0.15,0.88,0.12,270.92106864836364,80.38106305854676
68,0.08,0.52,1.0,-0.23,325.476630032825,99.85431670016946
69,0.24,0.56,0.86,-0.09,214.81525899206198,75.12633214017569
72,0.38,0.68,0.87,-0.32,162.97928647487691,74.17075280747252
73,0.11,0.86,0.76,-1.0,243.97249247788884,98.18870417666916
75,0.11,0.46,0.6,0.4,274.8279811363932,119.16527035256783
76,0.14,0.32,1.0,-1.0,262.8685705431086,104.04278114630328
77,0.12,0.98,0.15,0.0,220.12295520796573,63.10216281554542
79,0.09,0.52,0.0,0.12,363.6325912719792,130.29644689382386
80,0.01,1.5,0.0,-0.84,392.6297557554095,62.04970490149728
81,0.01,0.88,0.0,-0.36,245.35764113725824,110.16297942022263
83,0.01,0.76,0.02,-0.16,346.77071412117897,109.32904385651187
86,0.08,1.5,0.0,-0.52,473.0838048175891,108.94222993533027
88,0.29,0.71,0.62,0.44,245.14864775768214,71.67231196804937
89,0.0,0.62,0.0,0.13,334.891807162157,93.35660008475247
90,0.08,0.95,0.0,0.68,311.8718322310907,92.7684217059528
91,0.31,0.44,0.95,-0.15,190.5960551235125,58.34462576066773
92,0.01,1.16,0.02,-0.4,191.5647565198191,108.31094087870042
93,0.04,0.29,0.0,-0.27,406.70380834615776,77.84564474159492
96,0.14,0.33,0.72,0.27,270.8439599437383,117.6784878890789
121,0.09,0.72,0.97,-0.34,236.7632261182568,51.66391868345184
128,0.08,0.84,0.91,-0.08,307.8102970431453,84.80131914055966
135,0.12,0.52,1.0,-0.13,269.739473688042,85.4842889324873
136,0.1,0.72,1.0,-0.32,312.4762384319978,86.62192213219238
139,0.52,0.32,0.94,-0.04,115.40352958825869,62.38575968295384
149,0.58,0.87,0.6,0.08,220.17628442730177,67.00699021599854
156,0.33,0.51,0.86,-0.32,219.45265125718515,83.49967971680101
159,0.08,0.72,0.72,0.28,223.59956985095943,104.56229957730875
162,0.09,0.95,0.0,0.88,243.67043227899916,82.24266749434206
183,0.18,0.68,1.0,-0.12,293.5004056525292,132.85305703049875
186,0.08,0.52,0.0,0.48,429.5427501899073,119.7696658992782
