subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.28,0.4,1.0,0.32,245.98251053483608,101.23562189981243
27,0.24,0.48,0.88,0.5,259.00194296747446,46.81251975384452
28,0.48,0.68,0.86,0.28,149.58507793269425,56.98510036108099
29,0.14,1.29,0.0,-0.32,235.48336943650835,32.50933724414688
33,0.88,0.18,0.82,0.39,182.56708595270408,84.43590487171464
34,0.11,0.94,0.48,-0.08,123.72830501461996,112.30230747786273
35,0.68,0.6,0.87,0.19,96.80070738643055,48.0244173624284
36,0.08,0.98,0.06,0.3,310.96951739794036,118.76806498423915
37,0.57,0.48,0.98,-0.27,343.6448780404143,97.90884064250903
46,0.52,0.43,0.73,-0.12,271.87829944525026,76.76086584505224
62,0.01,1.5,0.0,-0.18,455.6148944585482,100.99566332394458
70,0.12,0.94,0.08,0.18,197.84486885171023,50.566811848194014
71,0.09,0.82,0.0,0.52,171.7539519945866,65.3076280385132
74,0.56,0.16,0.88,0.04,195.4093262798932,88.80479000771416
78,0.01,0.67,0.0,0.38,325.8198340718797,91.29201277451733
84,0.21,0.55,0.34,-0.27,202.2334479923454,88.5913674592584
85,0.71,1.03,0.34,-0.14,235.5253873644899,107.07516007720076
87,0.0,0.65,0.0,-0.26,255.34191785446788,93.95921586792618
0,0.0,1.49,0.0,0.6,422.4648118992624,131.69081676792854
1,0.36,1.5,0.48,0.52,146.03760769748132,41.062514615679625
2,0.25,0.56,0.0,0.72,183.50223614124403,113.1307168512472
3,0.14,0.77,0.87,0.01,260.7101645365016,88.35702371269284
13,0.15,0.65,0.85,0.58,267.31556738849866,87.53514448060075
4,0.22,0.38,0.98,-0.04,219.3099524754227,85.11812562311096
5,0.61,0.43,0.82,0.38,235.29150633585544,79.58065058774105
6,0.11,0.68,0.69,0.39,346.77908978183,124.34616834684839
7,0.14,1.3,0.48,0.13,183.47484656129996,56.216454582904255
8,0.52,0.18,0.98,0.49,209.9534373995999,53.36946461742272
9,0.19,0.5,0.68,-0.11,246.61483693177823,84.99604329432495
10,0.74,0.77,0.59,0.26,191.04190446037362,60.531781977648905
11,0.17,0.61,0.88,-0.21,272.62340909616614,86.18532529585863
12,0.43,1.45,0.55,0.37,148.97096046629568,38.23232186800982
14,0.52,0.6,0.87,0.55,276.65912829864305,80.93116853287741
15,0.13,0.94,0.08,-0.5,115.25818430054947,115.65722220958688
16,0.01,1.5,0.0,0.48,251.36680564912018,101.32350251170756
17,0.21,0.81,0.55,-0.16,312.22609368339823,95.60964388024445
18,0.61,1.5,0.38,0.71,213.482098621369,94.04635694101727
