subID,alpha,theta,gamma,w,nll
82,0.75,0.4,1.0,0.19,341.4333749719743
27,0.6,0.45,0.94,1.0,284.2937063777651
28,0.7,0.76,0.87,0.64,213.9264809529796
29,0.11,1.35,0.08,-1.0,259.8952209385482
33,0.99,0.21,0.76,0.82,243.6513075151276
34,0.21,0.96,0.04,-0.28,229.55975230306183
35,0.88,0.58,0.87,0.12,161.48910164782765
36,0.15,0.94,0.68,0.29,420.5044716569859
37,0.7,0.64,0.93,-0.32,448.0039252472004
46,0.0,0.58,0.0,-0.91,331.7516328107884
62,0.08,1.5,0.0,-0.92,543.5129356253643
70,0.4,0.99,0.32,0.22,232.20338126491825
71,0.24,0.88,0.0,1.0,187.38887940887426
74,1.0,0.19,0.78,0.0,282.72084060079465
78,0.28,0.58,1.0,0.42,400.83453989699734
84,0.89,0.49,0.84,-0.64,261.82214953593416
85,1.0,0.92,0.28,1.0,253.53944859842258
87,0.18,0.42,0.38,-0.27,336.3709710947567
0,0.0,1.47,0.0,0.58,540.3329758399799
1,1.0,1.5,0.5,0.69,190.2639532127601
2,0.63,0.59,0.04,0.46,270.64117354858234
3,0.11,0.84,0.69,0.05,340.10049267983885
13,0.15,0.69,0.68,0.47,332.8905118034266
4,0.3,0.37,1.0,0.0,308.16615236294695
5,1.0,0.4,0.83,0.41,314.7997448974283
6,0.22,0.64,0.7,0.53,444.2454916785389
7,0.72,1.5,0.74,0.24,215.2474802452359
8,0.54,0.29,0.99,0.83,238.20725732214802
9,0.48,0.5,0.72,-0.12,319.99722188888063
10,1.0,0.58,0.56,0.19,271.3205792363854
11,0.19,0.63,0.97,0.64,342.96932417913047
12,1.0,1.2,0.63,1.0,183.90714840006336
14,1.0,0.6,0.79,0.62,369.7300125422619
15,0.21,0.87,0.0,-0.52,225.88187103319154
16,0.08,1.5,1.0,0.49,339.63862175111433
17,0.53,0.88,0.56,0.12,402.66515080648225
18,1.0,1.41,0.42,0.66,350.4576982357134
19,0.44,0.1,1.0,0.42,295.24726179231004
20,0.18,0.69,0.68,0.0,329.36697221426664
21,0.26,1.5,0.0,0.47,348.7273323649961
22,0.33,0.57,0.47,1.0,260.5339343602987
23,0.59,0.37,1.0,-0.32,275.01186428744535
24,0.28,0.46,1.0,-0.12,371.78147206507856
25,0.24,1.17,0.0,0.88,337.8007605773411
26,0.29,1.5,0.03,-0.76,325.1375176844475
30,0.93,0.4,0.85,0.65,237.2530940807331
31,0.96,0.76,0.83,0.61,278.352843130472
32,1.0,0.51,0.85,0.12,255.2604298276001
38,0.52,0.33,0.97,0.09,325.3706920822149
39,1.0,0.24,0.26,-0.72,200.44678810537008
40,0.34,0.23,0.88,1.0,315.4296206378824
41,0.0,0.72,0.0,0.12,348.64568211969765
42,1.0,0.26,0.56,0.61,256.8053262449363
43,0.17,0.47,0.48,0.46,833.8272319215038
44,1.0,0.73,0.57,0.18,286.7914688681958
45,0.78,0.48,0.97,0.26,278.60487597273027
47,0.96,1.38,0.5,-0.76,173.86253234117243
48,1.0,0.78,0.77,0.85,289.52065608344327
49,0.15,0.62,0.08,0.14,371.9124176921733
50,0.17,0.88,0.1,0.19,199.74327446019132
51,0.88,0.59,0.77,0.65,304.1767782362108
52,0.14,0.31,0.28,-0.18,360.0254850490914
53,0.44,0.92,0.09,1.0,482.35011517759904
54,0.52,0.56,0.68,-0.54,445.42947128003425
55,0.02,1.48,0.0,0.76,358.43975056536794
56,0.11,0.64,1.0,-0.78,452.463429836883
57,0.28,0.36,1.0,0.01,324.24768935142055
58,1.0,0.42,0.72,0.19,310.67178678648105
59,1.0,0.4,0.81,0.34,263.13345988082506
