subID,alpha,theta,gamma,w,nll
82,0.75,0.41,1.0,-1.0,343.7756764538018
27,0.56,0.5,0.95,-1.0,328.318318941265
28,0.69,0.72,0.87,-1.0,232.30453130537055
29,0.16,1.24,0.0,-1.0,347.54253225675626
33,0.76,0.22,0.81,-1.0,277.95521061155836
34,0.21,0.91,0.11,-1.0,240.22851947067318
35,0.88,0.56,0.87,-1.0,162.28929452227186
36,0.14,0.91,0.72,-1.0,430.5073691002874
37,0.64,0.52,0.97,-1.0,457.1603928628148
46,1.0,0.3,0.68,-1.0,363.3533235296195
62,0.08,1.5,0.0,-1.0,623.3257441397558
70,0.74,1.07,0.64,-1.0,227.72823943891672
71,0.31,0.81,0.2,-1.0,265.45972694700544
74,1.0,0.19,0.78,-1.0,282.72084060079465
78,0.26,0.6,1.0,-1.0,412.3851668150657
84,0.49,0.45,0.19,-1.0,299.3858283744094
85,1.0,0.98,0.47,-1.0,343.626597669323
87,0.05,0.56,0.0,-1.0,340.35562713549643
0,0.1,0.98,1.0,-1.0,574.5509615585206
1,1.0,1.34,0.56,-1.0,233.32443260578776
2,0.7,0.57,0.0,-1.0,303.53906954964134
3,0.12,0.83,0.7,-1.0,340.4173027409642
13,0.22,0.61,0.94,-1.0,351.05909991892366
4,0.3,0.37,1.0,-1.0,308.16615236294695
5,1.0,0.4,0.87,-1.0,331.70344536655887
6,0.22,0.61,0.75,-1.0,476.6175633939452
7,0.72,1.48,0.73,-1.0,218.11646066014364
8,0.52,0.28,1.0,-1.0,260.58682198298635
9,0.48,0.47,0.72,-1.0,322.0296562509563
10,1.0,0.57,0.56,-1.0,273.28251748997195
11,0.32,0.58,0.94,-1.0,359.78173434533403
12,1.0,1.03,0.71,-1.0,219.9277496525406
14,0.44,0.48,0.62,-1.0,393.2559646860544
15,0.24,0.76,0.0,-1.0,241.8253983695497
16,0.32,1.25,1.0,-1.0,381.6115206552862
17,0.53,0.87,0.55,-1.0,403.6005639770443
18,1.0,1.18,0.38,-1.0,405.03331417127396
19,0.49,0.14,1.0,-1.0,303.0423164377808
20,0.18,0.69,0.68,-1.0,329.36697221426664
21,0.26,1.5,0.0,-1.0,394.3913531538606
22,0.76,0.38,0.83,-1.0,309.83971407263675
23,0.52,0.36,1.0,-1.0,273.3910825880939
24,0.28,0.45,1.0,-1.0,374.2761888414616
25,0.49,1.06,0.75,-1.0,404.290832652467
26,0.17,1.5,1.0,-1.0,390.20559704551863
30,0.94,0.67,0.76,-1.0,283.43760788075207
31,0.96,0.72,0.83,-1.0,319.8135274536691
32,0.95,0.52,0.85,-1.0,256.7335120061209
38,0.52,0.36,0.96,-1.0,325.6675823457465
39,0.68,0.08,0.0,-1.0,230.22755082800882
40,0.39,0.26,0.68,-1.0,355.50096388865467
41,0.0,0.71,0.0,-1.0,349.49621789835
42,1.0,0.28,0.68,-1.0,275.85156824403737
43,0.21,0.44,0.68,-1.0,852.3298450517177
44,1.0,0.73,0.58,-1.0,288.97973991617425
45,0.75,0.47,0.97,-1.0,284.44627467441006
47,1.0,1.33,0.67,-1.0,188.79338405077857
48,0.92,0.74,0.79,-1.0,321.89797050113583
49,0.14,0.63,0.08,-1.0,373.1000325682086
50,0.17,0.88,0.1,-1.0,201.30905996976227
51,0.88,0.58,0.76,-1.0,325.46664210064756
52,0.14,0.27,0.28,-1.0,362.6844032980972
53,0.43,0.85,0.08,-1.0,532.6230722577537
54,0.58,0.56,0.72,-1.0,474.79927413876396
55,0.02,1.28,0.0,-1.0,411.3482785866996
56,0.0,0.7,0.0,-1.0,502.1879511892316
57,0.28,0.36,1.0,-1.0,324.257086088836
58,1.0,0.47,0.71,-1.0,314.4711867501797
59,1.0,0.44,0.81,-1.0,271.571444452543
60,0.32,0.34,0.72,-1.0,314.44811022133115
61,0.52,0.38,0.97,-1.0,210.9722171388122
63,0.55,0.28,1.0,-1.0,306.29217987601004
64,0.19,0.93,0.97,-1.0,559.8858090037623
65,0.17,0.45,0.0,-1.0,283.59867855132904
66,0.27,0.5,1.0,-1.0,305.1185269670218
67,0.8,0.17,0.85,-1.0,350.39324125706327
68,0.28,0.47,1.0,-1.0,406.4569039081866
69,0.52,0.59,0.71,-1.0,291.37697650678774
72,0.65,0.72,0.87,-1.0,212.3504915682652
73,0.48,0.64,0.82,-1.0,420.72764145495364
75,0.48,0.58,0.58,-1.0,387.5300833991722
76,0.18,0.38,0.99,-1.0,367.15931633150694
77,0.68,1.0,0.19,-1.0,292.9939878979182
79,0.57,0.54,0.0,-1.0,484.52215196934173
80,0.09,1.5,0.02,-1.0,496.4103063790727
81,0.01,0.77,0.0,-1.0,383.65784245585763
83,0.01,0.74,0.0,-1.0,453.1442926500437
86,0.42,1.26,0.04,-1.0,586.5312190202119
88,1.0,0.71,0.64,-1.0,329.6320465066317
89,0.08,0.56,1.0,-1.0,407.46774187043536
90,0.14,0.99,0.52,-1.0,459.69255250273704
91,0.72,0.52,0.94,-1.0,238.43807653656836
92,0.08,0.99,0.76,-1.0,322.42546539134844
93,0.13,0.18,1.0,-1.0,485.33113834081377
96,0.88,0.32,0.88,-1.0,352.9763536133209
121,0.32,0.78,0.88,-1.0,297.13341227541304
128,0.13,0.84,0.88,-1.0,382.34535005716356
135,0.52,0.56,0.97,-1.0,341.3968052794071
136,0.33,0.76,0.99,-1.0,390.8380589774309
139,0.86,0.82,0.78,-1.0,137.71811107732037
149,0.84,0.86,0.54,-1.0,314.95666828505694
156,0.68,0.36,0.96,-1.0,308.21014921703744
159,0.34,0.77,0.65,-1.0,308.62944827209293
162,0.18,0.99,0.0,-1.0,377.1243780886972
183,0.56,0.72,0.97,-1.0,416.4353213632968
186,0.96,0.7,0.0,-1.0,611.5603971964907
191,1.0,0.82,0.06,-1.0,311.66111688346155
197,0.52,1.5,0.15,-1.0,516.5219085130752
199,0.88,0.18,0.96,-1.0,302.97492204912874
200,0.68,0.31,0.71,-1.0,382.00887054438874
202,1.0,1.11,0.28,-1.0,387.9046782217591
94,0.78,0.76,0.8,-1.0,284.32780579992817
95,0.26,0.33,0.0,-1.0,430.6101170478803
97,0.38,0.41,0.68,-1.0,375.8704551394195
98,1.0,1.07,0.74,-1.0,302.79817126413707
99,0.28,0.23,0.99,-1.0,326.9294140017971
100,0.35,0.54,0.28,-1.0,336.78679322010964
101,1.0,1.32,0.39,-1.0,262.9899777626171
102,0.88,0.26,0.8,-1.0,447.85557244978634
103,0.38,0.49,0.02,-1.0,282.2294557509844
104,0.23,0.95,0.15,-1.0,359.96126317282756
105,0.61,0.8,0.88,-1.0,298.31462805207195
106,0.4,0.59,0.88,-1.0,349.6827157469034
107,0.48,0.5,0.96,-1.0,286.37361173583747
108,0.91,1.12,0.37,-1.0,519.263151476222
110,0.17,0.78,0.0,-1.0,382.9994028632664
111,1.0,1.22,0.68,-1.0,256.42126016774847
112,0.01,0.84,0.02,-1.0,338.4423246936011
113,0.29,0.61,1.0,-1.0,346.4156222373508
114,0.91,0.5,0.49,-1.0,251.03190561135256
115,0.92,1.36,0.0,-1.0,316.020722199708
116,0.28,0.89,0.03,-1.0,335.60646483446
117,1.0,0.89,0.69,-1.0,233.9548357434089
118,0.34,0.86,1.0,-1.0,371.3930726647725
119,0.41,0.64,1.0,-1.0,362.8879557770004
120,0.0,0.88,0.0,-1.0,434.0661894840583
122,0.8,0.68,0.83,-1.0,238.4163184320058
123,0.33,0.52,0.88,-1.0,314.93317253513897
124,0.35,0.86,0.06,-1.0,374.6869669583682
125,0.38,0.44,1.0,-1.0,354.81593268672304
126,0.76,0.68,0.86,-1.0,311.8855228989999
127,0.68,0.51,0.97,-1.0,296.7089121238872
129,0.68,0.56,0.88,-1.0,356.79742890129825
130,1.0,1.5,0.59,-1.0,138.51346610021903
131,0.22,0.69,0.0,-1.0,297.57861296415206
132,0.3,0.47,0.95,-1.0,293.61416617026146
133,0.37,0.56,0.02,-1.0,482.5172752300093
134,0.45,0.44,0.99,-1.0,382.92394522469164
137,0.24,0.45,0.68,-1.0,331.2863393213343
138,0.52,0.54,0.8,-1.0,402.3373376008499
140,0.28,0.96,0.4,-1.0,230.64689286166004
141,0.16,0.25,1.0,-1.0,317.1609636277104
142,0.52,0.48,0.76,-1.0,351.74744215247006
143,1.0,0.56,0.8,-1.0,288.86411056551634
144,0.51,0.85,0.82,-1.0,351.68988461305554
145,0.42,1.4,0.39,-1.0,234.76970340943984
146,0.14,1.09,0.98,-1.0,349.2667583059307
147,0.04,0.62,0.1,-1.0,373.27396621559126
148,0.16,0.84,0.08,-1.0,311.8314050884601
150,0.87,0.75,0.71,-1.0,350.54493060155926
151,1.0,0.68,0.86,-1.0,194.42973379181268
152,0.8,0.31,0.95,-1.0,259.9150340242839
153,0.97,0.61,0.7,-1.0,287.6551267524869
154,0.88,0.49,0.83,-1.0,393.3273311727885
155,0.24,0.74,0.13,-1.0,487.9674929161521
157,1.0,1.11,0.59,-1.0,229.63588278511077
158,1.0,0.9,0.58,-1.0,186.02317651710183
160,0.29,0.8,0.0,-1.0,301.49110031633234
161,1.0,0.68,0.76,-1.0,216.84166783557566
163,0.88,0.5,0.43,-1.0,530.4406189825892
164,0.08,1.5,0.0,-1.0,526.7500726850681
165,0.6,0.6,0.3,-1.0,351.7025085358896
