subID,alpha,theta,gamma,w,nll
82,0.75,0.4,1.0,0.02,343.74176146034586
27,0.59,0.42,0.97,0.12,325.67941437685954
28,0.88,0.82,0.82,-0.4,222.05978964341574
29,0.19,1.0,0.02,1.0,243.0693230985336
33,0.76,0.21,0.81,0.03,277.7910740494364
34,0.22,1.04,0.15,-0.48,212.11262585305565
35,0.96,0.72,0.84,-0.21,161.3538309631469
36,0.14,0.9,0.72,0.04,430.4141782401745
37,0.52,0.84,0.88,-0.44,446.24597298907895
46,0.0,0.58,0.0,-0.18,365.7644804856018
62,0.04,1.5,0.0,1.0,565.9466371197035
70,0.73,0.96,0.8,-0.32,220.31513070409898
71,0.31,0.93,0.28,-0.38,245.8132834864591
74,0.78,0.11,0.87,0.25,273.7638383536783
78,0.29,0.57,1.0,0.08,411.3966293691112
84,0.88,0.48,0.86,-1.0,268.38688022107715
85,1.0,1.01,0.5,-0.08,343.0637719898913
87,0.08,0.64,0.06,-0.38,318.703696183138
0,0.0,1.47,0.0,-0.71,566.6760075863784
1,1.0,1.47,0.52,-0.52,215.36919310785154
2,0.68,0.62,0.01,-0.13,301.4247149377426
3,0.13,0.85,0.73,-0.05,340.15618039163866
13,0.22,0.65,0.94,-0.17,345.4902783701738
4,0.3,0.36,1.0,0.03,307.87700898533353
5,1.0,0.38,0.86,0.05,331.2927970720035
6,0.21,0.64,0.74,-0.2,468.1888425499246
7,0.72,1.5,0.75,-0.25,213.79662654977975
8,0.52,0.28,1.0,0.0,260.58682198298635
9,0.44,0.58,0.71,-0.28,313.8447478971764
10,1.0,0.57,0.56,-0.02,273.2234860824148
11,0.32,0.63,0.97,-0.14,351.8986030333473
12,1.0,1.15,0.7,-0.32,213.4869751125538
14,0.88,0.61,0.78,-0.36,381.151550267919
15,0.2,0.95,0.0,-0.72,198.20901454277578
16,0.08,1.5,1.0,-0.68,331.5311727175199
17,0.53,0.88,0.56,-0.07,403.0038653797998
18,1.0,1.38,0.48,-1.0,368.1828717637196
19,0.48,0.08,1.0,0.17,297.7864686177421
20,0.16,0.76,0.54,-0.16,325.6846980412926
21,0.21,1.5,0.0,-0.5,378.13504585394526
22,0.33,0.57,0.47,-0.21,308.4488535184828
23,0.56,0.37,1.0,-0.09,267.7088662172624
24,0.28,0.48,1.0,-0.12,370.9973966977496
25,0.31,1.21,0.82,-0.44,387.593665060715
26,0.22,1.5,0.0,1.0,346.2805211285684
30,0.48,0.36,0.88,0.48,250.14270784164933
31,0.96,0.76,0.83,-0.32,303.69279567954067
32,0.95,0.51,0.85,0.04,256.0140946691016
38,0.52,0.32,0.96,0.1,323.84899901335484
39,0.83,0.21,0.09,-1.0,215.98747168091262
40,0.39,0.27,0.68,-0.02,355.46028819559126
41,0.0,0.73,0.0,-0.08,350.2033822288512
42,1.0,0.24,0.67,0.14,274.27963478604227
43,0.21,0.43,0.68,0.06,851.8854503843801
44,1.0,0.79,0.59,-0.21,284.9719747869193
45,0.96,0.68,0.88,-0.32,274.59537393607275
47,1.0,1.33,0.66,0.07,188.73213489219665
48,0.93,0.77,0.78,-0.08,321.86215159658667
49,0.14,0.64,0.08,-0.08,372.3172958247485
50,0.17,0.88,0.1,-0.03,201.23999168425416
51,0.88,0.6,0.76,-0.08,324.6894344724098
52,0.15,0.36,0.0,-0.22,353.8066342563713
53,0.41,0.93,0.07,-0.4,505.8582362628815
54,0.52,0.54,0.75,0.41,458.4796636288361
55,0.01,1.49,0.0,-0.64,356.2219304756382
56,0.0,0.82,0.0,-0.58,455.69345589839054
57,0.29,0.33,1.0,0.06,323.60697384769145
58,1.0,0.35,0.78,0.32,306.2820908604547
59,0.68,0.26,0.98,0.11,266.1560832201935
60,0.36,0.38,0.78,-0.13,310.48906954845836
61,0.52,0.36,0.97,0.07,208.99374780642574
63,0.44,0.23,0.99,0.32,286.13452047292196
64,0.17,1.17,1.0,-0.84,502.5979835553133
65,0.17,0.45,0.0,-0.02,283.49395537443525
66,0.27,0.49,1.0,0.04,304.06686143274214
67,0.32,0.12,1.0,0.22,342.88071262801213
68,0.21,0.53,1.0,-0.09,402.78229486543
69,0.45,0.63,0.75,-0.19,287.80962937188247
72,0.64,0.88,0.84,-0.32,206.27166134867494
73,0.6,0.94,0.81,-0.85,318.20043662006367
75,0.48,0.54,0.57,0.45,378.43499011495584
76,0.25,0.43,1.0,-0.24,356.38199904559406
77,0.68,1.01,0.19,-0.02,292.9361237722909
79,0.61,0.51,0.0,0.09,483.04284774405744
80,0.07,1.5,0.0,-0.89,448.2925728020972
81,0.02,0.88,0.0,-0.4,351.55703609406964
83,0.17,0.76,1.0,-0.32,444.9148071171216
86,0.18,1.5,0.0,-0.66,551.8197715347483
88,1.0,0.6,0.57,0.48,321.46695270264905
89,0.04,0.63,0.1,0.12,411.27590707356967
90,0.18,0.92,0.1,0.46,440.8179767152654
91,0.72,0.48,0.96,-0.04,237.0981469570434
92,0.08,1.18,0.68,-0.52,291.94741096131753
93,0.13,0.23,1.0,-1.0,473.19071167570576
96,0.88,0.29,0.88,0.12,349.0877536095174
121,0.32,0.82,0.88,-0.28,285.15621953670876
128,0.13,0.85,0.88,-0.06,381.6635201793783
135,0.52,0.61,0.97,-0.26,328.71713512722613
136,0.36,0.85,1.0,-0.22,380.1926889733991
139,0.86,0.81,0.78,0.04,137.53712316083195
149,0.75,0.78,0.57,0.21,313.29451012785614
156,0.68,0.44,0.97,-0.24,293.10359191589043
159,0.28,0.72,0.62,0.39,301.36839193739314
162,0.19,0.93,0.0,0.6,366.98065856325775
183,0.57,0.72,0.97,-0.02,416.32817658953496
186,0.32,0.51,0.0,0.69,569.3461410640111
191,1.0,0.82,0.06,0.0,311.66111688346155
197,0.03,1.5,0.0,-0.52,486.4919416838502
199,0.88,0.19,0.96,-0.03,302.63923245737936
200,0.65,0.41,0.71,-0.23,373.7851371568807
202,0.28,1.02,0.68,-0.56,376.13498858198136
94,0.63,0.67,0.8,0.19,281.21567954340446
95,0.26,0.34,0.0,-0.02,430.5370279374305
97,0.37,0.41,0.69,0.0,375.865358317087
98,1.0,1.04,0.75,0.08,301.85242653711106
99,0.28,0.29,0.99,-1.0,323.078717476218
100,0.68,0.7,0.87,-0.48,314.36817425143664
101,1.0,1.5,0.4,-0.92,232.43136204191018
102,0.19,0.61,1.0,-1.0,405.6290795074101
103,0.39,0.52,0.0,-0.12,279.5704249234879
104,0.21,1.01,0.13,-0.44,351.4240438064229
105,0.66,0.89,0.86,-0.32,287.5012130953995
106,0.3,0.65,0.96,-0.22,333.83161721504894
107,0.48,0.56,0.95,-0.17,274.9281522124696
108,0.92,1.15,0.36,-0.32,516.5202503031178
110,0.26,0.84,1.0,-0.51,294.0519519613691
111,1.0,1.27,0.68,-0.12,254.0646944316163
112,1.0,1.03,0.78,-0.43,319.915896412846
113,0.29,0.63,1.0,-0.09,344.60068316627763
114,0.91,0.53,0.5,-0.08,250.86656161101718
115,0.92,1.35,0.0,0.03,315.9903909287435
116,0.28,0.89,0.03,0.0,335.60646483446
117,1.0,0.89,0.69,0.0,233.9548357434089
118,0.36,1.0,1.0,-0.32,357.25432516597687
119,0.44,0.69,1.0,-0.38,344.49327311121317
120,0.0,0.95,0.0,-0.16,426.4680305461793
122,0.73,0.79,0.82,-0.4,220.2190092393068
123,0.33,0.49,0.88,0.08,314.0521464562271
124,0.35,0.85,0.06,0.11,373.5609168113354
125,0.32,0.56,0.99,-0.17,353.26975835138364
126,0.77,0.76,0.83,-0.46,286.3004776388725
127,1.0,1.13,0.6,-0.48,294.1183760034974
129,0.68,0.57,0.88,-0.02,356.643119577359
130,1.0,1.5,0.55,0.46,132.601419921259
131,0.88,1.2,0.77,-1.0,226.78574649289436
132,0.28,0.51,0.98,-0.15,289.4749291218909
133,0.42,0.46,0.0,0.28,468.96837945841065
134,0.45,0.42,0.99,0.09,381.579300644209
137,0.26,0.5,0.67,-0.19,324.88973768593644
138,0.52,0.55,0.8,-0.02,402.2433714397142
140,0.86,0.81,0.79,0.28,222.41972952431476
141,0.2,0.19,1.0,0.14,314.0924231044518
142,0.47,0.34,0.81,0.7,319.73912333118824
143,1.0,0.71,0.75,-0.32,275.70464946930275
144,0.48,0.78,0.84,0.16,347.83744718747374
145,0.42,1.49,0.39,-0.44,227.7710352066576
146,0.14,1.17,0.98,-0.32,342.10816617200044
147,0.04,0.61,0.1,0.06,372.5515394441629
148,0.16,0.82,0.08,0.07,311.1346536089379
150,0.9,0.88,0.72,-0.37,340.28523040048634
151,1.0,0.69,0.86,-0.41,181.5601150230328
152,0.72,0.56,0.88,-0.32,260.17227642600653
153,1.0,0.73,0.72,-0.22,283.06569485802225
154,0.88,0.47,0.77,0.36,377.12363685102775
155,0.24,0.83,0.11,-0.46,464.6728608862828
157,1.0,1.08,0.59,0.08,229.59915807436846
158,1.0,0.96,0.59,-0.34,181.57673988428175
160,0.33,0.85,0.0,-0.21,290.5066290009514
161,1.0,0.72,0.76,-0.21,212.92207618673564
163,0.32,0.28,0.94,1.0,463.63389313040244
164,0.08,1.5,0.0,1.0,473.9302432563014
165,0.58,0.63,0.31,-0.12,348.5840960309078
166,0.09,0.63,0.0,0.08,538.2162340356035
167,0.03,1.5,0.0,1.0,515.7613091863161
168,0.17,0.63,1.0,0.2,405.6893646371837
169,0.01,0.96,0.02,-0.13,387.778597164474
170,0.31,0.86,0.09,-0.18,304.89367964099534
171,0.52,0.86,0.64,-0.52,458.1634896710764
172,0.54,0.48,0.99,-0.14,317.16672482500263
173,1.0,0.67,0.47,-0.32,259.41594147357875
174,0.71,0.94,0.85,-0.5,288.462311729265
175,0.96,0.21,0.88,0.21,267.94190091955625
176,0.24,0.35,1.0,0.48,460.53036528711567
177,0.49,0.43,0.0,0.08,390.09504916645227
178,0.68,1.34,0.61,-0.73,276.22718087714077
179,0.25,0.89,0.32,-0.33,427.2019712323584
180,0.6,1.15,0.77,-0.9,333.2800639442827
181,0.21,0.22,1.0,0.44,323.5988251100586
182,0.61,0.0,0.24,0.76,455.85697011747084
184,1.0,0.48,0.76,-0.12,314.91445477469966
185,0.01,0.76,0.02,0.48,478.3823980905495
187,0.52,0.44,0.96,0.06,307.6072033657005
