subID,alpha,theta,gamma,w,nll
82,0.03,0.77,0.19,0.64,345.0
27,0.32,0.44,0.0,0.8,213.0
28,0.8,1.12,0.64,0.68,85.0
29,0.22,0.87,0.68,-1.0,511.0
33,0.88,0.52,0.77,0.88,158.0
34,0.13,1.03,0.68,-0.06,97.0
35,0.31,0.74,0.74,-0.12,31.0
36,0.24,0.88,0.68,-0.38,606.0
37,0.02,1.08,0.6,-0.16,693.0
46,0.0,0.52,0.37,-0.4,400.0
62,0.02,1.14,0.76,-0.83,1223.0
70,0.98,1.14,0.18,0.14,174.0
71,0.28,1.11,0.75,0.81,164.0
74,0.28,0.12,0.51,-0.12,201.0
78,1.0,0.62,0.0,0.89,584.0
84,0.1,0.57,0.2,-0.32,213.0
85,0.96,0.89,0.18,0.88,225.0
87,0.0,0.52,0.37,-0.4,297.0
0,0.02,0.92,0.97,0.49,869.0
1,0.22,1.1,0.71,-0.19,112.0
2,0.15,0.57,0.28,0.41,626.0
3,0.1,0.73,0.7,-0.12,356.0
13,0.03,0.72,0.55,0.31,384.0
4,0.02,0.52,0.52,0.18,205.0
5,0.41,0.41,0.28,0.34,346.0
6,0.85,0.77,0.09,0.81,808.0
7,0.09,1.16,0.72,-0.34,96.0
8,0.36,0.5,0.69,0.72,139.0
9,0.19,0.46,0.41,-0.06,229.0
10,0.4,0.64,0.64,0.2,109.0
11,0.95,0.67,0.87,0.76,363.0
12,0.38,1.27,0.56,0.73,59.0
14,0.76,0.56,0.87,0.88,410.0
15,0.01,0.69,0.36,-0.4,120.0
16,0.09,1.48,0.88,0.44,294.0
17,0.12,0.76,0.87,0.32,558.0
18,0.5,1.5,0.58,0.88,245.0
19,0.09,0.28,0.03,0.74,305.0
20,0.11,0.68,0.68,-0.12,304.0
21,0.26,1.5,0.57,-0.12,276.0
22,0.56,0.24,0.02,0.72,306.0
23,0.03,0.5,0.6,0.08,278.0
24,0.02,0.58,0.5,-0.24,473.0
25,0.28,1.04,0.35,0.77,425.0
26,0.08,1.5,0.16,-0.76,371.0
31,0.6,0.59,0.0,0.76,275.0
32,0.18,0.58,0.59,0.21,123.0
38,0.01,0.54,0.48,0.28,306.0
39,0.16,0.34,0.0,0.08,107.0
40,0.08,0.58,0.68,0.68,570.0
41,0.01,0.72,0.56,-0.3,326.0
42,0.1,0.38,0.48,0.28,138.0
43,0.04,0.74,0.7,0.43,1810.0
44,0.74,0.86,0.78,-0.04,223.0
45,0.63,0.87,0.66,0.4,148.0
47,0.11,1.1,0.68,-0.4,126.0
48,0.15,0.63,0.94,0.68,259.0
49,0.07,0.68,0.36,0.38,386.0
50,0.09,1.02,0.76,-0.38,50.0
51,0.2,0.59,0.68,0.11,381.0
52,0.03,0.52,0.32,-0.44,522.0
53,0.0,0.88,0.48,0.28,1004.0
54,0.19,0.59,0.95,0.23,805.0
55,0.0,1.13,0.83,0.08,318.0
56,0.23,0.69,0.01,0.28,635.0
57,0.01,0.54,0.54,-0.32,319.0
58,0.56,0.69,0.76,0.1,250.0
59,0.52,0.5,0.62,0.46,160.0
60,0.02,0.4,0.4,-0.39,292.0
61,0.02,0.42,0.52,-0.32,54.0
63,0.04,0.46,0.3,0.62,137.0
64,0.0,0.88,0.52,-0.32,1087.0
65,0.07,0.52,0.4,-0.44,177.0
66,0.1,0.55,0.18,0.58,262.0
67,0.04,0.42,0.54,-0.18,454.0
68,0.0,0.68,0.16,0.45,535.0
69,0.15,0.4,0.28,-0.32,162.0
72,0.66,1.02,0.49,0.34,103.0
73,0.24,0.79,0.2,-0.02,241.0
75,0.16,0.46,0.85,0.48,618.0
76,0.03,0.6,0.36,-0.43,456.0
77,0.23,0.99,0.48,-0.43,273.0
79,0.0,0.68,0.22,0.5,1115.0
80,0.04,1.31,0.57,-0.28,656.0
81,0.0,0.68,0.5,0.08,357.0
83,0.04,0.82,0.59,-0.08,659.0
86,0.08,1.5,0.63,-0.33,939.0
88,0.11,0.66,0.55,-0.4,327.0
89,0.09,0.59,1.0,0.72,506.0
90,0.25,0.86,0.73,-0.45,197.0
91,0.52,0.52,0.87,0.33,165.0
92,0.04,1.02,0.84,-0.08,266.0
93,0.0,0.37,0.28,-0.44,476.0
96,0.21,0.37,0.71,0.64,432.0
121,0.44,0.83,0.0,0.81,184.0
128,0.82,1.17,0.4,0.48,329.0
135,0.14,0.67,0.97,0.62,378.0
136,0.8,0.84,0.02,0.62,500.0
139,0.42,0.8,0.8,-0.32,38.0
149,0.93,0.98,0.16,0.41,225.0
156,0.01,0.56,0.41,0.32,214.0
159,0.39,0.91,0.84,0.83,217.0
162,0.15,0.81,0.7,-0.26,234.0
183,0.0,0.68,0.6,0.28,664.0
186,0.12,0.64,0.86,0.15,920.0
191,0.68,0.85,0.12,0.79,213.0
197,0.21,1.48,0.21,0.88,613.0
200,0.17,0.47,0.68,0.72,476.0
202,0.37,1.01,0.3,0.89,296.0
94,0.87,0.88,0.48,-0.41,181.0
95,0.24,0.6,0.12,0.78,795.0
97,0.49,0.18,0.2,0.56,514.0
98,0.66,1.12,0.65,-0.5,170.0
99,0.0,0.37,0.3,0.21,330.0
100,0.37,0.67,0.87,0.65,290.0
101,0.84,1.48,0.12,0.08,134.0
102,0.78,0.41,0.02,-0.32,466.0
103,0.77,0.81,0.65,0.64,194.0
104,0.13,1.28,0.56,0.48,465.0
105,0.62,1.32,0.67,-0.13,170.0
106,0.83,0.83,0.0,0.68,275.0
107,0.0,0.52,0.48,0.28,116.0
108,0.87,0.94,0.43,0.36,1168.0
110,0.88,1.24,0.22,0.02,251.0
111,0.72,1.07,0.75,0.72,106.0
112,0.03,0.92,0.6,0.4,239.0
113,0.17,0.59,0.98,0.58,334.0
114,0.09,0.45,0.64,0.49,125.0
115,0.27,1.09,0.56,-0.47,245.0
