subID,alpha,theta,gamma,w,nll
0,0.06,0.89,0.89,0.5,358.0
1,0.1,0.68,0.81,0.32,460.0
2,0.1,0.37,0.21,0.28,585.0
3,0.03,0.69,0.77,-0.11,387.0
4,0.01,0.39,0.45,0.08,444.0
5,0.11,0.48,0.1,0.28,480.0
6,0.0,0.68,0.0,0.56,572.0
7,0.16,1.15,0.6,-0.26,341.0
8,0.07,0.61,0.5,0.48,436.0
9,0.08,0.67,0.15,-0.44,358.0
10,0.01,0.54,0.64,0.08,264.0
11,0.01,0.72,0.56,0.36,476.0
12,0.08,0.64,0.76,0.68,332.0
13,0.0,0.68,0.52,-0.32,372.0
14,0.08,0.59,0.83,0.73,435.0
15,0.02,0.57,0.68,-0.08,518.0
16,0.08,1.26,0.9,0.62,281.0
17,0.02,0.7,0.96,0.29,345.0
18,0.13,0.7,0.8,0.8,325.0
19,0.02,0.39,0.46,0.28,440.0
20,0.11,0.52,0.72,0.31,346.0
21,0.09,0.9,0.98,0.24,333.0
22,0.01,0.54,0.4,0.28,403.0
23,0.0,0.52,0.52,-0.32,474.0
24,0.0,0.52,0.52,-0.32,578.0
25,0.67,0.3,0.98,0.69,346.0
26,0.11,0.92,0.99,0.0,321.0
27,0.26,0.4,0.91,0.68,549.0
28,0.31,0.08,1.0,0.74,383.0
29,0.3,0.96,0.56,-0.57,295.0
31,0.24,0.12,1.0,0.73,466.0
32,0.19,0.45,0.24,-0.4,450.0
33,0.28,0.18,0.94,0.76,335.0
34,0.0,0.88,0.74,0.17,271.0
35,0.04,0.58,0.66,-0.16,541.0
36,0.3,0.93,0.68,-0.38,289.0
37,0.0,0.88,0.63,0.08,304.0
38,0.0,0.52,0.57,0.13,416.0
39,0.0,0.37,0.28,-0.44,370.0
40,0.0,0.52,0.59,0.16,448.0
41,0.01,0.68,0.68,-0.12,503.0
42,0.01,0.37,0.32,0.08,392.0
43,0.03,0.69,0.6,0.5,591.0
44,0.03,0.56,0.28,0.12,277.0
45,0.02,0.69,0.61,0.16,324.0
46,0.06,0.49,0.49,-0.28,642.0
47,0.02,0.88,0.8,0.09,548.0
48,0.11,0.61,0.92,0.6,333.0
49,0.0,0.68,0.58,0.12,424.0
50,0.16,0.57,0.96,0.4,529.0
51,0.12,0.72,0.65,0.0,358.0
52,0.0,0.52,0.52,-0.32,665.0
53,0.0,0.68,0.39,0.2,403.0
54,0.32,0.3,0.9,0.28,430.0
55,0.01,0.88,0.72,-0.11,233.0
56,0.14,0.59,0.31,0.09,653.0
