subID,trial,sim_choice,k
82,5,3,1
82,56,5,1
82,35,3,1
82,114,6,1
82,110,7,1
82,123,6,1
82,55,7,1
82,60,2,1
82,30,4,1
82,32,6,1
82,136,6,1
82,67,6,1
82,6,5,1
82,45,5,1
82,117,3,1
82,145,6,1
82,73,6,1
82,115,6,1
82,112,7,1
82,64,6,1
82,90,6,1
82,139,3,1
82,4,5,1
82,13,5,1
82,63,5,1
82,54,4,1
82,86,6,1
82,104,6,1
82,91,6,1
82,62,5,1
82,150,3,1
82,122,5,1
82,58,6,1
82,52,8,1
82,12,2,1
82,28,6,1
82,75,5,1
82,111,6,1
82,23,6,1
82,148,3,1
82,92,2,1
82,41,5,1
82,43,4,1
82,11,5,1
82,68,6,1
82,36,7,1
82,98,6,1
82,69,8,1
82,82,6,1
82,85,6,1
82,130,6,1
82,119,4,1
82,125,4,1
82,118,6,1
82,39,6,1
82,84,7,1
82,77,4,1
82,95,6,1
82,25,2,1
82,7,5,1
82,126,3,1
82,108,6,1
82,71,4,1
82,66,5,1
82,76,5,1
82,103,6,1
82,34,6,1
82,50,4,1
82,59,3,1
82,93,5,1
82,2,3,1
82,10,5,1
82,18,3,1
82,26,5,1
82,27,7,1
82,124,3,1
82,42,6,1
82,87,3,1
82,127,6,1
82,116,6,1
82,132,6,1
82,140,6,1
82,100,6,1
82,79,4,1
82,16,5,1
82,20,7,1
82,81,6,1
82,144,5,1
82,147,6,1
82,141,3,1
82,19,6,1
82,49,6,1
82,44,6,1
82,135,6,1
82,9,3,1
82,31,6,1
82,146,3,1
82,74,6,1
82,138,6,1
82,106,4,1
82,109,5,1
82,61,3,1
82,94,6,1
82,29,5,1
82,107,4,1
82,46,3,1
82,102,3,1
82,57,3,1
82,128,6,1
82,70,6,1
82,21,6,1
82,38,7,1
82,88,4,1
82,129,5,1
82,131,6,1
82,120,3,1
82,101,6,1
82,78,2,1
82,105,5,1
82,133,6,1
82,72,6,1
82,24,5,1
82,8,5,1
82,17,6,1
82,37,5,1
82,1,2,1
82,53,5,1
82,22,3,1
82,47,6,1
82,83,5,1
82,137,6,1
82,99,5,1
82,121,3,1
82,89,6,1
82,14,6,1
82,3,6,1
82,80,6,1
82,96,6,1
82,51,5,1
82,33,6,1
82,149,4,1
82,143,5,1
82,40,6,1
82,48,6,1
82,113,6,1
82,15,6,1
82,65,4,1
82,97,4,1
82,142,6,1
82,134,5,1
27,5,4,1
27,56,3,1
27,35,4,1
27,114,1,1
27,110,3,1
27,123,3,1
27,55,6,1
27,60,4,1
27,30,2,1
27,32,2,1
27,136,3,1
27,67,4,1
27,6,5,1
27,45,3,1
27,117,6,1
27,145,3,1
27,73,4,1
27,115,6,1
27,112,3,1
27,64,3,1
27,90,3,1
27,139,6,1
27,4,4,1
27,13,1,1
27,63,3,1
27,54,3,1
27,86,4,1
27,104,3,1
27,91,4,1
27,62,4,1
27,150,3,1
27,122,3,1
27,58,4,1
27,52,3,1
27,12,2,1
27,28,3,1
27,75,3,1
27,111,4,1
27,23,2,1
27,148,4,1
27,92,4,1
27,41,4,1
27,43,3,1
27,11,7,1
27,68,4,1
27,36,1,1
27,98,4,1
27,69,3,1
27,82,4,1
27,85,4,1
27,130,1,1
27,119,2,1
27,125,3,1
27,118,4,1
27,39,3,1
27,84,3,1
27,77,2,1
27,95,3,1
27,25,4,1
27,7,2,1
27,126,4,1
27,108,3,1
27,71,4,1
27,66,3,1
27,76,6,1
27,103,6,1
27,34,3,1
27,50,4,1
27,59,2,1
27,93,4,1
27,2,6,1
27,10,4,1
27,18,4,1
27,26,4,1
27,27,4,1
27,124,6,1
27,42,3,1
27,87,2,1
27,127,4,1
27,116,3,1
27,132,3,1
27,140,1,1
27,100,3,1
27,79,3,1
27,16,3,1
27,20,4,1
27,81,4,1
27,144,3,1
27,147,6,1
27,141,4,1
27,19,3,1
27,49,3,1
27,44,2,1
27,135,4,1
27,9,2,1
27,31,3,1
27,146,3,1
27,74,3,1
27,138,4,1
27,106,6,1
27,109,4,1
27,61,1,1
27,94,2,1
27,29,2,1
27,107,4,1
27,46,2,1
27,102,3,1
27,57,3,1
27,128,4,1
27,70,4,1
27,21,4,1
27,38,3,1
27,88,4,1
27,129,3,1
27,131,1,1
27,120,6,1
27,101,4,1
27,78,4,1
27,105,6,1
27,133,3,1
27,72,3,1
27,24,1,1
27,8,3,1
27,17,1,1
27,37,2,1
27,1,6,1
27,53,6,1
27,22,4,1
27,47,3,1
27,83,4,1
27,137,1,1
27,99,3,1
27,121,2,1
27,89,1,1
27,14,1,1
27,3,3,1
27,80,2,1
27,96,3,1
27,51,3,1
27,33,4,1
27,149,3,1
27,143,3,1
27,40,2,1
27,48,4,1
27,113,4,1
27,15,5,1
27,65,3,1
27,97,8,1
27,142,2,1
27,134,4,1
28,5,4,1
28,56,3,1
28,35,2,1
28,114,6,1
28,110,6,1
28,123,5,1
28,55,2,1
28,60,3,1
28,30,1,1
28,32,2,1
28,136,9,1
28,67,5,1
28,6,1,1
28,45,4,1
28,117,8,1
28,145,5,1
28,73,5,1
28,115,5,1
28,112,6,1
28,64,5,1
28,90,3,1
28,139,6,1
28,4,6,1
28,13,3,1
28,63,5,1
28,54,3,1
28,86,3,1
28,104,5,1
28,91,5,1
28,62,5,1
28,150,5,1
28,122,4,1
28,58,3,1
28,52,2,1
28,12,3,1
28,28,4,1
28,75,3,1
28,111,5,1
28,23,4,1
28,148,5,1
28,92,5,1
28,41,2,1
28,43,1,1
28,11,1,1
28,68,5,1
28,36,2,1
28,98,9,1
28,69,2,1
28,82,6,1
28,85,5,1
28,130,9,1
28,119,5,1
28,125,5,1
28,118,5,1
28,39,3,1
28,84,3,1
28,77,3,1
28,95,5,1
28,25,2,1
28,7,1,1
28,126,5,1
28,108,8,1
28,71,7,1
28,66,7,1
28,76,4,1
28,103,5,1
28,34,2,1
28,50,3,1
28,59,3,1
