subID,trial,sim_choice,k
82,5,7,1
82,56,5,1
82,35,6,1
82,114,4,1
82,110,2,1
82,123,5,1
82,55,3,1
82,60,4,1
82,30,5,1
82,32,5,1
82,136,4,1
82,67,4,1
82,6,6,1
82,45,2,1
82,117,5,1
82,145,4,1
82,73,5,1
82,115,5,1
82,112,5,1
82,64,3,1
82,90,5,1
82,139,3,1
82,4,6,1
82,13,5,1
82,63,6,1
82,54,5,1
82,86,4,1
82,104,5,1
82,91,6,1
82,62,5,1
82,150,5,1
82,122,4,1
82,58,2,1
82,52,8,1
82,12,2,1
82,28,6,1
82,75,5,1
82,111,6,1
82,23,7,1
82,148,7,1
82,92,6,1
82,41,5,1
82,43,7,1
82,11,7,1
82,68,7,1
82,36,7,1
82,98,1,1
82,69,5,1
82,82,4,1
82,85,5,1
82,130,5,1
82,119,7,1
82,125,5,1
82,118,3,1
82,39,7,1
82,84,3,1
82,77,5,1
82,95,3,1
82,25,5,1
82,7,5,1
82,126,4,1
82,108,7,1
82,71,3,1
82,66,5,1
82,76,3,1
82,103,6,1
82,34,6,1
82,50,4,1
82,59,6,1
82,93,5,1
82,2,3,1
82,10,4,1
82,18,6,1
82,26,5,1
82,27,5,1
82,124,5,1
82,42,5,1
82,87,6,1
82,127,6,1
82,116,4,1
82,132,5,1
82,140,4,1
82,100,4,1
82,79,6,1
82,16,4,1
82,20,6,1
82,81,4,1
82,144,5,1
82,147,7,1
82,141,6,1
82,19,5,1
82,49,5,1
82,44,6,1
82,135,6,1
82,9,3,1
82,31,4,1
82,146,3,1
82,74,5,1
82,138,5,1
82,106,5,1
82,109,3,1
82,61,4,1
82,94,4,1
82,29,6,1
82,107,3,1
82,46,6,1
82,102,5,1
82,57,6,1
82,128,5,1
82,70,5,1
82,21,4,1
82,38,5,1
82,88,5,1
82,129,5,1
82,131,5,1
82,120,5,1
82,101,6,1
82,78,5,1
82,105,6,1
82,133,5,1
82,72,6,1
82,24,3,1
82,8,6,1
82,17,3,1
82,37,8,1
82,1,2,1
82,53,4,1
82,22,1,1
82,47,5,1
82,83,4,1
82,137,6,1
82,99,6,1
82,121,5,1
82,89,5,1
82,14,5,1
82,3,4,1
82,80,5,1
82,96,5,1
82,51,5,1
82,33,4,1
82,149,6,1
82,143,5,1
82,40,4,1
82,48,5,1
82,113,6,1
82,15,5,1
82,65,5,1
82,97,4,1
82,142,5,1
82,134,4,1
27,5,2,1
27,56,7,1
27,35,7,1
27,114,6,1
27,110,6,1
27,123,4,1
27,55,7,1
27,60,5,1
27,30,2,1
27,32,1,1
27,136,5,1
27,67,5,1
27,6,3,1
27,45,7,1
27,117,2,1
27,145,2,1
27,73,8,1
27,115,2,1
27,112,6,1
27,64,2,1
27,90,7,1
27,139,3,1
27,4,2,1
27,13,5,1
27,63,2,1
27,54,2,1
27,86,2,1
27,104,3,1
27,91,1,1
27,62,7,1
27,150,7,1
27,122,7,1
27,58,7,1
27,52,2,1
27,12,2,1
27,28,3,1
27,75,1,1
27,111,4,1
27,23,1,1
27,148,3,1
27,92,6,1
27,41,1,1
27,43,2,1
27,11,7,1
27,68,5,1
27,36,4,1
27,98,6,1
27,69,2,1
27,82,8,1
27,85,8,1
27,130,7,1
27,119,6,1
27,125,7,1
27,118,3,1
27,39,1,1
27,84,2,1
27,77,3,1
27,95,7,1
27,25,7,1
27,7,5,1
27,126,3,1
27,108,6,1
27,71,2,1
27,66,5,1
27,76,1,1
27,103,2,1
27,34,7,1
27,50,6,1
27,59,8,1
27,93,7,1
27,2,6,1
27,10,5,1
27,18,3,1
27,26,7,1
27,27,1,1
27,124,3,1
27,42,5,1
27,87,2,1
27,127,5,1
27,116,8,1
27,132,5,1
27,140,7,1
27,100,5,1
27,79,2,1
27,16,5,1
27,20,5,1
27,81,8,1
27,144,8,1
27,147,3,1
27,141,7,1
27,19,5,1
27,49,7,1
27,44,7,1
27,135,2,1
27,9,3,1
27,31,2,1
27,146,3,1
27,74,2,1
27,138,6,1
