subID,alpha,theta,gamma,w,nll
82,0.0,0.68,0.68,-1.0,423.0
27,0.49,0.4,0.21,-1.0,258.0
28,0.52,0.88,0.57,-1.0,88.0
29,0.5,0.2,0.99,-1.0,590.0
33,0.19,0.38,0.5,-1.0,219.0
34,0.12,1.0,0.68,-1.0,97.0
35,0.31,0.74,0.74,-1.0,31.0
36,0.31,0.78,0.88,-1.0,637.0
37,0.02,1.08,0.6,-1.0,693.0
46,0.0,0.52,0.37,-1.0,400.0
62,0.02,1.15,0.92,-1.0,1331.0
70,0.98,1.14,0.18,-1.0,180.0
71,0.13,0.97,0.37,-1.0,130.0
74,0.28,0.12,0.51,-1.0,201.0
78,0.57,0.8,0.8,-1.0,601.0
84,0.1,0.57,0.2,-1.0,213.0
85,0.48,0.79,0.84,-1.0,411.0
87,0.0,0.52,0.37,-1.0,297.0
0,0.0,0.88,0.68,-1.0,984.0
1,0.23,1.11,0.7,-1.0,116.0
2,0.15,0.57,0.29,-1.0,770.0
3,0.1,0.73,0.7,-1.0,356.0
13,0.05,0.73,0.72,-1.0,402.0
4,0.02,0.52,0.48,-1.0,223.0
5,0.49,0.4,0.81,-1.0,379.0
6,0.04,0.88,0.65,-1.0,786.0
7,0.09,1.16,0.72,-1.0,96.0
8,0.3,0.5,0.58,-1.0,161.0
9,0.19,0.47,0.44,-1.0,228.0
10,0.44,0.7,0.6,-1.0,112.0
11,0.04,0.69,0.65,-1.0,407.0
12,0.38,1.27,0.56,-1.0,62.0
14,0.28,0.5,0.44,-1.0,531.0
15,0.01,0.69,0.36,-1.0,120.0
16,0.03,1.32,0.82,-1.0,272.0
17,0.15,0.82,0.78,-1.0,567.0
18,0.66,1.28,0.2,-1.0,296.0
19,0.0,0.28,0.37,-1.0,305.0
20,0.11,0.68,0.68,-1.0,304.0
21,0.26,1.5,0.57,-1.0,276.0
22,0.46,0.44,0.44,-1.0,315.0
23,0.03,0.5,0.6,-1.0,294.0
24,0.02,0.58,0.5,-1.0,473.0
25,0.28,1.04,0.35,-1.0,581.0
26,0.54,0.28,1.0,-1.0,536.0
31,0.11,0.69,0.52,-1.0,397.0
32,0.19,0.58,0.63,-1.0,127.0
38,0.02,0.51,0.68,-1.0,317.0
39,0.88,0.09,0.0,-1.0,109.0
40,0.19,0.61,0.57,-1.0,608.0
41,0.01,0.72,0.56,-1.0,332.0
42,0.09,0.38,0.36,-1.0,137.0
43,0.04,0.74,0.7,-1.0,1863.0
44,0.74,0.86,0.78,-1.0,223.0
45,0.55,0.77,0.49,-1.0,151.0
47,0.11,1.1,0.68,-1.0,126.0
48,0.29,1.03,0.76,-1.0,309.0
49,0.06,0.7,0.48,-1.0,434.0
