subID,alpha,theta,gamma,w,nll
0,0.02,0.7,0.56,-1.0,327.0
1,0.58,0.97,0.41,-1.0,353.0
2,0.01,0.56,0.38,-1.0,712.0
3,0.16,0.46,0.44,-1.0,420.0
4,0.07,0.49,0.52,-1.0,474.0
5,0.14,0.35,0.6,-1.0,309.0
6,0.02,0.72,0.64,-1.0,469.0
7,0.08,0.86,0.48,-1.0,382.0
8,0.02,0.52,0.54,-1.0,427.0
9,0.02,0.53,0.52,-1.0,317.0
10,0.0,0.52,0.52,-1.0,237.0
11,0.01,0.56,0.56,-1.0,439.0
12,0.02,0.88,0.49,-1.0,408.0
13,0.02,0.68,0.68,-1.0,386.0
14,0.1,0.49,0.42,-1.0,565.0
15,0.01,0.68,0.36,-1.0,417.0
16,0.01,1.16,0.7,-1.0,221.0
17,0.02,0.68,0.9,-1.0,472.0
18,0.14,0.9,0.24,-1.0,632.0
19,0.01,0.37,0.36,-1.0,408.0
20,0.02,0.63,0.72,-1.0,356.0
21,0.23,1.28,0.36,-1.0,220.0
22,0.43,0.29,0.21,-1.0,348.0
23,0.0,0.52,0.52,-1.0,440.0
24,0.0,0.52,0.52,-1.0,497.0
25,0.01,0.88,0.54,-1.0,416.0
26,0.12,0.62,0.92,-1.0,449.0
27,0.03,0.48,0.48,-1.0,658.0
28,0.08,0.47,0.13,-1.0,388.0
29,0.25,0.56,1.0,-1.0,557.0
31,0.02,0.68,0.48,-1.0,539.0
32,0.3,0.49,0.17,-1.0,530.0
33,0.0,0.37,0.52,-1.0,457.0
34,0.11,0.85,0.51,-1.0,307.0
35,0.01,0.52,0.36,-1.0,481.0
36,0.43,0.97,0.8,-1.0,441.0
37,0.0,0.88,0.52,-1.0,272.0
38,0.06,0.52,0.68,-1.0,465.0
39,0.11,0.2,0.16,-1.0,340.0
40,0.04,0.39,0.38,-1.0,416.0
41,0.0,0.52,0.52,-1.0,486.0
42,0.0,0.37,0.37,-1.0,331.0
43,0.01,0.71,0.7,-1.0,723.0
44,0.0,0.52,0.52,-1.0,269.0
45,0.02,0.54,0.53,-1.0,428.0
46,0.0,0.52,0.37,-1.0,513.0
47,0.0,0.88,0.68,-1.0,373.0
48,0.12,0.72,0.28,-1.0,313.0
49,0.0,0.68,0.52,-1.0,447.0
50,0.01,0.92,0.88,-1.0,702.0
51,0.11,0.71,0.49,-1.0,471.0
52,0.01,0.56,0.36,-1.0,429.0
53,0.0,0.68,0.52,-1.0,359.0
54,0.09,0.47,0.69,-1.0,427.0
55,0.0,0.88,0.68,-1.0,253.0
56,0.01,0.68,0.38,-1.0,402.0
57,0.02,0.56,0.54,-1.0,463.0
58,0.14,0.42,0.14,-1.0,455.0
59,0.24,0.41,0.64,-1.0,268.0
60,0.01,0.37,0.36,-1.0,414.0
61,0.02,0.37,0.52,-1.0,447.0
62,0.01,0.92,0.88,-1.0,372.0
63,0.05,0.4,0.61,-1.0,326.0
64,0.05,0.9,0.48,-1.0,338.0
65,0.01,0.53,0.37,-1.0,451.0
66,0.05,0.53,0.68,-1.0,337.0
67,0.02,0.55,0.56,-1.0,474.0
68,0.1,0.78,0.17,-1.0,365.0
69,0.01,0.52,0.36,-1.0,369.0
