subID,trial,sim_choice,k
82,5,5,1
82,56,5,1
82,35,5,1
82,114,5,1
82,110,5,1
82,123,5,1
82,55,5,1
82,60,5,1
82,30,4,1
82,32,3,1
82,136,5,1
82,67,1,1
82,6,7,1
82,45,4,1
82,117,5,1
82,145,6,1
82,73,5,1
82,115,6,1
82,112,4,1
82,64,4,1
82,90,6,1
82,139,5,1
82,4,7,1
82,13,1,1
82,63,7,1
82,54,4,1
82,86,1,1
82,104,5,1
82,91,5,1
82,62,4,1
82,150,1,1
82,122,3,1
82,58,6,1
82,52,3,1
82,12,1,1
82,28,4,1
82,75,6,1
82,111,4,1
82,23,4,1
82,148,6,1
82,92,6,1
82,41,7,1
82,43,3,1
82,11,5,1
82,68,6,1
82,36,7,1
82,98,4,1
82,69,4,1
82,82,6,1
82,85,5,1
82,130,3,1
82,119,3,1
82,125,4,1
82,118,4,1
82,39,5,1
82,84,5,1
82,77,5,1
82,95,5,1
82,25,4,1
82,7,2,1
82,126,9,1
82,108,5,1
82,71,1,1
82,66,4,1
82,76,4,1
82,103,3,1
82,34,2,1
82,50,5,1
82,59,4,1
82,93,6,1
82,2,3,1
82,10,4,1
82,18,4,1
82,26,6,1
82,27,4,1
82,124,1,1
82,42,4,1
82,87,5,1
82,127,6,1
82,116,6,1
82,132,3,1
82,140,7,1
82,100,6,1
82,79,3,1
82,16,3,1
82,20,6,1
82,81,4,1
82,144,5,1
82,147,5,1
82,141,4,1
82,19,6,1
82,49,6,1
82,44,4,1
82,135,5,1
82,9,7,1
82,31,6,1
82,146,3,1
82,74,2,1
82,138,4,1
82,106,4,1
82,109,4,1
82,61,4,1
82,94,5,1
82,29,6,1
82,107,6,1
82,46,3,1
82,102,8,1
82,57,5,1
82,128,3,1
82,70,4,1
82,21,5,1
82,38,3,1
82,88,3,1
82,129,7,1
82,131,3,1
82,120,2,1
82,101,5,1
82,78,3,1
82,105,6,1
82,133,6,1
82,72,6,1
82,24,4,1
82,8,5,1
82,17,7,1
82,37,4,1
82,1,2,1
82,53,3,1
82,22,4,1
82,47,7,1
82,83,6,1
82,137,5,1
82,99,7,1
82,121,4,1
82,89,6,1
82,14,5,1
82,3,3,1
82,80,6,1
82,96,4,1
82,51,5,1
82,33,4,1
82,149,4,1
82,143,3,1
82,40,3,1
82,48,4,1
82,113,4,1
82,15,3,1
82,65,5,1
82,97,3,1
82,142,1,1
82,134,3,1
27,5,1,1
27,56,2,1
27,35,4,1
27,114,1,1
27,110,1,1
27,123,1,1
27,55,3,1
27,60,6,1
27,30,3,1
27,32,5,1
27,136,3,1
27,67,8,1
27,6,5,1
27,45,6,1
27,117,3,1
27,145,4,1
27,73,3,1
27,115,2,1
27,112,8,1
27,64,3,1
27,90,2,1
27,139,3,1
27,4,4,1
27,13,6,1
27,63,4,1
27,54,2,1
27,86,7,1
27,104,4,1
27,91,6,1
27,62,1,1
27,150,3,1
27,122,8,1
27,58,2,1
27,52,1,1
27,12,5,1
27,28,5,1
27,75,4,1
27,111,3,1
27,23,5,1
27,148,3,1
27,92,2,1
27,41,2,1
27,43,2,1
27,11,4,1
27,68,2,1
27,36,3,1
27,98,3,1
27,69,2,1
27,82,1,1
27,85,2,1
27,130,3,1
27,119,3,1
27,125,3,1
27,118,4,1
27,39,2,1
27,84,7,1
27,77,2,1
27,95,3,1
27,25,4,1
27,7,2,1
27,126,5,1
27,108,8,1
27,71,3,1
27,66,3,1
27,76,3,1
27,103,4,1
27,34,8,1
27,50,4,1
27,59,3,1
27,93,2,1
27,2,6,1
27,10,4,1
27,18,4,1
27,26,4,1
27,27,4,1
27,124,3,1
27,42,6,1
27,87,7,1
27,127,3,1
27,116,3,1
27,132,5,1
27,140,3,1
27,100,4,1
27,79,7,1
27,16,4,1
27,20,2,1
27,81,1,1
27,144,3,1
27,147,2,1
27,141,4,1
27,19,3,1
27,49,4,1
27,44,2,1
27,135,3,1
27,9,2,1
27,31,5,1
27,146,4,1
27,74,7,1
27,138,3,1
27,106,5,1
27,109,8,1
27,61,5,1
27,94,3,1
27,29,3,1
27,107,3,1
27,46,3,1
27,102,3,1
27,57,3,1
27,128,7,1
27,70,3,1
27,21,2,1
27,38,1,1
27,88,2,1
27,129,4,1
27,131,3,1
27,120,3,1
27,101,7,1
27,78,3,1
27,105,4,1
27,133,3,1
27,72,2,1
27,24,2,1
27,8,4,1
27,17,2,1
27,37,5,1
27,1,6,1
27,53,3,1
27,22,5,1
27,47,5,1
27,83,3,1
27,137,3,1
27,99,2,1
27,121,2,1
27,89,3,1
27,14,6,1
27,3,8,1
27,80,4,1
27,96,3,1
27,51,2,1
27,33,5,1
27,149,3,1
27,143,1,1
27,40,5,1
27,48,4,1
27,113,3,1
27,15,2,1
27,65,3,1
27,97,3,1
27,142,3,1
27,134,2,1
28,5,1,1
28,56,6,1
28,35,5,1
28,114,4,1
28,110,6,1
28,123,7,1
28,55,3,1
28,60,6,1
28,30,3,1
28,32,1,1
28,136,5,1
28,67,7,1
28,6,6,1
28,45,2,1
28,117,2,1
28,145,4,1
28,73,6,1
28,115,2,1
28,112,7,1
28,64,6,1
28,90,3,1
28,139,4,1
28,4,7,1
28,13,4,1
28,63,6,1
28,54,2,1
28,86,3,1
28,104,3,1
28,91,5,1
28,62,4,1
28,150,5,1
28,122,4,1
28,58,3,1
28,52,3,1
28,12,7,1
28,28,4,1
28,75,4,1
28,111,6,1
28,23,3,1
28,148,2,1
28,92,6,1
28,41,1,1
28,43,4,1
28,11,3,1
28,68,6,1
28,36,3,1
28,98,6,1
28,69,3,1
28,82,6,1
28,85,6,1
28,130,6,1
28,119,7,1
28,125,7,1
28,118,3,1
28,39,3,1
28,84,1,1
28,77,4,1
28,95,2,1
28,25,4,1
28,7,4,1
28,126,3,1
28,108,7,1
28,71,3,1
28,66,6,1
28,76,2,1
28,103,3,1
28,34,6,1
28,50,6,1
28,59,5,1
28,93,7,1
28,2,5,1
28,10,3,1
28,18,2,1
28,26,3,1
28,27,3,1
28,124,4,1
28,42,3,1
28,87,3,1
28,127,6,1
28,116,7,1
28,132,6,1
28,140,6,1
28,100,3,1
28,79,2,1
28,16,2,1
28,20,2,1
28,81,6,1
28,144,4,1
28,147,4,1
28,141,7,1
28,19,4,1
28,49,6,1
28,44,5,1
28,135,4,1
28,9,4,1
28,31,2,1
28,146,2,1
28,74,4,1
28,138,6,1
28,106,2,1
28,109,6,1
28,61,3,1
28,94,6,1
28,29,6,1
28,107,3,1
28,46,6,1
28,102,7,1
28,57,3,1
28,128,4,1
28,70,6,1
28,21,3,1
28,38,2,1
28,88,3,1
28,129,4,1
28,131,6,1
28,120,4,1
28,101,1,1
28,78,6,1
28,105,4,1
28,133,4,1
28,72,3,1
28,24,3,1
28,8,2,1
28,17,2,1
28,37,5,1
28,1,5,1
28,53,6,1
28,22,4,1
28,47,3,1
28,83,3,1
28,137,2,1
28,99,6,1
28,121,1,1
28,89,4,1
28,14,4,1
28,3,6,1
28,80,2,1
28,96,2,1
28,51,3,1
28,33,4,1
28,149,6,1
28,143,4,1
28,40,6,1
28,48,5,1
28,113,7,1
28,15,3,1
28,65,6,1
28,97,7,1
28,142,4,1
28,134,7,1
29,5,5,1
29,56,6,1
29,35,3,1
29,114,5,1
29,110,6,1
29,123,6,1
29,55,5,1
29,60,5,1
29,30,3,1
29,32,1,1
29,136,6,1
29,67,5,1
29,6,4,1
29,45,5,1
29,117,3,1
29,145,3,1
29,73,5,1
29,115,5,1
29,112,6,1
29,64,6,1
29,90,5,1
29,139,6,1
29,4,4,1
29,13,4,1
29,63,6,1
29,54,4,1
29,86,3,1
29,104,5,1
29,91,6,1
29,62,5,1
29,150,6,1
29,122,6,1
29,58,5,1
29,52,6,1
29,12,2,1
29,28,2,1
29,75,3,1
29,111,5,1
29,23,3,1
29,148,5,1
29,92,6,1
29,41,2,1
29,43,5,1
29,11,5,1
29,68,6,1
29,36,2,1
29,98,5,1
29,69,6,1
29,82,5,1
29,85,6,1
29,130,5,1
29,119,5,1
29,125,4,1
29,118,6,1
29,39,5,1
29,84,5,1
29,77,3,1
29,95,4,1
29,25,4,1
29,7,2,1
29,126,4,1
29,108,4,1
29,71,5,1
29,66,6,1
29,76,5,1
29,103,3,1
29,34,5,1
29,50,4,1
29,59,8,1
29,93,6,1
29,2,5,1
29,10,5,1
29,18,5,1
29,26,5,1
29,27,5,1
29,124,6,1
29,42,4,1
29,87,4,1
29,127,6,1
29,116,5,1
29,132,5,1
29,140,5,1
29,100,3,1
29,79,5,1
29,16,5,1
29,20,5,1
29,81,4,1
29,144,3,1
29,147,5,1
29,141,5,1
29,19,5,1
29,49,4,1
29,44,5,1
29,135,6,1
29,9,2,1
29,31,6,1
29,146,4,1
29,74,4,1
29,138,5,1
29,106,5,1
29,109,6,1
29,61,3,1
29,94,6,1
29,29,2,1
29,107,5,1
29,46,6,1
29,102,4,1
29,57,4,1
29,128,4,1
29,70,6,1
29,21,4,1
29,38,2,1
29,88,3,1
29,129,6,1
29,131,6,1
29,120,5,1
29,101,5,1
29,78,6,1
29,105,4,1
29,133,4,1
29,72,3,1
29,24,3,1
29,8,5,1
29,17,2,1
29,37,4,1
29,1,9,1
29,53,6,1
29,22,5,1
29,47,4,1
29,83,5,1
29,137,6,1
29,99,5,1
29,121,4,1
29,89,4,1
29,14,2,1
29,3,3,1
29,80,4,1
29,96,5,1
29,51,5,1
29,33,3,1
29,149,6,1
29,143,3,1
29,40,5,1
29,48,4,1
29,113,4,1
29,15,5,1
29,65,4,1
29,97,4,1
29,142,4,1
29,134,4,1
33,5,2,1
33,56,6,1
33,35,2,1
33,114,5,1
33,110,3,1
33,123,4,1
33,55,2,1
33,60,4,1
33,30,1,1
33,32,3,1
33,136,3,1
33,67,1,1
33,6,3,1
33,45,3,1
33,117,6,1
33,145,5,1
33,73,3,1
33,115,5,1
33,112,5,1
33,64,3,1
33,90,6,1
33,139,1,1
33,4,4,1
33,13,1,1
33,63,5,1
33,54,5,1
33,86,4,1
33,104,6,1
33,91,4,1
33,62,3,1
33,150,5,1
33,122,4,1
33,58,5,1
33,52,3,1
33,12,3,1
33,28,4,1
33,75,3,1
33,111,3,1
33,23,3,1
33,148,5,1
33,92,2,1
33,41,1,1
33,43,2,1
33,11,3,1
33,68,3,1
33,36,2,1
33,98,5,1
33,69,4,1
33,82,4,1
33,85,5,1
33,130,5,1
33,119,2,1
33,125,7,1
33,118,3,1
33,39,5,1
33,84,3,1
33,77,4,1
33,95,4,1
33,25,2,1
33,7,2,1
33,126,2,1
33,108,4,1
33,71,3,1
33,66,3,1
33,76,4,1
33,103,6,1
33,34,5,1
33,50,3,1
33,59,5,1
33,93,2,1
33,2,4,1
33,10,4,1
33,18,6,1
33,26,3,1
33,27,3,1
33,124,3,1
33,42,3,1
33,87,6,1
33,127,4,1
33,116,4,1
33,132,3,1
33,140,2,1
33,100,2,1
33,79,2,1
33,16,3,1
33,20,3,1
33,81,3,1
33,144,3,1
33,147,5,1
33,141,2,1
33,19,5,1
33,49,3,1
33,44,3,1
33,135,2,1
33,9,3,1
33,31,5,1
33,146,5,1
33,74,5,1
33,138,5,1
33,106,3,1
33,109,4,1
33,61,4,1
33,94,5,1
33,29,1,1
33,107,3,1
33,46,5,1
33,102,4,1
33,57,6,1
33,128,3,1
