subID,alpha,theta,gamma,w,nll
82,0.13,0.61,0.08,0.68,362.0
27,0.32,0.44,0.0,0.28,256.0
28,0.41,0.75,0.84,-0.52,77.0
29,0.27,0.81,0.83,0.84,533.0
33,0.16,0.42,0.48,0.03,218.0
34,0.18,1.05,0.1,0.34,102.0
35,0.16,0.59,0.84,-0.42,28.0
36,0.31,0.78,0.88,-0.44,628.0
37,0.06,0.88,0.95,-0.4,679.0
46,0.02,0.53,0.96,-0.59,390.0
62,0.02,1.15,0.92,0.68,1187.0
70,0.56,0.91,0.09,0.36,142.0
71,0.13,0.94,0.3,0.08,128.0
74,0.28,0.11,0.97,-0.76,184.0
78,0.57,0.8,0.8,0.05,600.0
84,0.11,0.7,0.72,-0.56,189.0
85,1.0,0.9,0.18,0.68,317.0
87,0.02,0.54,0.99,-0.59,290.0
0,0.02,0.96,0.98,-0.28,943.0
1,0.18,1.12,0.2,0.55,113.0
2,0.29,0.32,0.98,-0.89,710.0
3,0.04,0.79,0.93,-0.25,361.0
13,0.06,0.7,0.88,-0.32,404.0
4,0.06,0.48,0.96,-0.52,229.0
5,0.87,0.42,0.75,-0.4,355.0
6,0.08,0.7,0.9,-0.32,763.0
7,0.28,1.32,0.65,0.08,110.0
8,0.44,0.44,0.79,-0.37,138.0
9,0.19,0.5,0.61,-0.4,229.0
10,0.4,0.64,0.64,-0.12,110.0
11,0.1,0.74,0.92,-0.4,379.0
12,0.38,1.27,0.56,0.03,61.0
14,0.14,0.61,0.82,-0.42,419.0
15,0.0,0.68,0.97,-0.6,120.0
16,0.17,1.4,0.99,-0.52,297.0
17,0.12,0.76,0.88,-0.11,558.0
18,0.71,1.48,0.46,-0.32,275.0
19,0.26,0.37,0.1,0.32,340.0
20,0.22,0.72,0.19,0.09,303.0
21,0.26,1.5,0.57,-0.04,276.0
22,0.41,0.47,0.63,-0.24,304.0
23,0.05,0.52,0.88,-0.37,279.0
24,0.05,0.66,0.96,-0.52,469.0
25,0.28,0.93,0.69,-0.41,499.0
26,0.04,1.1,0.94,0.85,367.0
31,0.26,0.73,0.74,-0.46,343.0
32,0.28,0.62,0.8,-0.16,132.0
38,0.03,0.52,0.94,-0.41,311.0
39,0.88,0.09,0.0,-1.0,109.0
40,0.08,0.58,0.68,-0.31,595.0
41,0.02,0.68,0.99,-0.44,344.0
42,0.1,0.39,0.52,-0.22,138.0
43,0.02,0.72,0.98,-0.48,1913.0
44,0.66,0.84,0.81,-0.44,213.0
45,0.52,0.87,0.57,-0.09,140.0
47,0.88,1.44,0.42,0.44,169.0
48,0.15,0.61,0.96,-0.49,271.0
49,0.02,0.68,0.96,-0.45,455.0
50,0.08,1.0,0.76,0.08,50.0
51,0.44,0.63,0.1,0.52,383.0
52,0.02,0.52,0.94,-0.72,548.0
53,0.01,0.88,0.96,-0.44,1006.0
54,0.19,0.59,0.95,-0.23,823.0
55,0.0,1.13,0.99,-0.32,327.0
56,0.0,0.88,0.97,-0.6,710.0
57,0.31,0.49,0.87,-0.44,294.0
58,0.68,0.68,0.75,-0.2,248.0
59,0.6,0.37,0.8,-0.2,174.0
60,0.12,0.49,0.93,-0.83,265.0
61,0.16,0.47,0.86,-0.48,52.0
63,0.05,0.41,0.91,-0.27,166.0
64,0.02,0.9,0.89,-0.48,1043.0
65,0.02,0.52,0.91,-0.54,210.0
66,0.08,0.55,0.16,0.28,268.0
67,0.14,0.4,0.88,-0.84,464.0
68,0.16,0.54,1.0,-0.72,577.0
69,0.23,0.66,0.83,-0.44,123.0
72,0.3,1.08,0.8,-0.65,96.0
73,0.09,0.79,0.7,-0.49,171.0
75,0.08,0.49,0.8,0.1,737.0
76,0.05,0.56,0.88,-0.51,453.0
77,0.21,1.1,0.78,-0.16,259.0
79,0.02,0.69,1.0,-0.31,1298.0
80,0.0,1.13,1.0,-0.48,686.0
81,0.02,0.71,0.99,-0.48,359.0
83,0.04,0.83,0.96,-0.44,667.0
86,0.12,1.28,0.98,-0.4,1031.0
88,0.11,0.66,0.55,-0.07,327.0
89,0.02,0.64,0.96,-0.28,565.0
90,0.23,0.64,0.97,-0.17,194.0
91,0.56,0.32,0.96,-0.86,173.0
92,0.03,1.04,1.0,-0.3,203.0
93,0.05,0.38,0.96,-0.68,467.0
96,0.49,0.32,0.84,-0.08,510.0
121,0.44,0.8,0.02,0.6,210.0
128,0.82,1.17,0.4,0.08,338.0
135,0.19,0.67,0.99,-0.51,282.0
136,0.72,0.24,0.99,-0.94,584.0
139,0.42,0.8,0.8,-0.32,38.0
149,0.76,0.94,0.21,0.19,224.0
156,0.1,0.56,0.91,-0.52,209.0
159,0.66,1.26,0.39,0.61,283.0
162,0.15,0.81,0.72,0.2,222.0
183,0.03,0.74,0.95,-0.24,657.0
186,0.14,0.57,0.44,0.47,956.0
191,0.69,0.86,0.12,0.2,440.0
197,0.21,1.3,0.05,0.52,634.0
200,0.18,0.46,0.66,-0.46,478.0
202,0.11,1.02,0.31,0.68,409.0
94,0.87,0.88,0.48,0.0,234.0
95,0.23,0.6,0.16,0.39,816.0
97,0.44,0.19,0.19,0.65,545.0
98,0.67,1.1,0.66,0.12,168.0
99,0.42,0.38,0.83,-0.72,357.0
100,0.22,0.78,0.66,-0.3,313.0
101,0.84,1.48,0.13,-0.04,134.0
102,0.8,0.39,0.69,-0.68,513.0
103,0.77,0.81,0.65,0.08,223.0
104,0.86,1.17,0.18,0.98,586.0
105,0.5,1.2,0.68,-0.12,162.0
106,0.76,0.84,0.04,0.32,275.0
107,0.03,0.56,1.0,-0.56,117.0
108,0.76,1.11,0.53,0.08,1199.0
110,0.92,1.09,0.0,0.28,167.0
111,0.58,1.11,0.73,-0.08,122.0
112,0.0,0.88,0.99,-0.32,275.0
113,0.17,0.59,0.98,-0.57,350.0
114,0.19,0.44,0.67,-0.19,137.0
115,0.13,0.88,0.0,0.49,195.0
116,0.49,1.06,0.08,0.48,751.0
117,0.46,0.76,0.66,0.08,111.0
118,0.04,0.92,0.92,-0.12,381.0
119,0.02,0.89,0.99,-0.31,370.0
120,0.01,0.89,1.0,-0.3,654.0
122,0.16,0.74,0.84,-0.36,78.0
123,0.46,0.66,0.15,0.49,261.0
124,0.43,1.21,0.63,0.32,388.0
125,0.12,0.61,0.88,-0.36,402.0
126,0.1,0.72,0.84,-0.45,184.0
127,0.81,1.2,0.23,0.64,158.0
129,0.28,0.68,0.66,-0.13,360.0
130,0.17,1.09,0.8,-0.27,52.0
131,0.1,0.93,0.74,-0.5,153.0
132,0.09,0.55,0.96,-0.41,146.0
133,0.03,0.63,0.92,-0.09,1713.0
134,0.96,1.12,0.56,0.08,528.0
137,0.17,0.52,0.88,-0.72,236.0
138,0.03,0.63,0.9,-0.2,605.0
140,0.04,0.69,0.91,-0.16,61.0
141,0.03,0.37,0.96,-0.56,246.0
142,0.01,0.37,0.98,-0.32,330.0
143,0.62,0.87,0.79,-0.52,135.0
144,0.63,1.08,0.72,0.08,317.0
145,0.1,1.31,0.71,0.08,136.0
146,0.14,1.3,0.2,0.28,405.0
147,0.02,0.53,0.99,-0.32,439.0
148,0.02,0.7,1.0,-0.32,434.0
150,0.15,0.94,0.19,0.11,312.0
151,0.32,0.56,0.72,-0.31,68.0
152,0.13,0.7,0.83,-0.53,159.0
153,0.48,0.49,0.71,-0.32,221.0
154,0.29,0.48,0.8,0.02,443.0
155,0.04,0.88,0.97,-0.45,992.0
157,0.45,1.06,0.62,0.08,157.0
158,0.51,1.26,0.64,-0.32,70.0
160,0.19,0.6,0.99,-0.8,566.0
161,0.57,0.68,0.87,-0.32,54.0
163,0.49,0.49,0.52,0.5,865.0
164,0.22,1.47,0.71,0.88,646.0
165,0.5,0.58,0.08,0.42,650.0
166,0.02,0.7,0.97,-0.3,1031.0
167,0.71,0.76,0.98,0.19,828.0
168,0.09,0.57,1.0,-0.32,618.0
169,0.02,0.88,0.97,-0.32,454.0
170,0.71,1.31,0.75,-0.11,243.0
171,0.01,0.88,0.96,-0.48,947.0
172,0.38,0.63,0.8,-0.51,290.0
173,1.0,0.56,0.08,0.08,586.0
174,0.42,0.9,0.86,-0.09,218.0
175,0.08,0.38,0.86,-0.32,164.0
176,0.05,0.56,0.96,-0.1,875.0
177,0.11,0.53,0.99,-0.56,1554.0
178,0.21,1.01,0.81,-0.32,185.0
179,0.24,0.54,0.88,-0.72,351.0
180,0.09,0.89,0.88,-0.52,305.0
181,0.02,0.39,0.88,-0.19,388.0
182,0.23,0.31,0.92,-0.54,1195.0
184,0.24,0.63,0.82,-0.52,263.0
185,0.02,0.68,0.97,-0.12,733.0
187,0.44,0.28,0.98,-0.79,254.0
188,0.18,1.21,0.03,0.92,312.0
189,0.46,0.74,0.57,0.08,261.0
190,0.26,0.6,0.79,-0.48,443.0
192,0.56,0.28,1.0,-0.92,459.0
193,0.03,0.89,0.94,-0.39,1018.0
194,0.71,0.79,0.82,-0.72,176.0
195,0.03,0.44,0.98,-0.6,710.0
196,0.02,0.4,1.0,-0.64,70.0
198,0.02,0.52,0.96,-0.48,538.0
201,0.56,1.0,0.79,-0.08,155.0
203,0.02,0.41,0.89,-0.35,602.0
204,0.99,0.7,0.04,0.28,361.0
205,0.23,1.26,0.52,0.89,612.0
206,0.44,0.31,0.99,-0.76,358.0
207,0.19,0.75,0.87,-0.64,229.0
208,0.3,1.04,0.87,-0.32,763.0
209,0.44,0.32,1.0,-0.84,701.0
109,0.43,0.7,0.85,-0.52,140.0
