subID,alpha,theta,gamma,w,nll
0,0.01,0.88,0.96,-0.32,318.0
1,0.03,0.96,0.88,-0.32,397.0
2,0.12,0.51,0.96,-0.94,516.0
3,0.02,0.76,0.97,-0.32,306.0
4,0.05,0.36,0.88,-0.56,406.0
5,0.1,0.49,0.83,-0.2,370.0
6,0.22,0.52,1.0,-0.64,380.0
7,0.08,0.76,1.0,-0.62,367.0
8,0.11,0.46,0.98,-0.52,313.0
9,0.24,0.41,0.19,-0.01,415.0
10,0.04,0.54,0.96,-0.52,317.0
11,0.06,0.69,0.92,-0.44,387.0
12,0.24,0.6,1.0,-0.92,443.0
13,0.02,0.68,1.0,-0.47,316.0
14,0.02,0.71,1.0,-0.41,369.0
15,0.03,0.56,0.98,-0.65,361.0
16,0.25,1.32,0.03,0.28,389.0
17,0.1,0.67,0.99,-0.39,364.0
18,0.16,0.69,0.03,0.18,511.0
19,0.08,0.4,0.91,-0.68,449.0
20,0.16,0.47,1.0,-0.93,331.0
21,0.17,0.82,0.99,-0.48,334.0
22,0.38,0.21,1.0,-0.88,430.0
23,0.01,0.52,0.99,-0.48,406.0
24,0.02,0.68,0.98,-0.45,427.0
25,0.41,0.32,0.98,-0.94,441.0
26,0.02,0.89,0.95,0.68,362.0
27,0.22,0.34,0.98,-0.74,573.0
28,0.09,0.6,0.88,-0.4,315.0
29,0.14,0.96,0.47,0.93,297.0
31,0.41,0.28,0.99,-0.94,542.0
32,0.46,0.27,0.98,-0.92,346.0
33,0.02,0.38,0.98,-0.48,479.0
34,0.03,0.88,0.91,-0.43,263.0
35,0.1,0.54,0.95,-0.62,406.0
36,0.37,0.68,0.8,-0.32,280.0
37,0.24,0.52,1.0,-0.84,363.0
38,0.04,0.55,0.92,-0.36,402.0
39,0.09,0.18,0.0,-1.0,328.0
40,0.04,0.39,0.96,-0.61,403.0
41,0.2,0.48,1.0,-0.76,359.0
42,0.07,0.38,0.96,-0.71,317.0
43,0.02,0.7,0.96,-0.48,705.0
44,0.02,0.53,0.99,-0.57,279.0
45,0.02,0.56,0.97,-0.45,428.0
46,0.08,0.54,0.98,-0.72,449.0
47,0.09,0.64,0.88,-0.49,358.0
48,0.24,0.5,1.0,-0.92,341.0
49,0.02,0.68,0.98,-0.45,403.0
50,0.16,0.78,0.88,-0.28,355.0
51,0.05,0.52,0.96,-0.5,428.0
52,0.02,0.56,1.0,-0.6,419.0
53,0.01,0.88,0.97,-0.48,441.0
54,0.18,0.38,0.73,0.07,451.0
55,0.01,0.91,0.99,-0.44,232.0
56,0.04,0.78,0.94,-0.72,347.0
57,0.04,0.52,0.9,-0.46,285.0
58,0.08,0.38,0.91,-0.44,472.0
59,0.09,0.37,0.92,-0.52,322.0
60,0.02,0.52,0.94,-0.72,428.0
61,0.25,0.43,0.98,-0.61,372.0
62,0.01,1.12,0.96,0.16,251.0
63,0.03,0.44,0.93,-0.31,423.0
64,0.01,0.88,0.96,-0.48,274.0
65,0.02,0.55,1.0,-0.6,430.0
66,0.18,0.58,0.86,-0.52,409.0
67,0.15,0.32,0.78,-1.0,507.0
68,0.08,0.56,0.87,-0.61,430.0
