subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.88,0.4,1.0,0.23,244.60591895361316,102.99763445158345
27,0.84,0.43,0.88,1.0,256.8204617605922,29.082387806878387
28,0.95,0.74,0.86,0.69,157.67476666510535,52.83790578293768
29,0.13,1.37,0.12,-0.57,245.87287583281528,29.344645387605436
33,1.0,0.22,0.8,0.79,190.17140719860407,61.50043139996813
34,0.24,0.94,0.12,-0.19,120.95301793892854,115.87173120214193
35,0.99,0.6,0.85,0.12,112.7433898631462,58.163013316672426
36,0.17,0.95,0.64,0.29,314.03561816517777,116.23009106739514
37,0.51,0.64,0.93,-0.24,361.60325472557207,101.69680002734846
46,0.0,0.58,0.0,-0.85,287.6766722684934,51.84499534593961
62,0.08,1.5,0.0,-0.38,446.7306265639831,120.08926749420093
70,0.79,1.04,0.66,0.22,181.68018590003604,53.74476461380887
71,0.25,0.85,0.0,1.0,172.5842005809009,22.606697622581706
74,0.88,0.18,0.88,0.0,196.82159201672818,89.70568522050812
78,0.28,0.58,1.0,0.42,313.7755421812097,92.28139815606976
84,0.47,0.57,0.32,-0.32,197.45157391397356,80.38727993628113
85,1.0,0.92,0.29,1.0,238.688567908796,19.002288018685345
87,0.03,0.55,0.0,-0.12,259.80655676573906,91.67882204302352
0,0.0,1.46,0.0,0.58,422.33001328003814,124.24852446570203
1,1.0,1.5,0.49,0.69,151.540126132256,41.81470420846553
2,0.69,0.59,0.04,0.45,177.66774174364167,99.92979385159074
3,0.12,0.83,0.7,0.07,260.1972775356057,87.75766598212797
13,0.17,0.68,0.68,0.48,268.2581544975155,78.30274315799473
4,0.3,0.38,1.0,0.0,229.37977156852804,84.39324156888098
5,1.0,0.4,0.84,0.41,241.4819226013412,76.7813975516425
6,0.28,0.62,0.7,0.54,348.1987552805054,101.64511749084497
7,0.72,1.44,0.73,0.19,180.32121462423592,47.21241357117661
8,0.76,0.24,1.0,0.96,200.16103101883704,42.696229339185024
9,0.48,0.5,0.72,-0.08,243.14534877665415,83.96977346523582
10,1.0,0.57,0.56,0.19,210.94945047449485,67.18880363407872
11,0.28,0.64,0.92,0.66,273.1497984567135,73.50087358895449
12,1.0,1.24,0.59,1.0,168.95458629710666,27.119949166396147
14,1.0,0.6,0.79,0.59,287.10984375747825,88.7299948800355
15,0.28,0.91,0.0,-0.59,122.20583242125437,107.45035855719489
16,0.08,1.5,1.0,0.48,241.04603837185914,103.32673450695717
17,0.64,0.86,0.54,0.12,311.69285763216743,95.6753847164579
18,1.0,1.35,0.41,0.66,255.17822009148773,111.30894380830223
19,0.48,0.09,1.0,0.48,220.40163598434702,83.56519576235661
20,0.21,0.69,0.68,0.0,246.11759870647953,86.41813808633128
21,0.29,1.5,0.0,0.48,263.63439195517003,79.81504382966945
22,0.38,0.57,0.47,1.0,250.4797226469851,13.822468336316108
23,0.68,0.28,1.0,-0.08,202.55478884164958,89.79651347934148
24,0.0,0.63,0.0,0.0,279.28438843146694,109.75041573612185
25,0.35,1.11,0.08,0.88,266.3685100688349,77.85083390453032
26,0.28,1.5,0.0,-0.64,248.7803776778584,90.831911754015
30,1.0,0.37,0.87,0.65,165.35453701940534,86.33896740466638
31,1.0,0.72,0.88,0.66,213.34392668752946,67.78054432769818
32,0.89,0.54,0.86,0.08,178.78811731874825,82.73315552388608
38,0.52,0.42,0.95,0.01,266.9461918662537,79.4581171892478
39,0.96,0.16,0.09,-0.16,154.11989737658598,66.25046206945085
40,0.39,0.26,0.73,1.0,281.8205277409651,38.57421861336048
41,0.0,0.66,0.0,-0.32,265.85764260708544,86.68568796032467
42,1.0,0.27,0.56,0.62,210.82913898886164,56.850382831349904
43,0.17,0.48,0.48,0.45,766.4740437879908,76.92943402557948
44,1.0,0.72,0.58,0.19,212.51505634180558,80.53187829170555
45,1.0,0.68,0.86,0.37,198.7005901171459,84.73989747730892
47,1.0,1.34,0.51,-0.63,150.14211715535077,35.362787304054365
48,1.0,0.73,0.8,0.87,249.71430234842643,44.45517271380452
49,0.17,0.62,0.08,0.14,296.6547477119061,84.41284385752346
50,0.21,0.88,0.1,0.16,175.59956347168279,36.23169371885209
51,1.0,0.54,0.84,0.68,250.48128915549853,58.55498661310343
52,0.13,0.27,0.28,0.0,282.03239053164685,88.25480789994432
53,0.45,0.91,0.09,1.0,458.5809245271954,35.26190276369344
54,0.6,0.57,0.72,-0.28,324.3828281717817,123.3093605518591
55,0.03,1.5,0.0,0.76,277.69885400038885,87.6769551166147
56,0.0,0.66,0.0,-0.42,383.3115329039285,76.41016373575067
57,0.3,0.4,1.0,-0.07,254.2535324362477,72.74663750158211
58,1.0,0.41,0.72,0.19,227.9522632213985,98.39606987786703
59,1.0,0.45,0.63,0.34,198.97232978327722,70.91147896714577
60,0.32,0.36,0.72,0.0,232.5558136754625,91.41260471732
61,0.85,0.28,0.96,0.48,153.80256496598207,42.36305037816668
63,0.76,0.2,0.99,0.72,209.58722414926595,54.619598298925034
64,0.2,1.07,0.94,0.59,456.576237769608,84.69022150664232
65,0.2,0.44,0.0,0.24,216.1173926583893,77.30380325028837
66,0.29,0.5,1.0,0.28,232.1186332814302,80.32492400623744
67,0.88,0.13,0.85,0.36,268.9912081459121,84.23543227267746
68,0.17,0.54,1.0,0.32,313.38471951458115,93.7728077667682
69,0.52,0.61,0.71,-0.11,219.0692006153501,82.38370727830706
72,0.47,0.88,0.46,0.55,149.5730362699716,56.33981995490588
73,0.32,0.65,0.99,-0.6,260.8794671973374,99.92630707980928
75,0.58,0.53,0.59,0.68,271.1875278325863,81.78200776097692
76,0.17,0.41,1.0,-0.19,265.80598500058403,100.95755743992747
77,0.67,1.01,0.18,0.5,220.73239374922807,52.45608519842103
79,0.68,0.49,0.0,0.58,359.30371333772524,87.02768860141875
80,0.1,1.5,0.0,0.24,387.7536933921321,110.71708434909947
81,0.03,0.8,0.0,0.24,256.14715706820164,131.76570781050307
83,0.01,0.74,0.0,-0.17,349.36057930528625,109.57670084889155
86,0.46,1.28,0.04,-0.14,479.0313416100412,103.81410437990093
88,0.56,0.57,0.68,0.63,258.9217000143676,66.66887962110256
89,0.32,0.45,1.0,0.74,328.3313474787128,56.39842393993433
90,0.28,0.95,0.5,-0.56,327.7582507732396,45.36793433122906
91,0.86,0.5,0.95,0.0,186.7479111234166,48.92338931915445
92,0.08,1.2,0.48,0.53,196.5404782851434,87.90618883660905
93,0.14,0.19,1.0,-0.06,403.3311894520506,89.47043949431198
