subID,alpha,theta,gamma,w,nll
0,0.0,1.48,0.0,0.57,288.039615772078
1,0.11,1.26,1.0,0.91,295.01425020012925
2,0.3,0.32,1.0,0.57,376.2281567401069
3,0.13,0.92,0.69,0.12,333.23215146688676
4,0.16,0.36,0.88,0.02,337.8774075925064
5,0.14,0.56,0.52,0.25,355.5791486166191
6,0.09,0.6,0.88,0.6,363.1239005988702
7,0.02,1.38,0.1,0.44,336.05161810200815
8,0.23,0.38,0.16,0.88,289.54482985559207
9,0.28,0.47,0.8,0.0,378.9406688432776
10,0.14,0.66,0.48,0.33,334.3848737735866
11,0.09,0.7,1.0,0.68,358.15198097420307
12,0.18,0.77,0.52,0.99,339.5413089964394
13,0.08,0.68,0.88,0.44,327.35816371980314
14,0.12,0.81,0.68,0.72,354.0922845285774
15,0.32,0.72,0.06,0.21,297.0570258274078
16,0.08,1.5,1.0,0.44,348.9526171291074
17,0.48,0.49,0.96,0.2,341.9771250241791
18,0.12,1.0,1.0,0.66,318.47588240721524
19,0.06,0.22,0.1,0.44,319.23106979940974
20,0.01,0.75,0.02,0.09,368.62674577665354
21,0.09,1.12,0.68,0.51,320.17896113556566
22,0.04,0.63,0.1,0.79,318.2987085683927
23,0.19,0.37,0.94,-0.32,384.11546813635533
24,0.08,0.66,0.52,-0.06,353.2250723649908
25,0.02,1.28,0.02,0.8,278.38781332679935
26,0.15,1.36,0.25,-0.9,210.7112621083393
27,0.32,0.34,1.0,0.93,276.90304236785806
28,0.48,0.77,0.72,0.71,336.36941772279624
29,0.12,1.13,0.0,-0.72,254.80800624840577
30,0.56,0.26,1.0,0.62,263.5152765158409
31,0.19,0.76,1.0,0.7,362.6660245228524
32,0.32,0.54,0.88,0.15,343.56403298075287
33,0.19,0.23,0.12,0.83,322.31643787312237
34,0.11,0.88,0.28,-0.16,333.76725903855856
35,0.52,0.38,0.94,0.39,346.4441243363784
36,0.14,0.83,0.84,0.28,344.54452525129636
37,0.13,0.73,1.0,0.0,409.64106583752675
38,0.35,0.41,1.0,0.03,343.3034537690561
39,0.27,0.22,0.32,-0.53,342.2814579579074
40,0.0,0.45,0.0,0.85,328.0588569935868
41,0.08,0.65,0.69,0.13,375.0709412016916
42,0.0,0.53,0.0,0.86,342.41423560732716
43,0.15,0.58,0.52,0.49,542.6061882527217
44,0.21,0.72,0.6,0.23,326.38435304435416
45,0.77,0.48,1.0,0.48,384.08994847566896
46,0.0,0.58,0.0,-0.98,332.81288868542515
47,0.73,0.48,1.0,0.68,290.02384228446806
48,0.04,0.77,0.1,1.0,308.23500631108095
49,0.45,0.43,0.92,0.29,370.67550362176485
50,0.09,1.04,0.33,0.47,253.974735168981
51,0.36,0.26,1.0,0.78,320.4708423441956
52,0.16,0.18,1.0,-0.21,357.9461099063649
53,0.28,0.87,0.19,0.98,250.5067960445611
54,0.31,0.4,1.0,-0.52,369.701944689301
55,0.02,1.43,0.06,0.7,263.5955512182045
56,0.88,0.29,1.0,-0.72,364.73605179032813
57,0.0,0.65,0.0,-0.01,363.2254058623345
58,0.28,0.48,0.68,0.0,395.9918016227838
59,0.3,0.24,1.0,0.51,326.4775350733129
60,0.0,0.36,0.0,-0.06,358.427440787825
61,0.48,0.24,1.0,0.7,303.92919942583416
62,0.08,1.5,0.0,-0.91,257.9825260683988
63,0.2,0.55,0.88,0.68,335.2656000671939
64,0.09,1.29,0.88,0.58,282.35589311092383
65,0.39,0.22,0.93,0.46,424.076688973303
66,0.33,0.43,1.0,-0.12,324.44909840440494
67,0.32,0.13,0.98,0.5,376.59247382780643
68,0.38,0.57,0.88,0.51,343.8762617053768
69,0.56,0.19,1.0,0.02,345.5230499960865
70,0.09,0.93,0.54,0.33,283.97422737072134
71,0.09,0.81,0.06,1.0,299.3892711230415
72,0.02,0.95,0.1,0.88,307.3958929039139
73,0.29,0.72,0.95,-0.59,359.50797073719684
74,0.01,0.56,0.02,-0.13,396.01465017427734
75,0.52,0.26,1.0,0.67,328.517445733651
76,0.3,0.36,1.0,-0.38,329.55312349377294
77,0.16,0.88,0.62,0.62,316.15494004497936
78,0.1,0.76,0.88,0.37,366.39038892717053
79,0.87,0.32,0.87,0.57,305.59979661095235
80,0.11,1.5,0.28,0.19,223.47826838213072
81,0.01,0.8,0.0,0.05,363.36429496469924
82,0.06,0.79,0.0,0.19,347.0648229797519
83,0.0,0.77,0.0,-0.21,361.8260431924134
84,0.08,0.44,0.76,-0.56,330.3713924550774
85,0.12,0.72,0.48,0.88,281.63051155801895
86,0.1,1.5,0.68,-0.2,278.44514192452556
87,0.29,0.4,0.49,-0.12,382.3765809513779
88,0.19,0.46,0.71,0.68,377.85707440065676
89,0.13,0.57,0.0,0.92,278.86314918616296
90,0.56,0.84,0.78,-1.0,253.9431324423407
91,0.15,0.67,0.8,-0.23,347.0533726218955
92,0.03,1.26,0.0,0.55,322.0063245872069
93,0.08,0.28,0.88,-0.43,535.17124698305
94,0.08,0.67,0.78,0.19,352.1180698171311
95,0.0,0.42,0.0,0.81,357.0050207287776
96,0.39,0.37,0.42,0.45,369.3564107543191
97,0.1,0.59,0.64,0.29,365.0033743555102
98,0.15,0.66,1.0,0.3,435.3180753435706
99,0.28,0.47,0.68,0.81,312.48235654228927
100,0.03,0.84,0.1,0.66,320.455303930919
101,0.09,0.97,1.0,0.45,379.2020357529768
102,0.17,0.44,0.79,-0.52,366.89293046104723
103,0.19,0.65,0.0,0.99,332.0276074488215
104,0.21,0.81,0.26,0.68,304.95092714615157
105,0.24,0.82,0.88,0.18,361.47644603300404
106,0.27,0.62,0.96,0.69,325.7623771811809
107,0.32,0.74,0.87,0.63,348.8089796257554
108,0.52,0.48,0.96,0.44,366.863954931172
109,0.08,0.6,0.1,-0.34,344.1050659016322
110,0.1,0.88,0.28,0.57,294.0839166036997
111,0.32,1.06,0.84,0.44,363.13840870568066
112,0.46,0.56,0.88,0.97,325.2150896881794
113,0.08,0.72,1.0,0.31,375.6862238033654
114,0.25,0.42,0.71,0.57,331.7053429619057
115,0.21,1.49,0.0,0.71,294.3180275928409
116,0.09,0.98,0.05,0.64,307.068507780076
117,0.63,0.43,0.97,0.92,302.85700023126924
118,0.11,1.16,1.0,0.8,325.64569389854444
119,0.64,0.8,1.0,0.79,324.2426833511818
120,0.0,0.88,0.0,0.08,344.1814373500822
121,0.08,0.82,1.0,1.0,288.8877822994948
122,0.48,0.47,1.0,1.0,299.9506756908406
123,0.02,0.76,0.1,0.32,359.55331906415574
124,0.09,0.8,1.0,0.61,345.57642459866616
125,0.54,0.6,0.99,0.97,309.4745870177657
126,0.24,0.59,1.0,0.52,348.0229828314836
127,0.28,0.73,1.0,0.91,306.4065679471397
128,0.12,0.83,0.88,0.08,347.3275513032356
129,0.4,0.5,0.98,0.0,347.13832434204244
130,0.1,1.04,0.56,-0.26,308.83957174693336
131,0.09,0.94,0.69,-0.68,338.7980925004128
132,0.0,0.64,0.0,-0.22,364.395587313325
133,0.17,0.52,0.08,0.8,346.7217821759145
134,0.01,0.76,0.02,0.69,319.44254219449084
135,0.32,0.56,0.99,0.0,357.34611712327245
136,0.14,0.85,0.69,0.34,334.44031945957
137,0.03,0.64,0.1,-0.12,380.9390852063926
138,0.6,0.21,1.0,0.93,352.58224072757054
139,0.11,0.76,1.0,0.59,393.9483762521232
140,0.18,0.88,0.48,0.4,329.28434617030143
141,0.32,0.15,1.0,0.21,354.9040884660508
142,0.33,0.08,1.0,0.53,348.44500776541327
143,0.18,0.58,1.0,0.71,349.6110814019731
144,0.11,0.8,0.88,0.57,320.68947777562744
145,0.08,1.08,0.87,0.33,335.34071194380465
146,0.15,1.42,0.82,1.0,255.47224780947815
147,0.53,0.21,1.0,0.52,341.62694394600265
148,0.1,0.69,0.68,0.5,351.23572616391033
149,0.3,0.7,0.0,0.0,331.826684550132
150,0.12,0.65,1.0,0.47,365.60211962418373
151,0.08,0.68,0.68,0.15,459.9632932302511
152,0.48,0.23,1.0,-0.07,311.71928055960586
153,0.45,0.34,0.98,0.84,328.2978091944841
154,0.25,0.4,0.92,0.67,329.7649769583319
155,0.02,0.83,0.1,0.6,334.12393691326463
156,0.28,0.68,0.99,1.0,330.1942880560399
157,0.28,0.45,0.81,-0.04,394.9726051223531
158,0.68,0.45,1.0,0.75,324.0967325206917
159,0.18,0.6,0.41,0.99,287.1179593392835
160,0.08,0.87,0.59,0.52,372.5602914925105
161,0.28,0.57,0.86,0.41,359.4740444960524
162,0.16,0.78,0.5,-0.47,301.9091646431307
163,0.28,0.16,1.0,0.53,364.6170430306819
164,0.28,1.12,0.69,-0.95,258.8392102872034
165,0.75,0.2,1.0,0.8,356.52001823984887
166,0.02,0.67,0.0,0.55,362.9290261522962
167,0.22,1.15,0.0,1.0,243.50165849822815
168,0.44,0.57,0.88,-0.27,377.68703234680277
169,0.02,0.92,0.0,0.0,340.08190896583125
170,0.28,0.81,0.34,-0.39,349.6097607314638
171,0.16,0.78,0.5,-0.38,322.10117610391495
172,0.28,0.68,0.68,0.08,422.1403160325386
173,0.0,0.63,0.0,0.31,416.1119824696783
174,0.13,0.83,0.72,0.44,314.28240108579934
175,0.75,0.2,0.99,0.72,319.3727139705705
176,0.03,0.48,0.0,0.57,373.873807751552
177,0.0,0.54,0.0,0.66,268.57100457308485
178,0.33,0.62,0.69,0.17,303.8017043920758
179,0.32,0.64,1.0,0.17,376.1658634627765
180,0.51,0.64,0.88,0.78,318.9527270025313
181,0.02,0.43,0.02,0.23,356.4978284855629
182,0.88,0.0,0.77,0.58,353.0713167306851
183,0.16,0.81,1.0,0.47,377.8777417071283
184,0.63,0.41,0.99,0.53,350.76141063006537
185,0.0,0.8,0.0,0.51,357.3266822788495
186,0.4,0.43,1.0,0.9,312.1689088846311
187,0.3,0.55,1.0,0.45,341.3484686701613
188,0.08,1.36,0.0,0.83,291.944934116396
189,0.36,0.44,0.0,0.71,334.2238973565711
190,0.38,0.22,1.0,0.18,358.40256735027674
191,0.14,0.69,0.48,0.88,291.6658854391282
192,1.0,0.05,1.0,0.91,378.81907755237955
193,0.0,1.17,0.0,0.79,344.34883194000315
194,0.18,0.39,0.12,0.11,344.54940455809015
195,0.12,0.42,0.8,-0.55,357.1285306820339
196,0.19,0.43,1.0,-0.44,354.7352643356202
197,0.92,1.08,1.0,0.77,246.99361733995602
198,0.0,0.48,0.0,0.08,374.6809189067988
199,0.8,0.2,1.0,1.0,314.53089056880845
200,0.0,0.61,0.0,0.95,325.4054593762126
201,0.18,0.59,1.0,-0.24,352.94929083916713
202,0.76,1.1,0.18,0.52,284.7488868784101
203,0.24,0.18,0.96,0.52,356.65038099765246
204,0.8,0.76,0.61,0.82,286.5184481430192
205,0.08,1.0,0.88,0.77,293.75409817915465
206,0.14,0.58,0.0,0.78,295.27639986308196
207,0.08,0.79,0.88,0.98,310.1366192097137
208,0.12,0.86,0.0,0.76,275.39329335868473
209,0.41,0.47,0.98,0.45,328.54400801196545
