subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.88,0.4,1.0,0.0,244.60591895361316,106.25118274686125
27,0.64,0.43,0.96,0.12,258.17697989624304,72.48025579822661
28,0.93,0.75,0.86,-0.41,157.761251172045,59.71339510921788
29,0.23,1.01,0.0,1.0,185.60447240676552,75.71882985289344
33,0.84,0.22,0.74,0.0,193.5121851526051,94.46826581075892
34,0.25,1.04,0.19,-0.48,118.0635619156882,95.20902811015665
35,0.99,0.69,0.86,-0.22,106.17680111792552,56.82421824710963
36,0.16,0.92,0.67,0.04,314.13549199267055,126.51052006625983
37,0.72,0.82,0.88,-0.44,351.67975977867656,97.27524046524304
46,0.0,0.58,0.0,-0.18,287.6766722684934,83.88066322806242
62,0.04,1.5,0.0,1.0,451.1695709593131,122.53184988849539
70,0.83,1.07,0.65,-0.26,181.15824629021517,51.71163481734949
71,0.33,0.91,0.28,-0.35,179.89255010105686,72.04167348712177
74,0.76,0.12,0.88,0.24,194.47006864675765,83.91761591293165
78,0.28,0.58,1.0,0.06,313.7755421812097,103.75344236423828
84,0.59,0.65,0.36,-1.0,194.02507967720302,81.63223527301103
85,1.0,0.96,0.41,-0.02,240.24739663563426,112.84402046474962
87,0.08,0.66,0.08,-0.4,249.38513211423856,80.27323542219807
0,0.0,1.46,0.0,-0.7,422.33001328003814,149.728111699745
1,1.0,1.46,0.52,-0.52,151.7390279624386,67.25131599352507
2,0.91,0.61,0.0,-0.1,179.47798646180289,126.03775591802872
3,0.14,0.83,0.74,-0.04,260.0810369823126,88.04825946827911
13,0.24,0.65,0.93,-0.18,270.1487500028772,91.14635925968145
4,0.3,0.37,1.0,0.02,229.2647749687813,84.34732719960145
5,1.0,0.39,0.86,0.04,242.49313433862937,92.6894249834955
6,0.21,0.67,0.72,-0.24,348.2964435230834,126.31792060992208
7,0.72,1.48,0.74,-0.22,179.85283978305844,46.91954275488245
8,0.64,0.29,0.99,-0.06,202.64432210123204,65.85034896637879
9,0.45,0.58,0.7,-0.28,241.54292829346886,77.45772372385346
10,1.0,0.56,0.56,0.0,210.9395114398668,69.13331938458194
11,0.32,0.63,0.98,-0.16,274.5713486396955,83.47167499628578
12,1.0,1.18,0.67,-0.32,169.87836681556695,55.552647746421435
14,0.91,0.63,0.77,-0.37,287.68128073185346,97.8310211760467
15,0.27,0.97,0.0,-0.72,120.86639218708953,76.07221778251504
16,0.08,1.5,0.99,-0.68,241.20424430441736,93.92718732458238
17,0.63,0.87,0.55,-0.08,311.6931439683755,96.05207824127969
18,1.0,1.35,0.52,-1.0,257.84805414930264,122.87817141325743
19,0.48,0.07,1.0,0.18,220.26011206246838,85.52863363234587
20,0.19,0.75,0.54,-0.16,244.77648454862114,84.43759280454778
21,0.23,1.5,0.0,-0.5,265.4027313969923,111.64235526206747
22,0.35,0.57,0.44,-0.21,250.52302717623107,62.50238477761612
23,0.68,0.33,1.0,-0.13,199.73196592789063,85.59406567341657
24,0.18,0.54,1.0,-0.13,275.2419280375419,105.28511451843809
25,0.35,1.14,0.85,-0.37,295.79160867112057,98.96740304177393
26,0.23,1.5,0.0,1.0,251.55465603350282,96.64285448786181
30,0.43,0.34,0.87,0.52,171.97733804994053,91.08486902572027
31,1.0,0.76,0.87,-0.32,215.41973574949978,92.98631613296374
32,0.89,0.54,0.86,0.0,178.78811731874825,83.16202104182904
38,0.52,0.4,0.95,0.04,266.70360604383654,79.2510879755359
39,0.88,0.21,0.1,-1.0,153.63389676823473,67.27111556991252
40,0.43,0.27,0.68,-0.02,281.9610325231729,78.39441228290495
41,0.0,0.73,0.0,-0.08,264.0665019558214,92.8885730093672
42,1.0,0.25,0.67,0.12,211.86051342580166,74.02388550076155
43,0.19,0.45,0.68,0.04,769.263255415303,91.44336185645855
44,1.0,0.78,0.61,-0.21,211.41890318886092,81.36082222689213
45,1.0,0.68,0.88,-0.32,198.89263471018168,81.16490453765745
47,1.0,1.28,0.68,0.04,150.73331985001667,44.972951904942896
48,1.0,0.72,0.82,-0.08,249.7953067198974,79.12308852331007
49,0.16,0.64,0.08,-0.07,296.169997822874,85.30677311880349
50,0.22,0.92,0.17,-0.08,173.11502853396038,38.77250847268729
51,1.0,0.56,0.83,-0.14,250.913239165211,79.46023308401685
52,0.15,0.36,0.0,-0.22,277.83836612500284,83.07517780336593
53,0.43,0.91,0.07,-0.38,458.7926843973475,65.61528383548317
54,0.52,0.54,0.75,0.4,324.6406743893176,143.10126262978747
55,0.01,1.5,0.0,-0.64,280.6322383675329,83.25910611421925
56,0.0,0.82,0.0,-0.56,363.94469155851203,107.8055983966769
57,0.32,0.36,1.0,0.0,254.16407705106002,72.18865761604484
58,1.0,0.34,0.7,0.31,227.05767148603982,96.53794042286624
59,1.0,0.37,0.82,0.14,199.51952403090715,78.03143068623993
60,0.39,0.37,0.79,-0.13,231.17008785199425,88.25685369007019
61,0.96,0.33,0.88,0.08,177.7456379003769,39.41054376365699
63,0.35,0.35,0.48,0.48,212.35948910626834,83.51492017374632
64,0.18,1.12,1.0,-0.76,457.30980013963546,61.03731312302329
65,0.18,0.46,0.0,-0.04,216.71956830239282,80.81933392567214
66,0.28,0.5,1.0,0.02,232.25304736101032,80.2979328798485
67,0.32,0.13,1.0,0.2,275.43134448760304,84.20899090089024
68,0.2,0.56,1.0,-0.13,314.23104572416463,97.60061455093495
69,0.5,0.64,0.72,-0.16,218.34950371143512,81.04628030054734
72,0.56,0.98,0.54,-0.37,148.45859570425978,66.79085441630669
73,0.59,0.89,0.82,-0.8,233.36861659782403,93.12577936748207
75,0.51,0.52,0.57,0.48,270.97245615836346,113.52119392921924
76,0.28,0.41,1.0,-0.22,260.6093854719603,100.89701722521222
77,0.68,0.99,0.19,0.0,220.61962442986885,68.81061447632285
79,0.6,0.52,0.0,0.08,359.2932463613196,128.58922641809852
80,0.07,1.5,0.0,-0.88,387.82885309735667,64.62349651970705
81,0.03,0.88,0.0,-0.41,249.1516796302035,107.031422586421
83,0.64,0.67,0.99,-0.4,331.69408579956547,117.82858146920594
86,0.28,1.5,0.0,-0.67,472.14743168169446,84.61647941476703
88,0.82,0.57,0.6,0.4,260.3769977101673,72.84579605953449
89,0.04,0.62,0.1,0.12,332.024876324189,94.39084678365192
90,0.22,0.94,0.0,0.42,342.9938921541492,95.22109890940224
