subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.27,0.37,0.95,0.21,254.36290618699252,96.55399901567725
27,0.15,0.45,0.84,1.0,260.7761237302548,29.082387806878387
28,0.32,0.6,0.88,0.79,160.49779377884656,55.76015472886247
29,0.08,1.5,0.0,-0.56,271.522617477174,57.73277974848295
33,0.59,0.19,0.67,0.86,185.81402406335482,62.073641133079136
34,0.13,0.96,0.68,-0.21,146.40471061206148,101.21628719496985
35,0.51,0.24,0.97,0.28,113.22927249395646,70.61300981230525
36,0.1,0.95,0.0,-0.1,309.7378622003599,127.8043260958714
37,0.23,0.52,0.95,-0.28,360.5380897413807,97.32216011367728
46,0.0,0.58,0.0,-0.85,287.6766722684934,51.84499534593961
62,0.02,1.5,0.0,-0.48,448.35941116586355,126.01048682918984
70,0.08,0.92,0.0,0.16,190.3711521356496,46.063435625625324
71,0.08,0.85,0.68,1.0,198.5815875435796,22.606697622581706
74,0.17,0.23,0.55,0.0,194.46663444227005,94.70958903263161
78,0.09,0.63,0.88,0.42,315.00304075560217,91.72668562542609
84,0.19,0.31,0.93,-0.32,213.43761696597414,83.71464175171499
85,0.48,1.09,0.52,1.0,221.07931698149156,19.002288018685345
87,0.12,0.44,0.1,-0.05,253.99319350357413,87.89341099510443
0,0.92,0.32,1.0,0.51,470.74352073558305,119.33827058703076
1,0.26,1.5,0.52,0.67,143.17263837782158,40.86602634755533
2,0.27,0.54,0.0,0.46,183.186772488507,98.74533040867196
3,0.0,0.84,0.0,-0.13,269.72048997353664,84.83756958925578
13,0.08,0.63,0.84,0.52,270.39652133564,80.45328342176033
4,0.19,0.28,1.0,-0.12,214.4473321586587,93.64955291864027
5,0.43,0.44,0.82,0.38,229.56315716371824,75.1646586338403
6,0.09,0.66,0.68,0.57,336.04947705651676,101.35057386964169
7,0.08,1.36,0.48,0.32,176.63242294206128,50.50282028678743
8,0.52,0.16,0.98,0.97,210.7796145032851,42.64739544464552
9,0.08,0.47,0.68,-0.05,253.0056128013698,86.51851914308492
10,0.39,0.62,0.62,0.31,214.3788607799421,73.14314152566848
11,0.1,0.65,0.88,0.69,266.8727423608119,74.43987024751006
12,0.31,1.43,0.58,1.0,153.96253906236566,27.119949166396147
14,0.32,0.6,0.87,0.64,271.2264889234379,87.82331283957372
15,0.08,0.88,0.02,-0.32,123.33242588420673,111.76499157107169
16,0.01,1.5,0.0,0.48,246.32801930711253,102.94690996468552
17,0.26,0.7,0.85,0.15,312.95591017838865,93.31032881787618
18,0.42,1.43,0.35,0.71,222.16577213381905,113.01407712508272
19,0.16,0.04,1.0,0.43,219.32646369836894,82.80600526587679
20,0.12,0.57,0.88,-0.05,246.63670509522095,90.9347114071838
21,0.08,1.48,0.0,0.44,225.68866755057022,73.73302834265952
22,0.13,0.57,0.51,1.0,251.25192845348434,13.822468336316108
23,0.19,0.32,1.0,-0.36,208.1456389725787,81.40885936681278
24,0.0,0.63,0.0,0.0,279.28438843146694,109.75041573612185
25,0.12,1.0,0.08,0.97,276.26804433193826,78.28393872404374
26,0.08,1.5,0.02,-0.72,238.71837804170733,92.92431939684418
30,0.18,0.25,1.0,0.56,172.77685213687903,79.78646878789014
31,0.35,0.52,0.96,0.65,245.20418251487564,68.64269858053731
32,0.24,0.48,0.88,0.12,198.0239758312967,83.1773945941276
38,0.03,0.57,0.1,0.09,264.50006352493153,85.27764763907534
39,0.24,0.15,0.08,-0.19,153.93075450666817,67.2146067127537
40,0.09,0.24,0.56,1.0,282.27269309850067,38.57421861336048
41,0.0,0.66,0.0,-0.32,265.85764260708544,86.68568796032467
42,0.52,0.25,0.82,0.73,201.55402074488475,58.94251272357926
43,0.88,0.08,0.98,0.52,841.2184370078338,94.72778066835154
44,0.51,0.6,0.82,0.3,187.80615309244624,83.78533489943432
45,0.35,0.7,0.77,0.31,202.4438626902747,85.44751858723379
47,0.25,1.12,0.76,-0.59,152.1095707947206,34.567353962871174
48,0.18,0.75,0.77,0.88,250.19021940738503,44.62144443304676
49,0.04,0.67,0.08,0.1,285.5931229011186,80.64975981984027
50,0.1,1.08,0.48,0.28,173.67580370614158,43.07157583046128
51,0.46,0.5,0.88,0.62,237.91365147300547,55.02497026873921
52,0.03,0.31,0.0,0.0,282.0605227043174,89.28294830701294
53,0.1,0.92,0.03,1.0,467.2562371903559,35.26190276369344
54,0.48,0.24,0.99,-0.3,334.468354519626,123.6121430695174
55,0.03,1.5,0.0,0.74,273.7608967157983,86.40746876866152
56,0.0,0.66,0.0,-0.42,383.3115329039285,76.41016373575067
57,0.16,0.42,0.88,0.0,255.17611450550754,71.383638260064
58,0.32,0.36,0.77,0.19,222.36077028602915,92.75752470304488
59,0.28,0.37,0.6,0.4,204.49463854417516,71.16016383281169
60,0.08,0.28,0.92,0.0,238.65175968325073,88.09235651073999
61,0.5,0.15,0.98,0.52,168.59208261573622,40.82536172400134
63,0.17,0.37,0.15,0.71,200.5331436103067,55.39144549930453
64,1.0,0.1,1.0,0.52,429.40949323821917,82.24500704249894
65,0.22,0.26,0.96,0.36,209.17001047425944,80.43708010329388
66,0.08,0.44,1.0,0.2,239.0207982892627,80.98058424790737
67,0.22,0.15,0.86,0.3,270.62653606051595,78.61797602795365
68,0.01,0.68,0.02,0.44,321.04039554074296,100.97388487303638
69,0.24,0.53,0.86,0.0,215.0886408637045,75.70756814353739
72,0.15,0.79,0.36,0.6,165.51862494681805,57.80078455074536
73,0.11,0.78,0.88,-0.52,252.1680439205545,134.3543382775557
75,0.14,0.45,0.68,0.69,275.039094645032,82.20119569081307
76,0.11,0.28,1.0,-0.22,265.7417471335814,101.73270650255
77,0.13,1.0,0.1,0.48,220.83818758448155,50.29885778096571
79,0.11,0.5,0.0,0.59,362.69791207365523,88.26687750551187
80,0.88,0.52,0.88,0.28,558.131811214835,84.51575636607564
81,0.02,0.84,0.0,0.31,246.38518660918797,140.18800300236626
83,0.01,0.72,0.0,-0.17,348.3833170834502,110.02088561216719
86,0.18,1.5,0.01,-0.32,475.4527783340949,108.03144077687153
88,0.26,0.71,0.59,0.63,244.60503070714395,66.96965880594433
89,0.08,0.47,1.0,0.75,327.02207714865074,56.54778216299948
90,0.08,1.0,0.68,-0.56,338.59733131681764,45.48084515814758
91,0.4,0.56,0.88,-0.24,187.05316595977246,65.15624372490265
92,0.02,1.24,0.1,0.55,191.48586450973949,90.35991471810941
93,0.03,0.26,0.0,-0.04,408.1072090992373,85.6048833656161
96,0.15,0.33,0.72,0.43,270.8283288059837,105.52572364052455
121,0.09,0.81,0.88,1.0,237.58045535713518,28.409023538194617
128,0.08,0.79,0.94,0.08,307.7760570122195,83.53030368464054
135,0.12,0.52,1.0,0.0,269.739473688042,89.464507044523
136,0.08,0.8,0.88,0.48,302.9877053649858,87.42748474538334
139,0.56,0.52,0.87,0.57,109.54308861413301,49.52554174378235
149,0.57,0.88,0.6,0.0,219.89409308335252,67.2940868205114
156,0.32,0.48,0.88,0.83,219.1013002526408,53.90148515082999
159,0.16,0.74,0.84,1.0,217.55302187695568,46.24164681085832
162,0.09,0.98,0.0,-0.33,244.10370674272278,71.52227672890226
183,0.2,0.64,1.0,0.4,292.5861643993587,124.20402455706292
186,0.22,0.32,0.95,-0.56,433.83561918149456,90.45201462866237
191,0.45,0.78,0.0,0.73,203.59813020299515,59.80085998297347
197,0.16,1.5,0.11,0.74,377.3787080847877,75.90327402979425
199,0.28,0.17,0.99,1.0,222.21601362858794,34.320793021654275
