trial,subID,sim_choice,sim_attack,k
1,0,"[1, 3, 1, 3, 2, 3, 2, 5, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,1,"[8, 7, 9, 7, 7, 6, 7, 8, 7, 8]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1
1,2,"[6, 4, 2, 4, 3, 5, 2, 2, 3, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[6, 4, 4, 8, 6, 5, 7, 5, 5, 6]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1
1,4,"[8, 2, 4, 6, 2, 4, 1, 4, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,5,"[5, 4, 2, 5, 3, 2, 2, 2, 2, 4]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,6,"[1, 1, 1, 2, 1, 2, 2, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,7,"[4, 5, 7, 7, 8, 7, 6, 7, 7, 7]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]",1
1,8,"[2, 1, 1, 3, 2, 3, 2, 5, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,9,"[4, 3, 2, 5, 3, 6, 4, 4, 2, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,10,"[3, 3, 5, 3, 3, 4, 4, 2, 1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,11,"[3, 1, 5, 2, 3, 3, 6, 5, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[8, 7, 8, 6, 5, 5, 7, 7, 6, 7]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,13,"[4, 5, 2, 6, 3, 6, 5, 4, 4, 2]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,14,"[2, 3, 5, 2, 3, 6, 5, 2, 4, 3]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,15,"[5, 7, 6, 5, 5, 6, 5, 6, 3, 6]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1
