subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.28,0.4,0.99,0.22,246.7194033125573,101.99711752278547
27,0.23,0.48,0.88,1.0,258.9503168938122,29.082387806878387
28,0.48,0.68,0.87,0.57,149.51243485722398,49.948102099231285
29,0.14,1.3,0.0,-0.61,236.88228657312487,36.25170204659732
33,0.86,0.21,0.8,0.82,182.52215198096232,61.8018185170327
34,0.11,0.95,0.48,-0.15,123.0458472245957,110.35999566558378
35,0.68,0.56,0.88,0.08,96.05686044942205,49.00184549831214
36,0.08,0.97,0.06,0.32,310.6841145110366,115.26446395552877
37,0.57,0.47,0.98,-0.24,344.16634010838186,97.381562755988
46,0.0,0.58,0.0,-0.85,287.6766722684934,51.84499534593961
62,0.49,1.5,1.0,-0.37,489.9548331326972,111.72072007173868
70,0.1,0.93,0.0,0.25,196.2378676106296,50.5717157417635
71,0.08,0.84,0.0,1.0,171.09113272984368,22.606697622581706
74,0.56,0.17,0.88,0.0,196.0499821067858,88.32136180209011
78,0.02,0.67,0.0,0.48,324.52720294417026,89.50749842049504
84,0.21,0.58,0.35,-0.32,201.02451772728008,81.52966900093779
85,0.71,1.06,0.33,1.0,235.38505796250587,19.002288018685345
87,0.15,0.4,0.29,-0.08,261.505681333985,92.05107284647357
0,0.0,1.46,0.0,0.58,422.33001328003814,124.24852446570203
1,0.36,1.5,0.48,0.66,146.03760769748132,40.77003525761123
2,0.37,0.52,0.0,0.43,187.9987075960262,97.43203449282328
3,0.14,0.78,0.87,0.11,260.577495773804,87.31281522662934
13,0.15,0.63,0.85,0.49,267.4651246770744,78.89332866790556
4,0.22,0.38,0.98,-0.06,219.3099524754227,84.86873295626278
5,0.61,0.43,0.82,0.42,235.29150633585544,76.85867721741774
6,0.11,0.68,0.68,0.54,346.7702555431685,102.31493823637942
7,0.13,1.34,0.48,0.34,182.11550398374138,51.81320124449548
8,0.52,0.18,0.98,0.9,209.9534373995999,42.44304836339311
9,0.19,0.51,0.69,-0.08,246.05784860854075,86.70571856810713
10,0.74,0.78,0.59,0.19,190.95567930561674,62.760171548638965
11,0.15,0.65,0.88,0.64,270.44377713441116,73.19740885495996
12,0.43,1.48,0.53,0.96,148.74655167790584,27.086680375081606
14,0.52,0.6,0.87,0.56,276.65912829864305,87.82269961150025
15,0.13,0.97,0.08,-0.62,113.43417122426011,109.56962502357374
16,0.01,1.5,0.0,0.47,251.36680564912018,102.60942067929733
17,0.43,0.72,0.87,0.17,307.65233749336517,96.42387054124193
18,0.62,1.5,0.37,0.64,213.47879594410693,109.12419781463878
19,0.14,0.07,1.0,0.48,221.69177494244937,84.00477186644268
20,0.08,0.66,0.68,0.0,246.84551727575717,86.71392541108484
21,0.11,1.48,0.0,0.46,238.94499132309326,77.41184974367239
22,0.16,0.56,0.46,1.0,253.02528279729148,13.822468336316108
23,0.44,0.2,1.0,-0.32,215.96282904839256,84.74874051662876
24,0.0,0.63,0.0,0.0,279.28438843146694,109.75041573612185
25,0.19,0.94,0.0,1.0,264.50441934434605,78.3096148986705
26,0.09,1.5,0.02,-0.72,238.32737637380617,91.82200089556004
30,0.32,0.38,0.76,0.61,170.86621950158388,84.5354569131011
31,0.41,0.72,0.88,0.62,231.80414116766448,66.90288473629651
32,0.58,0.48,0.88,0.12,171.22745213229868,81.27021705330903
38,0.32,0.31,1.0,0.0,277.80520749749695,63.83758682283041
39,0.57,0.18,0.24,-0.18,152.27557807093726,66.81010114166843
40,0.14,0.26,0.72,1.0,281.3901702990657,38.57421861336048
41,0.0,0.66,0.0,-0.32,265.85764260708544,86.68568796032467
42,0.59,0.34,0.6,0.56,202.9178669663512,55.42611162485174
43,0.09,0.48,0.44,0.45,762.9468840712764,76.86655689371648
44,0.76,0.64,0.82,0.19,180.16359117835353,78.34736845319776
45,0.49,0.68,0.83,0.37,199.099567049974,86.74451915426448
47,0.36,1.32,0.67,-0.55,148.1186549147203,34.30660559952637
48,0.47,0.68,0.88,0.86,246.42707426898278,44.369270335357186
49,0.08,0.62,0.1,0.17,291.3431540486787,80.90844612577368
50,0.13,1.08,0.48,0.17,172.87770289158698,41.016085209214324
51,0.52,0.44,0.95,0.59,226.17170240966163,56.76632457901677
52,0.04,0.3,0.0,0.0,282.7738396893888,90.0889096753338
53,0.14,0.89,0.08,1.0,468.3487290369699,35.26190276369344
54,0.22,0.52,0.75,-0.27,327.2025149706119,124.81362595983387
55,0.02,1.5,0.0,0.76,277.919342855927,87.60383053994804
56,0.0,0.66,0.0,-0.42,383.3115329039285,76.41016373575067
57,0.28,0.38,0.91,0.0,257.8340303154292,69.28445066895945
58,0.72,0.32,0.81,0.21,226.96672561257984,94.109090607133
59,0.5,0.42,0.61,0.34,198.2744231284057,69.83329793498778
60,0.15,0.31,0.84,0.0,233.73063477383968,88.06441710396608
61,0.72,0.16,0.98,0.32,153.76862550989162,32.99352917188419
63,0.24,0.38,0.05,0.74,204.15353020106818,56.49609700964614
64,0.11,1.2,0.32,0.64,471.1316269365849,87.66923311781515
65,0.09,0.45,0.0,0.28,208.94822636549202,74.97172227691998
66,0.13,0.46,1.0,0.17,237.41290498835727,79.73433341031074
67,0.28,0.15,0.87,0.33,268.5582792582804,82.83263794235688
68,0.08,0.52,1.0,0.29,320.5334228501911,91.69818340296652
69,0.26,0.55,0.83,-0.12,219.34436214132606,83.56864558055892
72,0.52,0.84,0.8,0.62,151.7442039714458,59.88547510199532
73,0.18,0.64,0.84,-0.34,260.84978047396095,125.7189407951414
75,0.26,0.41,0.82,0.71,276.06252591814035,83.7036461315638
76,0.16,0.32,1.0,-0.19,261.10353011892965,101.30569381829656
77,0.2,0.98,0.18,0.53,216.3916311134574,52.10561741246575
79,0.19,0.49,0.0,0.56,354.2897264264598,86.104934357735
