trial,subID,sim_choice,sim_attack,k
1,0,"[8, 7, 7, 9, 7, 7, 6, 8, 6, 7]","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]",1
1,1,"[7, 9, 7, 7, 6, 8, 7, 8, 5, 8]","[0, 0, 0, 0, 1, 0, 1, 1, 0, 1]",1
1,2,"[4, 4, 5, 4, 1, 2, 3, 6, 3, 3]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[5, 3, 6, 5, 7, 6, 6, 4, 6, 5]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",1
1,4,"[1, 1, 3, 2, 5, 3, 5, 7, 2, 4]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1
1,5,"[1, 2, 5, 4, 4, 5, 2, 5, 3, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,6,"[1, 8, 1, 3, 7, 5, 5, 5, 3, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,7,"[7, 6, 7, 8, 8, 8, 6, 5, 6, 7]","[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,8,"[6, 3, 1, 1, 1, 2, 2, 1, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,9,"[5, 2, 4, 2, 2, 1, 5, 5, 3, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[6, 4, 4, 5, 6, 5, 7, 6, 2, 5]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,11,"[3, 4, 5, 4, 3, 5, 6, 5, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[7, 7, 7, 7, 9, 6, 8, 8, 5, 7]","[1, 1, 0, 1, 0, 0, 1, 0, 0, 1]",1
1,13,"[7, 2, 3, 6, 4, 3, 3, 5, 5, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,14,"[5, 7, 4, 6, 4, 5, 3, 8, 7, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,15,"[3, 4, 5, 6, 3, 5, 5, 4, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,16,"[7, 6, 7, 7, 9, 8, 8, 6, 8, 7]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1
1,17,"[5, 4, 2, 4, 5, 2, 4, 3, 6, 3]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,18,"[7, 6, 7, 6, 8, 4, 7, 7, 8, 8]","[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",1
1,19,"[1, 6, 2, 3, 3, 1, 1, 1, 3, 6]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,20,"[2, 4, 4, 3, 2, 6, 5, 6, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,21,"[6, 8, 8, 7, 8, 8, 7, 6, 2, 6]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,22,"[4, 3, 3, 2, 6, 5, 1, 3, 2, 4]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,23,"[2, 5, 1, 1, 3, 1, 2, 1, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,24,"[5, 1, 3, 2, 5, 5, 5, 5, 6, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,25,"[5, 4, 5, 4, 4, 4, 6, 6, 5, 7]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]",1
1,26,"[6, 8, 9, 9, 7, 8, 6, 7, 6, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,27,"[3, 6, 7, 3, 4, 4, 3, 2, 6, 3]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,28,"[5, 5, 5, 3, 4, 4, 7, 5, 4, 5]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,29,"[6, 6, 6, 8, 3, 7, 8, 7, 6, 6]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",1
1,30,"[2, 4, 8, 4, 2, 2, 3, 3, 2, 2]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,31,"[5, 5, 5, 7, 7, 2, 8, 5, 3, 8]","[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1
1,32,"[2, 1, 3, 4, 6, 2, 5, 2, 2, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,33,"[1, 3, 1, 1, 2, 5, 1, 4, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,34,"[7, 5, 5, 6, 6, 5, 3, 3, 5, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,35,"[3, 6, 6, 3, 4, 3, 3, 3, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,36,"[6, 7, 5, 5, 6, 6, 7, 5, 7, 5]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]",1
1,37,"[4, 2, 4, 5, 4, 4, 3, 2, 3, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,38,"[4, 1, 3, 6, 5, 2, 5, 5, 4, 2]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1
1,39,"[3, 2, 4, 1, 2, 2, 5, 3, 1, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,40,"[2, 1, 2, 1, 2, 2, 4, 2, 1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,41,"[5, 3, 5, 5, 3, 4, 4, 4, 5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,42,"[2, 2, 1, 3, 6, 1, 3, 4, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,43,"[3, 3, 4, 3, 5, 4, 4, 2, 1, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,44,"[3, 5, 5, 4, 3, 4, 1, 6, 5, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1
1,45,"[7, 1, 4, 6, 4, 5, 3, 3, 4, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,46,"[6, 3, 3, 4, 5, 4, 5, 2, 3, 4]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,47,"[7, 7, 8, 8, 8, 7, 8, 7, 6, 8]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]",1
1,48,"[3, 5, 4, 3, 4, 6, 3, 4, 4, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,49,"[2, 4, 2, 1, 2, 5, 2, 4, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,50,"[8, 6, 6, 5, 3, 6, 6, 7, 5, 5]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",1
1,51,"[4, 2, 4, 2, 5, 5, 6, 3, 3, 2]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,52,"[1, 1, 3, 3, 2, 3, 1, 1, 1, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,53,"[4, 6, 4, 5, 5, 4, 6, 8, 7, 7]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1
1,54,"[3, 2, 4, 4, 3, 4, 1, 4, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,55,"[8, 6, 8, 5, 6, 8, 6, 8, 7, 6]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",1
1,56,"[3, 6, 7, 2, 5, 4, 6, 8, 4, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,57,"[3, 1, 2, 1, 3, 2, 4, 3, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,58,"[3, 6, 6, 4, 4, 4, 2, 2, 2, 3]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,59,"[1, 2, 5, 1, 4, 4, 8, 1, 3, 2]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,60,"[2, 5, 2, 2, 4, 2, 7, 3, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,61,"[6, 2, 1, 5, 1, 2, 3, 2, 2, 2]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,62,"[8, 7, 6, 9, 8, 8, 7, 7, 6, 6]","[0, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1
1,63,"[4, 3, 6, 2, 6, 2, 2, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,64,"[8, 7, 5, 7, 6, 6, 8, 6, 6, 4]","[1, 1, 0, 0, 1, 0, 0, 0, 1, 1]",1
1,65,"[3, 3, 5, 4, 5, 2, 6, 2, 3, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,66,"[4, 2, 3, 4, 4, 2, 1, 5, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,67,"[3, 1, 3, 4, 2, 1, 4, 4, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,68,"[7, 2, 6, 5, 4, 6, 2, 6, 4, 3]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,69,"[6, 4, 3, 4, 2, 4, 6, 6, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,70,"[3, 6, 7, 5, 6, 3, 5, 6, 5, 6]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",1
1,71,"[6, 4, 4, 6, 3, 5, 6, 2, 5, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,72,"[6, 5, 4, 4, 7, 6, 4, 6, 5, 6]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,73,"[5, 5, 6, 2, 5, 4, 6, 2, 2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,74,"[2, 2, 2, 2, 2, 6, 4, 2, 3, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,75,"[5, 2, 5, 4, 2, 3, 3, 2, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,76,"[1, 6, 6, 1, 2, 7, 5, 1, 3, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",1
1,77,"[7, 4, 8, 6, 8, 6, 6, 6, 6, 8]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1
1,78,"[4, 5, 6, 4, 5, 3, 3, 4, 4, 3]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,79,"[2, 3, 4, 4, 5, 3, 1, 2, 4, 3]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",1
1,80,"[7, 7, 8, 7, 6, 7, 7, 7, 8, 7]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,81,"[6, 7, 7, 8, 8, 3, 5, 5, 6, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,82,"[5, 7, 1, 2, 2, 4, 3, 6, 2, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,83,"[3, 7, 2, 5, 1, 5, 2, 1, 1, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,84,"[3, 3, 5, 8, 5, 3, 5, 3, 3, 1]","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",1
1,85,"[7, 6, 7, 6, 6, 6, 5, 6, 6, 6]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,86,"[8, 8, 7, 7, 6, 8, 8, 6, 7, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,87,"[1, 2, 2, 2, 3, 3, 1, 2, 3, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,88,"[6, 6, 3, 5, 2, 3, 6, 5, 7, 6]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",1
1,89,"[4, 3, 4, 3, 3, 3, 4, 2, 4, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,90,"[6, 7, 6, 6, 5, 4, 5, 6, 5, 4]","[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1
1,91,"[2, 1, 1, 4, 1, 8, 2, 1, 8, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,92,"[7, 7, 7, 5, 8, 6, 7, 7, 4, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
