subID,alpha,theta,gamma,w,nll
82,0.75,0.44,1.0,0.42,336.07230812315197
27,0.6,0.45,0.94,1.0,299.43228258600755
28,0.71,0.79,0.86,0.83,214.89753259619653
29,0.14,1.12,0.02,-0.6,218.38858562926606
33,0.99,0.21,0.76,1.0,249.34028221345392
34,0.2,0.97,0.03,-0.32,231.98913573705732
35,0.92,0.68,0.84,0.36,161.48210147828337
36,0.15,0.87,0.8,-0.14,423.02171150250723
37,0.63,0.52,0.97,-0.32,449.2554477024739
46,1.0,0.3,0.68,0.03,363.3234048119642
62,0.25,1.09,0.03,-0.4,556.652719293264
70,0.74,1.07,0.64,0.0,227.72823943891672
71,0.24,0.88,0.0,1.0,209.27732870182749
74,1.0,0.17,0.77,0.24,281.2727057452758
78,0.29,0.56,1.0,0.33,404.3756903229273
84,0.88,0.36,0.84,-0.33,275.0449782906087
85,1.0,0.97,0.45,-0.22,339.5373828574085
87,0.0,0.66,0.0,-0.66,322.0823732460808
0,0.0,1.48,0.0,0.54,538.2652493675635
1,1.0,1.5,0.5,0.73,192.97885367432642
2,0.6,0.63,0.09,0.69,272.20083397102115
3,0.12,0.83,0.7,0.0,340.4173027409642
13,0.14,0.73,0.63,0.37,339.47495463455493
4,0.3,0.36,1.0,0.29,305.9826043576651
5,1.0,0.41,0.81,0.54,314.2709165973495
6,0.23,0.64,0.72,0.44,461.23153640789417
7,0.72,1.5,0.73,0.08,217.77842530801172
8,0.54,0.29,0.99,0.57,249.1277630525338
9,0.48,0.5,0.69,-0.12,320.6511475099469
10,1.0,0.57,0.56,0.94,255.97599942411642
11,0.32,0.62,0.97,0.6,348.7812446567606
12,1.0,1.19,0.64,0.96,198.40184793855167
14,1.0,0.58,0.81,0.87,361.643044411948
15,0.23,0.87,0.0,-0.59,218.96258511781866
16,0.08,1.5,1.0,0.49,336.6541940198489
17,0.53,0.87,0.55,0.0,403.6005639770443
18,1.0,1.44,0.42,0.97,324.79661936496416
19,0.46,0.11,1.0,0.44,299.9768781419759
20,0.18,0.69,0.68,0.02,329.3613279666678
21,0.27,1.5,0.0,0.45,355.2851837791265
22,0.33,0.57,0.47,1.0,268.34526669288203
23,0.52,0.36,1.0,0.04,273.37058574005505
24,0.28,0.47,1.0,0.34,369.16335962692614
25,0.25,1.17,0.0,0.93,349.87421231640803
26,0.16,1.34,1.0,-0.26,350.16960021534834
30,0.59,0.24,0.98,1.0,259.6829839239295
31,0.96,0.74,0.83,0.48,298.85644509998565
32,1.0,0.51,0.85,0.17,254.63871574009244
38,0.53,0.29,0.98,0.91,305.44773779897685
39,1.0,0.18,0.16,-0.21,211.03914955400327
40,0.48,0.21,1.0,-0.3,352.30263899866327
41,0.0,0.72,0.0,0.19,347.99941676436174
42,1.0,0.26,0.53,0.86,260.9750100516025
43,0.17,0.46,0.68,-0.12,850.7675681855561
44,1.0,0.74,0.58,0.2,288.15398501377865
45,1.0,0.72,0.85,1.0,269.1481391557328
47,0.98,1.39,0.5,-0.49,181.77319615972263
48,1.0,0.78,0.77,0.76,301.0025732008351
49,0.16,0.63,0.08,-0.09,372.9006619371763
50,0.17,0.88,0.1,0.12,200.78650828979397
51,0.84,0.55,0.78,-0.72,307.3130669308314
52,0.14,0.27,0.28,0.0,362.6844032980972
53,0.44,0.92,0.09,1.0,479.9370498728058
54,0.59,0.55,0.73,-0.33,433.9866661815395
55,0.02,1.43,0.0,0.55,375.06853262066795
56,0.11,0.64,1.0,-0.9,431.0420373750934
57,0.24,0.37,1.0,1.0,302.7673373419381
58,1.0,0.38,0.73,0.39,302.3618137484286
59,1.0,0.4,0.82,0.42,265.56487241446405
60,0.54,0.37,0.66,0.74,290.74505609758864
61,0.52,0.37,0.97,0.1,210.555387267172
63,0.64,0.2,1.0,0.73,281.27923855207547
64,0.2,1.11,0.94,0.79,510.3982214530429
65,0.17,0.45,0.0,0.0,283.59867855132904
66,0.28,0.5,1.0,0.28,304.9753692473225
67,0.88,0.13,0.87,0.41,339.49430836765646
68,0.15,0.57,1.0,0.76,385.87959119409857
69,0.41,0.62,0.78,0.76,278.58763327725535
72,0.44,1.0,0.56,1.0,182.06988913950872
73,0.26,0.64,1.0,-0.64,348.4607957585911
75,0.5,0.58,0.59,0.58,376.28663094056765
76,0.18,0.39,0.99,-0.12,366.68400153412205
77,0.68,1.01,0.18,0.7,270.2058280773282
79,0.57,0.55,0.0,0.25,482.12782115944594
80,0.08,1.5,0.0,0.67,454.93090440465573
81,0.03,0.87,0.0,0.72,362.8490920881957
83,0.72,0.69,0.94,0.66,453.48369333613147
86,0.99,1.41,0.05,-0.32,566.5022831591375
88,1.0,0.63,0.62,0.7,317.2669190090624
89,0.08,0.58,0.91,0.28,406.06507525879306
90,0.18,0.93,0.63,-0.52,358.4336041996061
91,0.72,0.52,0.94,0.0,238.43807653656836
92,0.08,1.2,0.48,0.53,290.76978174872943
93,0.13,0.19,1.0,-0.06,482.97577758955646
96,0.88,0.29,0.88,0.58,338.5739728313688
121,0.32,0.83,0.88,1.0,280.3798017742203
128,0.09,0.81,1.0,1.0,361.52438864911534
135,0.52,0.57,0.97,-0.13,340.7387722648507
136,0.12,0.92,0.48,0.78,364.8973140196137
139,0.86,0.82,0.78,0.0,137.71811107732037
149,0.76,0.78,0.57,0.38,310.0187733931643
156,0.68,0.44,0.97,0.99,264.7373229501917
159,0.79,0.73,0.88,0.76,288.29441486087006
162,0.22,0.94,0.0,-0.32,337.8003687910026
183,0.48,0.69,0.98,-0.24,411.49534352743353
186,0.6,0.35,1.0,1.0,521.3660714402674
191,1.0,0.82,0.06,0.53,296.8930036098396
197,0.52,1.5,0.15,0.74,474.5497097630883
199,0.88,0.17,1.0,0.74,283.5757896388803
200,0.49,0.39,0.71,1.0,349.606200856364
202,1.0,1.08,0.29,0.6,317.5326287805151
94,0.87,0.69,0.83,0.27,279.3447681712621
95,0.31,0.32,0.0,0.88,403.79466864006554
97,0.77,0.5,0.52,0.5,372.8294759881802
98,1.0,1.07,0.72,-0.72,265.35295097508407
99,0.28,0.26,0.99,-0.1,324.05126284310734
100,0.72,0.68,0.88,0.68,301.6902738972601
101,1.0,1.42,0.4,0.23,257.29862188933413
102,0.2,0.44,0.97,-0.4,439.49841721531834
103,0.33,0.51,0.1,1.0,245.7722301478534
104,0.2,1.0,0.15,0.86,304.6679118494709
105,0.61,0.8,0.88,0.09,298.13627380095613
106,0.38,0.65,0.88,1.0,323.5085199268346
107,0.56,0.61,0.88,0.76,268.8423249239686
108,1.0,1.17,0.38,0.47,504.7063182908744
110,0.18,0.87,0.0,0.46,353.9908209499556
111,1.0,1.27,0.68,0.48,241.4498840517178
112,1.0,1.04,0.77,1.0,305.322169175759
113,0.12,0.68,1.0,0.51,343.7009799543063
114,0.88,0.47,0.47,0.29,248.5015138537089
115,1.0,1.4,0.0,0.62,294.73429694393093
116,0.27,0.88,0.03,0.65,325.52703153124395
117,1.0,0.88,0.7,0.75,218.52490555609143
118,0.1,1.01,1.0,0.71,353.9753901599802
119,0.44,0.69,1.0,0.68,340.88957938091255
120,0.08,0.99,1.0,0.69,406.3221304288055
122,0.87,0.84,0.77,1.0,200.53386732810435
123,0.33,0.53,0.88,0.12,314.13862169519103
124,0.36,0.87,0.04,0.31,372.03498319112225
125,0.18,0.65,0.91,1.0,325.5562562098646
126,0.77,0.76,0.83,0.76,275.54314216370017
127,1.0,1.16,0.41,0.61,284.60430304209945
129,0.68,0.57,0.85,0.32,352.8949778652309
130,1.0,1.5,0.59,0.19,135.93457286866288
131,0.94,1.0,0.8,-0.61,188.05909763754926
132,0.32,0.47,0.9,-0.12,292.97200785567475
133,0.39,0.52,0.02,0.52,470.4097352734606
134,0.98,0.62,0.85,0.55,366.9535136118899
137,0.28,0.46,0.64,0.35,327.49789489337996
138,0.9,0.58,0.6,0.77,374.84133970765913
140,0.28,0.96,0.38,0.2,229.06324750620456
141,0.17,0.23,1.0,0.24,315.4728399342521
142,0.52,0.24,1.0,0.51,343.7354292050834
143,1.0,0.72,0.74,0.67,269.21240397010325
144,0.52,0.81,0.82,-0.21,348.09436915304286
145,0.42,1.42,0.38,0.1,234.3093756839262
146,0.17,1.28,0.88,0.53,329.86226130439957
147,0.05,0.6,0.1,0.24,370.9532239975183
148,0.17,0.84,0.03,0.2,310.9229124450388
150,0.88,0.88,0.68,0.61,334.8562573226234
151,1.0,0.68,0.86,0.0,194.42973379181268
152,0.76,0.52,0.88,0.68,264.1456002991213
153,1.0,0.73,0.66,0.65,271.907959344032
154,0.69,0.5,0.83,0.66,342.67265884235223
155,0.26,0.81,0.17,0.76,425.5682372698207
157,1.0,1.08,0.59,-0.23,227.8934989824947
158,1.0,0.3,0.99,1.0,168.20432880299697
160,0.31,0.81,0.0,0.18,300.30423490456343
161,0.99,0.68,0.76,0.12,216.33204377332
163,1.0,0.39,0.57,0.72,518.109719733087
164,0.08,1.5,0.0,-0.52,424.99010062773607
165,0.57,0.63,0.33,0.92,327.9992181247842
166,0.12,0.63,0.02,0.41,533.9082468529881
167,0.03,1.5,0.0,-0.32,517.6011367056708
168,0.17,0.65,1.0,0.42,404.9438026424628
169,0.01,0.93,0.02,0.11,391.44406466720477
170,0.34,0.84,0.06,0.24,306.4530604519192
171,0.4,0.84,0.38,-0.56,458.7677647178243
172,0.56,0.44,0.99,0.22,327.8049148417754
173,1.0,0.66,0.51,0.6,248.66950903066632
174,0.74,0.93,0.84,0.69,289.56218266294627
175,0.88,0.22,0.88,0.62,262.98350690409745
176,0.01,0.45,0.0,0.72,456.31063995020236
177,0.53,0.42,0.0,0.25,386.6071534273422
178,0.88,1.31,0.67,0.43,274.1815297187105
179,0.25,0.88,0.21,0.42,417.7778843047215
180,0.62,1.15,0.72,0.97,325.3215499798421
181,1.0,0.38,0.49,0.56,329.92944023259616
182,0.44,0.0,0.11,0.63,427.066809379867
184,1.0,0.5,0.72,0.36,310.3033846444752
185,0.09,0.76,1.0,0.13,476.16884751818617
187,0.52,0.56,0.88,0.28,309.8396075028052
188,0.5,1.13,0.2,0.74,295.02415172977
189,1.0,0.72,0.49,0.15,267.51391297479483
190,0.94,0.57,0.54,0.55,357.5009369033245
192,1.0,0.48,0.83,1.0,313.87784106306424
193,0.51,1.03,0.43,0.77,500.72794820800095
194,1.0,0.56,0.65,0.19,269.27970756120703
195,0.77,0.26,0.81,-0.25,368.57858783031406
196,1.0,0.2,1.0,-0.1,238.02380254567464
198,0.0,0.55,0.0,0.28,381.90108917826956
201,0.82,1.01,0.79,0.06,250.94015214834593
203,0.36,0.34,0.52,0.67,345.1432388499399
204,0.6,0.87,0.32,0.92,291.7227589091866
205,0.18,1.12,0.68,0.93,410.53432613217035
206,0.34,0.59,0.0,0.32,279.5222224285931
207,0.76,0.52,0.98,0.7,287.38490731457654
208,0.28,0.88,0.0,0.36,441.34604291772234
209,0.24,0.59,1.0,-0.24,436.88687595899864
109,1.0,0.76,0.76,0.08,282.2256545206695
