subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.88,0.4,1.0,0.4,244.60591895361316,97.68118778415337
27,0.84,0.43,0.88,0.95,256.8204617605922,47.968968565384856
28,0.96,0.74,0.86,0.79,157.60985745647153,56.58792449887216
29,0.16,1.13,0.08,-0.6,204.55681111053525,31.811191964157395
33,1.0,0.22,0.8,1.0,190.17140719860407,67.46734072048316
34,0.23,0.95,0.1,-0.26,119.59219221582849,114.61575992898737
35,0.96,0.68,0.86,0.52,107.54459657900169,62.07511333104073
36,0.16,0.95,0.64,0.25,314.3146761572471,119.94769303593539
37,0.23,0.74,0.72,0.0,359.9739639100169,113.84294737142633
46,1.0,0.3,0.68,0.02,291.69760704714923,77.01238756907617
62,0.04,1.5,0.0,-0.32,451.1695709593131,93.48352778737038
70,0.81,1.02,0.65,0.0,182.43639521471493,55.5551301133701
71,0.25,0.85,0.0,1.0,172.5842005809009,44.4369100495128
74,0.88,0.17,0.88,0.15,196.16902304114905,89.85311170899674
78,0.28,0.57,1.0,0.33,313.9733749947553,96.00533243367543
84,1.0,0.37,0.88,-0.38,196.00725122612306,88.74503593816432
85,1.0,0.95,0.33,-0.24,239.07032201685314,109.48814229676192
87,0.0,0.66,0.0,-0.58,254.7890349823447,81.93137504725036
0,0.0,1.47,0.0,0.54,422.33692693093013,122.64107324936539
1,1.0,1.5,0.49,0.68,151.540126132256,46.76282122410699
2,0.68,0.62,0.07,0.66,176.79232471636067,103.70250626355154
3,0.1,0.83,0.72,0.0,261.14745302603126,87.21964878383764
13,0.14,0.73,0.52,0.36,268.53049354741785,84.93364554393308
4,0.31,0.37,1.0,0.28,229.08546746391488,82.85392958231105
5,1.0,0.42,0.82,0.51,240.93178027426106,77.77829927164242
6,0.26,0.63,0.72,0.45,347.83164293884636,120.5841258878856
7,0.72,1.44,0.72,0.08,180.64672232856927,48.98421965008458
8,0.72,0.25,0.99,0.69,201.01526274992744,57.54362305012916
9,0.48,0.51,0.68,-0.12,243.2042474067906,82.90860783200083
10,1.0,0.56,0.57,0.83,210.9118348490407,53.6976279641993
11,0.3,0.65,0.91,0.64,273.0347756991129,82.5046797615272
12,1.0,1.24,0.59,0.87,168.95458629710666,43.095057966784104
14,1.0,0.6,0.8,0.84,287.0281696275044,80.4835920250883
15,0.32,0.88,0.0,-0.62,124.2351534960665,97.58388522961124
16,0.08,1.5,1.0,0.5,241.04603837185914,100.04050287743895
17,0.6,0.83,0.52,-0.06,312.6276802546297,95.76639780772554
18,1.0,1.37,0.41,0.96,255.12948774980237,85.8547314980926
19,0.52,0.11,1.0,0.32,221.18470109849653,87.94169637151148
20,0.21,0.69,0.68,0.01,246.11759870647953,86.41773256874467
21,0.3,1.5,0.0,0.46,263.6078084664674,88.24266053184698
22,0.38,0.57,0.47,1.0,250.4797226469851,23.54291888990492
23,0.68,0.28,1.0,0.08,202.5547888416496,90.27276455810151
24,0.68,0.35,0.98,0.44,277.81684685796984,105.2134585407199
25,0.35,1.08,0.0,0.97,265.6954697150403,87.57115269745363
26,0.16,1.36,1.0,-0.25,288.854187438505,68.80464140213577
30,1.0,0.34,0.88,1.0,164.9244423301925,106.25061990848397
31,1.0,0.72,0.87,0.54,214.32348859169386,92.36216309422747
32,0.89,0.53,0.86,0.11,178.8350529151302,82.49741128978714
38,0.72,0.28,0.99,0.84,251.54215278955303,65.59279763780698
39,0.96,0.17,0.12,-0.2,153.67084562169487,63.07426279150248
40,0.4,0.24,0.71,0.19,281.9429304348217,76.97751284687138
41,0.0,0.72,0.0,0.19,263.84032853906564,90.59448877097181
42,1.0,0.27,0.55,0.81,210.79477532854378,62.50533036978206
