trial,subID,sim_choice,sim_attack,k
1,0,"[7, 7, 9, 4, 8, 2, 6, 6, 8, 8]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",1
1,1,"[8, 4, 8, 9, 7, 7, 5, 8, 8, 6]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",1
1,2,"[2, 3, 2, 5, 2, 4, 4, 6, 5, 4]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1
1,3,"[5, 6, 3, 5, 6, 4, 5, 6, 6, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,4,"[4, 4, 6, 3, 3, 2, 5, 4, 1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,5,"[2, 4, 3, 4, 3, 5, 2, 5, 4, 6]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,6,"[4, 5, 2, 3, 1, 4, 4, 3, 1, 5]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,7,"[7, 7, 8, 7, 6, 8, 7, 8, 7, 7]","[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",1
1,8,"[2, 3, 2, 6, 5, 3, 2, 1, 6, 5]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1
1,9,"[4, 2, 3, 4, 2, 1, 4, 5, 3, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,10,"[5, 2, 4, 5, 3, 3, 3, 3, 4, 5]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,11,"[6, 6, 6, 4, 4, 3, 2, 4, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,12,"[5, 8, 6, 7, 8, 6, 7, 8, 6, 7]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1
1,13,"[4, 5, 2, 1, 5, 5, 2, 5, 3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,14,"[3, 3, 5, 6, 4, 4, 4, 7, 4, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
