subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.13,0.47,1.0,0.43,249.71591971264633,96.51326290510505
27,0.15,0.46,0.84,0.93,260.7823971389447,47.86736249943745
28,0.34,0.68,0.84,0.91,160.6225172003208,57.98527934461889
29,0.08,1.07,0.0,-1.0,224.28605969588847,73.92192391002166
33,0.6,0.19,0.67,1.0,185.80384294509685,67.46734072048316
34,0.1,0.94,0.68,-0.24,141.96236750291706,103.65363893628992
35,0.53,0.53,0.88,0.68,114.62252191052745,67.20454672327695
36,0.08,0.94,0.1,-0.08,308.7728368201157,127.85746307441498
37,0.19,0.51,0.96,-0.48,365.5032946805645,93.83219502777277
46,0.51,0.59,0.77,1.0,249.6807873902718,110.64912794205168
62,0.01,1.5,0.0,-0.33,451.94072110171277,98.0124368937886
70,0.08,0.91,0.0,0.0,190.38780960992037,47.44829896926473
71,0.08,0.85,0.68,1.0,198.5815875435796,44.4369100495128
74,0.18,0.21,0.52,0.24,193.61995522958262,93.88136151810872
78,0.01,0.67,0.0,0.37,324.3563615011641,90.08212250756425
84,0.28,0.31,0.88,-0.32,210.0152106048485,89.14738931174763
85,0.28,0.97,0.48,0.32,231.72053013075265,114.83367656231293
87,0.0,0.66,0.0,-0.58,254.7890349823447,81.93137504725036
0,0.92,0.32,1.0,0.48,470.74352073558305,128.19935660170825
1,0.26,1.5,0.52,0.66,143.17263837782158,45.87819156062589
2,0.24,0.56,0.0,0.68,181.85318543907118,103.86273024446663
3,0.0,0.88,0.0,0.0,268.81964456027237,83.92503762701602
13,0.02,0.72,0.1,0.33,275.4572820570128,83.98702926068918
4,0.21,0.28,0.98,0.48,213.69785692581308,88.68736384351534
5,0.44,0.45,0.81,0.47,229.35866788381801,76.21558945132179
6,0.09,0.66,0.69,0.52,336.05922598871945,120.7212684594917
7,0.11,1.35,0.48,0.1,179.35906742658668,51.98571271569109
8,0.52,0.16,0.98,0.74,210.7796145032851,58.708067951741334
9,0.08,0.48,0.68,-0.19,252.37988538933843,85.14374889693663
10,0.43,0.65,0.59,0.88,213.7409930162561,53.9963267389766
11,0.11,0.65,0.88,0.68,266.7622213702768,83.34245366336734
12,0.31,1.43,0.58,1.0,153.96253906236566,43.498860727283265
14,0.32,0.6,0.87,0.88,271.2264889234379,80.86792827787417
15,0.08,0.87,0.48,-0.64,142.6364360513002,102.71927028355567
16,0.02,1.5,0.0,0.49,246.28126387938482,100.25435769028462
17,0.26,0.69,0.85,0.08,313.26969884562266,94.45755467060384
18,0.42,1.44,0.35,0.99,222.1586866195344,85.91555547791731
19,0.19,0.04,1.0,0.48,219.6376561065604,87.32414198680611
20,0.12,0.57,0.88,0.12,246.63670509522095,90.87370348980158
21,0.1,1.28,0.03,-0.32,230.37303764278272,88.99021116530136
22,0.13,0.57,0.51,1.0,251.25192845348434,23.54291888990492
23,0.25,0.23,1.0,0.1,205.17310644371545,95.05915978579037
24,0.0,0.66,0.0,0.32,278.8909261938383,104.77970388394917
25,0.12,1.0,0.08,0.95,276.26804433193826,87.50309246042555
26,0.08,1.5,0.72,-0.35,279.1558308296616,81.89404242849209
30,0.2,0.38,0.75,0.71,171.9644143579048,104.53079429567974
31,0.32,0.52,0.96,0.5,246.70291227812552,90.36846719048116
32,0.24,0.48,0.88,0.12,198.0239758312967,82.95871758768288
38,0.01,0.58,0.02,0.96,261.49517769577534,66.37740005697579
39,0.24,0.15,0.08,-0.22,153.93075450666817,64.82904649250659
40,0.08,0.24,0.28,0.28,282.99683929715553,76.6572709299157
41,0.0,0.72,0.0,0.19,263.84032853906564,90.59448877097181
42,0.52,0.33,0.59,1.0,200.65720734036492,63.20167979698779
43,0.88,0.09,0.98,0.32,841.3592866868931,124.98931509789865
44,0.52,0.65,0.82,0.48,183.54373451518615,88.58214401101706
45,0.45,0.65,0.82,0.81,201.91899878253946,74.8611607537072
47,0.25,1.12,0.76,-0.37,152.1095707947206,40.13450773511891
48,0.17,0.73,0.8,0.76,250.31623762783917,59.311485424832625
49,0.04,0.67,0.08,-0.11,285.5931229011186,80.61579791129955
50,0.1,1.08,0.48,0.28,173.67580370614158,45.20848329383465
51,0.46,0.5,0.88,0.69,237.91365147300547,60.128261174997355
52,0.03,0.31,0.0,0.0,282.0605227043174,89.28294830701294
53,0.1,0.92,0.03,1.0,467.2562371903559,36.777949059829204
54,0.36,0.32,0.98,-0.33,329.73895505492163,122.21066176236096
55,0.03,1.49,0.0,0.55,274.04433766950865,102.38599350544312
56,0.0,0.66,0.0,-0.46,383.3115329039285,73.76786276542497
57,0.13,0.43,0.88,1.0,254.73042200220067,54.69098815133813
58,0.46,0.3,0.82,0.38,221.71899070589606,87.45466623958873
59,0.27,0.37,0.63,0.48,204.46640152569407,75.95977869439751
60,0.16,0.34,0.76,0.77,229.46689631219712,72.11663851828905
61,0.36,0.2,1.0,0.0,172.7894775347342,52.37985449239073
63,0.18,0.38,0.15,0.63,200.6567821286278,77.64521787220505
64,1.0,0.1,1.0,0.72,429.40949323821917,67.40220665750621
65,0.22,0.27,0.95,-0.07,209.0037979797011,90.880539992135
66,0.08,0.47,1.0,0.28,239.09521263295636,81.37892915499592
67,0.21,0.16,0.87,0.28,270.9802437955848,82.33896099937505
68,0.88,0.1,0.97,0.77,338.7886493463867,80.0281128038149
69,0.24,0.56,0.86,0.54,214.81525899206198,68.55496298661676
72,0.4,0.79,0.82,1.0,161.78536283519895,43.29790564578223
73,0.12,0.79,0.09,-0.59,248.42707560998542,128.27845185414512
75,0.13,0.46,0.68,0.64,275.0624181558506,116.0074986390121
76,0.14,0.25,1.0,0.0,266.94798148215983,108.54257272281136
77,0.14,0.99,0.1,0.68,220.20123704258586,45.61849354968098
79,0.1,0.52,0.0,0.48,362.8683412318619,132.14486753724668
80,0.01,1.5,0.0,0.68,392.6297557554095,71.96841914554247
81,0.02,0.88,0.0,0.72,243.2218151910287,120.05895728270929
83,0.88,0.1,0.99,0.52,354.1775386504978,121.70335740710067
86,0.16,1.46,0.04,-0.32,474.934148315435,95.25314672118367
88,0.24,0.7,0.52,0.69,245.01103083263584,66.73821731780099
89,0.08,0.48,1.0,0.4,327.0499868651591,96.83115556855527
90,0.08,0.96,0.02,-0.35,311.1223155044396,61.86960129617035
91,0.41,0.52,0.88,-0.09,188.01793435811933,69.94551698637034
92,0.02,1.2,0.1,0.56,190.83508789900273,102.52585929170847
93,0.03,0.26,0.0,-0.04,408.1072090992373,85.4658163243486
96,0.15,0.35,0.72,0.49,271.04085636735095,114.75197559627466
121,0.09,0.81,0.88,1.0,237.58045535713518,53.75142597393646
128,0.08,0.83,0.88,1.0,307.41944738718195,65.47737017596496
135,0.12,0.52,1.0,-0.17,269.739473688042,89.53058243262103
136,0.08,0.84,0.88,0.73,302.1423096220577,80.77714291360677
139,0.56,0.52,0.87,0.6,109.54308861413301,60.06488168379614
149,0.56,0.88,0.6,-0.04,219.65208415787077,67.45657094777013
156,0.32,0.48,0.88,0.88,219.1013002526408,56.47949599873542
159,0.11,0.74,0.7,0.55,221.47692097054275,101.08072672638376
162,0.09,0.97,0.0,-0.34,243.82577358582606,48.53195117209057
183,0.19,0.68,0.99,0.24,293.7275796898824,133.46911913766706
186,0.24,0.28,1.0,-1.0,429.7900303030764,71.51584253168129
191,0.42,0.77,0.0,0.59,203.97870443942767,106.53541866879553
197,0.16,1.5,0.11,0.72,377.3787080847877,93.18957992386322
199,0.31,0.19,0.96,0.69,222.42267404244424,68.13037403921453
200,0.09,0.41,0.64,1.0,316.77929356090925,57.43681332769226
202,0.18,0.93,0.25,0.61,226.287588729766,100.71306668719232
94,0.29,0.68,0.73,0.08,199.29499787784982,91.60669107004422
95,0.16,0.42,0.0,0.87,329.31196040574144,65.08152224803952
97,0.15,0.49,0.61,0.59,279.5923780143053,104.5062229915906
98,0.34,1.13,0.7,-0.34,229.28424133640968,12.202157117686086
99,0.27,0.17,0.98,-0.12,234.52435627335277,85.62302584156042
100,0.24,0.68,0.88,0.72,247.06148849864152,80.84614003773277
101,0.34,1.5,0.32,0.16,164.39152431032207,57.15752987468532
102,0.0,0.66,0.0,-0.71,341.1965996936949,112.28530312955894
103,0.08,0.63,0.48,1.0,256.41682454964587,24.880484442721894
104,0.1,1.16,0.1,0.83,246.34432875181025,77.65955778217761
105,0.16,0.76,0.88,0.28,218.49564436240297,83.04198893109027
106,0.27,0.52,0.94,0.88,250.37930520691916,71.00881832423276
107,0.13,0.58,0.88,0.88,222.14505374978015,59.94707880197908
108,0.16,0.82,0.02,0.48,409.1078202840534,119.55406187786768
110,0.03,0.86,0.0,0.48,245.70856127695305,117.10688192953964
111,0.24,1.02,0.81,0.47,191.12423859682886,60.77105192651684
112,0.01,0.88,0.0,1.0,247.75348667639548,60.56525968759929
113,0.01,0.81,0.0,0.55,271.33506789851685,84.1777795063361
114,0.2,0.43,0.0,0.29,187.05677021771243,65.5600459072933
115,0.19,1.23,0.0,0.71,256.05547136162596,53.23307663183854
116,0.09,0.96,0.05,0.69,296.7903343159313,64.58169728999906
117,0.38,0.64,0.82,0.7,162.15609296254658,58.39618312504041
118,0.0,1.16,0.0,0.57,298.97159241552987,72.72187175139278
119,0.1,0.72,1.0,0.75,266.49156462602815,94.37971206728933
120,0.0,0.95,0.0,0.54,342.1637530596705,82.2259135136799
122,0.34,0.69,0.84,1.0,156.76947076600067,55.41885760106696
123,0.17,0.58,0.85,-0.04,222.0141961814014,92.49041151671496
124,0.12,0.88,0.0,0.36,280.687365297516,113.26403875394962
125,0.08,0.64,0.76,1.0,283.5421060913903,47.89898924388709
126,0.1,0.77,0.48,0.78,227.99229634744046,82.23967512555664
127,0.22,0.88,0.74,0.61,220.39937800919063,73.76259411626545
129,0.15,0.56,0.88,0.48,272.89910557330893,96.4337421690792
130,0.22,1.12,0.46,0.17,92.94244294898895,61.54874342859462
131,0.08,0.95,0.48,-0.56,132.26234867109383,78.54942632300843
132,0.12,0.56,0.88,-0.2,223.61898259809556,75.32161375085511
133,0.13,0.44,0.0,0.68,380.6718555107679,130.51183734156
134,0.43,0.76,0.77,0.46,246.9976330805208,88.02728914565488
137,0.59,0.32,0.87,0.41,227.054955990571,79.7997850212691
138,0.17,0.6,0.42,0.84,238.27129765538805,140.4968465781343
140,0.29,0.76,0.84,0.37,176.19709264221868,61.00319546920072
141,0.08,0.19,0.88,0.28,236.7389109222296,87.75659443623618
142,0.19,0.2,1.0,0.35,216.91080907072748,141.94970320394646
143,0.43,0.72,0.77,0.49,179.4210516798877,62.367811473898804
144,0.16,0.74,0.84,-0.21,256.693604188235,100.54644213439546
145,0.08,1.28,0.48,0.08,164.90686425906242,75.93034581518008
