subID,alpha,theta,gamma,w,nll
82,0.13,0.48,1.0,0.45,339.98686944477765
27,0.15,0.44,0.84,0.99,299.00590552672304
28,0.34,0.68,0.84,0.96,211.60784484433418
29,0.08,1.07,0.0,-1.0,290.7712665005845
33,0.61,0.18,0.67,1.0,243.93089213949833
34,0.1,0.94,0.68,-0.24,239.61522828077247
35,0.53,0.53,0.88,0.69,176.0611459900759
36,0.08,0.93,0.1,-0.08,426.4864781628266
37,0.19,0.51,0.96,-0.48,451.45000519449593
46,0.51,0.6,0.77,1.0,353.7150534951383
62,0.01,1.5,0.0,-0.33,540.4197269115606
70,0.08,0.91,0.0,0.0,233.42614294321535
71,0.08,0.87,0.68,1.0,234.3742312281921
74,0.18,0.21,0.52,0.25,280.9025290100035
78,0.01,0.68,0.0,0.37,408.2013786023838
84,0.28,0.31,0.88,-0.32,292.5558898620276
85,0.42,1.04,0.57,0.42,337.8198775672895
87,0.0,0.66,0.0,-0.66,322.0823732460808
0,0.92,0.32,1.0,0.48,590.2673160203851
1,0.26,1.5,0.52,0.7,182.89082136225247
2,0.24,0.55,0.0,0.7,275.9081572369399
3,0.0,0.88,0.0,0.0,344.79018172151484
13,0.03,0.71,0.1,0.33,346.8032955382597
4,0.21,0.28,0.98,0.5,294.9182481980729
5,0.44,0.44,0.82,0.48,299.45395382451113
6,0.88,0.1,0.98,0.45,517.4855431499668
7,0.11,1.36,0.48,0.12,224.6863880178086
8,0.52,0.16,0.98,0.79,262.1540868814156
9,0.08,0.48,0.68,-0.19,332.5590160505152
10,0.44,0.66,0.59,0.99,260.3488293948807
11,0.11,0.65,0.88,0.68,342.4810644279313
12,0.3,1.38,0.59,1.0,186.16978147315822
14,0.32,0.6,0.87,0.88,344.80518846455925
15,0.08,0.88,0.08,-0.52,217.3382327551772
16,0.02,1.5,0.0,0.49,340.0703178594072
17,0.26,0.7,0.85,0.08,400.61273018772755
18,0.42,1.44,0.35,0.99,294.45149934730307
19,0.19,0.04,1.0,0.48,298.50915031703306
20,0.13,0.56,0.88,0.13,333.41313122194964
21,0.09,1.28,0.02,-0.32,309.12293119915455
22,0.13,0.57,0.51,1.0,269.73371117173355
23,0.24,0.24,1.0,0.08,288.14120255392294
24,0.0,0.65,0.0,0.32,376.19024469327314
25,0.12,1.0,0.08,0.95,358.7050358027913
26,0.08,1.5,0.72,-0.35,352.4836589290155
30,0.17,0.24,1.0,0.8,268.0518663144889
31,0.32,0.52,0.96,0.5,331.32860031030515
32,0.24,0.48,0.88,0.12,271.58478641659667
38,0.01,0.57,0.02,0.97,318.68968740778234
39,0.24,0.15,0.08,-0.22,213.90561201134014
40,0.08,0.24,0.28,0.28,354.18727883446206
41,0.0,0.72,0.0,0.19,347.99941676436174
42,0.52,0.33,0.59,1.0,250.14091852010245
43,0.88,0.09,0.98,0.32,955.9805657880129
44,0.52,0.67,0.81,0.49,265.31685021310113
45,0.39,0.72,0.76,0.72,271.01370184464406
47,0.25,1.12,0.76,-0.44,185.56078926476755
48,0.17,0.79,0.73,0.8,301.9458159121298
49,0.04,0.67,0.08,-0.12,354.1631099115988
50,0.1,1.08,0.48,0.28,205.27843441035265
51,0.4,0.32,0.98,0.88,290.0931354429963
52,0.04,0.29,0.0,0.0,364.97662964056633
53,0.1,0.92,0.03,1.0,489.8240952198749
54,0.36,0.32,0.98,-0.34,443.4762535201596
55,0.03,1.48,0.0,0.55,368.3865033077946
56,0.0,0.66,0.0,-0.47,439.69536670789023
57,0.13,0.42,0.88,1.0,303.73339183196856
58,0.46,0.31,0.82,0.37,293.40063658051616
59,0.28,0.36,0.64,0.5,274.0258839918307
60,0.16,0.34,0.76,0.79,292.1227839061369
61,0.36,0.2,1.0,0.0,219.59317578979807
63,0.18,0.37,0.15,0.65,271.7573755621569
64,1.0,0.1,1.0,0.72,488.61323160818876
65,0.22,0.27,0.95,-0.08,283.9246648724466
66,0.08,0.47,1.0,0.28,313.73053581796495
67,0.21,0.16,0.87,0.3,339.45688368453204
68,0.88,0.1,0.97,0.77,407.33414439077956
69,0.24,0.52,0.88,0.56,271.7854326874359
72,0.41,0.71,0.85,1.0,198.1212840717358
73,0.11,0.78,0.88,-0.56,379.4823918772726
75,0.14,0.5,0.62,-0.38,379.1428624616989
76,0.14,0.25,1.0,0.0,371.08831726938024
77,0.14,0.99,0.1,0.68,262.2671674333913
79,0.1,0.52,0.0,0.48,487.8962162202766
80,0.01,1.5,0.0,0.68,459.6047881502208
81,0.02,0.88,0.0,0.72,355.97661765471895
83,0.88,0.1,0.99,0.52,469.0743781862451
86,0.16,1.46,0.04,-0.31,567.9139100104774
88,0.23,0.68,0.52,0.72,306.74933248948685
89,0.08,0.48,1.0,0.36,407.9468593516772
90,0.08,1.0,0.68,-0.55,372.7661794240805
91,0.41,0.52,0.88,-0.12,250.81978666951875
92,0.02,1.24,0.1,0.56,286.7821081484095
93,0.03,0.26,0.0,-0.05,485.77592177697227
96,0.15,0.34,0.72,0.51,370.9318779983185
121,0.08,0.82,0.88,1.0,284.52072222395907
128,0.08,0.84,0.88,1.0,365.05268423563166
135,0.12,0.52,1.0,-0.17,351.7915595340957
136,0.08,0.86,0.88,0.74,373.46960464431066
139,0.56,0.52,0.87,0.6,163.54625106722324
149,0.56,0.92,0.58,-0.03,278.7783305316936
156,0.32,0.48,0.88,0.96,267.8959531023163
159,0.11,0.73,0.7,0.55,312.30843209674987
162,0.09,0.95,0.0,-0.35,287.24717235585035
183,0.2,0.66,0.99,0.27,410.0261730512058
186,0.24,0.28,1.0,-1.0,483.6275640245948
191,0.42,0.76,0.0,0.61,303.32891786457384
197,0.16,1.5,0.11,0.72,460.4520390123303
199,0.31,0.19,0.96,0.72,278.6089681037234
200,0.09,0.41,0.64,1.0,364.8680973635353
202,0.18,0.92,0.24,0.61,320.6041858796244
94,0.29,0.68,0.72,0.08,281.838104196092
95,0.16,0.41,0.0,0.91,385.8318062693991
97,0.16,0.49,0.67,0.6,376.8030772344317
98,0.34,1.14,0.7,-0.52,235.43959388003222
99,0.27,0.16,0.98,-0.13,311.65279688775524
100,0.2,0.68,0.88,0.73,320.4149627377411
101,0.34,1.5,0.32,0.16,215.0043464489217
102,0.0,0.66,0.0,-0.69,445.3768684669668
103,0.08,0.62,0.48,1.0,268.0105837273844
104,0.1,1.15,0.1,0.84,313.26236462645136
105,0.16,0.76,0.88,0.28,297.60831630769763
106,0.27,0.52,0.94,1.0,312.7752648574034
107,0.13,0.58,0.88,0.92,274.68629090909917
108,0.19,0.85,0.1,0.51,519.3927517422196
110,0.03,0.86,0.0,0.48,358.42267101848955
111,0.24,1.02,0.81,0.49,246.91683926293916
112,0.01,0.91,0.02,1.0,299.4547913137183
113,0.01,0.81,0.0,0.56,348.12950908928485
114,0.2,0.42,0.0,0.31,246.1698252929193
115,0.16,1.17,0.0,0.72,297.2101879182109
116,0.09,0.96,0.05,0.74,348.0451830385964
117,0.42,0.53,0.87,0.74,213.42946250212862
118,0.0,1.17,0.0,0.6,360.7652205502583
119,0.1,0.72,1.0,0.75,351.76059409172353
120,0.0,0.95,0.0,0.56,413.94788072775236
122,0.34,0.68,0.84,1.0,204.5371631356311
123,0.17,0.58,0.85,-0.04,308.80015768636906
124,0.12,0.88,0.0,0.38,381.7080684639652
125,0.08,0.64,0.76,1.0,324.2072518732089
126,0.1,0.77,0.48,0.79,303.5024796942396
127,0.21,0.85,0.76,0.62,287.1012328404959
129,0.15,0.56,0.88,0.46,361.94672332381185
130,0.22,1.12,0.46,0.18,151.45497830869522
131,0.08,0.95,0.48,-0.57,206.4652627337129
132,0.12,0.56,0.88,-0.32,291.6177930932354
133,0.13,0.44,0.0,0.68,497.32381073342117
134,0.43,0.76,0.77,0.45,328.2476977312501
137,0.59,0.32,0.87,0.39,300.8280390891269
138,0.17,0.61,0.42,0.83,370.07371046038895
140,0.29,0.74,0.85,0.39,232.2473233524049
141,0.08,0.19,0.88,0.28,317.36588113390354
142,0.19,0.2,1.0,0.33,343.3897480637371
143,0.43,0.72,0.77,0.49,237.03085325121793
144,0.16,0.7,0.86,-0.2,349.27175675471267
145,0.09,1.32,0.48,0.08,235.18252472591067
146,0.08,1.48,0.73,0.62,333.8959112087964
147,0.0,0.61,0.0,0.23,372.0412905422088
148,0.04,0.86,0.04,-0.13,330.2783452603171
150,0.15,0.82,0.58,0.61,337.72707653361334
151,0.49,0.52,0.86,-0.08,205.07952489226832
152,0.39,0.4,0.88,0.72,275.3670365799445
153,0.36,0.52,0.88,0.73,274.66326060890185
154,0.25,0.42,0.94,0.64,331.2334182959552
155,0.08,0.86,0.1,0.75,426.07754140741474
157,0.31,0.88,0.79,0.29,223.9310699632933
158,0.47,0.88,0.65,1.0,186.853186219511
160,0.08,0.76,0.0,0.48,320.1013787919799
161,0.12,0.79,0.0,0.09,212.8215125206542
163,0.88,0.02,0.99,0.12,516.477878698859
164,0.25,1.08,0.02,-0.72,463.1268137521704
165,0.23,0.51,0.29,0.8,342.9497200961073
166,1.0,0.06,1.0,0.32,556.3356252530674
167,0.92,0.72,1.0,0.12,642.690511633286
168,0.08,0.6,1.0,0.44,400.63984238391026
169,0.0,0.94,0.0,0.11,392.5411511163221
170,0.13,0.91,0.0,0.26,329.69476208571876
171,0.13,0.64,0.0,0.35,462.51424290756995
172,0.32,0.38,0.93,0.36,347.75503545678987
173,0.41,0.43,0.18,0.5,253.96432177307784
174,0.22,0.82,0.86,0.81,299.7424395160529
175,0.16,0.34,0.43,0.52,263.3164245068346
176,0.0,0.45,0.0,0.71,456.3442159592074
177,0.34,0.0,0.0,0.43,400.74730391095443
178,0.14,1.21,0.54,0.43,275.50956124094824
179,0.08,0.86,0.19,0.39,403.56325514879165
180,0.08,1.06,0.68,0.95,341.1600386505345
181,0.71,0.4,0.85,0.79,312.9820894860145
182,0.12,0.0,0.12,0.62,427.64892202012567
184,0.25,0.54,0.72,0.33,318.0602293528739
185,0.96,0.1,1.0,0.32,519.1574228093461
187,0.11,0.49,0.88,0.28,318.56742743728796
188,0.11,1.01,0.0,0.72,279.3841575026417
189,0.33,0.63,0.37,0.39,252.68652892134148
190,0.2,0.56,0.34,0.45,342.86354418237505
192,0.29,0.4,0.72,1.0,321.3165431019572
193,0.12,0.88,0.01,0.66,496.8407393103329
194,0.74,0.91,0.7,0.23,236.6295643460499
195,0.03,0.31,0.1,-0.18,372.73916769117835
196,0.32,0.2,0.99,-0.08,246.15227349414982
198,0.0,0.55,0.0,0.28,381.90108917826956
201,0.24,0.8,0.84,-0.16,268.5589966140538
203,0.22,0.28,0.6,0.48,340.16850293504336
204,0.09,0.78,0.0,0.91,294.95499940950225
205,0.08,1.17,0.58,0.95,407.55259464199764
206,0.09,0.58,0.02,0.48,286.0129648882343
207,0.29,0.76,0.86,0.65,282.1824153198522
208,0.08,0.88,0.0,0.48,426.67488869244886
209,0.14,0.47,1.0,-0.08,434.7971143410649
109,0.3,0.73,0.82,0.1,275.8125069613953
