subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.27,0.37,0.95,-1.0,254.36290618699252,99.39343581879427
27,0.18,0.4,0.97,-1.0,264.93397789202334,69.54154971461922
28,0.29,0.57,0.86,-1.0,164.84713160677472,77.03517551763322
29,0.08,1.5,0.0,-1.0,271.522617477174,181.66825790470548
33,0.17,0.23,0.38,-1.0,199.99268082092433,96.05947293233767
34,0.08,0.92,0.68,-1.0,140.3461551220325,109.61152817701225
35,0.51,0.24,0.97,-1.0,113.22927249395646,77.97280944559664
36,0.08,0.96,0.01,-1.0,308.99476037338275,129.0633010133704
37,0.24,0.48,0.96,-1.0,362.99676645271825,106.14609394147494
46,0.03,0.48,0.0,-1.0,292.0175612301095,79.05800555512839
62,0.92,0.72,1.0,-1.0,560.4361643408339,137.84755059491414
70,0.08,0.91,0.0,-1.0,190.38780960992037,47.44829896926473
71,0.15,0.65,0.88,-1.0,217.12063193273076,75.710678352891
74,0.17,0.23,0.55,-1.0,194.46663444227005,94.70958903263161
78,0.08,0.65,0.88,-1.0,314.9668949274359,103.27763685645618
84,0.68,0.05,0.88,-1.0,272.5877239523305,114.0031263350088
85,0.22,0.88,0.49,-1.0,236.25248956017856,115.94254938041863
87,0.12,0.43,0.1,-1.0,254.82421185372746,87.69648854427764
0,1.0,0.07,1.0,-1.0,377.4477917386882,146.98300513731368
1,0.23,1.32,0.65,-1.0,147.63142681769355,78.78145216103225
2,0.32,0.55,0.0,-1.0,185.95358271749794,132.07981311368528
3,0.0,0.88,0.0,-1.0,268.81964456027237,83.92503762701602
13,0.02,0.68,0.1,-1.0,275.76013215388855,93.15275456053931
4,0.16,0.29,1.0,-1.0,217.42168254181564,92.78999221348413
5,0.42,0.46,0.82,-1.0,229.78700398363753,87.3456199594082
6,0.88,0.08,0.98,-1.0,414.6859607276103,128.40531560373378
7,0.11,1.32,0.48,-1.0,180.1462862118063,51.6181668961936
8,0.32,0.23,0.97,-1.0,218.80861092426554,74.13550452458686
9,0.08,0.47,0.68,-1.0,253.0056128013698,86.93696388928049
10,0.17,0.45,0.83,-1.0,218.847970523098,71.2681921611937
11,0.02,0.63,0.1,-1.0,279.1157131865081,102.71510942697904
12,0.25,1.0,0.68,-1.0,171.75445886784146,65.25748470312374
14,0.09,0.54,0.83,-1.0,295.9570923935546,110.10156727535933
15,0.08,0.82,0.0,-1.0,131.2857823807275,119.86607346952987
16,0.01,1.5,0.0,-1.0,246.32801930711253,159.46282177413445
17,0.25,0.69,0.86,-1.0,313.1256708923835,94.56313414688601
18,0.4,0.8,0.0,-1.0,264.7767391431734,144.58397192421185
19,0.12,0.08,1.0,-1.0,220.58985219737409,91.36057799789484
20,0.12,0.57,0.88,-1.0,246.63670509522095,91.09766783320892
21,0.08,1.28,0.0,-1.0,228.7563783446607,102.51301899249589
22,0.17,0.57,0.45,-1.0,252.2895887158516,53.096230473171424
23,0.24,0.24,1.0,-1.0,205.3119496903766,95.15265772894493
