subID,alpha,theta,gamma,w,nll_idv,nll_grp
82,0.28,0.41,1.0,0.4,246.2121409772833,97.19079725922585
27,0.23,0.48,0.88,0.97,258.9503168938122,48.018831830702474
28,0.48,0.68,0.87,0.62,149.51243485722398,54.44775045423074
29,0.13,1.28,0.0,-0.47,234.34149591406901,30.15380359700156
33,0.87,0.21,0.8,1.0,182.51395971511988,67.46734072048316
34,0.11,0.96,0.48,-0.21,122.42848029001809,109.17553708121761
35,0.68,0.56,0.88,0.12,96.05686044942205,48.69842766923278
36,0.08,0.97,0.06,0.28,310.6841145110366,120.102913778788
37,0.56,0.52,0.97,-0.45,342.9431110060913,97.40652337882715
46,0.52,0.4,0.72,0.0,274.4017103875592,75.74512482823461
62,0.02,1.5,0.0,-0.32,447.2116567525357,100.70167629497111
70,0.13,0.94,0.08,0.01,198.43460420861425,51.154547932280636
71,0.08,0.84,0.0,1.0,171.09113272984368,44.4369100495128
74,0.57,0.16,0.88,0.12,195.42198055344278,88.5472513789624
78,0.02,0.67,0.0,0.4,324.52720294417026,91.2044194424357
84,0.21,0.55,0.33,-0.33,202.28239075469963,87.98737646464463
85,0.7,1.05,0.35,-0.22,235.49911804478168,105.61677768778797
87,0.0,0.66,0.0,-0.58,254.7890349823447,81.93137504725036
0,0.0,1.47,0.0,0.54,422.33692693093013,122.64107324936539
1,0.36,1.5,0.48,0.65,146.03760769748132,45.60094851622437
2,0.28,0.56,0.0,0.68,184.06681246112834,103.17386597096204
3,0.14,0.76,0.88,0.0,261.5515786969562,87.52521634568689
13,0.14,0.65,0.86,0.39,267.51909061069216,85.86163759876753
4,0.23,0.39,0.96,0.32,218.4349775694245,82.76001374379035
5,0.61,0.43,0.82,0.52,235.29150633585544,76.56153475131728
6,0.11,0.68,0.69,0.46,346.77908978183,120.94816766646959
7,0.14,1.31,0.48,0.18,183.2479011079096,56.2492910103804
8,0.52,0.19,0.98,0.66,209.9981971372026,57.65198402827781
9,0.19,0.5,0.68,-0.12,246.61483693177823,85.2177322304431
10,0.74,0.8,0.59,0.74,190.89599205608974,52.87561786588644
11,0.19,0.67,0.88,0.6,270.77534838087814,81.75471122303063
12,0.43,1.47,0.54,0.72,148.80140352274077,41.632725015177044
14,0.52,0.6,0.87,0.81,276.65912829864305,80.13747631415102
15,0.14,0.97,0.08,-0.68,113.57610954777162,101.16055938059422
16,0.01,1.5,0.0,0.49,251.36680564912018,99.53381089305938
17,0.43,0.68,0.86,-0.08,308.7590153511955,96.40716600124753
18,0.61,1.5,0.38,0.95,213.482098621369,85.77467288725789
19,0.15,0.08,1.0,0.5,222.06406685444298,89.77235157589368
20,0.09,0.66,0.68,0.08,246.5757104848746,87.09928837268677
21,0.11,1.44,0.0,0.43,239.50044008810522,85.67795980963255
22,0.16,0.56,0.46,1.0,253.02528279729148,23.54291888990492
23,0.28,0.28,1.0,0.08,211.68394369583794,89.88099034728889
24,0.0,0.66,0.0,0.32,278.8909261938383,104.77970388394917
25,0.19,0.94,0.0,1.0,264.50441934434605,87.6131520415843
26,0.11,1.5,0.81,-0.32,279.95026286554247,75.13537147756605
30,0.31,0.38,0.68,1.0,170.41767951720948,106.25061990848397
31,0.4,0.52,0.97,0.32,232.7831942198966,84.96233775247443
32,0.6,0.48,0.88,0.23,171.16144351784575,79.24817581026983
38,0.0,0.59,0.0,0.96,261.6075749942419,66.42458538736336
39,0.44,0.17,0.19,-0.2,153.23629293323341,63.164779758524894
40,0.17,0.26,0.55,0.17,281.83245390818655,76.37030116687303
41,0.0,0.72,0.0,0.19,263.84032853906564,90.59448877097181
42,0.6,0.35,0.59,0.69,202.87899300268523,61.42078095969769
43,0.14,0.42,0.56,0.08,765.4308403475278,91.04100988102435
44,0.75,0.65,0.82,0.22,179.71053361675294,79.69278675158029
45,0.67,0.76,0.78,1.0,196.87815730357457,75.95706218618642
47,0.36,1.32,0.67,-0.34,148.1186549147203,37.86619233903801
48,0.47,0.68,0.88,0.73,246.42707426898278,58.86684487326562
49,0.08,0.66,0.1,-0.21,290.64667493802693,80.78484548924709
50,0.13,1.08,0.44,0.05,173.76147753139128,40.431546922611496
51,0.52,0.4,0.96,0.68,226.21933040177856,61.37303907617398
52,0.04,0.3,0.0,0.0,282.7738396893888,90.0889096753338
