subID,alpha,theta,gamma,w,nll
82,0.28,0.4,1.0,0.42,337.50460560161616
27,0.25,0.41,0.88,1.0,296.92743138333736
28,0.48,0.68,0.86,0.68,198.01200236124987
29,0.13,1.28,0.0,-0.47,257.8895542947374
33,0.88,0.19,0.83,1.0,240.28970077524497
34,0.11,0.96,0.48,-0.22,225.67638531646622
35,0.68,0.68,0.84,0.28,146.40467830088588
36,0.08,0.97,0.06,0.28,420.56306355357214
37,0.54,0.52,0.97,-0.44,432.6663847094324
46,0.5,0.4,0.72,0.0,344.56982257006416
62,0.02,1.5,0.0,-0.36,536.4326078506131
70,0.13,0.94,0.08,0.01,245.37955448702473
71,0.09,0.89,0.28,1.0,211.08279021369557
74,0.56,0.16,0.88,0.16,277.6429092858114
78,0.02,0.68,0.0,0.4,409.4767104136182
84,0.2,0.54,0.33,-0.32,285.3185237595077
85,0.7,1.04,0.33,-0.22,331.87069828215385
87,0.0,0.66,0.0,-0.66,322.0823732460808
0,0.0,1.48,0.0,0.54,538.2652493675635
1,0.35,1.5,0.48,0.69,185.45680132061585
2,0.29,0.55,0.0,0.68,277.5006483088527
3,0.14,0.77,0.87,0.0,341.15828139567617
13,0.13,0.64,0.86,0.36,339.26959720893655
4,0.23,0.38,0.96,0.32,294.3025274219587
5,0.6,0.43,0.82,0.53,305.56202942443156
6,0.11,0.68,0.68,0.45,458.68509214328316
7,0.14,1.34,0.48,0.22,232.7702274142068
8,0.52,0.18,0.98,0.72,260.5617795518843
9,0.17,0.52,0.7,-0.12,326.8372497718611
10,0.74,0.83,0.59,0.85,236.57189953647367
11,0.19,0.67,0.88,0.56,344.67296696959556
12,0.42,1.45,0.55,0.81,180.71179288611148
14,0.52,0.6,0.87,0.85,349.28079816712045
15,0.14,0.97,0.08,-0.66,205.18957627271556
16,0.01,1.5,0.0,0.49,344.6679101194008
17,0.42,0.68,0.88,-0.07,398.82328386017946
18,0.61,1.5,0.37,0.95,285.28340607482187
19,0.14,0.08,1.0,0.54,303.20223128197256
20,0.08,0.66,0.68,0.08,329.68710090438464
21,0.11,1.44,0.0,0.43,319.1094179567926
22,0.15,0.56,0.46,1.0,271.455014703535
23,0.28,0.28,1.0,0.08,290.46291432551544
24,0.0,0.65,0.0,0.32,376.19024469327314
25,0.18,0.93,0.0,1.0,347.03550999189116
26,0.11,1.5,0.8,-0.32,347.19960005611404
30,0.32,0.36,0.7,1.0,267.6018040652398
31,0.4,0.52,0.97,0.32,312.4107293934452
32,0.58,0.48,0.88,0.19,241.08280069852776
38,0.0,0.58,0.0,1.0,318.90003844288725
39,0.46,0.18,0.19,-0.21,210.86131330353945
40,0.15,0.25,0.64,0.19,352.99814861121047
41,0.0,0.72,0.0,0.19,347.99941676436174
42,0.59,0.35,0.59,0.72,250.9551463309648
43,0.14,0.41,0.56,0.08,847.812504443459
44,0.74,0.68,0.8,0.23,253.17192467366718
45,0.66,0.77,0.78,1.0,266.86156954999234
47,0.36,1.36,0.66,-0.39,178.33040688792312
48,0.46,0.68,0.88,0.76,298.35886501081836
49,0.08,0.66,0.1,-0.21,359.05411093121353
50,0.13,1.08,0.48,0.09,201.57032430072135
51,0.52,0.4,0.96,0.68,281.1805773230234
52,0.04,0.3,0.0,0.0,366.4165225494306
53,0.14,0.9,0.08,1.0,491.2089838328785
54,0.28,0.47,0.81,-0.32,437.53163824258866
55,0.02,1.48,0.0,0.57,375.6008033839415
56,0.0,0.66,0.0,-0.47,439.69536670789023
57,0.21,0.42,0.88,1.0,303.8522864468236
58,0.7,0.31,0.82,0.37,299.2653162156379
59,0.74,0.28,0.88,0.4,261.88071935447743
60,0.2,0.36,0.71,0.72,292.2250561480559
61,0.72,0.17,0.98,0.04,188.22505230600177
63,0.24,0.38,0.06,0.74,277.8370209455811
64,0.12,1.28,0.32,0.86,527.7277570458534
65,0.09,0.45,0.0,0.0,270.91534889605884
66,0.13,0.46,1.0,0.28,311.6648541550869
67,0.27,0.16,0.88,0.36,341.3478123499206
68,0.08,0.52,1.0,0.69,393.4133882534227
69,0.26,0.54,0.85,0.75,278.97382326860964
72,0.48,0.83,0.82,1.0,187.94247263293937
73,0.18,0.64,0.84,-0.35,380.34658150043475
75,0.25,0.41,0.84,0.68,385.8106680639688
76,0.12,0.32,1.0,-0.08,362.73315351313994
77,0.21,0.98,0.17,0.71,259.2284180605443
79,0.18,0.53,0.0,0.2,471.7757269398051
80,0.03,1.5,0.0,0.67,452.87078543144605
81,0.02,0.88,0.0,0.72,356.80357701025906
83,0.88,0.4,0.88,0.32,437.366307937831
86,0.29,1.26,0.04,-0.28,564.8959344782315
88,0.31,0.66,0.57,0.71,310.0384653330488
89,0.08,0.52,1.0,0.32,407.1645127185934
90,0.1,0.88,0.1,-0.78,346.49944472487346
91,0.63,0.28,0.97,0.0,219.27247879025248
92,0.02,1.2,0.1,0.54,290.90950050979467
93,0.08,0.1,1.0,-0.03,491.97074621595743
