trial,subID,sim_choice,sim_attack,k
1,0,"[8, 8, 7, 7, 8, 8, 7, 7, 7, 7]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",1
1,1,"[7, 7, 8, 5, 8, 6, 7, 7, 6, 8]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 1]",1
1,2,"[5, 4, 6, 4, 4, 3, 4, 2, 1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,3,"[8, 3, 4, 2, 1, 3, 3, 5, 2, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,4,"[1, 5, 2, 6, 1, 2, 5, 6, 4, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1
1,5,"[3, 5, 5, 5, 9, 2, 3, 8, 4, 5]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1
1,6,"[5, 4, 6, 5, 4, 5, 1, 5, 6, 6]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]",1
1,7,"[6, 7, 6, 7, 7, 4, 7, 7, 8, 4]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,8,"[4, 1, 1, 1, 2, 3, 1, 1, 2, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1
1,9,"[2, 3, 3, 1, 3, 3, 1, 5, 4, 4]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1
1,10,"[7, 5, 5, 5, 2, 7, 5, 6, 3, 5]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1
1,11,"[7, 3, 5, 4, 5, 6, 3, 5, 4, 6]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1
1,12,"[7, 8, 7, 8, 7, 7, 7, 7, 7, 8]","[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]",1
1,13,"[4, 4, 5, 4, 2, 8, 4, 4, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1
1,14,"[3, 2, 2, 7, 6, 5, 3, 5, 2, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
1,15,"[7, 6, 5, 6, 7, 6, 6, 7, 6, 5]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1
